Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AvgEnergyBought	AvgEnergySold	AvgPriceBought	AverageQVals	StdQVals	LossPi	LossQ	Time
38	22634.633	7085.2007	27376.916	10721.178	1000.0	1000.0	151999	[31.49975879]	0.0	19.0	-6782877.0	672376.5	6880789.5	26945049000.0	106071.17486286163
39	24910.898	10245.809	23802.543	7894.4614	1000.0	1000.0	155999	[31.49975879]	0.0	19.0	-7351661.5	732121.1	7457647.5	31194399000.0	107241.36241078377
40	23255.56	6009.196	21813.97	5042.7397	1000.0	1000.0	159999	[30.8751746]	0.0	19.0	-7960796.0	792151.9	8073656.0	35734820000.0	108408.44120931625
41	37703.473	11812.612	27534.89	10347.904	1000.0	1000.0	163999	[38.32374675]	0.0	19.0	-8597887.0	851058.94	8718549.0	42232988000.0	109571.60897088051
42	24921.36	4405.4077	25930.004	7281.5454	1000.0	1000.0	167999	[38.68636418]	0.0	19.0	-9248429.0	903752.75	9376213.0	46366863000.0	110742.22640109062
43	28442.6	9527.602	30561.262	12283.899	1000.0	1000.0	171999	[36.97806124]	0.0	19.0	-9921996.0	958902.75	10057404.0	52823097000.0	111918.74659991264
44	31170.0	11353.699	27402.291	9822.857	1000.0	1000.0	175999	[31.29107831]	0.0	19.0	-10577204.0	981453.6	10715629.0	55754756000.0	113099.34941577911
45	36707.47	11671.778	32006.61	10046.361	1000.0	1000.0	179999	[31.49975879]	0.0	19.0	-11170557.0	997970.2	11311512.0	54739173000.0	114264.66562199593
46	27206.676	9491.84	22163.723	8396.622	1000.0	1000.0	183999	[28.0476026]	0.0	19.0	-11700212.0	1045411.3	11845225.0	58851254000.0	115426.03460597992
47	27250.531	11014.039	29969.37	12060.754	1000.0	1000.0	187999	[28.84994061]	0.0	19.0	-12250289.0	1079069.6	12401277.0	64980580000.0	116591.26105284691
48	30670.793	11967.226	31654.678	11146.883	1000.0	1000.0	191999	[36.62696305]	0.0	19.0	-12830211.0	1122774.6	12993506.0	67815092000.0	117756.63839673996
49	25689.414	10948.573	29331.797	11165.528	1000.0	1000.0	195999	[31.49975879]	0.0	19.0	-13400982.0	1174979.6	13565361.0	73576186000.0	118920.71424531937
50	25405.861	11103.064	28392.5	12061.93	1000.0	1000.0	199999	[31.49975879]	0.0	19.0	-14057653.0	1239156.1	14235073.0	82337006000.0	120080.48112678528
