time,P
20050114:1207,739.58
20050114:1307,619.16
20050114:1407,466.86
20050114:1507,262.85
20050114:1607,0
20050114:1707,0
20050114:1807,0
20050114:1907,0
20050114:2007,0
20050114:2107,0
20050114:2207,0
20050114:2307,0
20050115:0007,0
20050115:0107,0
20050115:0207,0
20050115:0307,0
20050115:0407,0
20050115:0507,0
20050115:0607,200.58
20050115:0707,429.05
20050115:0807,608.87
20050115:0907,740.01
20050115:1007,791.96
20050115:1107,769.62
20050115:1207,727.63
20050115:1307,632.86
20050115:1407,472.36
20050115:1507,265.25
20050115:1607,0
20050115:1707,0
20050115:1807,0
20050115:1907,0
20050115:2007,0
20050115:2107,0
20050115:2207,0
20050115:2307,0
20050116:0007,0
20050116:0107,0
20050116:0207,0
20050116:0307,0
20050116:0407,0
20050116:0507,0
20050116:0607,122.81
20050116:0707,463.59
20050116:0807,630.06
20050116:0907,735.37
20050116:1007,775.99
20050116:1107,833.14
20050116:1207,777.63
20050116:1307,674.89
20050116:1407,518.87
20050116:1507,295.68
20050116:1607,0
20050116:1707,0
20050116:1807,0
20050116:1907,0
20050116:2007,0
20050116:2107,0
20050116:2207,0
20050116:2307,0
20050117:0007,0
20050117:0107,0
20050117:0207,0
20050117:0307,0
20050117:0407,0
20050117:0507,0
20050117:0607,209.12
20050117:0707,464.75
20050117:0807,658.48
20050117:0907,778
20050117:1007,851.45
20050117:1107,848.61
20050117:1207,801.12
20050117:1307,697.63
20050117:1407,509.9
20050117:1507,199.67
20050117:1607,0
20050117:1707,0
20050117:1807,0
20050117:1907,0
20050117:2007,0
20050117:2107,0
20050117:2207,0
20050117:2307,0
20050118:0007,0
20050118:0107,0
20050118:0207,0
20050118:0307,0
20050118:0407,0
20050118:0507,0
20050118:0607,122.18
20050118:0707,336.12
20050118:0807,589.2
20050118:0907,711.23
20050118:1007,821.12
20050118:1107,833.58
20050118:1207,770.09
20050118:1307,645.01
20050118:1407,495.55
20050118:1507,305.88
20050118:1607,0
20050118:1707,0
20050118:1807,0
20050118:1907,0
20050118:2007,0
20050118:2107,0
20050118:2207,0
20050118:2307,0
20050119:0007,0
20050119:0107,0
20050119:0207,0
20050119:0307,0
20050119:0407,0
20050119:0507,0
20050119:0607,146.39
20050119:0707,415.66
20050119:0807,578.98
20050119:0907,739.8
20050119:1007,817.69
20050119:1107,829.32
20050119:1207,788.15
20050119:1307,689.3
20050119:1407,513.01
20050119:1507,320.12
20050119:1607,0
20050119:1707,0
20050119:1807,0
20050119:1907,0
20050119:2007,0
20050119:2107,0
20050119:2207,0
20050119:2307,0
20050120:0007,0
20050120:0107,0
20050120:0207,0
20050120:0307,0
20050120:0407,0
20050120:0507,0
20050120:0607,205.51
20050120:0707,458.69
20050120:0807,630.15
20050120:0907,770.44
20050120:1007,834.77
20050120:1107,839.53
20050120:1207,787.85
20050120:1307,687.57
20050120:1407,529.72
20050120:1507,318.9
20050120:1607,0
20050120:1707,0
20050120:1807,0
20050120:1907,0
20050120:2007,0
20050120:2107,0
20050120:2207,0
20050120:2307,0
20050121:0007,0
20050121:0107,0
20050121:0207,0
20050121:0307,0
20050121:0407,0
20050121:0507,0
20050121:0607,188.46
20050121:0707,440.16
20050121:0807,616.7
20050121:0907,726.54
20050121:1007,798.98
20050121:1107,817.18
20050121:1207,777.78
20050121:1307,679.2
20050121:1407,523.56
20050121:1507,315.41
20050121:1607,10.64
20050121:1707,0
20050121:1807,0
20050121:1907,0
20050121:2007,0
20050121:2107,0
20050121:2207,0
20050121:2307,0
20050122:0007,0
20050122:0107,0
20050122:0207,0
20050122:0307,0
20050122:0407,0
20050122:0507,0
20050122:0607,190.91
20050122:0707,435.93
20050122:0807,650.97
20050122:0907,780.18
20050122:1007,845.54
20050122:1107,852.29
20050122:1207,802.45
20050122:1307,702.1
20050122:1407,541.15
20050122:1507,325.31
20050122:1607,9
20050122:1707,0
20050122:1807,0
20050122:1907,0
20050122:2007,0
20050122:2107,0
20050122:2207,0
20050122:2307,0
20050123:0007,0
20050123:0107,0
20050123:0207,0
20050123:0307,0
20050123:0407,0
20050123:0507,0
20050123:0607,194.58
20050123:0707,454.63
20050123:0807,658.92
20050123:0907,786.27
20050123:1007,853.72
20050123:1107,858.75
20050123:1207,800.98
20050123:1307,704.78
20050123:1407,540.53
20050123:1507,325.44
20050123:1607,14.74
20050123:1707,0
20050123:1807,0
20050123:1907,0
20050123:2007,0
20050123:2107,0
20050123:2207,0
20050123:2307,0
20050124:0007,0
20050124:0107,0
20050124:0207,0
20050124:0307,0
20050124:0407,0
20050124:0507,0
20050124:0607,193.49
20050124:0707,439.87
20050124:0807,641.33
20050124:0907,759.45
20050124:1007,829.74
20050124:1107,838.95
20050124:1207,777.51
20050124:1307,665.02
20050124:1407,517.29
20050124:1507,299.14
20050124:1607,15.32
20050124:1707,0
20050124:1807,0
20050124:1907,0
20050124:2007,0
20050124:2107,0
20050124:2207,0
20050124:2307,0
20050125:0007,0
20050125:0107,0
20050125:0207,0
20050125:0307,0
20050125:0407,0
20050125:0507,0
20050125:0607,181.07
20050125:0707,423.32
20050125:0807,618.49
20050125:0907,731.46
20050125:1007,777.96
20050125:1107,770.14
20050125:1207,719.51
20050125:1307,623.76
20050125:1407,466.79
20050125:1507,267.92
20050125:1607,15.8
20050125:1707,0
20050125:1807,0
20050125:1907,0
20050125:2007,0
20050125:2107,0
20050125:2207,0
20050125:2307,0
20050126:0007,0
20050126:0107,0
20050126:0207,0
20050126:0307,0
20050126:0407,0
20050126:0507,0
20050126:0607,179.17
20050126:0707,416.47
20050126:0807,583.31
20050126:0907,715.72
20050126:1007,761.25
20050126:1107,747.58
20050126:1207,713.59
20050126:1307,616.77
20050126:1407,429.53
20050126:1507,269.42
20050126:1607,13.79
20050126:1707,0
20050126:1807,0
20050126:1907,0
20050126:2007,0
20050126:2107,0
20050126:2207,0
20050126:2307,0
20050127:0007,0
20050127:0107,0
20050127:0207,0
20050127:0307,0
20050127:0407,0
20050127:0507,0
20050127:0607,153.78
20050127:0707,355.37
20050127:0807,567.63
20050127:0907,718.49
20050127:1007,776.65
20050127:1107,782.91
20050127:1207,735.8
20050127:1307,632.53
20050127:1407,488.29
20050127:1507,289.74
20050127:1607,17.46
20050127:1707,0
20050127:1807,0
20050127:1907,0
20050127:2007,0
20050127:2107,0
20050127:2207,0
20050127:2307,0
20050128:0007,0
20050128:0107,0
20050128:0207,0
20050128:0307,0
20050128:0407,0
20050128:0507,0
20050128:0607,180.53
20050128:0707,423.54
20050128:0807,610.5
20050128:0907,732.29
20050128:1007,805.48
20050128:1107,796.7
20050128:1207,750.22
20050128:1307,649.51
20050128:1407,488.13
20050128:1507,296.25
20050128:1607,18.82
20050128:1707,0
20050128:1807,0
20050128:1907,0
20050128:2007,0
20050128:2107,0
20050128:2207,0
20050128:2307,0
20050129:0007,0
20050129:0107,0
20050129:0207,0
20050129:0307,0
20050129:0407,0
20050129:0507,0
20050129:0607,193.86
20050129:0707,424.92
20050129:0807,613.41
20050129:0907,736.68
20050129:1007,775.94
20050129:1107,810.53
20050129:1207,753.45
20050129:1307,703.13
20050129:1407,518.51
20050129:1507,324.55
20050129:1607,19.59
20050129:1707,0
20050129:1807,0
20050129:1907,0
20050129:2007,0
20050129:2107,0
20050129:2207,0
20050129:2307,0
20050130:0007,0
20050130:0107,0
20050130:0207,0
20050130:0307,0
20050130:0407,0
20050130:0507,0
20050130:0607,156.77
20050130:0707,411.88
20050130:0807,586.84
20050130:0907,689.71
20050130:1007,665.06
20050130:1107,576.88
20050130:1207,284.85
20050130:1307,364.16
20050130:1407,403.9
20050130:1507,314.57
20050130:1607,15.53
20050130:1707,0
20050130:1807,0
20050130:1907,0
20050130:2007,0
20050130:2107,0
20050130:2207,0
20050130:2307,0
20050131:0007,0
20050131:0107,0
20050131:0207,0
20050131:0307,0
20050131:0407,0
20050131:0507,0
20050131:0607,193.14
20050131:0707,428.93
20050131:0807,628.1
20050131:0907,742.85
20050131:1007,808.77
20050131:1107,805.66
20050131:1207,758.64
20050131:1307,657.7
