time,Value
20050114:1307,652.14
20050114:1407,502.59
20050114:1507,291.8
20050114:1607,0
20050114:1707,0
20050114:1807,0
20050114:1907,0
20050114:2007,0
20050114:2107,0
20050114:2207,0
20050114:2307,0
20050115:0007,0
20050115:0107,0
20050115:0207,0
20050115:0307,0
20050115:0407,0
20050115:0507,0
20050115:0607,192.51
20050115:0707,427.55
20050115:0807,613.27
20050115:0907,728.36
20050115:1007,804.15
20050115:1107,799.88
20050115:1207,723.75
20050115:1307,680.81
20050115:1407,505.76
20050115:1507,240.14
20050115:1607,0
20050115:1707,0
20050115:1807,0
20050115:1907,0
20050115:2007,0
20050115:2107,0
20050115:2207,0
20050115:2307,0
20050116:0007,0
20050116:0107,0
20050116:0207,0
20050116:0307,0
20050116:0407,0
20050116:0507,0
20050116:0607,179.02
20050116:0707,412.23
20050116:0807,618.95
20050116:0907,694.37
20050116:1007,792.47
20050116:1107,803.49
20050116:1207,767.84
20050116:1307,666.05
20050116:1407,511.68
20050116:1507,307.14
20050116:1607,0
20050116:1707,0
20050116:1807,0
20050116:1907,0
20050116:2007,0
20050116:2107,0
20050116:2207,0
20050116:2307,0
20050117:0007,0
20050117:0107,0
20050117:0207,0
20050117:0307,0
20050117:0407,0
20050117:0507,0
20050117:0607,189.07
20050117:0707,425.96
20050117:0807,613.67
20050117:0907,741.96
20050117:1007,798.66
20050117:1107,815.13
20050117:1207,771.44
20050117:1307,673.32
20050117:1407,513.09
20050117:1507,276.72
20050117:1607,0
20050117:1707,0
20050117:1807,0
20050117:1907,0
20050117:2007,0
20050117:2107,0
20050117:2207,0
20050117:2307,0
20050118:0007,0
20050118:0107,0
20050118:0207,0
20050118:0307,0
20050118:0407,0
20050118:0507,0
20050118:0607,95.59
20050118:0707,356.13
20050118:0807,631.86
20050118:0907,665.45
20050118:1007,735.84
20050118:1107,798.38
20050118:1207,722.23
20050118:1307,657.96
20050118:1407,477
20050118:1507,274.72
20050118:1607,11.79
20050118:1707,0
20050118:1807,0
20050118:1907,0
20050118:2007,0
20050118:2107,0
20050118:2207,0
20050118:2307,0
20050119:0007,0
20050119:0107,0
20050119:0207,0
20050119:0307,0
20050119:0407,0
20050119:0507,0
20050119:0607,121.92
20050119:0707,313.25
20050119:0807,436.84
20050119:0907,668.18
20050119:1007,778.12
20050119:1107,794.26
20050119:1207,768.18
20050119:1307,663.19
20050119:1407,515.14
20050119:1507,329.31
20050119:1607,11.14
20050119:1707,0
20050119:1807,0
20050119:1907,0
20050119:2007,0
20050119:2107,0
20050119:2207,0
20050119:2307,0
20050120:0007,0
20050120:0107,0
20050120:0207,0
20050120:0307,0
20050120:0407,0
20050120:0507,0
20050120:0607,185.2
20050120:0707,418.26
20050120:0807,614.46
20050120:0907,755.47
20050120:1007,822.97
20050120:1107,836.04
20050120:1207,793.98
20050120:1307,696.32
20050120:1407,539.87
20050120:1507,331.34
20050120:1607,12.33
20050120:1707,0
20050120:1807,0
20050120:1907,0
20050120:2007,0
20050120:2107,0
20050120:2207,0
20050120:2307,0
20050121:0007,0
20050121:0107,0
20050121:0207,0
20050121:0307,0
20050121:0407,0
20050121:0507,0
20050121:0607,180.81
20050121:0707,428.9
20050121:0807,608.4
20050121:0907,716.19
20050121:1007,800.16
20050121:1107,822.6
20050121:1207,786.99
20050121:1307,690.32
20050121:1407,535.85
20050121:1507,322.8
20050121:1607,14.73
20050121:1707,0
20050121:1807,0
20050121:1907,0
20050121:2007,0
20050121:2107,0
20050121:2207,0
20050121:2307,0
20050122:0007,0
20050122:0107,0
20050122:0207,0
20050122:0307,0
20050122:0407,0
20050122:0507,0
20050122:0607,140.3
20050122:0707,289.86
20050122:0807,584.86
20050122:0907,722.62
20050122:1007,798.26
20050122:1107,794.86
20050122:1207,768.06
20050122:1307,687.08
20050122:1407,517.8
20050122:1507,329.85
20050122:1607,16.31
20050122:1707,0
20050122:1807,0
20050122:1907,0
20050122:2007,0
20050122:2107,0
20050122:2207,0
20050122:2307,0
20050123:0007,0
20050123:0107,0
20050123:0207,0
20050123:0307,0
20050123:0407,0
20050123:0507,0
20050123:0607,174.41
20050123:0707,423.15
20050123:0807,605.71
20050123:0907,729.89
20050123:1007,804.59
20050123:1107,811.85
20050123:1207,768.23
20050123:1307,677.21
20050123:1407,528.93
20050123:1507,319.73
20050123:1607,15.65
20050123:1707,0
20050123:1807,0
20050123:1907,0
20050123:2007,0
20050123:2107,0
20050123:2207,0
20050123:2307,0
20050124:0007,0
20050124:0107,0
20050124:0207,0
20050124:0307,0
20050124:0407,0
20050124:0507,0
20050124:0607,174.03
20050124:0707,398.68
20050124:0807,580.27
20050124:0907,722.85
20050124:1007,778.26
20050124:1107,785.86
20050124:1207,735.58
20050124:1307,642.64
20050124:1407,504.39
20050124:1507,306.31
20050124:1607,15.56
20050124:1707,0
20050124:1807,0
20050124:1907,0
20050124:2007,0
20050124:2107,0
20050124:2207,0
20050124:2307,0
20050125:0007,0
20050125:0107,0
20050125:0207,0
20050125:0307,0
20050125:0407,0
20050125:0507,0
20050125:0607,182.86
20050125:0707,417.44
20050125:0807,591.52
20050125:0907,701.92
20050125:1007,762.74
20050125:1107,751.33
20050125:1207,712.34
20050125:1307,625.62
20050125:1407,473.63
20050125:1507,280.82
20050125:1607,16.01
20050125:1707,0
20050125:1807,0
20050125:1907,0
20050125:2007,0
20050125:2107,0
20050125:2207,0
20050125:2307,0
20050126:0007,0
20050126:0107,0
20050126:0207,0
20050126:0307,0
20050126:0407,0
20050126:0507,0
20050126:0607,181.92
20050126:0707,398.67
20050126:0807,582.09
20050126:0907,702.86
20050126:1007,753.47
20050126:1107,767.47
20050126:1207,719.21
20050126:1307,622.92
20050126:1407,471.37
20050126:1507,268.09
20050126:1607,17.89
20050126:1707,0
20050126:1807,0
20050126:1907,0
20050126:2007,0
20050126:2107,0
20050126:2207,0
20050126:2307,0
20050127:0007,0
20050127:0107,0
20050127:0207,0
20050127:0307,0
20050127:0407,0
20050127:0507,0
20050127:0607,159.89
20050127:0707,401.47
20050127:0807,586.6
20050127:0907,717.24
20050127:1007,778.74
20050127:1107,793.68
20050127:1207,739.57
20050127:1307,631.92
