time,P
20050114:1307,619.89
20050114:1407,437.37
20050114:1507,231.25
20050114:1607,0
20050114:1707,0
20050114:1807,0
20050114:1907,0
20050114:2007,0
20050114:2107,0
20050114:2207,0
20050114:2307,0
20050115:0007,0
20050115:0107,0
20050115:0207,0
20050115:0307,0
20050115:0407,0
20050115:0507,0
20050115:0607,233.2
20050115:0707,464.93
20050115:0807,663.08
20050115:0907,767.51
20050115:1007,818.47
20050115:1107,824.63
20050115:1207,750.34
20050115:1307,626.88
20050115:1407,429.85
20050115:1507,218.48
20050115:1607,0
20050115:1707,0
20050115:1807,0
20050115:1907,0
20050115:2007,0
20050115:2107,0
20050115:2207,0
20050115:2307,0
20050116:0007,0
20050116:0107,0
20050116:0207,0
20050116:0307,0
20050116:0407,0
20050116:0507,0
20050116:0607,233.15
20050116:0707,282.56
20050116:0807,684.52
20050116:0907,716.37
20050116:1007,858.84
20050116:1107,842.08
20050116:1207,758.83
20050116:1307,676.1
20050116:1407,512.9
20050116:1507,292.15
20050116:1607,0
20050116:1707,0
20050116:1807,0
20050116:1907,0
20050116:2007,0
20050116:2107,0
20050116:2207,0
20050116:2307,0
20050117:0007,0
20050117:0107,0
20050117:0207,0
20050117:0307,0
20050117:0407,0
20050117:0507,0
20050117:0607,249.24
20050117:0707,503.24
20050117:0807,694.04
20050117:0907,818.83
20050117:1007,876.36
20050117:1107,873.81
20050117:1207,814.24
20050117:1307,699.12
20050117:1407,498.31
20050117:1507,281.85
20050117:1607,0
20050117:1707,0
20050117:1807,0
20050117:1907,0
20050117:2007,0
20050117:2107,0
20050117:2207,0
20050117:2307,0
20050118:0007,0
20050118:0107,0
20050118:0207,0
20050118:0307,0
20050118:0407,0
20050118:0507,0
20050118:0607,163.97
20050118:0707,385.8
20050118:0807,621.49
20050118:0907,767.94
20050118:1007,837.72
20050118:1107,864.24
20050118:1207,806.72
20050118:1307,684.83
20050118:1407,459.37
20050118:1507,299.05
20050118:1607,0
20050118:1707,0
20050118:1807,0
20050118:1907,0
20050118:2007,0
20050118:2107,0
20050118:2207,0
20050118:2307,0
20050119:0007,0
20050119:0107,0
20050119:0207,0
20050119:0307,0
20050119:0407,0
20050119:0507,0
20050119:0607,189.74
20050119:0707,388.58
20050119:0807,603.85
20050119:0907,739.03
20050119:1007,831.9
20050119:1107,828.56
20050119:1207,812.27
20050119:1307,679.2
20050119:1407,495.29
20050119:1507,275.4
20050119:1607,0
20050119:1707,0
20050119:1807,0
20050119:1907,0
20050119:2007,0
20050119:2107,0
20050119:2207,0
20050119:2307,0
20050120:0007,0
20050120:0107,0
20050120:0207,0
20050120:0307,0
20050120:0407,0
20050120:0507,0
20050120:0607,243.06
20050120:0707,497.52
20050120:0807,673.08
20050120:0907,787.28
20050120:1007,861.12
20050120:1107,818.08
20050120:1207,795.78
20050120:1307,674.33
20050120:1407,500.69
20050120:1507,296.01
20050120:1607,0
20050120:1707,0
20050120:1807,0
20050120:1907,0
20050120:2007,0
20050120:2107,0
20050120:2207,0
20050120:2307,0
20050121:0007,0
20050121:0107,0
20050121:0207,0
20050121:0307,0
20050121:0407,0
20050121:0507,0
20050121:0607,198.29
20050121:0707,432.39
20050121:0807,652.74
