time,P
20050114:1207,733.88
20050114:1307,627.97
20050114:1407,467.65
20050114:1507,248.4
20050114:1607,0
20050114:1707,0
20050114:1807,0
20050114:1907,0
20050114:2007,0
20050114:2107,0
20050114:2207,0
20050114:2307,0
20050115:0007,0
20050115:0107,0
20050115:0207,0
20050115:0307,0
20050115:0407,0
20050115:0507,0
20050115:0607,239.01
20050115:0707,470.75
20050115:0807,648.7
20050115:0907,755.12
20050115:1007,810.2
20050115:1107,810.99
20050115:1207,733.1
20050115:1307,642.67
20050115:1407,445.69
20050115:1507,236.44
20050115:1607,0
20050115:1707,0
20050115:1807,0
20050115:1907,0
20050115:2007,0
20050115:2107,0
20050115:2207,0
20050115:2307,0
20050116:0007,0
20050116:0107,0
20050116:0207,0
20050116:0307,0
20050116:0407,0
20050116:0507,0
20050116:0607,227.48
20050116:0707,398.79
20050116:0807,647.58
20050116:0907,742.84
20050116:1007,806.03
20050116:1107,805.93
20050116:1207,740.56
20050116:1307,670.84
20050116:1407,496.88
20050116:1507,271.21
20050116:1607,0
20050116:1707,0
20050116:1807,0
20050116:1907,0
20050116:2007,0
20050116:2107,0
20050116:2207,0
20050116:2307,0
20050117:0007,0
20050117:0107,0
20050117:0207,0
20050117:0307,0
20050117:0407,0
20050117:0507,0
20050117:0607,238.38
20050117:0707,482.69
20050117:0807,682.67
20050117:0907,805.21
20050117:1007,856.87
20050117:1107,858.27
20050117:1207,798.8
20050117:1307,687.1
20050117:1407,515.9
20050117:1507,276.46
20050117:1607,0
20050117:1707,0
20050117:1807,0
20050117:1907,0
20050117:2007,0
20050117:2107,0
20050117:2207,0
20050117:2307,0
20050118:0007,0
20050118:0107,0
20050118:0207,0
20050118:0307,0
20050118:0407,0
20050118:0507,0
20050118:0607,133.34
20050118:0707,349.94
20050118:0807,666.77
20050118:0907,681.36
20050118:1007,818.08
20050118:1107,839.85
20050118:1207,783.27
20050118:1307,669.62
20050118:1407,498.25
20050118:1507,216.64
20050118:1607,0
20050118:1707,0
20050118:1807,0
20050118:1907,0
20050118:2007,0
20050118:2107,0
20050118:2207,0
20050118:2307,0
20050119:0007,0
20050119:0107,0
20050119:0207,0
20050119:0307,0
20050119:0407,0
20050119:0507,0
20050119:0607,237.88
20050119:0707,461.3
20050119:0807,615.58
20050119:0907,731.65
20050119:1007,751.48
20050119:1107,844.65
20050119:1207,786.48
20050119:1307,684.92
20050119:1407,505.36
20050119:1507,284.44
20050119:1607,0
20050119:1707,0
20050119:1807,0
20050119:1907,0
20050119:2007,0
20050119:2107,0
20050119:2207,0
20050119:2307,0
20050120:0007,0
20050120:0107,0
20050120:0207,0
20050120:0307,0
20050120:0407,0
20050120:0507,0
20050120:0607,176.29
20050120:0707,458.27
20050120:0807,674.05
20050120:0907,769.58
20050120:1007,844.05
20050120:1107,748.91
20050120:1207,766.05
20050120:1307,662.92
20050120:1407,495.34
20050120:1507,281.94
20050120:1607,0
20050120:1707,0
20050120:1807,0
20050120:1907,0
20050120:2007,0
20050120:2107,0
20050120:2207,0
20050120:2307,0
20050121:0007,0
20050121:0107,0
20050121:0207,0
20050121:0307,0
20050121:0407,0
20050121:0507,0
20050121:0607,151.11
20050121:0707,430.5
20050121:0807,613.17
20050121:0907,737.82
20050121:1007,808.54
20050121:1107,794.7
20050121:1207,762.67
20050121:1307,655.81
20050121:1407,495.03
20050121:1507,286.21
20050121:1607,0
20050121:1707,0
20050121:1807,0
20050121:1907,0
20050121:2007,0
20050121:2107,0
20050121:2207,0
20050121:2307,0
20050122:0007,0
20050122:0107,0
20050122:0207,0
20050122:0307,0
20050122:0407,0
20050122:0507,0
20050122:0607,207.29
20050122:0707,395.55
20050122:0807,564.97
20050122:0907,719.09
20050122:1007,811.69
20050122:1107,839.54
20050122:1207,794.56
20050122:1307,691.22
20050122:1407,501.92
20050122:1507,281.74
20050122:1607,0
20050122:1707,0
20050122:1807,0
20050122:1907,0
20050122:2007,0
20050122:2107,0
20050122:2207,0
20050122:2307,0
20050123:0007,0
20050123:0107,0
20050123:0207,0
20050123:0307,0
20050123:0407,0
20050123:0507,0
20050123:0607,224.73
20050123:0707,473.27
20050123:0807,651.19
20050123:0907,788.16
20050123:1007,845.1
20050123:1107,858.75
20050123:1207,798.64
20050123:1307,679.32
20050123:1407,519.92
20050123:1507,285.41
20050123:1607,0
20050123:1707,0
20050123:1807,0
20050123:1907,0
20050123:2007,0
20050123:2107,0
20050123:2207,0
20050123:2307,0
20050124:0007,0
20050124:0107,0
20050124:0207,0
20050124:0307,0
20050124:0407,0
20050124:0507,0
20050124:0607,223.43
20050124:0707,471.67
20050124:0807,661.74
20050124:0907,789.58
20050124:1007,841.26
20050124:1107,845.28
20050124:1207,780.85
