time,P
20050114:1007,771.65
20050114:1107,784.19
20050114:1207,727.42
20050114:1307,611.77
20050114:1407,413.08
20050114:1507,224.18
20050114:1607,0
20050114:1707,0
20050114:1807,0
20050114:1907,0
20050114:2007,0
20050114:2107,0
20050114:2207,0
20050114:2307,0
20050115:0007,0
20050115:0107,0
20050115:0207,0
20050115:0307,0
20050115:0407,0
20050115:0507,10.52
20050115:0607,239.63
20050115:0707,464.37
20050115:0807,628.81
20050115:0907,741.56
20050115:1007,788
20050115:1107,791.87
20050115:1207,739.75
20050115:1307,614.08
20050115:1407,444.39
20050115:1507,228.26
20050115:1607,0
20050115:1707,0
20050115:1807,0
20050115:1907,0
20050115:2007,0
20050115:2107,0
20050115:2207,0
20050115:2307,0
20050116:0007,0
20050116:0107,0
20050116:0207,0
20050116:0307,0
20050116:0407,0
20050116:0507,11.93
20050116:0607,260.18
20050116:0707,477.44
20050116:0807,660.79
20050116:0907,697.42
20050116:1007,726.48
20050116:1107,810.44
20050116:1207,744.88
20050116:1307,577.45
20050116:1407,485.67
20050116:1507,265.23
20050116:1607,0
20050116:1707,0
20050116:1807,0
20050116:1907,0
20050116:2007,0
20050116:2107,0
20050116:2207,0
20050116:2307,0
20050117:0007,0
20050117:0107,0
20050117:0207,0
20050117:0307,0
20050117:0407,0
20050117:0507,10.4
20050117:0607,250.63
20050117:0707,489.89
20050117:0807,656.8
20050117:0907,775.52
20050117:1007,834.92
20050117:1107,839.43
20050117:1207,775.85
20050117:1307,664.56
20050117:1407,498.08
20050117:1507,219.83
20050117:1607,0
20050117:1707,0
20050117:1807,0
20050117:1907,0
20050117:2007,0
20050117:2107,0
20050117:2207,0
20050117:2307,0
20050118:0007,0
20050118:0107,0
20050118:0207,0
20050118:0307,0
20050118:0407,0
20050118:0507,5.39
20050118:0607,179.98
20050118:0707,411.81
20050118:0807,569.92
20050118:0907,614.17
20050118:1007,797.45
20050118:1107,822.52
20050118:1207,769.67
20050118:1307,642.51
20050118:1407,504.32
20050118:1507,260.18
20050118:1607,0
20050118:1707,0
20050118:1807,0
20050118:1907,0
20050118:2007,0
20050118:2107,0
20050118:2207,0
20050118:2307,0
20050119:0007,0
20050119:0107,0
20050119:0207,0
20050119:0307,0
20050119:0407,0
20050119:0507,2.02
20050119:0607,159.18
20050119:0707,481.2
20050119:0807,686.7
20050119:0907,772.7
20050119:1007,859.34
20050119:1107,797.38
20050119:1207,776.2
20050119:1307,679.54
20050119:1407,507.45
20050119:1507,287.09
20050119:1607,0
20050119:1707,0
20050119:1807,0
20050119:1907,0
20050119:2007,0
20050119:2107,0
20050119:2207,0
20050119:2307,0
20050120:0007,0
20050120:0107,0
20050120:0207,0
20050120:0307,0
20050120:0407,0
20050120:0507,9.16
20050120:0607,248.85
20050120:0707,465.2
20050120:0807,633.19
20050120:0907,716.53
20050120:1007,545.85
