time,P
20050114:1307,643.29
20050114:1407,503.84
20050114:1507,277.76
20050114:1607,0
20050114:1707,0
20050114:1807,0
20050114:1907,0
20050114:2007,0
20050114:2107,0
20050114:2207,0
20050114:2307,0
20050115:0007,0
20050115:0107,0
20050115:0207,0
20050115:0307,0
20050115:0407,0
20050115:0507,0
20050115:0607,178.67
20050115:0707,423.02
20050115:0807,606.03
20050115:0907,731.14
20050115:1007,782.66
20050115:1107,785.32
20050115:1207,717.48
20050115:1307,625.08
20050115:1407,511.74
20050115:1507,282.95
20050115:1607,13.02
20050115:1707,0
20050115:1807,0
20050115:1907,0
20050115:2007,0
20050115:2107,0
20050115:2207,0
20050115:2307,0
20050116:0007,0
20050116:0107,0
20050116:0207,0
20050116:0307,0
20050116:0407,0
20050116:0507,0
20050116:0607,190.61
20050116:0707,428.02
20050116:0807,589.94
20050116:0907,724.91
20050116:1007,803.33
20050116:1107,829.14
20050116:1207,773.43
20050116:1307,665.23
20050116:1407,533.82
20050116:1507,323.62
20050116:1607,12.85
20050116:1707,0
20050116:1807,0
20050116:1907,0
20050116:2007,0
20050116:2107,0
20050116:2207,0
20050116:2307,0
20050117:0007,0
20050117:0107,0
20050117:0207,0
20050117:0307,0
20050117:0407,0
20050117:0507,0
20050117:0607,175.16
20050117:0707,430.17
20050117:0807,618.21
20050117:0907,743.65
20050117:1007,825.09
20050117:1107,827.46
20050117:1207,790.37
20050117:1307,680.02
20050117:1407,517.83
20050117:1507,276.76
20050117:1607,12.94
20050117:1707,0
20050117:1807,0
20050117:1907,0
20050117:2007,0
20050117:2107,0
20050117:2207,0
20050117:2307,0
20050118:0007,0
20050118:0107,0
20050118:0207,0
20050118:0307,0
20050118:0407,0
20050118:0507,0
20050118:0607,81.8
20050118:0707,364.92
20050118:0807,604.52
20050118:0907,703.49
20050118:1007,776.13
20050118:1107,787.88
20050118:1207,746.23
20050118:1307,667.78
20050118:1407,490.1
20050118:1507,290.8
20050118:1607,16.17
20050118:1707,0
20050118:1807,0
20050118:1907,0
20050118:2007,0
20050118:2107,0
20050118:2207,0
20050118:2307,0
20050119:0007,0
20050119:0107,0
20050119:0207,0
20050119:0307,0
20050119:0407,0
20050119:0507,0
20050119:0607,138.82
20050119:0707,339.84
20050119:0807,596.47
20050119:0907,690.55
20050119:1007,797.77
20050119:1107,795.89
20050119:1207,748.71
20050119:1307,659.49
20050119:1407,508.16
20050119:1507,281.67
20050119:1607,16.8
20050119:1707,0
20050119:1807,0
20050119:1907,0
20050119:2007,0
20050119:2107,0
20050119:2207,0
20050119:2307,0
20050120:0007,0
20050120:0107,0
20050120:0207,0
20050120:0307,0
20050120:0407,0
20050120:0507,0
20050120:0607,171.68
20050120:0707,403.22
20050120:0807,593.29
20050120:0907,721.14
20050120:1007,812.01
20050120:1107,832.65
20050120:1207,807.2
20050120:1307,709.34
20050120:1407,552.05
20050120:1507,340.36
20050120:1607,13.47
20050120:1707,0
20050120:1807,0
20050120:1907,0
20050120:2007,0
20050120:2107,0
20050120:2207,0
20050120:2307,0
20050121:0007,0
20050121:0107,0
20050121:0207,0
20050121:0307,0
20050121:0407,0
20050121:0507,0
20050121:0607,179.31
20050121:0707,407.14
20050121:0807,598.8
20050121:0907,712.78
20050121:1007,792.22
20050121:1107,819.09
20050121:1207,804.89
20050121:1307,710.5
20050121:1407,553.38
20050121:1507,341.63
20050121:1607,12.74
20050121:1707,0
20050121:1807,0
20050121:1907,0
20050121:2007,0
20050121:2107,0
20050121:2207,0
20050121:2307,0
20050122:0007,0
20050122:0107,0
20050122:0207,0
20050122:0307,0
20050122:0407,0
20050122:0507,0
20050122:0607,160.48
20050122:0707,441.3
20050122:0807,616.46
20050122:0907,759.82
20050122:1007,831.14
20050122:1107,837.28
20050122:1207,793.83
20050122:1307,664.24
20050122:1407,549.67
20050122:1507,344.92
20050122:1607,16.89
20050122:1707,0
20050122:1807,0
20050122:1907,0
20050122:2007,0
20050122:2107,0
20050122:2207,0
20050122:2307,0
20050123:0007,0
20050123:0107,0
20050123:0207,0
20050123:0307,0
20050123:0407,0
20050123:0507,0
20050123:0607,173.24
20050123:0707,409.77
20050123:0807,597.73
20050123:0907,736.47
20050123:1007,811.05
20050123:1107,815.31
20050123:1207,761.5
20050123:1307,674.23
20050123:1407,531.07
20050123:1507,332.61
20050123:1607,16.77
20050123:1707,0
20050123:1807,0
20050123:1907,0
20050123:2007,0
20050123:2107,0
20050123:2207,0
20050123:2307,0
20050124:0007,0
20050124:0107,0
20050124:0207,0
20050124:0307,0
20050124:0407,0
20050124:0507,0
20050124:0607,172.33
20050124:0707,405.56
20050124:0807,591.56
20050124:0907,721.48
20050124:1007,778.64
20050124:1107,793.45
20050124:1207,750.08
20050124:1307,648.71
20050124:1407,515.34
20050124:1507,306.1
20050124:1607,16.6
20050124:1707,0
20050124:1807,0
20050124:1907,0
20050124:2007,0
20050124:2107,0
20050124:2207,0
20050124:2307,0
20050125:0007,0
20050125:0107,0
20050125:0207,0
20050125:0307,0
20050125:0407,0
20050125:0507,0
20050125:0607,158.8
20050125:0707,399.82
20050125:0807,559.73
20050125:0907,684.75
20050125:1007,740.64
20050125:1107,748.75
20050125:1207,720.14
20050125:1307,629.38
20050125:1407,496.51
20050125:1507,298.16
20050125:1607,19.3
20050125:1707,0
20050125:1807,0
20050125:1907,0
20050125:2007,0
20050125:2107,0
20050125:2207,0
20050125:2307,0
20050126:0007,0
20050126:0107,0
20050126:0207,0
20050126:0307,0
20050126:0407,0
20050126:0507,0
20050126:0607,157.12
20050126:0707,395.26
20050126:0807,556.52
20050126:0907,676.9
20050126:1007,731.17
20050126:1107,742.64
20050126:1207,699.65
20050126:1307,605.57
20050126:1407,483.75
20050126:1507,235.49
20050126:1607,17.21
20050126:1707,0
20050126:1807,0
20050126:1907,0
20050126:2007,0
20050126:2107,0
20050126:2207,0
20050126:2307,0
20050127:0007,0
20050127:0107,0
20050127:0207,0
20050127:0307,0
20050127:0407,0
20050127:0507,0
20050127:0607,117.31
20050127:0707,378.65
20050127:0807,545.45
20050127:0907,688.86
20050127:1007,744.5
20050127:1107,746.98
20050127:1207,711.74
20050127:1307,619.99
20050127:1407,498.91
20050127:1507,302.68
20050127:1607,19.83
20050127:1707,0
20050127:1807,0
20050127:1907,0
20050127:2007,0
20050127:2107,0
20050127:2207,0
20050127:2307,0
20050128:0007,0
20050128:0107,0
20050128:0207,0
20050128:0307,0
20050128:0407,0
20050128:0507,0
20050128:0607,170.29
20050128:0707,402.29
20050128:0807,581.94
20050128:0907,722.22
20050128:1007,763.02
20050128:1107,793.64
20050128:1207,731.63
20050128:1307,664.54
20050128:1407,528.32
20050128:1507,309.72
20050128:1607,20.57
20050128:1707,0
20050128:1807,0
20050128:1907,0
20050128:2007,0
20050128:2107,0
20050128:2207,0
20050128:2307,0
20050129:0007,0
20050129:0107,0
20050129:0207,0
20050129:0307,0
20050129:0407,0
