Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
31	29740.0	2063.88	31880.0	27520.0	1000.0	165.20244	0.00029931488	165.20262	165.1962	128000	-0.01695758	6987149.0	0.0	-25163.0	0.91641444	-1.4901161e-09	11342.69964170456
32	30942.5	1358.8851	31950.0	28640.0	1000.0	170.17175	0.00037207143	170.17189	170.16576	132000	-0.01119167	7446274.5	0.0	-26864.5	0.91634	5.960465e-10	11863.973881721497
33	29830.0	1509.2051	31980.0	28160.0	1000.0	175.2944	0.00022588845	175.29456	175.28867	136000	-0.007597376	6836154.5	0.0	-24758.0	0.9162666	7.063151e-09	12406.112043619156
34	31387.5	599.8906	31990.0	30520.0	1000.0	180.24152	0.0001717978	180.24164	180.23834	140000	0.0032229149	7707781.5	0.0	-27861.0	0.9161971	-5.066395e-10	12934.304679632187
35	29880.0	1442.931	31930.0	28430.0	1000.0	185.4618	0.0001616476	185.46191	185.45874	144000	0.028101614	6720236.0	0.0	-24720.0	0.9161344	-6.5863137e-09	13461.119116783142
36	30275.0	1577.8229	32010.0	28430.0	1000.0	190.41992	0.00012369153	190.42001	190.41698	148000	-0.010534222	6989122.0	0.0	-25375.0	0.91610295	-1.0222197e-08	13959.197254657745
37	31160.25	1846.4426	32730.0	28010.0	1000.0	195.42853	0.00017811458	195.42863	195.4257	152000	0.014912419	7487558.0	0.0	-27429.5	0.9160646	5.7816507e-09	14639.946236848831
38	30160.0	1841.6025	31990.0	27870.0	1000.0	200.6324	0.00016299698	200.63249	200.62968	156000	0.003196106	6860921.0	0.0	-25207.5	0.91603833	-5.871058e-09	15475.697525978088
39	29432.5	1678.8444	32140.0	27530.0	1000.0	205.64937	8.857527e-05	205.64941	205.6467	160000	-0.025694158	6589971.5	0.0	-24138.0	0.9160166	7.4505807e-10	16251.555387020111
40	31475.0	1078.4596	32300.0	29620.0	1000.0	210.56128	0.00012537443	210.56136	210.55873	164000	0.022645447	7488862.0	0.0	-27434.5	0.9159766	-6.914139e-09	16968.459282398224
41	31420.0	861.19104	32470.0	30210.0	1000.0	215.77693	0.00014524853	215.77702	215.77454	168000	0.05948458	7374106.0	0.0	-27289.5	0.915958	-4.5299533e-09	17426.48262310028
42	30890.0	679.8897	31920.0	30100.0	1000.0	220.9983	0.00014280893	220.99838	220.99599	172000	0.012311447	7190369.5	0.0	-26622.5	0.9159853	1.7583371e-09	17891.27288389206
43	30350.0	1969.0353	32660.0	28260.0	1000.0	226.15797	0.00011577414	226.15805	226.15575	176000	-0.028220704	6769812.0	0.0	-25233.5	0.91601944	3.0994416e-09	18341.29451441765
44	31097.5	1475.2351	32190.0	28560.0	1000.0	231.19037	0.00010754253	231.19041	231.18819	180000	0.019142807	7218695.5	0.0	-26699.5	0.9160293	1.9073487e-09	18795.618661403656
45	30885.0	1355.5533	31990.0	28660.0	1000.0	236.35387	0.000102597915	236.35393	236.35179	184000	-0.019088535	7156851.0	0.0	-26482.0	0.91605693	-3.7252903e-09	19244.284551143646
46	31562.75	684.9362	32001.0	30380.0	1000.0	241.5083	0.0001187326	241.50832	241.50623	188000	0.033552226	7375919.5	0.0	-27254.0	0.9160623	2.9802323e-09	19708.860995531082
47	30922.5	959.5409	31950.0	29740.0	1000.0	246.73122	7.473614e-05	246.73126	246.72925	192000	0.015369726	7241662.5	0.0	-26862.0	0.91609025	8.702279e-09	20178.108653068542
48	30125.0	1935.478	32100.0	27920.0	1000.0	251.92288	7.4176394e-05	251.92294	251.92099	196000	-0.027739206	6632247.0	0.0	-24714.5	0.91612655	-5.1259996e-09	20689.618172883987
49	31147.5	845.20337	32000.0	30210.0	1000.0	256.91785	9.095825e-05	256.91788	256.916	200000	-0.013508849	7188282.5	0.0	-26626.0	0.9161373	-7.838011e-09	21140.15809416771
