timestamp,p,0,100,150,200,300,350,400,450,500,600
20130101:0007,223607.5349,223607.5349,186911.4059,152411.4379,281653.3416,167260.9027,194689.452,164028.5672,141223.3327,143145.2917,143145.2917
20130101:0107,841560.5458,841560.5458,629766.1527,447753.8846,1104694.758,523371.139,669224.0678,540511.0422,386935.2471,392751.5012,392751.5012
20130101:0207,1364709.037,1364709.037,885708.2079,509076.5753,1759648.596,656774.8305,963644.3425,804423.5262,385437.9965,384710.0768,384710.0768
20130101:0307,1476522.081,1476522.081,139811.2596,-99939.51971,1902448.751,-35864.97261,119675.4283,708737.0158,-172738.0978,-275165.711,-275165.711
20130101:0407,1212282.923,1212282.923,-462701.2116,-355923.6895,1820897.064,-419370.6232,-555376.2311,464398.528,-315683.1634,-512535.3128,-512535.3128
20130101:0507,956698.7731,956698.7731,-721071.6992,-361201.2064,1764687.392,-478287.8885,-812498.0567,338144.4599,-245165.447,-515944.2732,-515944.2732
20130101:0607,869684.1746,869684.1746,-564342.1877,-177442.0459,1718793.699,-230360.041,-604821.0022,415965.458,-86637.1025,-201941.1171,-201941.1171
20130101:0707,290303.6643,290303.6643,159582.1536,245404.2339,1373231.525,361528.6443,213681.9161,832589.744,-79046.72512,812665.4306,812665.4306
20130101:0807,-236713.8152,-236713.8152,171069.4634,275181.1735,796401.2061,347102.3083,162496.4498,1003555.785,-314584.6215,685485.8208,685485.8208
20130101:0907,-259482.3892,-259482.3892,148153.5583,278636.1653,489482.758,409807.9069,-65357.20874,953471.0558,-326115.0735,262817.4729,262817.4729
20130101:1007,-185985.0241,-185985.0241,558543.6893,480297.5006,123834.8452,986211.4206,-167035.9357,720078.8407,-19703.49795,-330121.1701,-330121.1701
20130101:1107,-196895.3339,-196895.3339,740391.4657,586892.8435,94864.4689,1183864.556,-63048.91976,623464.5663,103677.03,-307370.4761,-307370.4761
20130101:1207,-230250.1969,-230250.1969,768601.5972,660897.3077,121762.2266,1197164.067,-712.5872237,293035.2158,66692.7296,-90096.34278,-90096.34278
20130101:1307,-257536.3728,-257536.3728,684132.115,707535.3889,161773.3771,1099956.805,-28933.70495,-263065.1369,-122026.6723,156243.5333,156243.5333
20130101:1407,-183279.3196,-183279.3196,480471.6286,752071.2032,253275.4673,819139.1738,-245051.9187,-613295.842,-299112.6816,199490.3456,199490.3456
20130101:1507,108038.6523,108038.6523,584770.9083,769186.392,329877.134,695059.0193,-106266.9379,-104105.3998,-186989.8205,59041.64728,59041.64728
20130101:1607,459596.1626,459596.1626,695756.2636,777881.4835,402945.9482,682490.0346,363675.3782,-21812.3342,-101659.2313,100447.6996,100447.6996
20130101:1707,1037680.599,1037680.599,611665.9182,1578863.978,664823.628,1066454.545,540314.2315,-135460.7026,-200853.3006,84441.33707,84441.33707
20130101:1807,1038641.589,1038641.589,435939.1222,1900225.508,784605.4482,1252148.247,252167.9524,-145076.8989,-290567.7793,-42187.99834,-42187.99834
20130101:1907,1004387.863,1004387.863,215696.2232,1853281.857,781524.6493,1182781.669,64446.59206,-85137.62924,-298315.2093,-180902.4419,-180902.4419
20130101:2007,1079010.165,1079010.165,15647.63008,1508391.892,628384.3456,830468.7673,121896.3557,-544.4243925,-227515.4114,-255851.982,-255851.982
20130101:2107,1270827.1,1270827.1,-346023.3039,-83865.82185,159729.8156,200084.2696,591040.9404,25945.04893,-163227.7204,-204706.3411,-204706.3411
20130101:2207,1200965.683,1200965.683,-318274.7323,-429689.7634,145395.9571,872602.4739,310432.9523,-128409.4252,-70836.79403,-154598.6488,-154598.6488
20130101:2307,1182480.07,1182480.07,-221569.0591,-73312.08197,310519.2512,794623.7427,-250899.7236,-157680.3937,-97204.64902,-108309.8184,-108309.8184
20130102:0007,1043160.112,1043160.112,-181282.5088,101664.469,473619.2803,198024.7438,-419554.0268,371692.2879,-125285.291,499624.9356,499624.9356
20130102:0107,983480.8807,983480.8807,-227031.5582,-138618.2345,428132.6953,182489.8482,-88686.41209,566716.7736,-74158.1088,719552.5699,719552.5699
20130102:0207,938568.5351,938568.5351,-266721.2432,-354880.3402,378614.3924,415426.0836,147594.2507,598270.4218,-23588.5743,676051.3549,676051.3549
20130102:0307,868808.9119,868808.9119,-277021.1848,-419748.1073,362778.0167,699138.1374,122425.9326,537541.5852,-19158.26989,431899.645,431899.645
20130102:0407,251531.8734,251531.8734,-199347.148,-190784.8343,186235.8295,780235.1184,-193038.8286,293347.4736,-192216.5137,-88885.31459,-88885.31459
20130102:0507,5787.897515,5787.897515,-79931.68632,-78453.9959,199151.5283,731669.594,-75838.26152,136959.0817,-312597.8714,159257.8909,159257.8909
20130102:0607,111373.3244,111373.3244,69126.45012,-96005.89816,195544.2883,878766.5139,13139.72952,-148801.8625,-285339.1001,355624.8123,355624.8123
20130102:0707,283804.0198,283804.0198,481107.0234,-164879.7664,13276.55416,1261323.923,-38326.53278,-264250.7167,-140118.0529,341891.0297,341891.0297
20130102:0807,254620.0978,254620.0978,557799.308,-142130.7095,-71931.84376,1378012.875,-113010.0593,-109332.7107,-70349.67319,203553.1967,203553.1967
20130102:0907,197216.8077,197216.8077,469446.3251,86088.83965,-97042.83778,1370455.572,-165684.0219,-4.508430461,-31088.41392,50407.18103,50407.18103
20130102:1007,181579.0227,181579.0227,274804.8038,518543.444,-90720.75561,1238690.959,-188823.1646,-13254.41375,-20856.57246,-87584.93202,-87584.93202
20130102:1107,480301.9656,480301.9656,75170.97053,1441057.881,-164372.2313,759116.6274,-207334.6045,-107621.8602,-215498.8036,-144295.4122,-144295.4122
20130102:1207,766158.8648,766158.8648,311506.615,1465508.657,-174318.6588,620529.6762,-16085.61185,-145474.6161,-187084.0771,-135568.1611,-135568.1611
20130102:1307,740900.6397,740900.6397,441883.6815,1296374.309,-131723.5163,769531.3424,454426.0403,-229650.5472,-44786.17069,-208494.1725,-208494.1725
20130102:1407,638931.774,638931.774,316298.724,1254828.051,270779.9418,846396.207,743456.2157,-205954.7846,173065.8113,-111119.5725,-111119.5725
20130102:1507,714014.3565,714014.3565,201482.5286,1408222.12,424229.1712,707256.8025,418359.3154,-95341.48256,-2108.066607,-5688.900783,-5688.900783
20130102:1607,835310.9974,835310.9974,139971.078,1492890.748,409816.5884,436921.5899,59862.26911,-10508.26099,-251306.2053,31842.44535,31842.44535
20130102:1707,908960.8276,908960.8276,121096.2665,1423660.471,289065.1643,92120.10187,-120584.3676,-6520.941144,-410719.0725,-15437.68742,-15437.68742
20130102:1807,676391.9134,676391.9134,-207355.6786,223489.8815,21641.5214,-95904.21931,-92001.4971,-207813.2373,-294347.7739,-290096.664,-290096.664
20130102:1907,400745.1596,400745.1596,-387187.2698,-350317.8848,-20991.26269,829025.7008,-104737.2277,51724.33917,-147186.9996,-17469.2031,-17469.2031
20130102:2007,351189.8683,351189.8683,-305565.5196,-54311.96329,41.25423195,1059825.845,-196808.6224,439095.68,-183823.7413,398409.552,398409.552
20130102:2107,248656.6041,248656.6041,-159389.176,141254.8871,337734.2679,641552.3402,-185904.9253,509815.1224,-175792.2387,686366.5635,686366.5635
20130102:2207,190936.6029,190936.6029,-180850.0786,-80475.27844,698203.1051,424130.4431,-154987.2998,262938.5054,-167281.5092,557556.9361,557556.9361
20130102:2307,181204.617,181204.617,-234451.2495,-305121.7408,989864.4549,374944.4458,-81377.16762,139419.1523,-170204.8346,387106.3869,387106.3869
20130103:0007,213040.1754,213040.1754,-273442.8887,-400182.6928,1027652.909,447140.5226,27823.6718,230908.8908,-170633.5768,235234.2047,235234.2047
20130103:0107,-49036.2406,-49036.2406,-177390.7766,-186459.7775,173909.1372,734075.5471,-140551.5133,466397.901,-98929.2984,121848.9384,121848.9384
20130103:0207,-211269.9319,-211269.9319,69498.55845,1497.854208,-470733.9279,697565.5942,-360784.2961,82479.17291,-129989.6449,136314.0254,136314.0254
20130103:0307,-141224.394,-141224.394,210969.4629,7631.422239,-313424.9426,574688.6838,-323942.7171,-272959.4618,-216732.6305,90220.69531,90220.69531
20130103:0407,-4691.16435,-4691.16435,500577.253,-10694.35747,-38463.33617,557982.5801,-187584.1645,-430288.5127,-127363.0974,-285081.2547,-285081.2547
20130103:0507,-24620.60742,-24620.60742,593187.3558,70925.33707,-124228.2956,666380.4833,-186554.2054,-170123.5538,-30852.39504,-397941.549,-397941.549
20130103:0607,-73720.50872,-73720.50872,577933.2954,442389.9932,-257951.5958,904525.3217,-222469.3733,237457.512,10282.11034,-351043.1143,-351043.1143
