timestamp,p,0,50,100,150,250,300,350,400,450
20130101:0007,1343002.456,1343002.456,1234508.203,1293958.587,1343002.456,[1241674.874],1323478.498,1248571.501,-0.339545129,241847.5091
20130101:0107,1517868.642,1517868.642,668736.2425,1119756.675,1517868.642,[697032.1816],1378343.178,811033.793,832438.5177,942381.7773
20130101:0207,1570927.111,1570927.111,716200.9184,1170137.788,1570927.111,[744389.8244],1430671.894,859769.9382,881184.8448,1568572.367
20130101:0307,1915431.781,1915431.781,490112.5823,568629.217,1915431.781,[-93324.78187],1616739.217,818771.5791,482317.0631,1795921.35
20130101:0407,1914515.767,1914515.767,490088.3986,562006.4102,1914515.767,[-97543.5881],1614672.961,818344.9732,479198.7995,1515438.385
20130101:0507,1478518.146,1478518.146,752121.1381,-661271.6402,1478518.146,[-388546.483],743160.8162,717458.0102,-73496.19211,986623.0024
20130101:0607,1476655.093,1476655.093,754184.2888,-661970.7109,1476655.093,[-386473.9356],738811.7198,717424.9878,-74031.05888,317409.6298
20130101:0707,739673.6901,739673.6901,1185205.723,-20175.85111,739673.6901,[183164.76],-63236.12589,589963.6345,137864.311,-696171.8517
20130101:0807,701400.5866,701400.5866,1191834.208,10237.13938,701400.5866,[189989.139],-72400.79988,577939.9164,148865.4768,-307158.0306
20130101:0907,181979.615,181979.615,1179724.211,363884.9777,181979.7464,[113019.9738],101506.0029,428565.5166,333263.5123,69343.32996
20130101:1007,181366.0622,181366.0622,1179597.721,365215.537,181366.3062,[113346.0015],101851.7923,429286.9145,334466.5253,163950.3633
20130101:1107,-23851.13111,-23851.13111,1331774.428,1042185.452,-23851.51098,[716340.1521],-45891.86843,1049270.859,899925.94,-21081.02099
20130101:1207,-25021.73475,-25021.73475,1332940.292,1045002.029,-24999.32376,[719435.6715],-46681.07777,1051910.255,902244.8664,-211826.4819
20130101:1307,-176667.1754,-176667.1754,1579828.825,1187999.739,-176672.4257,[1048214.552],-44392.13424,968192.8638,1151446.976,-337723.0874
20130101:1407,-176548.6233,-176548.6233,1580345.911,1186796.825,-176554.7087,[1048027.012],-43765.84122,964621.969,1151492.723,-282141.442
20130101:1507,34170.89515,34170.89515,1100209.423,924343.4684,49595.77719,[834440.8376],96150.55325,-341547.3605,1249776.017,-157614.2949
20130101:1607,79359.05523,79359.05523,1049466.999,923908.9304,61306.40401,[829089.1215],98938.09095,-382861.1622,1260039.495,-109178.6728
20130101:1707,458240.646,458240.646,-272107.2608,1142384.394,457290.0441,[952329.8766],265667.0873,-325365.8295,1460379.613,538545.2233
20130101:1807,461357.3172,461357.3172,-275032.1579,1143600.932,460473.4987,[953234.8902],267509.1265,-322412.0483,1460550.728,864441.0211
20130101:1907,1541896.519,1541896.519,-247023.9704,1276456.961,1541929.194,[1035290.563],780357.2023,72548.39062,1214499.949,953704.1416
20130101:2007,1545442.304,1545442.304,-245687.8146,1276183.736,1545462.15,[1034950.691],781590.9607,72024.39692,1213157.864,829322.5791
20130101:2107,1788413.054,1788413.054,-130992.0207,1065559.974,1788413.473,[708187.0681],976639.858,-158946.2848,1098554.181,394709.9604
20130101:2207,1787783.385,1787783.385,-131319.1654,1064373.961,1787784.607,[705634.8583],978014.2681,-159096.5294,1098062.492,355758.5915
20130101:2307,1539060.955,1539060.955,-117644.8151,-289815.528,1539065.04,[-242697.2612],1178572.349,168120.1144,395743.8386,349632.2875
20130102:0007,1530046.11,1530046.11,-111194.0644,621187.1621,1530050.116,[-275694.7358],1177118.091,188386.7903,361181.6236,848823.0849
20130102:0107,1430150.685,1430150.685,87754.88933,-301804.4121,1430149.242,[-316050.9409],1052337.054,648282.9725,338331.5133,1138187.311
20130102:0207,1430157.939,1430157.939,88730.47354,-300688.0467,1430156.303,[-314436.6391],1051850.045,650654.4533,340326.0793,1128437.913
20130102:0307,1413097.47,1413097.47,617248.5809,-130676.1474,1413097.379,[-125037.6336],1420777.491,1704203.964,646031.7981,779451.5631
20130102:0407,1412950.623,1412950.623,619997.7678,-130325.5647,1412950.548,[-125534.8651],1423413.641,1721524.773,642667.1892,-10578.41703
20130102:0507,1463919.889,1463919.889,1152355.562,-245493.8137,1463919.57,[-300561.0084],1609181.606,1064207.839,296815.043,-116588.5628
20130102:0607,1464296.864,1464296.864,1153973.503,-245914.407,1464296.183,[-300833.262],1607590.69,1070680.112,294039.1689,-156171.588
20130102:0707,1155340.583,1155340.583,1231125.918,-196953.9644,1155340.173,[-224105.0049],506188.5903,994690.7881,414251.2532,-229504.5969
20130102:0807,1132514.33,1132514.33,1220982.713,-190704.723,1132513.892,[-218448.038],454723.8849,984477.5281,448715.0336,-179245.8175
20130102:0907,920819.731,920819.731,816352.4498,110535.4038,920820.1476,[144673.1793],132662.0656,679047.8778,941393.3159,-91407.81851
20130102:1007,921302.9147,921302.9147,814656.6081,113063.7772,921303.3312,[148101.3946],134191.0211,678098.2007,941601.3084,-32156.08595
20130102:1107,902144.6685,902144.6685,886917.3555,823190.7072,902144.5366,[972498.9964],332764.8024,733541.015,868766.8447,-178306.5429
20130102:1207,901103.4478,901103.4478,888774.7722,824970.4458,901103.3151,[976975.009],331971.175,734495.3651,868240.9109,-293472.5922
20130102:1307,540363.6902,540363.6902,1178832.711,836782.748,540363.6412,[928014.9622],65390.61557,836852.3297,750128.9569,-262734.7224
20130102:1407,538858.2795,538858.2795,1178746.717,836073.4053,538858.2325,[927443.3775],65101.26433,836252.3665,750377.4104,-114947.8138
20130102:1507,647454.3323,647454.3323,690886.9387,790382.8211,647454.2997,[781049.3436],321602.8278,-18401.08242,794775.8267,-82284.50057
20130102:1607,666521.481,666521.481,650130.1487,790821.8943,666521.5918,[776352.8537],337177.5391,-62651.69238,793694.898,-131120.3875
20130102:1707,1044433.528,1044433.528,-280967.0595,603397.3651,1044433.485,[855781.9563],506682.0507,-224425.0178,874519.0619,-233691.0529
20130102:1807,1045825.602,1045825.602,-282496.1462,601908.6707,1045825.556,[856937.7311],506714.42,-221760.7681,875774.2338,-145600.4616
20130102:1907,1441328.87,1441328.87,-107596.997,320017.2649,1441328.875,[940402.6623],687130.2928,371672.8837,-8636.227635,603585.1953
20130102:2007,1442678.277,1442678.277,-106264.9476,319617.554,1442678.283,[939530.6822],688459.4582,372302.7485,-15437.93828,844580.455
20130102:2107,1497261.381,1497261.381,-84530.34864,353862.282,1497261.386,[610430.5411],939089.7354,202848.78,-304322.9394,721553.8057
20130102:2207,1496595.665,1496595.665,-85554.97837,354104.0836,1496595.67,[609363.0099],939639.7298,202170.1661,-299982.2172,592857.2495
20130102:2307,147511.171,147511.171,-238636.3557,-155937.4496,1475011.163,[186116.0159],1018969.733,369971.8952,178085.8502,513248.7239
20130103:0007,1480586.846,1480586.846,-236278.4065,-190211.1743,1480586.832,[160315.9059],1022596.397,383870.8389,155694.966,416853.5598
20130103:0107,1498997.628,1498997.628,-3943.532218,-427636.6623,1498997.635,[-256384.4587],1120343.895,541141.8274,-376747.1807,1013273.876
20130103:0207,1498277.69,1498277.69,-2345.739608,-426317.8134,1498277.697,[-256437.4206],1120716.845,541331.4193,-376919.3725,1063552.031
20130103:0307,1338600.383,1338600.383,766806.9205,-120231.8093,1338600.329,[188851.8767],1262343.026,895292.9667,118607.3565,594755.9565
20130103:0407,1338304.183,1338304.183,770455.9798,-120064.6397,1338304.148,[191012.4264],1263036.207,897370.4503,121228.3916,-400159.8783
20130103:0507,1332502.345,1332502.345,1243678.608,-265214.9916,1332502.342,[200868.7838],1316929.493,1168866.746,534705.405,-517240.2112
20130103:0607,1332622.386,1332622.386,1243796.586,-265803.0745,1332622.383,[198884.3384],1316095.762,1169200.915,535793.9163,-392506.9928
20130103:0707,767222.1087,767222.1087,1118728.013,-186311.4475,767222.0817,[-147517.019],645210.159,1077735.16,679217.8835,-201760.5768
20130103:0807,729727.0035,729727.0035,1115555.51,-176782.4265,729727.0374,[-146363.9061],615742.2332,1068811.961,680864.3019,-53303.93061
20130103:0907,340664.6212,340664.6212,1132303.802,64510.56808,338284.992,[163262.2457],562453.0736,794445.7467,641995.6714,-241342.3294
