Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
31	30855.75	2297.2295	33080.0	27040.0	1000.0	165.66562	0.00017933622	165.66576	165.66125	128000	-0.0019119664	7391749.5	0.0	-26652.0	0.9195157	-7.361174e-09	10846.619188308716
32	32388.75	544.2708	33100.0	31632.0	1000.0	170.7647	0.00014645635	170.7648	170.76053	132000	-0.024973651	8129768.0	0.0	-29304.5	0.91950274	-2.6524067e-09	11181.978810310364
33	29928.25	1802.323	33001.0	28391.0	1000.0	176.10391	0.00014202626	176.104	176.0999	136000	0.011939705	6736322.5	0.0	-24483.0	0.91947347	6.79493e-09	11527.569711446762
34	29895.25	2455.4446	33150.0	26861.0	1000.0	181.02866	0.00013742084	181.02876	181.02481	140000	-9.692002e-05	6779296.0	0.0	-24480.0	0.9194551	3.5166743e-09	11863.791945695877
35	31325.5	2598.3013	33101.0	26841.0	1000.0	185.93628	0.00017659848	185.93637	185.93257	144000	-0.025722878	7376104.0	0.0	-26633.5	0.9194394	1.6987325e-09	12199.383732557297
36	32645.5	593.9114	33152.0	31660.0	1000.0	191.05125	0.00016821198	191.05133	191.0477	148000	-0.01269678	8036529.5	0.0	-29304.0	0.91940856	8.46386e-09	12535.1246240139
37	30706.0	2286.1562	33010.0	27631.0	1000.0	196.41173	0.00018253237	196.41182	196.40834	152000	-0.021325221	7038255.0	0.0	-25737.0	0.91937417	-5.6624416e-09	12877.743411302567
38	30443.0	2175.628	33141.0	28200.0	1000.0	201.46947	5.8070167e-05	201.46953	201.46881	156000	-0.0156565	6959013.5	0.0	-25385.5	0.9193305	3.6358836e-09	13215.079437494278
39	31333.5	1545.4884	33112.0	29272.0	1000.0	206.48062	0.00011406621	206.4807	206.47745	160000	-0.010844252	7345773.0	0.0	-26559.5	0.91927946	-1.4007092e-09	13551.3166847229
40	33133.0	7.8421936	33140.0	33121.0	1000.0	211.60365	0.00019739944	211.60373	211.60062	164000	-0.016800035	8108255.5	0.0	-29742.0	0.91922504	3.129244e-09	13888.525622606277
41	30660.5	2632.9092	33190.0	27060.0	1000.0	217.01028	0.00011116842	217.01036	217.00739	168000	0.0244606	6958131.0	0.0	-25580.0	0.91916335	0.0	14223.551004171371
42	30230.75	2532.339	33140.0	27282.0	1000.0	222.06384	0.00011059912	222.0639	222.06104	172000	0.02917042	6787012.0	0.0	-24833.0	0.91912514	-6.1094765e-09	14560.208550214767
43	31611.25	1500.4852	33141.0	29663.0	1000.0	227.03113	0.0001290153	227.0312	227.02844	176000	-0.0032244988	7463812.0	0.0	-27383.0	0.9191116	8.165837e-09	14898.251079797745
44	29893.5	2867.5176	33170.0	26860.0	1000.0	232.23303	0.00012539787	232.23308	232.23042	180000	-0.005088513	6557300.5	0.0	-24154.5	0.9190979	-5.0067905e-09	15234.550370931625
45	30495.0	2751.2678	33170.0	26390.0	1000.0	237.1578	0.00010243695	237.1579	237.1553	184000	-0.014097509	6815219.5	0.0	-24978.0	0.9190814	2.4437905e-09	15570.895692586899
46	32834.25	655.9231	33282.0	31701.0	1000.0	242.14987	0.00013357651	242.14989	242.14746	188000	0.01935193	7857273.5	0.0	-28899.5	0.919055	-8.940697e-11	15917.095027446747
47	32398.25	1338.8103	33222.0	30080.0	1000.0	247.50319	0.00013168035	247.50323	247.50085	192000	0.041302826	7632556.5	0.0	-28374.0	0.9190454	-3.3378602e-09	16255.738985776901
48	31172.5	2466.2356	33200.0	26970.0	1000.0	252.8264	7.643686e-05	252.82642	252.82416	196000	0.010399605	7074884.5	0.0	-26023.0	0.919065	1.5199185e-09	16592.031269311905
49	30748.75	1277.4391	32461.0	29342.0	1000.0	257.93384	5.4439886e-05	257.93387	257.93167	200000	-0.0014238511	6902921.5	0.0	-25578.5	0.91909164	-7.748604e-10	16940.148968458176
