Time,value,,,,,,,,,,,,
20130106:0607,699976.3427,,,,,,,,,,,,
20130106:0707,705872.8509,,,,,,,,,,,,
20130106:0807,627150.6109,,,,,,,,,,,,
20130106:0907,433908.6912,,,,,,,,,,,,
20130106:1007,397158.8789,,,,,,,,,,,,
20130106:1107,390304.2408,,,,,,,,,,,,
20130106:1207,386388.8154,,,,,,,,,,,,
20130106:1307,166992.4743,,,,,,,,,,,,
20130106:1407,268994.9312,,,,,,,,,,,,
20130106:1507,473889.2787,,,,,,,,,,,,
20130106:1607,543536.9865,,,,,,,,,,,,
20130106:1707,384887.7167,,,,,,,,,,,,
20130106:1807,221654.5248,,,,,,,,,,,,
20130106:1907,145665.4144,,,,,,,,,,,,
20130106:2007,316371.1916,,,,,,,,,,,,
20130106:2107,474224.2618,,,,,,,,,,,,
20130106:2207,516485.1393,,,,,,,,,,,,
20130106:2307,700952.6382,,,,,,,,,,,,
20130107:0007,766108.8848,,,,,,,,,,,,
20130107:0107,737183.5537,,,,,,,,,,,,
20130107:0207,623493.3674,,,,,,,,,,,,
20130107:0307,451185.1139,,,,,,,,,,,,
20130107:0407,567944.161,,,,,,,,,,,,
20130107:0507,611590.2713,,,,,,,,,,,,
20130107:0607,675819.0913,,,,,,,,,,,,
20130107:0707,704557.9885,,,,,,,,,,,,
20130107:0807,639915.9991,,,,,,,,,,,,
20130107:0907,476563.8511,,,,,,,,,,,,
20130107:1007,-115350.4212,,,,,,,,,,,,
20130107:1107,-70165.44039,,,,,,,,,,,,
20130107:1207,78408.22847,,,,,,,,,,,,
20130107:1307,54453.10151,,,,,,,,,,,,
20130107:1407,-52043.69194,,,,,,,,,,,,
20130107:1507,-108621.2632,,,,,,,,,,,,
20130107:1607,-83279.96969,,,,,,,,,,,,
20130107:1707,67333.87897,,,,,,,,,,,,
20130107:1807,77201.68368,,,,,,,,,,,,
20130107:1907,150825.3549,,,,,,,,,,,,
20130107:2007,495486.7332,,,,,,,,,,,,
20130107:2107,596919.3831,,,,,,,,,,,,
20130107:2207,578770.3782,,,,,,,,,,,,
20130107:2307,492091.0689,,,,,,,,,,,,
20130108:0007,468799.8188,,,,,,,,,,,,
20130108:0107,622012.2126,,,,,,,,,,,,
20130108:0207,647103.7381,,,,,,,,,,,,
20130108:0307,342201.4275,,,,,,,,,,,,
20130108:0407,203754.4696,,,,,,,,,,,,
20130108:0507,209500.4139,,,,,,,,,,,,
20130108:0607,323954.5929,,,,,,,,,,,,
20130108:0707,371774.2168,,,,,,,,,,,,
