Time,value,,,,,,,,,,,,
20130124:0007,-227303.2797,,,,,,,,,,,,
20130124:0107,-208880.2897,,,,,,,,,,,,
20130124:0207,-148212.4181,,,,,,,,,,,,
20130124:0307,-195784.5607,,,,,,,,,,,,
20130124:0407,-242655.6378,,,,,,,,,,,,
20130124:0507,-214415.8891,,,,,,,,,,,,
20130124:0607,-146019.7743,,,,,,,,,,,,
20130124:0707,-85358.18357,,,,,,,,,,,,
20130124:0807,-72673.97731,,,,,,,,,,,,
20130124:0907,-139345.0872,,,,,,,,,,,,
20130124:1007,-10077.28088,,,,,,,,,,,,
20130124:1107,165273.7562,,,,,,,,,,,,
20130124:1207,298946.1677,,,,,,,,,,,,
20130124:1307,203015.8318,,,,,,,,,,,,
20130124:1407,101057.6828,,,,,,,,,,,,
20130124:1507,17885.17399,,,,,,,,,,,,
20130124:1607,-78600.67393,,,,,,,,,,,,
20130124:1707,-130411.7332,,,,,,,,,,,,
20130124:1807,-123436.5329,,,,,,,,,,,,
20130124:1907,3360.414376,,,,,,,,,,,,
20130124:2007,120873.8592,,,,,,,,,,,,
20130124:2107,300409.3349,,,,,,,,,,,,
20130124:2207,285998.2377,,,,,,,,,,,,
20130124:2307,-290217.6963,,,,,,,,,,,,
20130125:0007,-396421.0679,,,,,,,,,,,,
20130125:0107,-266585.1952,,,,,,,,,,,,
20130125:0207,-145035.4103,,,,,,,,,,,,
20130125:0307,-195613.6138,,,,,,,,,,,,
20130125:0407,-253299.019,,,,,,,,,,,,
20130125:0507,-150785.4047,,,,,,,,,,,,
20130125:0607,1260879.792,,,,,,,,,,,,
20130125:0707,1903294.426,,,,,,,,,,,,
20130125:0807,1434681.807,,,,,,,,,,,,
20130125:0907,600404.9772,,,,,,,,,,,,
20130125:1007,670805.4183,,,,,,,,,,,,
20130125:1107,882247.8631,,,,,,,,,,,,
20130125:1207,1021986.287,,,,,,,,,,,,
20130125:1307,933074.579,,,,,,,,,,,,
20130125:1407,834272.8416,,,,,,,,,,,,
20130125:1507,850616.0426,,,,,,,,,,,,
20130125:1607,917109.9842,,,,,,,,,,,,
20130125:1707,939002.1358,,,,,,,,,,,,
20130125:1807,948031.687,,,,,,,,,,,,
20130125:1907,1017363.279,,,,,,,,,,,,
20130125:2007,1141506.7,,,,,,,,,,,,
20130125:2107,439704.1993,,,,,,,,,,,,
20130125:2207,-15078.42858,,,,,,,,,,,,
20130125:2307,-242585.489,,,,,,,,,,,,
20130126:0007,-113374.1637,,,,,,,,,,,,
20130126:0107,-32890.11398,,,,,,,,,,,,
20130126:0207,-35640.45542,,,,,,,,,,,,
20130126:0307,-123626.5796,,,,,,,,,,,,
20130126:0407,-53215.0244,,,,,,,,,,,,
20130126:0507,18638.11749,,,,,,,,,,,,
20130126:0607,32336.85162,,,,,,,,,,,,
20130126:0707,903.5213376,,,,,,,,,,,,
20130126:0807,-7505.754246,,,,,,,,,,,,
20130126:0907,24482.807,,,,,,,,,,,,
20130126:1007,159202.1612,,,,,,,,,,,,
20130126:1107,302983.7213,,,,,,,,,,,,
20130126:1207,372798.0064,,,,,,,,,,,,
20130126:1307,503189.6219,,,,,,,,,,,,
20130126:1407,442275.1085,,,,,,,,,,,,
20130126:1507,245803.9377,,,,,,,,,,,,
20130126:1607,-37725.38457,,,,,,,,,,,,
20130126:1707,-277917.603,,,,,,,,,,,,
20130126:1807,-75693.06,,,,,,,,,,,,
20130126:1907,-91859.20355,,,,,,,,,,,,
20130126:2007,-259207.7727,,,,,,,,,,,,
20130126:2107,-272752.026,,,,,,,,,,,,
20130126:2207,-230025.1724,,,,,,,,,,,,
20130126:2307,-180112.9825,,,,,,,,,,,,
20130127:0007,-182012.7701,,,,,,,,,,,,
20130127:0107,-97589.36112,,,,,,,,,,,,
20130127:0207,106589.0134,,,,,,,,,,,,
20130127:0307,515748.9,,,,,,,,,,,,
20130127:0407,675897.219,,,,,,,,,,,,
20130127:0507,921717.5741,,,,,,,,,,,,
20130127:0607,1127295.046,,,,,,,,,,,,
20130127:0707,1082451.88,,,,,,,,,,,,
20130127:0807,650137.7084,,,,,,,,,,,,
20130127:0907,636465.1283,,,,,,,,,,,,
20130127:1007,1050352.53,,,,,,,,,,,,
20130127:1107,1157824.941,,,,,,,,,,,,
20130127:1207,1120866.402,,,,,,,,,,,,
20130127:1307,900197.7627,,,,,,,,,,,,
20130127:1407,534132.2305,,,,,,,,,,,,
20130127:1507,827798.9531,,,,,,,,,,,,
20130127:1607,921896.4547,,,,,,,,,,,,
20130127:1707,772905.9052,,,,,,,,,,,,
20130127:1807,644256.1406,,,,,,,,,,,,
20130127:1907,515593.2937,,,,,,,,,,,,
20130127:2007,446213.0935,,,,,,,,,,,,
20130127:2107,465807.2145,,,,,,,,,,,,
20130127:2207,236825.1466,,,,,,,,,,,,
20130127:2307,219403.0058,,,,,,,,,,,,
20130128:0007,702042.3134,,,,,,,,,,,,
20130128:0107,910506.4258,,,,,,,,,,,,
20130128:0207,958505.261,,,,,,,,,,,,
20130128:0307,875321.3754,,,,,,,,,,,,
20130128:0407,740891.9403,,,,,,,,,,,,
20130128:0507,846375.6358,,,,,,,,,,,,
20130128:0607,845824.54,,,,,,,,,,,,
20130128:0707,648956.1806,,,,,,,,,,,,
20130128:0807,562247.5599,,,,,,,,,,,,
20130128:0907,506563.3776,,,,,,,,,,,,
20130128:1007,469696.7913,,,,,,,,,,,,
20130128:1107,598092.6593,,,,,,,,,,,,
20130128:1207,798302.4292,,,,,,,,,,,,
20130128:1307,744775.9326,,,,,,,,,,,,
20130128:1407,570906.4806,,,,,,,,,,,,
20130128:1507,546994.941,,,,,,,,,,,,
20130128:1607,552423.9136,,,,,,,,,,,,
20130128:1707,572905.1544,,,,,,,,,,,,
20130128:1807,614694.3019,,,,,,,,,,,,
20130128:1907,542005.1933,,,,,,,,,,,,
20130128:2007,484544.3142,,,,,,,,,,,,
20130128:2107,433698.2664,,,,,,,,,,,,
20130128:2207,455273.3899,,,,,,,,,,,,
20130128:2307,492543.3881,,,,,,,,,,,,
20130129:0007,534051.096,,,,,,,,,,,,
20130129:0107,517027.7177,,,,,,,,,,,,
20130129:0207,560153.564,,,,,,,,,,,,
20130129:0307,656303.0988,,,,,,,,,,,,
20130129:0407,699601.6572,,,,,,,,,,,,
20130129:0507,595983.3958,,,,,,,,,,,,
20130129:0607,457651.1242,,,,,,,,,,,,
20130129:0707,364956.0405,,,,,,,,,,,,
20130129:0807,569155.9765,,,,,,,,,,,,
20130129:0907,718537.0252,,,,,,,,,,,,
20130129:1007,480572.6599,,,,,,,,,,,,
20130129:1107,-89628.75206,,,,,,,,,,,,
20130129:1207,-102727.4508,,,,,,,,,,,,
20130129:1307,24688.88537,,,,,,,,,,,,
20130129:1407,178634.5069,,,,,,,,,,,,
20130129:1507,269983.4655,,,,,,,,,,,,
20130129:1607,303618.5497,,,,,,,,,,,,
20130129:1707,411185.515,,,,,,,,,,,,
20130129:1807,595632.0453,,,,,,,,,,,,
20130129:1907,627791.9918,,,,,,,,,,,,
20130129:2007,648822.145,,,,,,,,,,,,
20130129:2107,646936.0297,,,,,,,,,,,,
20130129:2207,547474.1577,,,,,,,,,,,,
20130129:2307,384430.7915,,,,,,,,,,,,
20130130:0007,527610.876,,,,,,,,,,,,
20130130:0107,1047908.724,,,,,,,,,,,,
20130130:0207,972250.8219,,,,,,,,,,,,
20130130:0307,711237.1911,,,,,,,,,,,,
20130130:0407,263834.2962,,,,,,,,,,,,
20130130:0507,-200679.0527,,,,,,,,,,,,
20130130:0607,174924.4043,,,,,,,,,,,,
20130130:0707,573144.7737,,,,,,,,,,,,
20130130:0807,787853.5095,,,,,,,,,,,,
20130130:0907,158275.4473,,,,,,,,,,,,
20130130:1007,-334723.1617,,,,,,,,,,,,
20130130:1107,-570489.379,,,,,,,,,,,,
20130130:1207,-495967.3004,,,,,,,,,,,,
20130130:1307,1159.036526,,,,,,,,,,,,
20130130:1407,55395.36706,,,,,,,,,,,,
20130130:1507,45778.22499,,,,,,,,,,,,
20130130:1607,415281.4374,,,,,,,,,,,,
20130130:1707,589615.1921,,,,,,,,,,,,
20130130:1807,631322.117,,,,,,,,,,,,
20130130:1907,556660.2356,,,,,,,,,,,,
20130130:2007,308120.27,,,,,,,,,,,,
20130130:2107,334767.7724,,,,,,,,,,,,
20130130:2207,400884.406,,,,,,,,,,,,
20130130:2307,460140.8268,,,,,,,,,,,,
20130131:0007,404328.6457,,,,,,,,,,,,
20130131:0107,286949.1433,,,,,,,,,,,,
20130131:0207,175440.4161,,,,,,,,,,,,
20130131:0307,-197817.4352,,,,,,,,,,,,
20130131:0407,-301521.502,,,,,,,,,,,,
20130131:0507,-240761.4878,,,,,,,,,,,,
20130131:0607,-180590.9185,,,,,,,,,,,,
20130131:0707,-203883.6285,,,,,,,,,,,,
20130131:0807,-234181,,,,,,,,,,,,
20130131:0907,-251099.8315,,,,,,,,,,,,
20130131:1007,-228966.2841,,,,,,,,,,,,
20130131:1107,-175843.7025,,,,,,,,,,,,
20130131:1207,-101981.9609,,,,,,,,,,,,
20130131:1307,121005.8551,,,,,,,,,,,,
20130131:1407,159774.1451,,,,,,,,,,,,
20130131:1507,162460.71,,,,,,,,,,,,
20130131:1607,177457.8249,,,,,,,,,,,,
20130131:1707,171683.1953,,,,,,,,,,,,
20130131:1807,27432.07688,,,,,,,,,,,,
20130131:1907,-68737.84258,,,,,,,,,,,,
20130131:2007,-132946.7995,,,,,,,,,,,,
20130131:2107,-118678.7182,,,,,,,,,,,,
20130131:2207,-109902.2479,,,,,,,,,,,,
20130131:2307,-115531.166,,,,,,,,,,,,
20130201:0007,-242902.5244,,,,,,,,,,,,
20130201:0107,-290431.2228,,,,,,,,,,,,
20130201:0207,-256867.7497,,,,,,,,,,,,
20130201:0307,-215246.7314,,,,,,,,,,,,
20130201:0407,-226744.3618,,,,,,,,,,,,
20130201:0507,-237418.106,,,,,,,,,,,,
20130201:0607,-230577.2608,,,,,,,,,,,,
20130201:0707,-196041.2466,,,,,,,,,,,,
20130201:0807,-204867.3536,,,,,,,,,,,,
20130201:0907,-192677.7824,,,,,,,,,,,,
20130201:1007,-74776.89789,,,,,,,,,,,,
20130201:1107,-20603.44222,,,,,,,,,,,,
20130201:1207,41722.93996,,,,,,,,,,,,
20130201:1307,113502.6846,,,,,,,,,,,,
20130201:1407,-15962.53443,,,,,,,,,,,,
20130201:1507,-236934.1176,,,,,,,,,,,,
20130201:1607,-261122.7632,,,,,,,,,,,,
20130201:1707,-212011.956,,,,,,,,,,,,
20130201:1807,-190262.562,,,,,,,,,,,,
20130201:1907,-62061.53756,,,,,,,,,,,,
20130201:2007,247519.9219,,,,,,,,,,,,
20130201:2107,602411.3086,,,,,,,,,,,,
20130201:2207,434787.6595,,,,,,,,,,,,
20130201:2307,453003.0141,,,,,,,,,,,,
20130202:0007,532958.0724,,,,,,,,,,,,
20130202:0107,541693.665,,,,,,,,,,,,
20130202:0207,554534.3139,,,,,,,,,,,,
20130202:0307,575822.9419,,,,,,,,,,,,
20130202:0407,566146.5054,,,,,,,,,,,,
20130202:0507,544065.0638,,,,,,,,,,,,
20130202:0607,528369.0406,,,,,,,,,,,,
20130202:0707,502278.3222,,,,,,,,,,,,
20130202:0807,523426.0064,,,,,,,,,,,,
20130202:0907,561575.387,,,,,,,,,,,,
20130202:1007,580225.8184,,,,,,,,,,,,
20130202:1107,520120.0103,,,,,,,,,,,,
20130202:1207,452706.4825,,,,,,,,,,,,
20130202:1307,435493.7717,,,,,,,,,,,,
20130202:1407,618380.2391,,,,,,,,,,,,
20130202:1507,672006.9841,,,,,,,,,,,,
20130202:1607,642496.5484,,,,,,,,,,,,
20130202:1707,568546.7799,,,,,,,,,,,,
20130202:1807,37971.98222,,,,,,,,,,,,
20130202:1907,-135641.3088,,,,,,,,,,,,
20130202:2007,736.0378554,,,,,,,,,,,,
20130202:2107,188761.5989,,,,,,,,,,,,
20130202:2207,156357.4574,,,,,,,,,,,,
20130202:2307,61406.37725,,,,,,,,,,,,
20130203:0007,-44360.3989,,,,,,,,,,,,
20130203:0107,-109274.8431,,,,,,,,,,,,
20130203:0207,215.6342137,,,,,,,,,,,,
20130203:0307,110002.7365,,,,,,,,,,,,
20130203:0407,311152.4278,,,,,,,,,,,,
20130203:0507,284983.5429,,,,,,,,,,,,
20130203:0607,216656.0622,,,,,,,,,,,,
20130203:0707,185824.7785,,,,,,,,,,,,
20130203:0807,274004.7283,,,,,,,,,,,,
20130203:0907,323089.6786,,,,,,,,,,,,
20130203:1007,255872.3101,,,,,,,,,,,,
20130203:1107,129649.8021,,,,,,,,,,,,
20130203:1207,170877.3949,,,,,,,,,,,,
20130203:1307,225660.1749,,,,,,,,,,,,
20130203:1407,218816.9736,,,,,,,,,,,,
20130203:1507,-257992.2046,,,,,,,,,,,,
20130203:1607,-410627.2808,,,,,,,,,,,,
20130203:1707,-281126.8391,,,,,,,,,,,,
20130203:1807,-140121.2302,,,,,,,,,,,,
20130203:1907,-189830.2581,,,,,,,,,,,,
20130203:2007,-257359.6586,,,,,,,,,,,,
20130203:2107,-290699.6834,,,,,,,,,,,,
20130203:2207,-224223.3288,,,,,,,,,,,,
20130203:2307,-121778.5221,,,,,,,,,,,,
20130204:0007,-11729.98852,,,,,,,,,,,,
20130204:0107,505979.2485,,,,,,,,,,,,
20130204:0207,695260.4471,,,,,,,,,,,,
20130204:0307,717589.0661,,,,,,,,,,,,
20130204:0407,599289.446,,,,,,,,,,,,
20130204:0507,236260.6345,,,,,,,,,,,,
20130204:0607,281045.3163,,,,,,,,,,,,
20130204:0707,453327.4613,,,,,,,,,,,,
20130204:0807,1169547.695,,,,,,,,,,,,
20130204:0907,1345438.168,,,,,,,,,,,,
20130204:1007,1265274.246,,,,,,,,,,,,
20130204:1107,1029642.638,,,,,,,,,,,,
20130204:1207,195976.5469,,,,,,,,,,,,
20130204:1307,39116.34859,,,,,,,,,,,,
20130204:1407,171931.1084,,,,,,,,,,,,
20130204:1507,150283.3977,,,,,,,,,,,,
20130204:1607,31441.55551,,,,,,,,,,,,
20130204:1707,-51340.49115,,,,,,,,,,,,
20130204:1807,-70328.41343,,,,,,,,,,,,
20130204:1907,20182.24625,,,,,,,,,,,,
20130204:2007,136023.3346,,,,,,,,,,,,
20130204:2107,241471.7556,,,,,,,,,,,,
20130204:2207,528960.0408,,,,,,,,,,,,
20130204:2307,533045.1101,,,,,,,,,,,,
20130205:0007,486091.8577,,,,,,,,,,,,
20130205:0107,506944.9573,,,,,,,,,,,,
20130205:0207,701706.9119,,,,,,,,,,,,
20130205:0307,681254.4695,,,,,,,,,,,,
20130205:0407,662577.4348,,,,,,,,,,,,
20130205:0507,591984.0373,,,,,,,,,,,,
20130205:0607,526884.2184,,,,,,,,,,,,
20130205:0707,434317.0024,,,,,,,,,,,,
20130205:0807,328252.1751,,,,,,,,,,,,
20130205:0907,-144756.6637,,,,,,,,,,,,
20130205:1007,-274104.9909,,,,,,,,,,,,
20130205:1107,-153335.4661,,,,,,,,,,,,
20130205:1207,-72479.69408,,,,,,,,,,,,
20130205:1307,-146227.8373,,,,,,,,,,,,
20130205:1407,-214888.8654,,,,,,,,,,,,
20130205:1507,-230514.1316,,,,,,,,,,,,
20130205:1607,-120542.8238,,,,,,,,,,,,
20130205:1707,-16427.02287,,,,,,,,,,,,
20130205:1807,78157.35658,,,,,,,,,,,,
20130205:1907,373476.0864,,,,,,,,,,,,
20130205:2007,429627.1563,,,,,,,,,,,,
20130205:2107,411447.0424,,,,,,,,,,,,
20130205:2207,383161.561,,,,,,,,,,,,
20130205:2307,588006.9607,,,,,,,,,,,,
20130206:0007,720213.7442,,,,,,,,,,,,
20130206:0107,599507.929,,,,,,,,,,,,
20130206:0207,684546.4322,,,,,,,,,,,,
20130206:0307,858866.3492,,,,,,,,,,,,
20130206:0407,923762.8334,,,,,,,,,,,,
20130206:0507,841484.1578,,,,,,,,,,,,
20130206:0607,13306.97998,,,,,,,,,,,,
20130206:0707,-197307.9401,,,,,,,,,,,,
20130206:0807,5880.504533,,,,,,,,,,,,
20130206:0907,256314.8104,,,,,,,,,,,,
20130206:1007,208907.2046,,,,,,,,,,,,
20130206:1107,102453.8241,,,,,,,,,,,,
20130206:1207,12931.00546,,,,,,,,,,,,
20130206:1307,89729.70969,,,,,,,,,,,,
20130206:1407,326569.3667,,,,,,,,,,,,
20130206:1507,503459.3598,,,,,,,,,,,,
20130206:1607,795143.1611,,,,,,,,,,,,
20130206:1707,809634.8331,,,,,,,,,,,,
20130206:1807,811015.7585,,,,,,,,,,,,
20130206:1907,868723.3166,,,,,,,,,,,,
20130206:2007,1043689.626,,,,,,,,,,,,
20130206:2107,977049.9323,,,,,,,,,,,,
20130206:2207,874751.1137,,,,,,,,,,,,
20130206:2307,598099.0111,,,,,,,,,,,,
20130207:0007,505564.9368,,,,,,,,,,,,
20130207:0107,461362.6264,,,,,,,,,,,,
20130207:0207,434529.2031,,,,,,,,,,,,
20130207:0307,141591.338,,,,,,,,,,,,
20130207:0407,14789.27633,,,,,,,,,,,,
20130207:0507,67093.44015,,,,,,,,,,,,
20130207:0607,-18007.85733,,,,,,,,,,,,
20130207:0707,-103019.7859,,,,,,,,,,,,
20130207:0807,-128897.043,,,,,,,,,,,,
20130207:0907,-94606.644,,,,,,,,,,,,
20130207:1007,37138.96554,,,,,,,,,,,,
20130207:1107,125549.8403,,,,,,,,,,,,
20130207:1207,268321.06,,,,,,,,,,,,
20130207:1307,714116.0077,,,,,,,,,,,,
20130207:1407,818738.6722,,,,,,,,,,,,
20130207:1507,824951.7722,,,,,,,,,,,,
20130207:1607,787639.0081,,,,,,,,,,,,
20130207:1707,645849.8016,,,,,,,,,,,,
20130207:1807,515240.4995,,,,,,,,,,,,
20130207:1907,476723.7321,,,,,,,,,,,,
20130207:2007,1100218.466,,,,,,,,,,,,
20130207:2107,1346107.356,,,,,,,,,,,,
20130207:2207,1267290.455,,,,,,,,,,,,
20130207:2307,952644.4874,,,,,,,,,,,,
20130208:0007,-134917.7399,,,,,,,,,,,,
20130208:0107,-273731.1899,,,,,,,,,,,,
20130208:0207,-95856.53904,,,,,,,,,,,,
20130208:0307,29813.93488,,,,,,,,,,,,
20130208:0407,-36226.59157,,,,,,,,,,,,
20130208:0507,-119242.3467,,,,,,,,,,,,
20130208:0607,-172123.3424,,,,,,,,,,,,
20130208:0707,-165676.0671,,,,,,,,,,,,
20130208:0807,-122603.1035,,,,,,,,,,,,
20130208:0907,-18772.65699,,,,,,,,,,,,
20130208:1007,528512.7855,,,,,,,,,,,,
20130208:1107,654789.7431,,,,,,,,,,,,
20130208:1207,623860.6204,,,,,,,,,,,,
20130208:1307,541184.4467,,,,,,,,,,,,
20130208:1407,403291.0052,,,,,,,,,,,,
20130208:1507,315382.0065,,,,,,,,,,,,
20130208:1607,191228.1787,,,,,,,,,,,,
20130208:1707,100724.3022,,,,,,,,,,,,
20130208:1807,148649.6641,,,,,,,,,,,,
20130208:1907,152458.283,,,,,,,,,,,,
20130208:2007,85073.80251,,,,,,,,,,,,
20130208:2107,-294820.3015,,,,,,,,,,,,
20130208:2207,-353570.1771,,,,,,,,,,,,
20130208:2307,-244811.3245,,,,,,,,,,,,
20130209:0007,-155921.2074,,,,,,,,,,,,
20130209:0107,-198016.585,,,,,,,,,,,,
20130209:0207,-241155.6078,,,,,,,,,,,,
20130209:0307,-253003.6194,,,,,,,,,,,,
20130209:0407,-181845.9477,,,,,,,,,,,,
20130209:0507,-136997.289,,,,,,,,,,,,
20130209:0607,-161624.4461,,,,,,,,,,,,
20130209:0707,106003.6832,,,,,,,,,,,,
20130209:0807,396396.8885,,,,,,,,,,,,
20130209:0907,698250.9013,,,,,,,,,,,,
20130209:1007,904537.2871,,,,,,,,,,,,
20130209:1107,745625.0664,,,,,,,,,,,,
20130209:1207,535481.0243,,,,,,,,,,,,
20130209:1307,577167.4297,,,,,,,,,,,,
20130209:1407,969495.3976,,,,,,,,,,,,
20130209:1507,1135852.649,,,,,,,,,,,,
20130209:1607,1184427.645,,,,,,,,,,,,
20130209:1707,1157590.613,,,,,,,,,,,,
20130209:1807,178956.2469,,,,,,,,,,,,
20130209:1907,-389784.6951,,,,,,,,,,,,
20130209:2007,-226381.0622,,,,,,,,,,,,
20130209:2107,160756.7404,,,,,,,,,,,,
20130209:2207,163871.4128,,,,,,,,,,,,
20130209:2307,37428.40058,,,,,,,,,,,,
20130210:0007,-133900.301,,,,,,,,,,,,
20130210:0107,-225181.8529,,,,,,,,,,,,
20130210:0207,-82769.93122,,,,,,,,,,,,
20130210:0307,18857.37394,,,,,,,,,,,,
20130210:0407,882642.1801,,,,,,,,,,,,
20130210:0507,1373057.132,,,,,,,,,,,,
20130210:0607,1734668.674,,,,,,,,,,,,
20130210:0707,1915148.945,,,,,,,,,,,,
20130210:0807,1669085.434,,,,,,,,,,,,
20130210:0907,1341436.604,,,,,,,,,,,,
20130210:1007,1347014.41,,,,,,,,,,,,
20130210:1107,1240130.297,,,,,,,,,,,,
20130210:1207,1140263.43,,,,,,,,,,,,
20130210:1307,1053446.613,,,,,,,,,,,,
20130210:1407,946041.6726,,,,,,,,,,,,
20130210:1507,399285.2837,,,,,,,,,,,,
20130210:1607,132566.2765,,,,,,,,,,,,
20130210:1707,64810.53983,,,,,,,,,,,,
20130210:1807,-39576.72288,,,,,,,,,,,,
20130210:1907,-55327.11405,,,,,,,,,,,,
20130210:2007,-22559.39095,,,,,,,,,,,,
20130210:2107,52627.40195,,,,,,,,,,,,
20130210:2207,83830.69133,,,,,,,,,,,,
20130210:2307,39246.97479,,,,,,,,,,,,
20130211:0007,148851.6026,,,,,,,,,,,,
20130211:0107,762267.109,,,,,,,,,,,,
20130211:0207,983300.0059,,,,,,,,,,,,
20130211:0307,1138896.368,,,,,,,,,,,,
20130211:0407,1278725.771,,,,,,,,,,,,
20130211:0507,1426684.359,,,,,,,,,,,,
20130211:0607,1359563.293,,,,,,,,,,,,
20130211:0707,1273294.037,,,,,,,,,,,,
20130211:0807,1160601.614,,,,,,,,,,,,
20130211:0907,1147270.527,,,,,,,,,,,,
20130211:1007,1096894.225,,,,,,,,,,,,
20130211:1107,987678.3671,,,,,,,,,,,,
20130211:1207,274249.8926,,,,,,,,,,,,
20130211:1307,24469.53012,,,,,,,,,,,,
20130211:1407,125687.7153,,,,,,,,,,,,
20130211:1507,20861.75281,,,,,,,,,,,,
20130211:1607,-135294.4947,,,,,,,,,,,,
20130211:1707,-236044.2815,,,,,,,,,,,,
20130211:1807,-242016.6168,,,,,,,,,,,,
20130211:1907,-118436.0695,,,,,,,,,,,,
20130211:2007,-132676.0341,,,,,,,,,,,,
20130211:2107,-122091.1552,,,,,,,,,,,,
20130211:2207,588993.4348,,,,,,,,,,,,
20130211:2307,1060964.818,,,,,,,,,,,,
20130212:0007,1374586.782,,,,,,,,,,,,
20130212:0107,1485995.707,,,,,,,,,,,,
20130212:0207,1356517.885,,,,,,,,,,,,
20130212:0307,1332298.689,,,,,,,,,,,,
20130212:0407,1321965.97,,,,,,,,,,,,
20130212:0507,1164465.074,,,,,,,,,,,,
20130212:0607,1120418.759,,,,,,,,,,,,
20130212:0707,1065787.383,,,,,,,,,,,,
20130212:0807,934377.7727,,,,,,,,,,,,
20130212:0907,-11840.28763,,,,,,,,,,,,
20130212:1007,-293631.2874,,,,,,,,,,,,
20130212:1107,-93638.52643,,,,,,,,,,,,
20130212:1207,44986.37046,,,,,,,,,,,,
20130212:1307,-59862.3499,,,,,,,,,,,,
20130212:1407,-165211.4953,,,,,,,,,,,,
20130212:1507,-210594.1566,,,,,,,,,,,,
20130212:1607,-109567.8215,,,,,,,,,,,,
20130212:1707,-52389.03986,,,,,,,,,,,,
20130212:1807,-10353.30302,,,,,,,,,,,,
20130212:1907,731733.4926,,,,,,,,,,,,
20130212:2007,1173785.569,,,,,,,,,,,,
20130212:2107,1460332.982,,,,,,,,,,,,
20130212:2207,1554819.808,,,,,,,,,,,,
20130212:2307,1343671.977,,,,,,,,,,,,
20130213:0007,1196433.975,,,,,,,,,,,,
20130213:0107,1222428.728,,,,,,,,,,,,
20130213:0207,1237879.08,,,,,,,,,,,,
20130213:0307,1172476.611,,,,,,,,,,,,
20130213:0407,1049686.53,,,,,,,,,,,,
20130213:0507,901604.3829,,,,,,,,,,,,
20130213:0607,494625.293,,,,,,,,,,,,
20130213:0707,506579.5984,,,,,,,,,,,,
20130213:0807,569875.0434,,,,,,,,,,,,
20130213:0907,363584.7218,,,,,,,,,,,,
20130213:1007,214991.4204,,,,,,,,,,,,
20130213:1107,179643.8124,,,,,,,,,,,,
20130213:1207,267988.9553,,,,,,,,,,,,
20130213:1307,460877.3738,,,,,,,,,,,,
20130213:1407,388747.2341,,,,,,,,,,,,
20130213:1507,373508.1264,,,,,,,,,,,,
20130213:1607,617042.1218,,,,,,,,,,,,
20130213:1707,750471.8903,,,,,,,,,,,,
20130213:1807,831897.2765,,,,,,,,,,,,
20130213:1907,858996.9434,,,,,,,,,,,,
20130213:2007,675694.3145,,,,,,,,,,,,
20130213:2107,207707.1071,,,,,,,,,,,,
20130213:2207,756371.5877,,,,,,,,,,,,
20130213:2307,1196012.609,,,,,,,,,,,,
20130214:0007,1083428.86,,,,,,,,,,,,
20130214:0107,674355.0722,,,,,,,,,,,,
20130214:0207,324440.4985,,,,,,,,,,,,
20130214:0307,207686.9177,,,,,,,,,,,,
20130214:0407,130471.2706,,,,,,,,,,,,
20130214:0507,34237.62444,,,,,,,,,,,,
20130214:0607,-136.3605238,,,,,,,,,,,,
20130214:0707,-24115.16829,,,,,,,,,,,,
20130214:0807,-26077.63224,,,,,,,,,,,,
20130214:0907,-32450.22606,,,,,,,,,,,,
20130214:1007,-39562.47966,,,,,,,,,,,,
20130214:1107,20600.28268,,,,,,,,,,,,
20130214:1207,120370.2963,,,,,,,,,,,,
20130214:1307,194628.2138,,,,,,,,,,,,
20130214:1407,460169.2057,,,,,,,,,,,,
20130214:1507,555745.8396,,,,,,,,,,,,
20130214:1607,631567.1373,,,,,,,,,,,,
20130214:1707,708873.298,,,,,,,,,,,,
20130214:1807,772641.3577,,,,,,,,,,,,
20130214:1907,681486.508,,,,,,,,,,,,
20130214:2007,616692.7038,,,,,,,,,,,,
20130214:2107,837643.0197,,,,,,,,,,,,
20130214:2207,950003.9311,,,,,,,,,,,,
20130214:2307,974033.5294,,,,,,,,,,,,
20130215:0007,937203.7807,,,,,,,,,,,,
20130215:0107,-1520.813489,,,,,,,,,,,,
20130215:0207,-502311.9867,,,,,,,,,,,,
20130215:0307,-330305.9657,,,,,,,,,,,,
20130215:0407,-47044.50795,,,,,,,,,,,,
20130215:0507,-109515.9578,,,,,,,,,,,,
20130215:0607,-233568.9599,,,,,,,,,,,,
20130215:0707,-323115.1173,,,,,,,,,,,,
20130215:0807,-273075.2141,,,,,,,,,,,,
20130215:0907,-186042.7452,,,,,,,,,,,,
20130215:1007,-202868.0126,,,,,,,,,,,,
20130215:1107,-265057.0933,,,,,,,,,,,,
20130215:1207,-265996.5358,,,,,,,,,,,,
20130215:1307,-219140.1518,,,,,,,,,,,,
20130215:1407,-134317.2056,,,,,,,,,,,,
20130215:1507,22338.0508,,,,,,,,,,,,
20130215:1607,-24026.5959,,,,,,,,,,,,
20130215:1707,-82268.60108,,,,,,,,,,,,
20130215:1807,-115940.4829,,,,,,,,,,,,
20130215:1907,-108791.1602,,,,,,,,,,,,
20130215:2007,-123336.3589,,,,,,,,,,,,
20130215:2107,-159705.8016,,,,,,,,,,,,
20130215:2207,-261825.3566,,,,,,,,,,,,
20130215:2307,-256970.0638,,,,,,,,,,,,
20130216:0007,-223084.7976,,,,,,,,,,,,
20130216:0107,-166135.1627,,,,,,,,,,,,
