Time,value
20130111:0507,1098107.656
20130111:0607,1096641.922
20130111:0707,810548.1931
20130111:0807,810612.5741
20130111:0907,841825.2719
20130111:1007,840776.3768
20130111:1107,293138.0705
20130111:1207,291023.2409
20130111:1307,177550.931
20130111:1407,178150.6822
20130111:1507,328012.2889
20130111:1607,330758.637
20130111:1707,459075.5662
20130111:1807,460695.9975
20130111:1907,1126871.335
20130111:2007,1129210.064
20130111:2107,1227760.491
20130111:2207,1226668.326
20130111:2307,1076615.55
20130112:0007,1081066.16
20130112:0107,1247575.203
20130112:0207,1247839.89
20130112:0307,1367565.062
20130112:0407,1368346.241
20130112:0507,1459156.07
20130112:0607,1458926.257
20130112:0707,486281.0351
20130112:0807,427739.4441
20130112:0907,-24852.32311
20130112:1007,-23659.99686
20130112:1107,81330.16981
20130112:1207,80175.86836
20130112:1307,-208360.4122
20130112:1407,-208671.5553
20130112:1507,-30888.11054
20130112:1607,-19096.09905
20130112:1707,407519.5764
20130112:1807,410638.1568
20130112:1907,1149648.551
20130112:2007,1151155.12
20130112:2107,1228525.585
20130112:2207,1228655.632
20130112:2307,1310285.653
20130113:0007,1311316.087
20130113:0107,1284570.825
20130113:0207,1284843.013
20130113:0307,1458168.512
20130113:0407,1458679.171
20130113:0507,1295108.608
20130113:0607,1293446.938
20130113:0707,578971.4527
20130113:0807,551522.0542
20130113:0907,403703.6843
20130113:1007,403804.7404
20130113:1107,218820.3538
20130113:1207,217510.4566
20130113:1307,75697.28839
20130113:1407,73745.55354
20130113:1507,314101.1683
20130113:1607,326796.0493
20130113:1707,609500.6011
20130113:1807,611093.0217
20130113:1907,1081845.299
20130113:2007,1083210.391
20130113:2107,1132264.363
20130113:2207,1132045.954
20130113:2307,1145415.511
20130114:0007,1148585.219
20130114:0107,1258319.984
20130114:0207,1258869.022
20130114:0307,1524708.578
20130114:0407,1525926.944
20130114:0507,1584041.583
20130114:0607,1583364.531
20130114:0707,852727.4761
20130114:0807,812413.1492
20130114:0907,463433.1191
20130114:1007,463975.1959
20130114:1107,279857.1146
20130114:1207,277761.4342
20130114:1307,-15928.47223
20130114:1407,-15725.659
20130114:1507,279892.2965
20130114:1607,292574.204
20130114:1707,583927.4619
20130114:1807,586063.0111
20130114:1907,1306491
20130114:2007,1308638.327
20130114:2107,1342352.989
20130114:2207,1341628.769
20130114:2307,1370505.184
20130115:0007,1378897.942
20130115:0107,1445857.156
20130115:0207,1445167.762
