Time,value
20130112:0307,227509.4123
20130112:0407,371974.7175
20130112:0507,656239.5365
20130112:0607,684556.8994
20130112:0707,625460.5863
20130112:0807,529325.1007
20130112:0907,470082.0379
20130112:1007,552839.8822
20130112:1107,577018.1894
20130112:1207,985304.0929
20130112:1307,1129782.862
20130112:1407,1045338.297
20130112:1507,782714.502
20130112:1607,0
20130112:1707,0
20130112:1807,84532.75008
20130112:1907,0
20130112:2007,0
20130112:2107,0
20130112:2207,0
20130112:2307,114952.2779
20130113:0007,343324.3751
20130113:0107,507843.0255
20130113:0207,774639.0599
20130113:0307,751400.3356
20130113:0407,656212.5831
20130113:0507,577912.2891
20130113:0607,600519.3422
20130113:0707,566294.6317
20130113:0807,406026.202
20130113:0907,107062.2103
20130113:1007,91176.21402
20130113:1107,198407.386
20130113:1207,367341.1231
20130113:1307,114502.7528
20130113:1407,0
20130113:1507,0
20130113:1607,0
20130113:1707,0
20130113:1807,0
20130113:1907,0
20130113:2007,0
20130113:2107,30130.51627
20130113:2207,242290.4716
20130113:2307,836096.4991
20130114:0007,926658.9853
20130114:0107,818541.8129
20130114:0207,641343.1995
20130114:0307,670157.3876
20130114:0407,896220.9039
20130114:0507,867782.5632
20130114:0607,1092386.46
20130114:0707,1244934.627
20130114:0807,1226534.411
20130114:0907,1030462.222
20130114:1007,0
20130114:1107,0
20130114:1207,0
20130114:1307,26400.55492
20130114:1407,0
20130114:1507,0
20130114:1607,0
20130114:1707,0
20130114:1807,0
20130114:1907,66150.90602
20130114:2007,473709.4752
20130114:2107,550692.2355
20130114:2207,608577.7837
20130114:2307,698679.4201
20130115:0007,728689.901
20130115:0107,530424.9517
20130115:0207,428872.9288
20130115:0307,223222.0676
20130115:0407,148699.8281
20130115:0507,139025.8596
20130115:0607,197784.6011
20130115:0707,1184.485521
20130115:0807,0
20130115:0907,0
20130115:1007,0
20130115:1107,0
20130115:1207,0
20130115:1307,0
20130115:1407,0
20130130:0607,186911.4059
20130130:0707,629766.1527
20130130:0807,885708.2079
20130130:0907,139811.2596
20130130:1007,0
20130130:1107,0
20130130:1207,0
20130130:1307,159582.1536
20130130:1407,171069.4634
20130130:1507,148153.5583
20130130:1607,558543.6893
20130130:1707,740391.4657
20130130:1807,768601.5972
20130130:1907,684132.115
20130130:2007,480471.6286
20130130:2107,584770.9083
20130130:2207,695756.2636
20130130:2307,611665.9182
20130131:0007,435939.1222
20130131:0107,215696.2232
20130131:0207,15647.63008
20130131:0307,0
20130131:0407,0
20130131:0507,0
20130131:0607,0
20130131:0707,0
20130131:0807,0
20130131:0907,0
20130131:1007,0
20130131:1107,0
20130131:1207,69126.45012
20130131:1307,481107.0234
20130131:1407,557799.308
20130131:1507,469446.3251
20130131:1607,274804.8038
20130131:1707,75170.97053
20130131:1807,311506.615
20130131:1907,441883.6815
20130131:2007,316298.724
20130131:2107,201482.5286
20130131:2207,139971.078
20130131:2307,121096.2665
20130201:0007,0
20130201:0107,0
20130201:0207,0
20130201:0307,0
20130201:0407,0
20130201:0507,0
20130201:0607,0
20130201:0707,0
20130201:0807,69498.55845
20130201:0907,210969.4629
20130201:1007,500577.253
20130201:1107,593187.3558
20130201:1207,577933.2954
20130201:1307,460386.0954
20130201:1407,84126.18345
20130201:1507,0
20130201:1607,-49469.46323
20130201:1707,-104224.0435
20130201:1807,-147750.1579
20130201:1907,-165876.4223
20130201:2007,-149900.6628
20130201:2107,-172777.8949
20130201:2207,45120.90477
20130201:2307,400502.6975
20130202:0007,579446.4793
20130202:0107,342308.5594
20130202:0207,86269.17809
20130202:0307,-29338.44149
20130202:0407,345953.5492
20130202:0507,703709.0178
20130202:0607,744153.5368
20130202:0707,568765.6199
20130202:0807,419241.9267
20130202:0907,263415.5063
20130202:1007,150365.3147
20130202:1107,201600.3352
20130202:1207,287449.3312
20130202:1307,243621.1922
20130202:1407,520835.692
20130202:1507,694140.4216
20130202:1607,693154.5364
20130202:1707,506530.5883
20130202:1807,-161214.6583
20130202:1907,-161362.3533
20130202:2007,-26815.36701
20130202:2107,-41480.86419
20130202:2207,-131506.287
20130202:2307,-174437.6419
20130203:0007,-145648.2219
20130203:0107,54834.6866
20130203:0207,106830.6787
20130203:0307,102044.1246
20130203:0407,228936.946
20130203:0507,317604.479
20130203:0607,373224.8573
20130203:0707,378516.4524
20130203:0807,284650.2129
20130203:0907,314258.7526
20130203:1007,364978.3301
20130203:1107,311239.1954
20130203:1207,228479.8666
20130203:1307,91321.7465
20130203:1407,-85605.8398
20130203:1507,-354118.3659
20130203:1607,-248613.2765
20130203:1707,-162041.9953
20130203:1807,-159620.9482
20130203:1907,-215986.3104
20130203:2007,-264658.3145
20130203:2107,-281094.3896
20130203:2207,-132250.5502
20130203:2307,63968.78406
20130204:0007,243633.2616
20130204:0107,851015.0915
20130204:0207,996773.2044
20130204:0307,941992.0905
20130204:0407,783007.3032
20130204:0507,574504.684
20130204:0607,515403.6097
20130204:0707,363875.5918
20130204:0807,1060483.051
20130204:0907,1409548.055
20130204:1007,1397251.756
20130204:1107,1128362.157
20130204:1207,152990.4319
20130204:1307,49816.58446
20130204:1407,183104.6963
20130204:1507,43238.40671
20130204:1607,-94864.24206
20130204:1707,-150121.1291
20130204:1807,-124297.5446
20130204:1907,94651.49639
20130204:2007,282881.788
20130204:2107,444412.587
20130204:2207,714269.8415
20130204:2307,760404.138
20130205:0007,725433.1697
20130205:0107,627145.9921
20130205:0207,489148.5141
20130205:0307,522469.221
20130205:0407,488434.7799
20130205:0507,376857.2216
20130205:0607,361131.7022
20130205:0707,329053.1171
20130205:0807,243531.5711
20130205:0907,-222064.5406
20130205:1007,-333966.1497
20130205:1107,-256546.0775
20130205:1207,-161665.139
20130205:1307,-179808.1836
20130205:1407,-199195.4386
20130205:1507,-190431.2292
20130205:1607,-38716.30397
20130205:1707,99966.39456
20130205:1807,238667.5106
20130205:1907,698555.9297
20130205:2007,823134.5556
20130205:2107,841055.7194
20130205:2207,827416.083
20130205:2307,752109.5887
20130206:0007,698821.5319
20130206:0107,682711.3991
20130206:0207,1064393.786
20130206:0307,1187732.305
20130206:0407,1050721.83
20130206:0507,716541.6113
20130206:0607,-294913.6845
20130206:0707,-260153.0757
20130206:0807,53183.19727
20130206:0907,135825.3868
20130206:1007,-67925.64253
20130206:1107,-222274.8095
20130206:1207,-226603.679
20130206:1307,283284.1658
20130206:1407,642282.7035
20130206:1507,692699.0255
20130206:1607,785307.5656
20130206:1707,818794.3102
20130206:1807,818157.8983
20130206:1907,789293.2754
20130206:2007,695991.7481
20130206:2107,649766.8198
20130206:2207,606270.7556
20130206:2307,508241.7394
20130207:0007,472302.0974
20130207:0107,427154.2266
20130207:0207,358405.5137
20130207:0307,-26205.79543
20130207:0407,-118989.3524
20130207:0507,-41726.56561
20130207:0607,-4738.990272
20130207:0707,-41831.8406
20130207:0807,-77643.06325
20130207:0907,-97899.15722
20130207:1007,-36387.76063
20130207:1107,146425.0148
20130207:1207,364631.8453
20130207:1307,816292.0159
20130207:1407,828941.1583
20130207:1507,661196.1177
20130207:1607,427596.0963
20130207:1707,367189.3253
20130207:1807,701819.3231
20130207:1907,762191.9185
20130207:2007,1173365.343
20130207:2107,1340353.463
20130207:2207,1318209.346
20130207:2307,1149835.552
20130208:0007,-1355.470967
20130208:0107,-279372.4453
20130208:0207,71167.31743
20130208:0307,173033.7391
20130208:0407,-76422.96779
20130208:0507,-271132.7723
20130208:0607,-303109.8292
20130208:0707,-71993.47295
20130208:0807,61193.62307
20130208:0907,168209.3135
20130208:1007,686188.2819
20130208:1107,873515.8775
20130208:1207,908470.9006
20130208:1307,836653.3266
20130208:1407,714090.6213
20130208:1507,707883.3619
20130208:1607,598318.9
20130208:1707,270391.5844
20130208:1807,239426.4639
20130208:1907,329185.3438
20130208:2007,444795.1597
20130208:2107,-107175.0485
20130208:2207,-488538.7279
20130208:2307,-354821.0893
20130209:0007,-87590.16347
20130209:0107,-112315.4347
20130209:0207,-189562.9616
20130209:0307,-244499.3326
20130209:0407,-174211.7619
20130209:0507,21144.62275
20130209:0607,243722.453
20130209:0707,704223.9735
20130209:0807,753821.3235
20130209:0907,770041.5584
20130209:1007,852098.0468
20130209:1107,1076862.512
20130209:1207,1058448.558
