Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
19	31115.25	3528.1123	34662.0	27284.0	1000.0	104.60817	0.0034607635	104.60856	104.53141	80000	-2.0575524e-07	7773687.0	-0.017409334	-26765.0	0.86016303	0.013480521	0.14075	79.0	5082.643595457077
20	33700.75	1519.8285	34622.0	31069.0	1000.0	109.618866	0.004582513	109.619415	109.54683	84000	2.6959182e-07	8975128.0	-0.016971668	-30848.0	0.8513874	0.011440382	0.13575	79.0	5325.182595014572
21	31522.25	3361.7095	34887.0	28048.0	1000.0	114.96641	0.0027717606	114.966705	114.90064	88000	4.1007997e-08	7947425.5	-0.018089173	-27535.5	0.84334373	0.012965076	0.14525	79.0	5591.079681158066
22	33638.0	1496.0924	34817.0	31114.0	1000.0	120.05736	0.0019924843	120.0576	119.99517	92000	-1.6760826e-07	9079579.0	-0.018280676	-31168.0	0.8349176	0.013776952	0.11475	79.0	5857.495758533478
23	30399.75	2528.2795	34125.0	27987.0	1000.0	125.4313	0.0023554387	125.43153	125.37176	96000	1.4734269e-07	7202330.0	-0.017431118	-25140.0	0.8200081	0.013156419	0.13075	79.0	6121.526829242706
24	32400.5	2466.992	34284.0	28159.0	1000.0	130.31345	0.002245702	130.31372	130.25667	100000	-1.6069413e-07	8462056.0	-0.017981064	-28980.0	0.81279176	0.01379751	0.14575	79.0	6387.534050941467
25	34249.75	897.6022	34984.0	32723.0	1000.0	135.5038	0.0024316644	135.50407	135.4495	104000	2.5320054e-07	9247689.0	-0.01853504	-31957.0	0.810627	0.01509702	0.1495	65.0	6652.10347032547
26	32965.25	2239.4026	34986.0	29527.0	1000.0	140.95566	0.0016112274	140.95584	140.91998	108000	-5.0127507e-08	8470522.0	-0.016834509	-29108.0	0.79676753	0.0131738875	0.14525	79.0	6917.71830034256
27	32275.75	2289.8708	34787.0	29143.0	1000.0	146.18141	0.0010952756	146.18156	146.14746	112000	5.412102e-08	8119158.5	-0.007822283	-27854.0	0.79088885	0.016534725	0.15125	9.0	7182.69075345993
28	31905.5	2442.7307	34923.0	28478.0	1000.0	151.28693	0.00104709	151.28705	151.25424	116000	2.510548e-07	7973532.0	-0.018736182	-27432.5	0.7913641	0.010764544	0.13025	79.0	7452.414012432098
29	33907.25	1201.3657	35028.0	31954.0	1000.0	156.3552	0.0014171147	156.35535	156.3237	120000	-1.2779236e-07	8946230.0	-0.017428854	-30570.0	0.79030937	0.0110348435	0.15325	79.0	7719.282554864883
30	32998.5	2839.6655	34894.0	28107.0	1000.0	161.68541	0.0013502305	161.68555	161.65538	124000	-3.886223e-08	8415781.0	-0.017236387	-28948.0	0.7834026	0.014325907	0.13	79.0	7985.505888938904
31	31550.5	1980.9065	34898.0	29808.0	1000.0	166.89462	0.0009131907	166.89471	166.86601	128000	3.528595e-08	7627104.0	-0.018898824	-26482.0	0.78937465	0.010362215	0.15025	79.0	8253.235035657883
