timeStamp,P
0.1,1343002.456
0.25,1517868.642
0.251,1570927.111
0.5,1915431.781
0.501,1914515.767
0.75,1478518.146
0.7509999999999999,1476655.093
1.0,739673.6901
1.01,701400.5866
1.25,181979.7464
1.251,181366.3062
1.5,-23851.510980000003
1.501,-24999.32376
1.75,-176672.4257
1.751,-176554.7087
2.0,49595.77719
2.01,61306.404010000006
2.25,457290.0441
2.251,460473.4987
2.5,1541929.1940000001
2.501,1545462.15
2.75,1788413.4730000002
2.7510000000000003,1787784.6069999998
3.0,1539065.04
3.01,1530050.116
3.25,1430149.2419999999
3.2510000000000003,1430156.303
3.5,1413097.379
3.5010000000000003,1412950.5480000002
3.75,1463919.57
3.7510000000000003,1464296.1830000002
4.0,1155340.173
4.01,1132513.892
4.25,920820.1476
4.251,921303.3312
4.5,902144.5366
4.501,901103.3151
4.75,540363.6412
4.751,538858.2325
5.0,647454.2997
5.01,666521.5918
5.25,1044433.485
5.251,1045825.556
5.5,1441328.875
5.501,1442678.283
5.75,1497261.386
5.751,1496595.67
6.0,1475011.1630000002
6.01,1480586.832
6.25,1498997.635
6.251,1498277.697
6.5,1338600.3290000001
6.501,1338304.148
6.75,1332502.342
6.751,1332622.383
7.0,767222.0817
7.01,729727.0374
7.25,338284.992
7.251,319372.2986
7.5,313173.5093
7.501,313068.0897
7.75,173330.6084
7.751,173137.0041
8.0,343209.4283
8.01,352942.5125
8.25,1243939.545
8.251,1139603.475
8.5,1162566.104
8.501,1172396.978
8.75,1316903.039
8.751,1316403.397
9.0,1432704.483
9.01,1440861.7319999998
9.25,1447632.905
9.251,1446964.6819999998
9.5,1559268.545
9.501,1560511.4030000002
9.75,1514596.525
9.751,1512876.4330000002
10.0,554196.006
10.01,509790.6602
10.25,137873.3761
10.251,138089.374
10.5,89159.77446
10.501,88330.34812000001
10.75,690.4825939
10.751,1223.8014289999999
11.0,216072.7726
11.01,221686.5706
11.25,330664.4208
11.251,331945.7445
11.5,1032540.9029999999
11.501,1035367.713
11.75,1218570.939
11.751,1218052.864
12.0,1310815.395
12.01,1322913.022
12.25,1377524.4019999998
12.251,1376290.951
12.5,991580.2049
12.501,990594.1296
12.75,990321.7512
12.751,990785.6135
13.0,100239.8749
13.01,38591.39548
13.25,-462430.4242
13.251,-460794.2574
13.5,-28033.078610000004
13.501,-27763.07715
13.75,-262913.918
13.751,-264301.4735
14.0,-247772.0152
14.01,-239088.5947
14.25,93715.49468999999
14.251,96319.32
14.5,864397.8216
14.501,866626.2359
14.75,1062590.59
14.751,1062712.129
15.0,895008.3719
15.01,883774.0425
15.25,850594.0041
15.251,851949.5029
15.5,1438561.926
15.501,1440410.7419999999
15.75,1337185.997
15.751,1335107.633
16.0,237893.5768
16.01,189508.0198
16.25,-75764.21876
16.250999999999998,-74606.6318
16.5,-8724.987697
16.500999999999998,-9693.482867
16.75,-164804.9819
16.750999999999998,-164382.6944
17.0,230111.0024
17.01,249299.486
17.25,637266.5069
17.250999999999998,639113.5665
17.5,1083765.01
17.500999999999998,1084952.038
17.75,1144886.124
17.750999999999998,1144584.281
18.0,1175143.699
18.01,1180791.4070000001
18.25,1213422.406
18.250999999999998,1212868.995
18.5,989258.9367
18.500999999999998,988424.1796
18.75,898885.6935
18.750999999999998,898912.9783
19.0,567598.7001
19.01,549202.6145
19.25,592749.8406
19.250999999999998,594116.2954
19.5,615591.2684
19.500999999999998,614171.6457
19.75,239605.8566
19.750999999999998,238888.8192
20.0,497799.6796
20.01,517777.8954
20.25,826596.3863
20.250999999999998,827342.3491
20.5,1195134.0259999998
20.500999999999998,1196912.376
20.75,1274440.528
20.750999999999998,1273252.639
21.0,1071883.114
21.01,1072778.668
21.25,1165854.645
21.250999999999998,1166219.565
21.5,1364884.8469999998
21.500999999999998,1365665.1909999999
21.75,1206164.084
21.750999999999998,1204253.342
22.0,333843.5555
22.01,300020.8657
22.25,165293.0719
22.250999999999998,165806.3934
22.5,67044.11645
22.500999999999998,65904.53845
22.75,-70331.69185
22.750999999999998,-70028.82398
23.0,167035.7352
23.01,176320.199
23.25,426722.8863
23.250999999999998,428957.7186
23.5,1109486.0929999999
23.500999999999998,1111261.5890000002
23.75,1067665.215
23.750999999999998,1066545.991
24.0,1022404.4920000001
24.01,1030193.4040000001
24.25,1145702.834
24.250999999999998,1145325.061
24.5,990459.2091
24.500999999999998,990314.2788
24.75,1147983.207
24.750999999999998,1148810.586
25.0,718888.7214
25.01,691334.8844
25.25,730468.6285
25.250999999999998,732160.9168
25.5,712542.0597
25.500999999999998,710436.0895
25.75,329264.4525
25.750999999999998,329011.3062
26.0,552308.0649
26.01,563789.3371
26.25,680359.6475
26.250999999999998,680473.1333
26.5,879447.6185
26.500999999999998,881044.0815
26.75,1321856.655
26.750999999999998,1323325.697
27.0,1344855.507
27.01,1336771.47
27.25,1278228.336
27.250999999999998,1278656.098
27.5,1419278.485
27.500999999999998,1419840.437
27.75,1545635.685
27.750999999999998,1545860.8869999999
28.0,910091.7057
28.01,871425.6024
28.25,625599.6228
28.250999999999998,626460.6242
28.5,619410.7419
28.500999999999998,617978.3325
28.75,217595.5554
28.750999999999998,216780.6635
29.0,598379.9978
29.01,626051.7256
29.25,1073780.176
29.250999999999998,1075114.6909999999
29.5,1412405.2859999998
29.500999999999998,1413497.821
29.75,1375297.5659999999
29.750999999999998,1373736.064
30.0,1007341.7490000001
30.01,1002943.078
30.25,1137092.5259999998
30.250999999999998,1137919.2340000002
30.5,1227939.264
30.500999999999998,1227912.9540000001
30.75,1098106.812
30.750999999999998,1096640.9009999998
31.0,810548.4609
31.01,810612.8607
31.25,841825.4324
31.250999999999998,840776.5341
31.5,293137.5502
31.500999999999998,291022.6551
31.75,177551.0225
31.750999999999998,178150.8004
32.0,328024.8404
32.01,330751.5937
32.25,459074.9866
32.251,460695.6656
32.5,1126871.499
32.501,1129210.44
32.75,1227802.563
32.751,1226706.477
33.0,1076605.518
33.01,1081072.469
33.25,1247581.947
33.251,1247851.018
33.5,1367566.055
33.501,1368347.2030000002
33.75,1459155.606
33.751,1458925.78
34.0,486280.7861
34.01,427739.2469
34.25,-24851.944919999998
34.251,-23659.63752
34.5,81330.00521
34.501,80175.70527
34.75,-208360.3874
34.751,-208671.5303
35.0,-30888.05426
35.01,-19096.049619999998
35.25,407519.5306
35.251,410638.1128
35.5,1149902.918
35.501,1151497.5320000001
35.75,1228508.772
35.751,1228639.053
36.0,1310284.372
36.01,1311313.83
36.25,1284571.888
36.251,1284844.094
36.5,1458168.4840000002
36.501,1458679.136
36.75,1295108.3090000001
36.751,1293446.6409999998
37.0,578971.6775
37.01,551522.2793
37.25,403703.63
37.251,403804.6851
37.5,218797.2343
37.501,217490.0952
37.75,62018.98699
37.751,62270.483589999996
38.0,314475.3491
38.01,326735.9591
38.25,609541.7821
38.251,611144.3627
38.5,1081818.175
38.501,1083182.98
38.75,1132269.281
38.751,1132050.986
39.0,1145420.324
39.01,1148589.279
39.25,1258288.924
39.251,1258844.247
39.5,1524711.0159999998
39.501,1525928.9219999998
39.75,1584035.845
39.751,1583360.076
40.0,852743.6491
40.01,812408.6346
40.25,463426.8553
40.251,463969.0224
40.5,279857.6868
40.501,277762.0329
40.75,-15926.819169999999
40.751,-15724.02646
41.0,279890.8171
41.01,292572.7571
41.25,583929.2801
