timeStamp,P
0.0,-0.339545129
0.25,832438.5177
0.251,881184.8448
0.5,482317.0631
0.501,479198.7995
0.75,-73496.19211
0.7509999999999999,-74031.05888
1.0,137864.311
1.01,148865.4768
1.25,333263.5123
1.251,334466.5253
1.5,899925.94
1.501,902244.8664
1.75,1151446.976
1.751,1151492.723
2.0,1249776.017
2.01,1260039.495
2.25,1460379.6130000001
2.251,1460550.7280000001
2.5,1214499.949
2.501,1213157.864
2.75,1098554.1809999999
2.7510000000000003,1098062.492
3.0,395743.8386
3.01,361181.6236
3.25,338331.5133
3.2510000000000003,340326.0793
3.5,646031.7981
3.5010000000000003,642667.1892
3.75,296815.043
3.7510000000000003,294039.1689
4.0,414251.2532
4.01,448715.0336
4.25,941393.3159
4.251,941601.3084
4.5,868766.8447
4.501,868240.9109
4.75,750128.9569
4.751,750377.4104
5.0,794775.8267
5.01,793694.8979999999
5.25,874519.0619
5.251,875774.2338
5.5,-8636.227635
5.501,-15437.93828
5.75,-304322.9394
5.751,-299982.2172
6.0,178085.8502
6.01,155694.966
6.25,-376747.1807
6.251,-376919.3725
6.5,118607.3565
6.501,121228.3916
6.75,534705.405
6.751,535793.9163
7.0,679217.8835
7.01,680864.3019
7.25,641995.6714
7.251,641640.5178
7.5,710076.5506
7.501,710840.4493
7.75,980474.0213
7.751,981972.3945
8.0,1024680.4959999999
8.01,1012431.687
8.25,905750.4339
8.251,907190.8915
8.5,1438676.3159999999
8.501,1440259.021
8.75,1278834.098
8.751,1275124.895
9.0,-2481.814857
9.01,-34276.9592
9.25,137203.5364
9.251,138785.3835
9.5,-115208.2437
9.501,-117907.5328
9.75,-380804.8435
9.751,-379962.2901
10.0,-97601.34637999999
10.01,-92266.11951
10.25,-36190.7449
10.251,-35349.750830000004
10.5,650879.6204
10.501,654175.9686
10.75,963178.1646
10.751,962932.6823
11.0,753797.7132
11.01,745934.4333
11.25,916937.9127
11.251,919245.2848
11.5,1789315.366
11.501,1792096.3569999998
11.75,1669364.779
11.751,1666222.395
12.0,330404.2981
12.01,276456.3327
12.25,-115629.1312
12.251,-114660.7171
12.5,-47372.92232
12.501,-48470.068380000004
12.75,-286141.5142
12.751,-286186.465
13.0,-120691.7421
13.01,-113596.7122
13.25,30284.600810000004
13.251,31586.38203
13.5,788246.469
13.501,791745.8497
13.75,1209525.426
13.751,1209602.172
14.0,1253667.996
14.01,1260770.851
14.25,1410888.551
14.251,1411188.685
14.5,1472908.0359999998
14.501,1472959.616
14.75,1203643.193
14.751,1200956.936
15.0,-82385.02664
15.01,-129305.5804
15.25,-44424.35286
15.251,-41620.60598
15.5,-48047.9364
15.501,-50746.69567
15.75,-431641.6809
15.751,-431112.4544
16.0,-156665.5322
16.01,-151012.2542
16.25,-17679.2335
16.250999999999998,-16132.810590000001
16.5,694122.9095
16.500999999999998,696966.2302
16.75,755328.4854
16.750999999999998,752985.5262
17.0,411153.4965
17.01,416415.9013
17.25,759729.1696
17.250999999999998,761673.2622
17.5,1506691.779
17.500999999999998,1509050.356
17.75,401429.706
17.750999999999998,389051.481
18.0,-967243.5776
18.01,-923068.0637
18.25,391753.3208
18.250999999999998,393157.0011
18.5,-317320.3984
18.500999999999998,-321010.1214
18.75,-366461.9843
18.750999999999998,-363833.8614
19.0,355242.7493
19.01,373826.7062
19.25,567971.5188
19.250999999999998,568641.1696
19.5,958676.3573
19.500999999999998,960114.7224
19.75,802416.3595
19.750999999999998,800726.1288
20.0,751359.4757
20.01,762065.8494
20.25,1011029.6170000001
20.250999999999998,1012304.3790000001
20.5,934079.7382
20.500999999999998,931469.4414
20.75,-246285.3906
20.750999999999998,-251472.4552
21.0,-392065.5874
21.01,-359763.5665
21.25,194054.8373
21.250999999999998,194020.94100000002
21.5,-167869.6029
21.500999999999998,-169325.7334
21.75,-260141.09100000001
21.750999999999998,-259818.5897
22.0,-214843.8873
22.01,-216132.8382
22.25,-120267.0107
22.250999999999998,-118516.1875
22.5,652988.8967
22.500999999999998,655701.4213
22.75,533544.2991
22.750999999999998,530232.7387
23.0,58030.76251
23.01,64182.30735
23.25,665773.9381
23.250999999999998,669623.5866
23.5,1866922.487
23.500999999999998,1870355.8190000001
23.75,1628801.131
23.750999999999998,1624255.417
24.0,-131310.5723
24.01,-192599.241
24.25,-343505.4431
24.250999999999998,-341021.5601
24.5,-64926.52185
24.500999999999998,-65763.34847000001
24.75,-317399.7537
24.750999999999998,-317689.0562
25.0,-231092.7778
25.01,-226580.9869
25.25,-65451.11987
25.250999999999998,-63803.128339999996
25.5,748266.4979
25.500999999999998,751539.5347
25.75,1035126.075
