timeStamp,P
0.1,1293958.587
0.25,1119756.675
0.251,1170137.788
0.5,568629.2170000001
0.501,562006.4102
0.75,-661271.6402
0.7509999999999999,-661970.7109
1.0,-20175.85111
1.01,10237.13938
1.25,363884.9777
1.251,365215.537
1.5,1042185.452
1.501,1045002.0290000001
1.75,1187999.739
1.751,1186796.825
2.0,924343.4684
2.01,923908.9304
2.25,1142384.394
2.251,1143600.932
2.5,1276456.961
2.501,1276183.736
2.75,1065559.9740000002
2.7510000000000003,1064373.961
3.0,-289815.528
3.01,621187.1621
3.25,-301804.4121
3.2510000000000003,-300688.0467
3.5,-130676.1474
3.5010000000000003,-130325.5647
3.75,-245493.8137
3.7510000000000003,-245914.407
4.0,-196953.9644
4.01,-190704.723
4.25,110535.4038
4.251,113063.7772
4.5,823190.7072
4.501,824970.4458
4.75,836782.748
4.751,836073.4053
5.0,790382.8211
5.01,790821.8943
5.25,603397.3651
5.251,601908.6707
5.5,320017.2649
5.501,319617.554
5.75,353862.282
5.751,354104.0836
6.0,-155937.4496
6.01,-190211.1743
6.25,-427636.6623
6.251,-426317.8134
6.5,-120231.8093
6.501,-120064.6397
6.75,-265214.9916
6.751,-265803.0745
7.0,-186311.4475
7.01,-176782.4265
7.25,64510.56808
7.251,65935.53283
7.5,485169.6188
7.501,486390.0355
7.75,600533.3769
7.751,600723.9317
8.0,583784.1397
8.01,578390.7687
8.25,260780.0959
8.251,258872.1475
8.5,-39417.79505
8.501,-39721.47079
8.75,305443.255
8.751,308688.4386
9.0,665738.439
9.01,660307.2157
9.25,763356.6773
9.251,764670.5519
9.5,663052.2812
9.501,661143.5791
9.75,452248.1994
9.751,453301.1728
10.0,835186.93
10.01,844520.1844
10.25,838334.9321
10.251,837679.7154
10.5,687149.7956
10.501,686970.6190000001
10.75,851997.7386
10.751,853287.8645
11.0,1058937.666
11.01,1060247.623
11.25,1050252.866
11.251,1062464.241
11.5,1243434.007
11.501,1243865.8
11.75,1270231.199
11.751,1269774.6979999999
12.0,625031.6345
12.01,588239.4552
12.25,214492.7322
12.251,214577.4082
12.5,263427.5846
12.501,263259.1194
12.75,131171.731
12.751,130424.7667
13.0,101746.0411
13.01,106945.1745
13.25,317509.07399999996
13.251,319028.3337
13.5,809631.4704
13.501,811198.7972
13.75,930506.6186
13.751,930351.0929
14.0,874415.3747
14.01,874069.6602
14.25,948743.9743
14.251,949264.0381
14.5,1058766.398
14.501,1058993.956
14.75,988634.9522
14.751,987737.0240000001
15.0,-3684.0871049999996
15.01,-57824.98331
15.25,-439451.6771
15.251,-438026.9209
15.5,-100522.1564
15.501,-100362.3006
15.75,-262046.6626
15.751,-262653.4491
16.0,-182339.1498
16.01,-172643.7997
16.25,191853.9436
16.250999999999998,194661.1296
16.5,1126392.472
16.500999999999998,1129352.162
16.75,1222974.864
16.750999999999998,1221481.322
17.0,969775.6344
17.01,970439.4513
17.25,1124049.143
17.250999999999998,1124765.703
17.5,1654776.5259999998
17.500999999999998,1657427.688
17.75,1797926.136
17.750999999999998,1796660.532
18.0,947863.6847
18.01,905324.7702
18.25,426267.9218
18.250999999999998,426135.3186
18.5,332780.6004
18.500999999999998,331592.3702
18.75,24056.440590000002
18.750999999999998,23335.72194
19.0,100321.3348
19.01,110186.1043
19.25,471909.8738
19.250999999999998,474277.7111
19.5,1020132.027
19.500999999999998,1021164.7559999999
19.75,954491.2025
19.750999999999998,954241.0263
20.0,1176506.048
20.01,1217831.3090000001
20.25,1294823.848
20.250999999999998,1294503.317
20.5,1199249.836
20.500999999999998,1198863.97
20.75,1053152.712
20.750999999999998,1052343.45
21.0,342422.6703
21.01,303770.6234
21.25,-30137.762239999996
21.250999999999998,-29557.13957
21.5,9270.478762
21.500999999999998,8401.751295999999
21.75,-210946.99300000002
21.750999999999998,-211216.4662
22.0,-35424.42958
22.01,-23785.32635
22.25,297027.9903
22.250999999999998,299220.0995
22.5,1012438.265
22.500999999999998,1014661.462
22.75,1158647.548
