Time,Month,Day,Time of the day,Wind power generation - hourly data
1/7/2018 1:00,1,7,1,1485
1/7/2018 2:00,1,7,2,1519
1/7/2018 3:00,1,7,3,1518
1/7/2018 4:00,1,7,4,1546
1/7/2018 5:00,1,7,5,1562
1/7/2018 6:00,1,7,6,1582
1/7/2018 7:00,1,7,7,1593
1/7/2018 8:00,1,7,8,1599
1/7/2018 9:00,1,7,9,1601
1/7/2018 10:00,1,7,10,1591
1/7/2018 11:00,1,7,11,1535
1/7/2018 12:00,1,7,12,1554
1/7/2018 13:00,1,7,13,1489
1/7/2018 14:00,1,7,14,1349
1/7/2018 15:00,1,7,15,1328
1/7/2018 16:00,1,7,16,1292
1/7/2018 17:00,1,7,17,1214
1/7/2018 18:00,1,7,18,1077
1/7/2018 19:00,1,7,19,950
1/7/2018 20:00,1,7,20,890
1/7/2018 21:00,1,7,21,881
1/7/2018 22:00,1,7,22,823
1/7/2018 23:00,1,7,23,809
1/8/2018 0:00,1,8,0,791
1/8/2018 1:00,1,8,1,840
1/8/2018 2:00,1,8,2,921
1/8/2018 3:00,1,8,3,1010
1/8/2018 4:00,1,8,4,1162
1/8/2018 5:00,1,8,5,1262
1/8/2018 6:00,1,8,6,1213
1/8/2018 7:00,1,8,7,1264
1/8/2018 8:00,1,8,8,1279
1/8/2018 9:00,1,8,9,1317
1/8/2018 10:00,1,8,10,1336
1/8/2018 11:00,1,8,11,1332
1/8/2018 12:00,1,8,12,1317
1/8/2018 13:00,1,8,13,1267
1/8/2018 14:00,1,8,14,1235
1/8/2018 15:00,1,8,15,1309
1/8/2018 16:00,1,8,16,1278
1/8/2018 17:00,1,8,17,1190
1/8/2018 18:00,1,8,18,1190
1/8/2018 19:00,1,8,19,1122
1/8/2018 20:00,1,8,20,1026
1/8/2018 21:00,1,8,21,1062
1/8/2018 22:00,1,8,22,1060
1/8/2018 23:00,1,8,23,1045
1/9/2018 0:00,1,9,0,990
1/9/2018 1:00,1,9,1,971
1/9/2018 2:00,1,9,2,998
1/9/2018 3:00,1,9,3,988
1/9/2018 4:00,1,9,4,903
1/9/2018 5:00,1,9,5,904
1/9/2018 6:00,1,9,6,858
1/9/2018 7:00,1,9,7,737
1/9/2018 8:00,1,9,8,697
1/9/2018 9:00,1,9,9,605
1/9/2018 10:00,1,9,10,561
1/9/2018 11:00,1,9,11,545
1/9/2018 12:00,1,9,12,523
1/9/2018 13:00,1,9,13,538
1/9/2018 14:00,1,9,14,548
1/9/2018 15:00,1,9,15,528
1/9/2018 16:00,1,9,16,577
1/9/2018 17:00,1,9,17,578
1/9/2018 18:00,1,9,18,512
1/9/2018 19:00,1,9,19,394
1/9/2018 20:00,1,9,20,333
1/9/2018 21:00,1,9,21,284
1/9/2018 22:00,1,9,22,254
1/9/2018 23:00,1,9,23,253
1/10/2018 0:00,1,10,0,244
1/10/2018 1:00,1,10,1,277
1/10/2018 2:00,1,10,2,316
1/10/2018 3:00,1,10,3,321
1/10/2018 4:00,1,10,4,331
1/10/2018 5:00,1,10,5,297
1/10/2018 6:00,1,10,6,224
1/10/2018 7:00,1,10,7,203
1/10/2018 8:00,1,10,8,186
1/10/2018 9:00,1,10,9,172
1/10/2018 10:00,1,10,10,153
1/10/2018 11:00,1,10,11,117
1/10/2018 12:00,1,10,12,86
1/10/2018 13:00,1,10,13,83
1/10/2018 14:00,1,10,14,108
1/10/2018 15:00,1,10,15,101
1/10/2018 16:00,1,10,16,62
1/10/2018 17:00,1,10,17,62
1/10/2018 18:00,1,10,18,61
1/10/2018 19:00,1,10,19,47
1/10/2018 20:00,1,10,20,38
1/10/2018 21:00,1,10,21,38
1/10/2018 22:00,1,10,22,39
1/10/2018 23:00,1,10,23,40
1/11/2018 0:00,1,11,0,41
1/11/2018 1:00,1,11,1,45
1/11/2018 2:00,1,11,2,40
1/11/2018 3:00,1,11,3,38
1/11/2018 4:00,1,11,4,38
1/11/2018 5:00,1,11,5,41
1/11/2018 6:00,1,11,6,41
1/11/2018 7:00,1,11,7,26
1/11/2018 8:00,1,11,8,34
1/11/2018 9:00,1,11,9,50
1/11/2018 10:00,1,11,10,65
1/11/2018 11:00,1,11,11,72
1/11/2018 12:00,1,11,12,87
1/11/2018 13:00,1,11,13,102
1/11/2018 14:00,1,11,14,116
1/11/2018 15:00,1,11,15,109
1/11/2018 16:00,1,11,16,112
1/11/2018 17:00,1,11,17,115
1/11/2018 18:00,1,11,18,138
1/11/2018 19:00,1,11,19,145
1/11/2018 20:00,1,11,20,144
1/11/2018 21:00,1,11,21,150
1/11/2018 22:00,1,11,22,155
1/11/2018 23:00,1,11,23,153
1/12/2018 0:00,1,12,0,169
1/12/2018 1:00,1,12,1,188
1/12/2018 2:00,1,12,2,199
1/12/2018 3:00,1,12,3,205
1/12/2018 4:00,1,12,4,198
1/12/2018 5:00,1,12,5,198
1/12/2018 6:00,1,12,6,209
1/12/2018 7:00,1,12,7,233
1/12/2018 8:00,1,12,8,253
1/12/2018 9:00,1,12,9,285
1/12/2018 10:00,1,12,10,347
1/12/2018 11:00,1,12,11,374
1/12/2018 12:00,1,12,12,396
1/12/2018 13:00,1,12,13,435
1/12/2018 14:00,1,12,14,458
1/12/2018 15:00,1,12,15,483
1/12/2018 16:00,1,12,16,494
1/12/2018 17:00,1,12,17,495
1/12/2018 18:00,1,12,18,523
1/12/2018 19:00,1,12,19,556
1/12/2018 20:00,1,12,20,534
1/12/2018 21:00,1,12,21,534
1/12/2018 22:00,1,12,22,508
1/12/2018 23:00,1,12,23,493
1/13/2018 0:00,1,13,0,471
1/13/2018 1:00,1,13,1,450
1/13/2018 2:00,1,13,2,423
1/13/2018 3:00,1,13,3,422
1/13/2018 4:00,1,13,4,356
1/13/2018 5:00,1,13,5,332
1/13/2018 6:00,1,13,6,331
1/13/2018 7:00,1,13,7,323
1/13/2018 8:00,1,13,8,310
1/13/2018 9:00,1,13,9,320
1/13/2018 10:00,1,13,10,306
1/13/2018 11:00,1,13,11,317
1/13/2018 12:00,1,13,12,320
1/13/2018 13:00,1,13,13,329
1/13/2018 14:00,1,13,14,377
1/13/2018 15:00,1,13,15,378
1/13/2018 16:00,1,13,16,394
1/13/2018 17:00,1,13,17,401
1/13/2018 18:00,1,13,18,404
1/13/2018 19:00,1,13,19,421
1/13/2018 20:00,1,13,20,419
1/13/2018 21:00,1,13,21,459
1/13/2018 22:00,1,13,22,503
1/13/2018 23:00,1,13,23,558
1/14/2018 0:00,1,14,0,561
1/14/2018 1:00,1,14,1,604
1/14/2018 2:00,1,14,2,656
1/14/2018 3:00,1,14,3,672
1/14/2018 4:00,1,14,4,708
1/14/2018 5:00,1,14,5,694
1/14/2018 6:00,1,14,6,702
1/14/2018 7:00,1,14,7,729
1/14/2018 8:00,1,14,8,753
1/14/2018 9:00,1,14,9,788
1/14/2018 10:00,1,14,10,829
1/14/2018 11:00,1,14,11,872
1/14/2018 12:00,1,14,12,902
1/14/2018 13:00,1,14,13,924
1/14/2018 14:00,1,14,14,926
1/14/2018 15:00,1,14,15,927
1/14/2018 16:00,1,14,16,961
1/14/2018 17:00,1,14,17,997
1/14/2018 18:00,1,14,18,1060
1/14/2018 19:00,1,14,19,1090
1/14/2018 20:00,1,14,20,1128
1/14/2018 21:00,1,14,21,1156
1/14/2018 22:00,1,14,22,1216
1/14/2018 23:00,1,14,23,1220
1/15/2018 0:00,1,15,0,1257
1/15/2018 1:00,1,15,1,1313
1/15/2018 2:00,1,15,2,1334
1/15/2018 3:00,1,15,3,1331
1/15/2018 4:00,1,15,4,1345
1/15/2018 5:00,1,15,5,1370
1/15/2018 6:00,1,15,6,1386
1/15/2018 7:00,1,15,7,1397
1/15/2018 8:00,1,15,8,1414
1/15/2018 9:00,1,15,9,1433
1/15/2018 10:00,1,15,10,1442
