timeStamp,P
0.1,1323478.498
0.25,1378343.178
0.251,1430671.894
0.5,1616739.217
0.501,1614672.961
0.75,743160.8162
0.7509999999999999,738811.7198
1.0,-63236.125889999996
1.01,-72400.79987999999
1.25,101506.0029
1.251,101851.7923
1.5,-45891.86843
1.501,-46681.077769999996
1.75,-44392.13424
1.751,-43765.84122
2.0,96150.55325
2.01,98938.09095
2.25,265667.0873
2.251,267509.1265
2.5,780357.2023
2.501,781590.9607
2.75,976639.858
2.7510000000000003,978014.2681
3.0,1178572.3490000002
3.01,1177118.091
3.25,1052337.054
3.2510000000000003,1051850.045
3.5,1420777.491
3.5010000000000003,1423413.6409999998
3.75,1609181.606
3.7510000000000003,1607590.69
4.0,506188.5903
4.01,454723.8849
4.25,132662.0656
4.251,134191.0211
4.5,332764.8024
4.501,331971.175
4.75,65390.61557
4.751,65101.26433
5.0,321602.8278
5.01,337177.5391
5.25,506682.0507
5.251,506714.42
5.5,687130.2928
5.501,688459.4582
5.75,939089.7354
5.751,939639.7298
6.0,1018969.733
6.01,1022596.397
6.25,1120343.895
6.251,1120716.845
6.5,1262343.0259999998
6.501,1263036.207
6.75,1316929.493
6.751,1316095.762
7.0,645210.159
7.01,615742.2332
7.25,562453.0736
7.251,564040.5077
7.5,631330.4736
7.501,630061.5795
7.75,307051.088
7.751,306301.2136
8.0,353836.5809
8.01,360837.0319
8.25,445542.6225
8.251,445600.2771
8.5,807709.9487
8.501,810303.182
8.75,1705338.8669999999
8.751,1684270.28
9.0,1221158.361
9.01,1237573.4340000001
9.25,1206574.422
9.251,1205818.375
9.5,1277084.5929999999
9.501,1278203.924
9.75,1470718.629
9.751,1470626.83
10.0,586901.8285
10.01,532174.6896
10.25,125756.6819
10.251,127852.8174
10.5,590810.7813
10.501,590962.409
10.75,191200.0004
10.751,189151.6689
11.0,18461.325969999998
11.01,25313.557409999998
11.25,215058.6927
11.251,215465.4782
11.5,501536.87299999996
11.501,503316.7975
11.75,949280.145
11.751,951113.252
12.0,1110373.1670000001
12.01,1105880.767
12.25,1071466.889
12.251,1072271.271
12.5,1336702.904
12.501,1337216.9440000001
12.75,1138045.747
12.751,1135910.562
13.0,55348.079439999994
13.01,10483.29807
13.25,-156798.2725
13.251,-155082.2901
13.5,71603.92087999999
13.501,71184.79996
13.75,-36108.569760000006
13.751,-35910.84721
14.0,28935.77465
14.01,27856.474589999998
14.25,25066.063769999997
14.251,25742.18712
14.5,324655.2198
14.501,378937.4787
14.75,647459.0381
14.751,646254.0883
15.0,743239.0821
15.01,739280.5645
15.25,911450.4562
15.251,913578.3355
15.5,1526463.994
15.501,1528464.096
15.75,1577056.533
15.751,1574941.7380000001
16.0,257647.4191
16.01,192702.0322
16.25,-276987.1662
16.250999999999998,-274946.3559
16.5,52864.25015
16.500999999999998,52093.8685
16.75,-313228.5096
16.750999999999998,-314173.5953
17.0,-235327.46
17.01,-225612.2157
17.25,-84377.98767
17.250999999999998,-84094.08013999999
17.5,-34477.43679
17.500999999999998,-34348.59887
17.75,222444.7785
17.750999999999998,225448.2399
18.0,1097771.178
18.01,1119980.183
18.25,1349453.325
18.250999999999998,1350626.065
18.5,1653918.075
18.500999999999998,1654563.7759999998
18.75,1672533.02
18.750999999999998,1672479.73
19.0,1020433.6379999999
19.01,974152.2624
19.25,352237.3411
19.250999999999998,352359.5039
19.5,280065.9162
19.500999999999998,279465.2325
19.75,-169213.5868
19.750999999999998,-170272.9387
20.0,-145056.4649
20.01,-138447.0602
20.25,-7958.042036
20.250999999999998,-7316.242048
20.5,-60854.67394
20.500999999999998,-61787.893220000005
20.75,828321.6783
20.750999999999998,839120.7587
21.0,2293943.759
21.01,2281240.351
21.25,1358640.737
21.250999999999998,1354542.601
21.5,919418.3608
21.500999999999998,920318.3277
21.75,1284754.0559999999
21.750999999999998,1284778.865
22.0,463993.1792
22.01,417538.4325
22.25,140737.1475
22.250999999999998,142658.6207
22.5,453409.9376
22.500999999999998,453031.5034
22.75,226694.76
22.750999999999998,226135.2119
23.0,364076.7301
23.01,374693.2152
23.25,531257.1997
23.250999999999998,531920.5883
23.5,934930.4645
23.500999999999998,936904.8890000001
23.75,1275606.707
23.750999999999998,1276803.986
24.0,1320859.857
24.01,1312969.9440000001
24.25,1148448.5320000001
24.250999999999998,1148158.303
24.5,1088130.269
24.500999999999998,1087912.966
24.75,1002347.218
24.750999999999998,1001142.345
25.0,259839.5449
25.01,227745.1649
25.25,36791.87475
25.250999999999998,37483.92067
25.5,69952.64003
25.500999999999998,69465.75048
25.75,19182.22679
25.750999999999998,19297.9354
26.0,122341.5366
26.01,127713.7417
26.25,342839.6786
26.250999999999998,344720.7177
26.5,1029696.704
26.500999999999998,1032144.29
26.75,1322617.022
26.750999999999998,1322968.22
27.0,1138149.459
27.01,1125237.068
27.25,1143055.472
27.250999999999998,1144774.374
27.5,1319014.475
27.500999999999998,1318169.727
27.75,1031857.446
27.750999999999998,1031013.212
28.0,362852.2697
28.01,322723.3997
28.25,-134361.0994
28.250999999999998,-133323.5598
28.5,438304.7488
28.500999999999998,440429.8052
28.75,743972.5123
28.750999999999998,744574.2521
29.0,662637.8852
29.01,653634.7085
29.25,718074.4571
29.250999999999998,720382.7109
29.5,1472632.585
29.500999999999998,1474610.7340000002
