Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
28	57629.5	5741.694	64363.0	50011.0	1000.0	149.8461	0.0003546941	149.84631	149.83849	116000	-1.2636185e-07	28093880.0	-0.017278483	-49230.0	0.91186184	0.015219376	0.11975	30.0	26067.169181108475
29	60705.0	9475.835	72542.0	46470.0	1000.0	154.74043	0.00032457736	154.7406	154.73318	120000	2.6369096e-07	31937132.0	-0.010395925	-55088.0	0.91465163	0.01553834	0.09075	17.0	26619.926341295242
30	56125.75	7427.4824	67585.0	47404.0	1000.0	159.90822	0.00030391107	159.90842	159.90138	124000	4.768372e-09	27038634.0	-0.013974742	-47800.0	0.9159803	0.015019595	0.12275	58.0	27180.7880089283
31	62518.5	4039.5723	68904.0	58252.0	1000.0	164.7672	0.0002966741	164.76738	164.76114	128000	2.2614003e-07	32540128.0	-0.014569302	-57062.0	0.90538824	0.015041974	0.10525	45.0	27794.960520744324
32	58548.25	6416.254	64515.0	48023.0	1000.0	170.02979	0.00031419733	170.02997	170.02545	132000	-7.510186e-08	29657474.0	-0.015007023	-52076.0	0.9001043	0.015111801	0.1185	32.0	28257.002076148987
33	61584.25	3021.5674	64612.0	58352.0	1000.0	175.1	0.0002554797	175.10013	175.09589	136000	-1.525879e-07	34129696.0	-0.010150747	-60340.0	0.8952563	0.015155908	0.11225	13.0	28729.815992355347
34	59789.75	5303.712	64574.0	51672.0	1000.0	180.51408	0.0002455806	180.51422	180.51021	140000	-3.3318997e-08	32181532.0	-0.019044144	-56952.0	0.89338243	0.015023067	0.12225	55.0	29217.779443264008
35	58776.5	7337.1064	64442.0	46511.0	1000.0	185.80008	0.00023382557	185.80022	185.7964	144000	-2.48909e-07	29875672.0	-0.01016506	-52462.0	0.90017545	0.015100566	0.14925	10.0	29668.418687820435
36	65029.5	1459.5647	67413.0	63442.0	1000.0	190.87738	0.00017688879	190.8775	190.87564	148000	-2.7847292e-07	35573736.0	-0.01989454	-62888.0	0.8994111	0.014877202	0.123	79.0	30104.248275518417
37	60402.5	4948.4907	65823.0	54723.0	1000.0	196.38812	0.00017508888	196.38828	196.38776	152000	-2.1970273e-07	31082522.0	-0.016205845	-55108.0	0.9137791	0.015140817	0.13025	54.0	30532.02166891098
38	62786.25	2252.89	64884.0	59336.0	1000.0	201.58969	0.00017240322	201.58977	201.5881	156000	1.3136864e-07	33872616.0	-0.017445052	-59400.0	0.9118488	0.015211389	0.12325	47.0	30967.847970724106
