TimeStamp,Solar Sensor;solar_irradiance;Avg,Top Anemometer;wind_speed;Avg,Hygro/Thermo;temperature;Avg
0,21.140788,3.3214,22.5313
0.25,71.823764,2.8377,23.88135
0.2501,239.62804,2.4662,25.44941
0.5,427.303846,2.0532,27.51833
0.501,749.114797,2.2994,30.51547
0.75,946.464588,2.2677,32.21913
0.7501,636.014681,2.0025,33.23188
1,344.469776,1.7239,32.5821
1.01,339.426661,2.4354,32.07449
1.25,286.077497,1.6111,33.51997
1.2501,268.30062,2.2574,32.9464
1.5,45.194145,2.7819,31.90283
1.501,0,2.0563,31.01928
1.75,0,1.5206,29.94698
1.7501,0,2.8417,28.62609
2,0,1.4469,28.01633
2.01,0,1.738,27.81705
2.25,0,2.3208,27.12342
2.2501,0,3.0427,27.22832
2.5,0,2.6168,27.07655
2.501,0,1.8677,26.77749
2.75,0,1.7826,26.48008
70.7501,0,2.3719,26.49631
71,0.48996,1.4106,26.10571
