TimeStamp,wSpeed100
49.7501,3.37
50,3.18
50.01,8.58
50.25,7.4
50.2501,8.06
50.5,8.8
50.501,9.38
50.75,9.51
50.7501,9.22
51,9.26
51.01,9.31
51.25,9.17
51.2501,10.43
51.5,10.55
51.501,10.33
51.75,9.96
51.7501,7.2
52,7.14
52.01,6.37
52.25,5.52
52.2501,4.46
52.5,4.32
52.501,4.54
52.75,5.41
52.7501,6.3
53,7.09
53.01,8.12
53.25,8.85
53.2501,8.88
53.5,8.86
53.501,9.11
53.75,9.57
53.7501,9.61
54,9.46
54.01,9.24
54.25,9.33
54.2501,9.3
54.5,9.25
54.501,9.34
54.75,9.27
54.7501,6.72
55,7.07
55.01,6.95
55.25,6.29
55.2501,5.46
55.5,5.12
55.501,4.51
55.75,4.62
55.7501,5.32
56,5.89
56.01,6.9
56.25,8.74
56.2501,9.94
56.5,10.16
56.501,9.98
56.75,10.03
56.7501,9.74
57,9.66
57.01,9.52
57.25,9.55
57.2501,10.45
57.5,10.27
57.501,10.18
57.75,9.35
57.7501,6.91
58,7.11
58.01,7.01
58.25,6.85
58.2501,7.63
58.5,7.94
58.501,7.74
58.75,7.66
58.7501,7.8
59,9.34
59.01,10.03
59.25,10.69
59.2501,10.16
59.5,10.59
59.501,10.77
59.75,10.98
59.7501,10.97
60,10.9
60.01,10.79
60.25,10.13
60.2501,9.63
60.5,8.41
60.501,7.09
60.75,6.21
60.7501,4.62
61,5.63
61.01,6.09
61.25,6.44
61.2501,7.04
61.5,7.5
61.501,7.36
61.75,7.33
61.7501,7.55
62,8.05
62.01,9.27
62.25,10.46
62.2501,10.31
62.5,9.88
62.501,9.66
62.75,9.97
62.7501,10.15
63,10.78
63.01,11.03
63.25,10.74
63.2501,9.45
63.5,9.92
63.501,9.8
63.75,9.36
63.7501,7.59
64,6.58
64.01,7.16
64.25,7.62
64.2501,8.33
64.5,8.92
64.501,9.4
64.75,10.06
64.7501,10.71
65,10.55
65.01,9.87
65.25,9.94
65.2501,10.47
65.5,10.45
65.501,10.95
65.75,11.06
65.7501,11.37
66,11.41
66.01,10.94
66.25,10.48
66.2501,10.04
66.5,9.7
66.501,9.38
66.75,9.3
66.7501,6.89
67,7.16
67.01,7.43
67.25,8.35
67.2501,9.04
67.5,9.29
67.501,9.66
67.75,9.9
67.7501,9.48
68,9.25
68.01,8.67
68.25,10.58
68.2501,11.05
68.5,11
68.501,11.29
68.75,11.47
68.7501,11.05
69,11.2
69.01,11.15
69.25,10.78
69.2501,9.86
69.5,10.05
69.501,10.5
69.75,10.74
69.7501,7.68
70,6.82
70.01,7.28
70.25,8.98
70.2501,10.09
70.5,9.8
70.501,8.53
70.75,7.3
70.7501,6.84
71,7.71
71.01,9.46
71.25,10.45
71.2501,10.66
71.5,10.07
71.501,9.58
71.75,9.81
71.7501,10.49
72,10.7
72.01,10.45
72.25,10.16
72.2501,9.59
72.5,9.16
72.501,9.24
72.75,9.1
72.7501,6.2
73,6.54
73.01,6.55
73.25,5.56
73.2501,5.1
73.5,4.46
73.501,3.9
73.75,3.77
73.7501,4.59
74,5.67
74.01,7.32
74.25,7.8
74.2501,8.44
74.5,8.64
74.501,8.46
74.75,8.21
74.7501,7.87
75,7.38
75.01,7.52
75.25,7.73
75.2501,8.23
75.5,8.19
75.501,8.2
75.75,8.02
75.7501,6.66
76,4.88
76.01,5.05
76.25,3.89
76.2501,3.42
76.5,3.07
76.501,3.03
76.75,3.37
76.7501,3.96
77,4.25
77.01,5.67
77.25,6.63
77.2501,7.7
77.5,8.24
77.501,8.46
77.75,8.3
77.7501,7.87
78,7.3
78.01,6.7
78.25,6.43
78.2501,6.37
78.5,6.57
78.501,6.89
78.75,7.26
78.7501,5.96
79,4.86
79.01,4.95
79.25,4.24
79.2501,4.01
79.5,3.95
79.501,3.68
79.75,4
79.7501,5.76
80,6.77
80.01,7.78
80.25,9.01
80.2501,9.71
80.5,9.79
80.501,9.45
80.75,9.13
80.7501,8.98
81,8.86
81.01,9.06
81.25,8.84
81.2501,7.36
81.5,7.94
81.501,8.2
81.75,8.8
81.7501,6.04
82,5.38
82.01,4.86
82.25,4.16
82.2501,3.21
82.5,2.61
82.501,2.74
82.75,3.26
82.7501,4.58
83,6.68
83.01,12.86
83.25,12.07
83.2501,11.51
83.5,11.1
83.501,10.82
83.75,9.95
83.7501,9.23
84,8.85
84.01,9.02
84.25,9.68
84.2501,10.04
84.5,10.17
84.501,10.36
84.75,10.09
84.7501,10.35
85,10.03
85.01,8.96
85.25,8.02
85.2501,7.29
85.5,6.85
85.501,6.51
85.75,6.07
85.7501,5.98
86,6.42
86.01,7.53
86.25,8.2
86.2501,8.23
86.5,8.63
86.501,8.75
86.75,8.55
86.7501,8.2
87,8.16
87.01,8.5
87.25,8.26
87.2501,9.46
87.5,8.79
87.501,8.34
87.75,8.27
87.7501,6.98
88,6.04
88.01,5.77
88.25,5.74
88.2501,5.74
88.5,5.29
88.501,4.96
88.75,4.92
