time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,157722.5512,-2769936.519,0,,
0.2,485097.3962,-2071353.712,0.25,,
0.3,615630.785,-1558992.803,0.2501,,
0.4,522166.2445,-1155911.242,,,
0.5,355178.2552,-856546.2149,0.5,,
0.6,263787.4917,-652330.496,0.501,,
0.7,351987.2061,-526501.7948,0.75,,
0.8,561372.3556,-463988.6614,0.7501,,
0.9,682122.3472,-429356.449,,,
1,618362.2868,-384717.8479,1,,
1.1,453887.4754,-334301.8204,,,
1.2,268437.1369,-291793.7765,1.25,,
1.3,143549.4056,-264103.253,1.2501,,
1.4,277733.1357,-259560.139,,,
1.5,625147.5317,-294442.0696,1.5,,
1.6,904962.8302,-352769.1982,1.501,,
1.7,939230.6421,-377394.469,1.75,,
1.8,747333.7135,-348017.2399,1.7501,,
1.9,309155.3204,-283233.8681,,,
2,-205499.6393,-247315.3178,2,0,
2.1,-485661.3843,-253212.0594,,,
2.2,-428053.8653,-253707.9931,2.25,0.25,
2.3,-163458.3045,-244777.8726,2.2501,0.2501,
2.4,32800.38158,-241415.2266, , ,
2.5,16194.02908,-234723.4057,2.5,0.5,
2.6,-142856.0558,-227768.4182,2.501,0.501,
2.7,-293473.8444,-229012.0964,2.75,0.75,
2.8,-333238.2793,-232954.3865,2.7501,0.7501,
2.9,-235597.7005,-232452.6229, , ,
3,-69763.61868,-230978.7321,3,0,3
3.1,52404.67131,-231051.6906, ,, 
3.2,183449.9079,-234268.5999,3.25,0.25,3
3.3,375151.0174,-248455.8375,3.2501,0.2501,3
3.4,612676.7172,-280070.4378, , ,3
3.5,815489.9941,-324124.3614,3.5,0.5,3
3.6,890841.235,-353802.6429,3.501,0.501,3
3.7,875221.6745,-362663.0652,3.75,0.75,3
3.8,821350.9824,-358427.3543,3.7501,0.7501,3
3.9,661825.9907,-331269.0569, , , 
4,401787.4093,-288058.6118,4,0,4
4.1,175267.1926,-256190.336, ,,4
4.2,78748.35819,-240820.5661,4.25,0.25,4
4.3,130322.8363,-236745.546,4.2501,0.2501,4
4.4,257592.7457,-241229.4872, , , 
