time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,207707.1071,-2780949.825,0,,
0.2,756371.5877,-2170108.998,0.25,,
0.3,1196012.609,-1827005.662,0.2501,,
0.4,1304920.468,-1534419.138,,,
0.5,1083428.86,-1196289.66,0.5,,
0.6,674355.0722,-874407.5935,0.501,,
0.7,324440.4985,-644724.4601,0.75,,
0.8,207686.9177,-504092.9379,0.7501,,
0.9,188570.8816,-414557.9904,,,
1,130471.2706,-350683.9208,1,,
1.1,77735.74266,-306925.7087,,,
1.2,34237.62444,-277557.3971,1.25,,
1.3,-136.3605238,-257911.2797,1.2501,,
1.4,-17529.11069,-245188.2147,,,
1.5,-24115.16829,-236905.5678,1.5,,
1.6,-26077.63224,-231454.8707,1.501,,
1.7,-32450.22606,-227708.6952,1.75,,
1.8,-39562.47966,-225152.2478,1.7501,,
1.9,-22858.22983,-223867.0748,,,
2,20600.28268,-223837.9293,2,0,
2.1,66348.90507,-224422.9878,,,
2.2,120370.2963,-225891.7265,2.25,0.25,
2.3,194628.2138,-229577.2679,2.2501,0.2501,
2.4,316315.0331,-238814.2142, , ,
2.5,460169.2057,-255617.1278,2.5,0.5,
2.6,555745.8396,-272117.3049,2.501,0.501,
2.7,631567.1373,-288118.2609,2.75,0.75,
2.8,708873.298,-307000.7947,2.7501,0.7501,
2.9,761036.9567,-323537.6007, , ,
3,772641.3577,-332730.7711,3,0,3
3.1,746656.482,-332757.2436, ,, 
3.2,681486.508,-323213.2009,3.25,0.25,3
3.3,616692.7038,-310649.0432,3.2501,0.2501,3
3.4,676690.2746,-316370.6192, , ,3
3.5,837643.0197,-347724.8279,3.5,0.5,3
3.6,950003.9311,-381392.0317,3.501,0.501,3
3.7,974033.5294,-398959.0535,3.75,0.75,3
3.8,937203.7807,-399130.4301,3.7501,0.7501,3
3.9,600584.792,-339411.3783, , , 
4,-1520.813489,-267608.5039,4,0,4
4.1,-426824.9363,-258123.4561, ,,4
4.2,-502311.9867,-262919.59,4.25,0.25,4
4.3,-330305.9657,-254675.8789,4.2501,0.2501,4
4.4,-124718.406,-246018.9668, , , 
4.5,-47044.50795,-239634.697,4.5,0.5,4
4.6,-109515.9578,-232957.0732,4.501,0.501,4
4.7,-233568.9599,-230471.187,4.75,0.75,4
4.8,-323115.1173,-233155.1738,4.7501,0.7501,4
4.9,-328955.1495,-235696.4215, , , 
5,-273075.2141,-235422.5807,5,0,5
5.1,-211079.6744,-233680.5676, ,,5
5.2,-186042.7452,-231749.2374,5.25,0.25,5
5.3,-202868.0126,-230369.5799,5.2501,0.2501,5
5.4,-238571.3208,-230249.7212, , ,5
5.5,-265057.0933,-231144.1264,5.5,0.5,5
5.6,-265996.5358,-231954.4112,5.501,0.501,5
5.7,-219140.1518,-231343.1631,5.75,0.75,5
5.8,-134317.2056,-229793.0338,5.7501,0.7501,5
5.9,-40766.89065,-228544.1072, , ,5
6,22338.0508,-227678.4171,6,0,6
6.1,23950.50599,-225546.7667, ,,6
6.2,-24026.5959,-222635.9642,6.25,0.25,6
6.3,-82268.60108,-220843.0808,6.2501,0.2501,6
6.4,-113837.9468,-220689.8683, , ,6
6.5,-115940.4829,-221219.2796,6.5,0.5,6
6.6,-108791.1602,-221692.2616,6.501,0.501,6
6.7,-123336.3589,-221909.3207,6.75,0.75,6
6.8,-159705.8016,-222312.9897,6.7501,0.7501,6
6.9,-210473.3252,-223737.0223, , ,6
7,-261825.3566,-226391.2251,7,0,7
7.1,-278403.6298,-229067.3045, ,, 
7.2,-256970.0638,-230370.6019,7.25,0.25,7
7.3,-223084.7976,-230381.3558,7.2501,0.2501,7
