TimeStamp,Solar Sensor;solar_irradiance;Avg,Top Anemometer;wind_speed;Avg,Hygro/Thermo;temperature;Avg
0,120.45822,2.7456,26.56645
0.25,326.265314,3.8488,27.44166
0.2501,542.518175,4.8787,28.4159
0.5,713.034333,4.9917,29.29996
0.501,868.625638,4.9805,31.05113
0.75,916.011787,4.8628,32.38177
0.7501,888.178455,4.1067,33.96639
1,281.514663,3.8653,35.39546
1.01,627.89411,2.6628,36.23162
1.25,429.117613,3.6165,36.08504
1.2501,192.728231,2.3536,36.15099
1.5,33.734336,1.677,34.46635
1.501,0,2.0494,33.1736
1.75,0,2.2507,32.32462
1.7501,0,1.3433,31.56684
2,0,1.2275,30.8434
2.01,0,2.7068,30.43565
2.25,0,1.3807,30.05234
2.2501,0,2.7069,30.10308
2.5,0,1.5035,29.43027
2.501,0,1.515,28.56364
2.75,0,3.0725,27.81761
73.7501,0,2.9261,27.56893
74,1.22073,3.5531,27.04162
