time,p:1,q :1,timeStamp
0.15,1256823.181,-2372531.355,18.751
0.151,1187278.108,-2170671.855,19
0.152,1037760.826,-2009134.788,19.01
0.153,830848.5713,-1907712.063,19.25
0.154,596142.451,-1877785.629,19.251
0.155,366193.955,-1921016.606,19.5
0.156,172141.0337,-2029351.318,19.501
0.157,39636.21471,-2186312.88,19.75
0.158,-14403.37549,-2369377.61,19.751
0.159,16184.57488,-2553096.616,20
0.16,126255.2141,-2712532.07,20.01
0.161,300308.5722,-2826545.967,20.25
0.162,514784.0519,-2880509.366,20.251
0.163,741362.3174,-2868086.874,20.5
0.164,950814.7941,-2791881.642,20.501
0.165,1116879.905,-2662882.078,20.75
0.166,1219654.243,-2498811.578,20.751
0.167,1248063.219,-2321625.416,21
0.168,1201107.668,-2154506.163,21.01
0.169,1087751.641,-2018767.039,21.25
0.17,925499.0758,-1931075.184,21.251
0.171,737878.779,-1901354.785,21.5
0.172,551195.8038,-1931631.606,21.501
0.173,390995.3699,-2015949.784,21.75
0.174,278712.5835,-2141346.843,21.751
0.175,228945.2473,-2289733.176,22
0.176,247694.3033,-2440406.126,22.01
0.177,331780.5144,-2572851.085,22.25
0.178,469485.836,-2669452.09,22.251
0.179,642305.2643,-2717755.205,22.5
0.18,827551.277,-2711995.517,22.501
0.181,1001446.788,-2653702.868,22.75
0.182,1142286.928,-2551327.816,22.751
0.183,1233251.039,-2418960.418,23
0.184,1264502.522,-2274332.84,23.01
0.185,1234316.863,-2136387.067,23.25
0.186,1149112.608,-2022739.877,23.251
0.187,1022407.752,-1947382.95,23.5
0.188,872865.1805,-1918916.887,23.501
0.189,721706.9723,-1939540.203,23.75
0.19,589853.812,-2004909.264,23.751
0.191,495173.3997,-2104867.213,24
0.192,450198.0645,-2224924.978,24.01
0.193,460601.2031,-2348280.681,24.25
0.194,524615.0837,-2458097.532,24.251
0.195,633444.006,-2539732.626,24.5
0.196,772594.2453,-2582622.772,24.501
0.197,923923.2121,-2581585.855,24.75
0.198,1068120.198,-2537379.257,24.751
0.199,1187281.123,-2456459.041,25
0.2,1267235.465,-2349990.715,25.01
0.201,1299324.551,-2232260.285,25.25
0.202,1281409.871,-2118710.077,25.251
0.203,1217997.154,-2023868.175,25.5
0.204,1119481.304,-1959447.959,25.501
0.205,1000632.968,-1932865.104,25.75
0.206,878544.6964,-1946358.34,25.751
0.207,770320.6396,-1996815.966,26
0.208,690820.6378,-2076314.35,26.01
0.209,650754.8903,-2173280.325,26.25
0.21,655371.969,-2274108.893,26.251
0.211,703898.8278,-2365011.413,26.5
0.212,789788.4518,-2433844.233,26.501
0.213,901722.9415,-2471676.247,26.75
0.214,1025221.468,-2473894.111,26.751
0.215,1144626.413,-2440709.864,27
0.216,1245196.623,-2377018.009,27.01
0.217,1315029.133,-2291636.487,27.25
0.218,1346560.093,-2196046.672,27.251
0.219,1337457.131,-2102811.07,27.5
0.22,1290800.227,-2023885.739,27.501
0.221,1214544.447,-1969053.175,27.75
0.222,1120352.795,-1944680.081,27.751
0.223,1021968.336,-1952956.572,28
0.224,933351.433,-1991705.964,28.01
0.225,866833.4223,-2054776.716,28.25
0.226,831529.8216,-2132950.824,28.251
0.227,832216.0331,-2215236.199,28.5
0.228,868802.6147,-2290362.922,28.501
0.229,936464.8003,-2348280.571,28.75
0.23,1026393.353,-2381458.48,28.751
0.231,1127052.689,-2385821.627,29
0.232,1225768.09,-2361207.021,29.01
0.233,1310424.704,-2311291.694,29.25
0.234,1371051.59,-2243014.494,29.251
0.235,1401084.684,-2165580.284,29.5
0.236,1398149.899,-2089188.294,29.501
0.237,1364274.712,-2023659.434,29.75
0.238,1305514.17,-1977146.512,29.751
0.239,1231054.809,-1955095.941,30
0.24,1151927.313,-1959592.207,30.01
0.241,1079507.141,-1989162.625,30.25
0.242,1024005.996,-2039057.163,30.251
0.243,993153.2922,-2101955,30.5
0.244,991236.9003,-2168994.138,30.501
0.245,1018620.971,-2230980.191,30.75
0.246,1071792.878,-2279610.178,30.751
0.247,1143920.275,-2308549.1,31
