TimeStamp,wSpeed100,,,,w250,w300,w350,w400
14.75,8.75,,,,3.9,8.75,9.97,3.19
14.7501,7.18,,,,4.06,7.18,9.65,2.68
15,5.39,,,,4.22,5.39,10.03,2.76
15.01,4.88,,,,5.07,4.88,10.57,3.36
15.25,4.54,,,,5.85,4.54,11.02,4.35
15.2501,4.33,,,,6.48,4.33,11.55,5.85
15.5,4.08,,,,6.45,4.08,12.41,5.93
15.501,3.83,,,,6.3,3.83,12.21,6.71
15.75,3.64,,,,6.65,3.64,11.47,8.66
15.7501,3.52,,,,6.69,3.52,9.36,9.95
16,3.67,,,,7.14,3.67,8.1,10.52
16.01,4.82,,,,7.8,4.82,7.95,10.5
16.25,6.29,,,,8.12,6.29,7.32,10.97
16.2501,7.19,,,,8.06,7.19,6.69,11.13
16.5,6.76,,,,8.32,6.76,6.14,11.98
16.501,6.19,,,,8.39,6.19,5.72,10.2
16.75,5.79,,,,8.11,5.79,5.48,7.47
16.7501,5.41,,,,7.15,5.41,5.62,6.06
17,5.32,,,,5.05,5.32,5.95,4.92
17.01,5.44,,,,4.29,5.44,6.36,4.24
17.25,5.56,,,,4.64,5.56,6.9,4.26
17.2501,6.45,,,,4.29,6.45,7.06,4.22
17.5,6.43,,,,3.75,6.43,7.12,4.21
17.501,6.19,,,,3.2,6.19,8,3.54
17.75,6,,,,2.85,6,9.53,2.57
17.7501,5.38,,,,2.81,5.38,10.18,2.51
18,3.56,,,,2.62,3.56,10.79,2.89
18.01,3.09,,,,2.63,3.09,11.51,3.02
18.25,3.21,,,,3.23,3.21,12.13,3.59
18.2501,3.42,,,,4.1,3.42,12.33,4.62
18.5,4.05,,,,4.63,4.05,12.46,5.58
18.501,4.4,,,,4.6,4.4,12.88,6.24
18.75,4.65,,,,4.51,4.65,12.83,6.63
18.7501,5.11,,,,4.51,5.11,11.01,7.52
19,5.95,,,,4.18,5.95,9.85,6.89
19.01,7.53,,,,3.79,7.53,9.91,3.01
19.25,9.79,,,,3.64,9.79,9.4,3
19.2501,10.54,,,,6.13,10.54,8.64,9.61
19.5,10.05,,,,6.06,10.05,7.64,9.58
19.501,9.33,,,,6.7,9.33,7.1,8.73
19.75,8.27,,,,6.94,8.27,6.86,6.01
19.7501,7.68,,,,6.69,7.68,6.66,2.98
20,7.07,,,,5.83,7.07,6.6,2.63
20.01,6.5,,,,4.7,6.5,7.01,3.08
20.25,6.11,,,,4.31,6.11,7.57,3.7
20.2501,5.77,,,,3.98,5.77,6.74,4.27
20.5,5.6,,,,3.71,5.6,6.79,4.65
20.501,5.49,,,,3.63,5.49,10.66,4.88
20.75,5.67,,,,3.83,5.67,12.77,5.67
20.7501,4.84,,,,4.12,4.84,12.96,6.89
21,4.01,,,,4.77,4.01,12.45,7.7
21.01,4.03,,,,7.12,4.03,12.15,8.7
21.25,4.63,,,,9.81,4.63,11.81,9.71
21.2501,4.67,,,,10.05,4.67,11.18,10.03
21.5,4.67,,,,10.21,4.67,11.52,10.69
21.501,5.31,,,,10.19,5.31,11.4,11.14
21.75,6.09,,,,10.33,6.09,10.84,10.87
21.7501,6.37,,,,10.53,6.37,9.45,10.39
22,6.94,,,,10.27,6.94,8.96,10.28
22.01,8.06,,,,10.13,8.06,9.11,10.17
22.25,9.46,,,,10.1,9.46,8.72,9.51
22.2501,10.38,,,,9.82,10.38,8.56,9.48
22.5,10.62,,,,9.47,10.62,8.58,9.67
