TimeStamp,wSpeed100,,,,w250,w300,w350,w400
75.2501,7.28,,,,,,,
75.5,7.1,,,,,,,
75.501,7.13,,,,,,,
75.75,7.14,,,,,,,
75.7501,5.87,,,,,,,
76,4.87,,,,,,,
76.01,5.54,,,,,,,
76.25,4.87,,,,,,,
76.2501,4.13,,,,,,,
76.5,3.61,,,,,,,
76.501,3.45,,,,,,,
76.75,3.62,,,,,,,
76.7501,4.18,,,,,,,
77,4.81,,,,,,,
77.01,6.8,,,,,,,
77.25,8.28,,,,,,,
77.2501,8.04,,,,,,,
77.5,7.72,,,,,,,
77.501,7.61,,,,,,,
77.75,7.63,,,,,,,
77.7501,7.8,,,,,,,
78,7.59,,,,,,,
78.01,7.2,,,,,,,
78.25,6.73,,,,,,,
78.2501,6.21,,,,,,,
78.5,5.73,,,,,,,
78.501,5.45,,,,,,,
78.75,5.38,,,,,,,
78.7501,4.77,,,,,,,
79,3.39,,,,,,,
79.01,4.05,,,,,,,
79.25,4.03,,,,,,,
79.2501,4.01,,,,,,,
79.5,4.34,,,,,,,
79.501,4.78,,,,,,,
79.75,6.05,,,,,,,
79.7501,6.14,,,,,,,
80,6.55,,,,,,,
80.01,7.61,,,,,,,
80.25,9.41,,,,,,,
80.2501,10.03,,,,,,,
80.5,10.33,,,,,,,
80.501,10.13,,,,,,,
80.75,9.99,,,,,,,
80.7501,9.74,,,,,,,
81,9.2,,,,,,,
81.01,8.92,,,,,,,
81.25,8.47,,,,,,,
81.2501,8.97,,,,,,,
81.5,9.16,,,,,,,
81.501,9.31,,,,,,,
81.75,10.04,,,,,,,
81.7501,7.85,,,,,,,
82,6.86,,,,,,,
82.01,5.74,,,,,,,
82.25,5.18,,,,,,,
82.2501,4.34,,,,,,,
82.5,3.69,,,,,,,
82.501,3.05,,,,,,,
82.75,3.07,,,,,,,
82.7501,3.95,,,,,,,
83,8.29,,,,,,,
83.01,12.77,,,,,,,
83.25,12.18,,,,,,,
83.2501,12.14,,,,,,,
83.5,12.56,,,,,,,
83.501,12.66,,,,,,,
83.75,12.35,,,,,,,
83.7501,11.74,,,,,,,
84,11.31,,,,,,,
84.01,11.21,,,,,,,
84.25,11.74,,,,,,,
84.2501,12.53,,,,,,,
84.5,12.88,,,,,,,
84.501,12.43,,,,,,,
84.75,11.98,,,,,,,
84.7501,13.56,,,,,,,
85,12.08,,,,,,,
85.01,10.58,,,,,,,
85.25,9.76,,,,,,,
85.2501,8.89,,,,,,,
85.5,8.18,,,,,,,
85.501,7.69,,,,,,,
85.75,7.63,,,,,,,
85.7501,7.42,,,,,,,
86,7.28,,,,,,,
86.01,7.47,,,,,,,
86.25,8.7,,,,,,,
86.2501,9.18,,,,,,,
86.5,9.42,,,,,,,
86.501,9.78,,,,,,,
86.75,10.2,,,,,,,
86.7501,10.15,,,,,,,
87,10.25,,,,,,,
87.01,10.08,,,,,,,
87.25,10.11,,,,,,,
87.2501,10.67,,,,,,,
87.5,10.68,,,,,,,
87.501,10.61,,,,,,,
87.75,10.24,,,,,,,
87.7501,8.28,,,,,,,
88,7.82,,,,,,,
88.01,7.39,,,,,,,
88.25,6.6,,,,,,,
88.2501,5.74,,,,,,,
88.5,5.25,,,,,,,
88.501,4.65,,,,,,,
88.75,4.79,,,,,,,
88.7501,5.07,,,,,,,
89,5.37,,,,,,,
89.01,6.74,,,,,,,
89.25,8.65,,,,,,,
89.2501,9.3,,,,,,,
89.5,10,,,,,,,
89.501,10.77,,,,,,,
89.75,11.66,,,,,,,
89.7501,12.01,,,,,,,
90,12.37,,,,,,,
90.01,11.88,,,,,,,
90.25,11.76,,,,,,,
90.2501,11.59,,,,,,,
90.5,11.27,,,,,,,
90.501,11.25,,,,,,,
90.75,11.25,,,,,,,
90.7501,11.71,,,,,,,
91,12.87,,,,,,,
91.01,12.46,,,,,,,
91.25,11.79,,,,,,,
91.2501,11.04,,,,,,,
91.5,10.9,,,,,,,
91.501,10.38,,,,,,,
91.75,10.01,,,,,,,
91.7501,10.01,,,,,,,
92,9.82,,,,,,,
92.01,9.58,,,,,,,
92.25,9.98,,,,,,,
92.2501,10.83,,,,,,,
92.5,11.31,,,,,,,
92.501,11.52,,,,,,,
92.75,11.52,,,,,,,
92.7501,11.35,,,,,,,
93,11.12,,,,,,,
93.01,11.26,,,,,,,
93.25,11.37,,,,,,,
93.2501,11.36,,,,,,,
93.5,11.26,,,,,,,
93.501,11.05,,,,,,,
93.75,10.83,,,,,,,
93.7501,10.09,,,,,,,
94,11.16,,,,,,,
94.01,11.01,,,,,,,
94.25,10.51,,,,,,,
94.2501,10.28,,,,,,,
94.5,10.49,,,,,,,
94.501,10.4,,,,,,,
94.75,10.17,,,,,,,
94.7501,10.08,,,,,,,
95,10.38,,,,,,,
95.01,10.32,,,,,,,
95.25,10.13,,,,,,,
95.2501,10.09,,,,,,,
95.5,10.39,,,,,,,
95.501,10.45,,,,,,,
95.75,10.96,,,,,,,
95.7501,10.65,,,,,,,
96,10.51,,,,,,,
96.01,10.8,,,,,,,
96.25,11.37,,,,,,,
96.2501,11.55,,,,,,,
96.5,11.28,,,,,,,
96.501,11.07,,,,,,,
96.75,10.85,,,,,,,
96.7501,9.78,,,,,,,
97,10.68,,,,,,,
97.01,10.49,,,,,,,
97.25,9.52,,,,,,,
97.2501,8.74,,,,,,,
97.5,8.37,,,,,,,
97.501,8.23,,,,,,,
97.75,8.46,,,,,,,
97.7501,8.96,,,,,,,
98,9.22,,,,,,,
98.01,9.43,,,,,,,
98.25,10.16,,,,,,,
98.2501,10.55,,,,,,,
98.5,10.79,,,,,,,
98.501,11.23,,,,,,,
98.75,11.24,,,,,,,
98.7501,11.19,,,,,,,
99,11.35,,,,,,,
99.01,11.56,,,,,,,
99.25,11.59,,,,,,,
99.2501,11.85,,,,,,,
99.5,11.71,,,,,,,
99.501,11.84,,,,,,,
99.75,11.88,,,,,,,
99.7501,9.74,,,,,,,
100,9.61,,,,,,,
100.01,9.56,,,,,,,
100.25,8.81,,,,,,,
100.2501,7.87,,,,,,,
100.5,7.35,,,,,,,
100.501,6.64,,,,,,,
100.75,6.25,,,,,,,
100.7501,6.49,,,,,,,
101,7.15,,,,,,,
101.01,7.98,,,,,,,
101.25,9.5,,,,,,,
101.2501,10.45,,,,,,,
101.5,10.83,,,,,,,
101.501,10.91,,,,,,,
101.75,10.86,,,,,,,
101.7501,10.72,,,,,,,
102,10.93,,,,,,,
102.01,10.98,,,,,,,
102.25,11.28,,,,,,,
102.2501,11.35,,,,,,,
102.5,11.24,,,,,,,
102.501,10.97,,,,,,,
102.75,10.79,,,,,,,
102.7501,8.13,,,,,,,
103,7.8,,,,,,,
103.01,7.02,,,,,,,
103.25,6,,,,,,,
103.2501,5.69,,,,,,,
103.5,5.59,,,,,,,
103.501,5.65,,,,,,,
103.75,5.62,,,,,,,
103.7501,5.87,,,,,,,
104,6.44,,,,,,,
104.01,7.3,,,,,,,
104.25,8.99,,,,,,,
104.2501,9.55,,,,,,,
104.5,9.94,,,,,,,
104.501,10.08,,,,,,,
104.75,10.26,,,,,,,
104.7501,10.42,,,,,,,
105,9.94,,,,,,,
105.01,9.59,,,,,,,
105.25,9.32,,,,,,,
105.2501,9.06,,,,,,,
105.5,8.85,,,,,,,
105.501,8.8,,,,,,,
105.75,8.72,,,,,,,
105.7501,6.75,,,,,,,
106,5.55,,,,,,,
106.01,5.51,,,,,,,
106.25,5.04,,,,,,,
106.2501,4.88,,,,,,,
106.5,5.06,,,,,,,
106.501,5.06,,,,,,,
106.75,5.34,,,,,,,
106.7501,6.07,,,,,,,
107,6.59,,,,,,,
107.01,6.95,,,,,,,
107.25,8.41,,,,,,,
107.2501,8.72,,,,,,,
107.5,9.13,,,,,,,
107.501,9.49,,,,,,,
107.75,9.58,,,,,,,
107.7501,9.67,,,,,,,
108,9.16,,,,,,,
108.01,8.6,,,,,,,
108.25,8.15,,,,,,,
108.2501,7.75,,,,,,,
108.5,7.59,,,,,,,
108.501,8.34,,,,,,,
108.75,9.57,,,,,,,
108.7501,8.71,,,,,,,
109,9.8,,,,,,,
109.01,10.44,,,,,,,
109.25,10.1,,,,,,,
109.2501,9.62,,,,,,,
109.5,9.36,,,,,,,
109.501,9.44,,,,,,,
109.75,9.81,,,,,,,
109.7501,9.85,,,,,,,
110,10.16,,,,,,,
110.01,10.22,,,,,,,
110.25,10.1,,,,,,,
110.2501,9.95,,,,,,,
110.5,10.03,,,,,,,
110.501,10.4,,,,,,,
110.75,10.44,,,,,,,
110.7501,10.67,,,,,,,
111,10.74,,,,,,,
111.01,10.89,,,,,,,
111.25,11.06,,,,,,,
111.2501,11.35,,,,,,,
111.5,11.36,,,,,,,
111.501,11.5,,,,,,,
111.75,11.26,,,,,,,
111.7501,9.86,,,,,,,
112,9.44,,,,,,,
112.01,9.04,,,,,,,
112.25,8.55,,,,,,,
112.2501,8.37,,,,,,,
112.5,8.26,,,,,,,
112.501,7.97,,,,,,,
112.75,7.87,,,,,,,
112.7501,7.94,,,,,,,
113,8.06,,,,,,,
113.01,8.2,,,,,,,
113.25,9.29,,,,,,,
113.2501,9.72,,,,,,,
113.5,10.15,,,,,,,
113.501,10.37,,,,,,,
113.75,10.47,,,,,,,
113.7501,10.39,,,,,,,
114,10.5,,,,,,,
114.01,10.53,,,,,,,
114.25,10.7,,,,,,,
114.2501,10.78,,,,,,,
114.5,10.87,,,,,,,
114.501,10.64,,,,,,,
114.75,10.5,,,,,,,
114.7501,7.9,,,,,,,
115,7.12,,,,,,,
115.01,6.36,,,,,,,
115.25,5.51,,,,,,,
115.2501,5.19,,,,,,,
115.5,5.24,,,,,,,
115.501,5.34,,,,,,,
115.75,5.6,,,,,,,
115.7501,6.06,,,,,,,
116,6.68,,,,,,,
116.01,7.48,,,,,,,
116.25,9.39,,,,,,,
116.2501,10.29,,,,,,,
116.5,10.98,,,,,,,
116.501,10.89,,,,,,,
116.75,11.04,,,,,,,
116.7501,10.95,,,,,,,
117,10.95,,,,,,,
117.01,10.96,,,,,,,
117.25,11.13,,,,,,,
117.2501,12.45,,,,,,,
117.5,12.69,,,,,,,
117.501,12.71,,,,,,,
117.75,12.56,,,,,,,
117.7501,10.95,,,,,,,
118,10.26,,,,,,,
118.01,9.63,,,,,,,
118.25,9.48,,,,,,,
118.2501,8.85,,,,,,,
118.5,8.17,,,,,,,
118.501,7.87,,,,,,,
118.75,7.7,,,,,,,
118.7501,7.76,,,,,,,
119,8.12,,,,,,,
119.01,8.94,,,,,,,
119.25,9.69,,,,,,,
119.2501,10.38,,,,,,,
119.5,10.36,,,,,,,
119.501,10.47,,,,,,,
119.75,10.91,,,,,,,
119.7501,11.23,,,,,,,
120,11.3,,,,,,,
120.01,11.25,,,,,,,
120.25,11.52,,,,,,,
120.2501,11.43,,,,,,,
120.5,11.17,,,,,,,
120.501,10.92,,,,,,,
120.75,10.77,,,,,,,
120.7501,9.05,,,,,,,
121,8.57,,,,,,,
121.01,8.07,,,,,,,
121.25,7.82,,,,,,,
121.2501,7.19,,,,,,,
121.5,6.66,,,,,,,
121.501,6.45,,,,,,,
121.75,6.52,,,,,,,
121.7501,6.92,,,,,,,
122,7.41,,,,,,,
122.01,8.05,,,,,,,
122.25,9.41,,,,,,,
122.2501,10.19,,,,,,,
122.5,10.61,,,,,,,
122.501,10.82,,,,,,,
122.75,11.34,,,,,,,
122.7501,11.53,,,,,,,
123,11.61,,,,,,,
123.01,11.64,,,,,,,
123.25,11.48,,,,,,,
123.2501,12.22,,,,,,,
123.5,12.18,,,,,,,
123.501,12.07,,,,,,,
123.75,11.92,,,,,,,
123.7501,9.29,,,,,,,
124,8.87,,,,,,,
124.01,8.61,,,,,,,
124.25,8.18,,,,,,,
124.2501,8.03,,,,,,,
124.5,8.12,,,,,,,
124.501,7.88,,,,,,,
124.75,7.93,,,,,,,
124.7501,8.36,,,,,,,
125,8.84,,,,,,,
125.01,9.35,,,,,,,
125.25,10.25,,,,,,,
125.2501,10.84,,,,,,,
125.5,11.16,,,,,,,
125.501,11.38,,,,,,,
125.75,11.58,,,,,,,
125.7501,11.72,,,,,,,
126,11.79,,,,,,,
126.01,11.85,,,,,,,
126.25,11.75,,,,,,,
126.2501,11.41,,,,,,,
126.5,11.1,,,,,,,
126.501,10.94,,,,,,,
126.75,10.6,,,,,,,
126.7501,9.11,,,,,,,
127,8.96,,,,,,,
127.01,8.82,,,,,,,
127.25,8.54,,,,,,,
127.2501,7.61,,,,,,,
127.5,7.5,,,,,,,
127.501,7.49,,,,,,,
127.75,7.53,,,,,,,
127.7501,7.69,,,,,,,
128,8.05,,,,,,,
128.01,8.56,,,,,,,
128.25,9.77,,,,,,,
128.2501,10.68,,,,,,,
128.5,11.06,,,,,,,
128.501,11.21,,,,,,,
128.75,11.21,,,,,,,
128.7501,11.31,,,,,,,
129,11.24,,,,,,,
129.01,11.25,,,,,,,
129.25,11.46,,,,,,,
129.2501,12.49,,,,,,,
129.5,12.66,,,,,,,
129.501,12.43,,,,,,,
129.75,12.09,,,,,,,
129.7501,10.12,,,,,,,
130,9.34,,,,,,,
130.01,8.83,,,,,,,
130.25,7.95,,,,,,,
130.2501,7.74,,,,,,,
130.5,7.48,,,,,,,
130.501,6.9,,,,,,,
130.75,6.68,,,,,,,
130.7501,6.79,,,,,,,
131,7.14,,,,,,,
131.01,7.78,,,,,,,
131.25,9.26,,,,,,,
131.2501,9.17,,,,,,,
131.5,10.33,,,,,,,
131.501,10.69,,,,,,,
131.75,10.64,,,,,,,
131.7501,10.64,,,,,,,
132,10.49,,,,,,,
132.01,10.43,,,,,,,
132.25,10.83,,,,,,,
132.2501,10.78,,,,,,,
132.5,10.42,,,,,,,
132.501,10.02,,,,,,,
132.75,9.87,,,,,,,
132.7501,7.37,,,,,,,
133,6.56,,,,,,,
133.01,6.05,,,,,,,
133.25,5.52,,,,,,,
133.2501,5.37,,,,,,,
133.5,5.23,,,,,,,
133.501,5.26,,,,,,,
133.75,5.58,,,,,,,
133.7501,6.28,,,,,,,
134,6.89,,,,,,,
134.01,7.95,,,,,,,
134.25,9.41,,,,,,,
134.2501,9.78,,,,,,,
134.5,10.53,,,,,,,
134.501,11.13,,,,,,,
134.75,11.67,,,,,,,
134.7501,11.64,,,,,,,
135,11.53,,,,,,,
135.01,11.64,,,,,,,
135.25,11.5,,,,,,,
135.2501,12.18,,,,,,,
135.5,12.39,,,,,,,
135.501,12.63,,,,,,,
135.75,12.6,,,,,,,
135.7501,10.39,,,,,,,
136,8.96,,,,,,,
136.01,8.84,,,,,,,
136.25,8.52,,,,,,,
136.2501,8.27,,,,,,,
136.5,8.26,,,,,,,
136.501,8.17,,,,,,,
136.75,7.82,,,,,,,
136.7501,8.1,,,,,,,
137,8.27,,,,,,,
137.01,8.29,,,,,,,
137.25,8.96,,,,,,,
137.2501,9.33,,,,,,,
137.5,11.97,,,,,,,
137.501,13.26,,,,,,,
137.75,13.64,,,,,,,
137.7501,13.88,,,,,,,
138,14.18,,,,,,,
138.01,14.61,,,,,,,
138.25,14.39,,,,,,,
138.2501,13.8,,,,,,,
138.5,13.72,,,,,,,
138.501,13.53,,,,,,,
138.75,13.19,,,,,,,
138.7501,12.13,,,,,,,
139,11.1,,,,,,,
139.01,10.75,,,,,,,
139.25,10.18,,,,,,,
139.2501,9.56,,,,,,,
139.5,8.93,,,,,,,
139.501,8.38,,,,,,,
139.75,8.3,,,,,,,
139.7501,8.63,,,,,,,
140,9.01,,,,,,,
140.01,8.81,,,,,,,
140.25,9.01,,,,,,,
140.2501,10.38,,,,,,,
140.5,11.38,,,,,,,
140.501,12.25,,,,,,,
140.75,12.97,,,,,,,
140.7501,13.21,,,,,,,
141,13.27,,,,,,,
141.01,13.12,,,,,,,
141.25,13.24,,,,,,,
141.2501,13.01,,,,,,,
141.5,12.88,,,,,,,
141.501,12.72,,,,,,,
141.75,12.43,,,,,,,
141.7501,11.12,,,,,,,
142,10.05,,,,,,,
142.01,9.66,,,,,,,
142.25,9.09,,,,,,,
142.2501,8.5,,,,,,,
142.5,8.21,,,,,,,
142.501,7.65,,,,,,,
142.75,7.37,,,,,,,
142.7501,7.25,,,,,,,
143,7.45,,,,,,,
143.01,8.06,,,,,,,
143.25,8.88,,,,,,,
143.2501,10.12,,,,,,,
143.5,11.21,,,,,,,
143.501,12.33,,,,,,,
143.75,13.01,,,,,,,
143.7501,13.47,,,,,,,
144,13.5,,,,,,,
144.01,13.15,,,,,,,
144.25,12.97,,,,,,,
144.2501,12.82,,,,,,,
144.5,12.99,,,,,,,
144.501,12.71,,,,,,,
144.75,11.97,,,,,,,
144.7501,10.8,,,,,,,
145,9.61,,,,,,,
145.01,8.99,,,,,,,
145.25,8.23,,,,,,,
145.2501,7.74,,,,,,,
145.5,7.55,,,,,,,
145.501,7.38,,,,,,,
145.75,7.5,,,,,,,
145.7501,7.69,,,,,,,
146,7.86,,,,,,,
146.01,8.2,,,,,,,
146.25,8.91,,,,,,,
146.2501,9.12,,,,,,,
146.5,10.79,,,,,,,
146.501,12.82,,,,,,,
146.75,13.24,,,,,,,
146.7501,13.02,,,,,,,
147,12.92,,,,,,,
147.01,12.91,,,,,,,
147.25,13.22,,,,,,,
147.2501,13.06,,,,,,,
147.5,12.78,,,,,,,
147.501,12.62,,,,,,,
147.75,12.41,,,,,,,
147.7501,11.49,,,,,,,
148,10.96,,,,,,,
148.01,10.58,,,,,,,
148.25,10.2,,,,,,,
148.2501,9.74,,,,,,,
148.5,9.59,,,,,,,
148.501,9.54,,,,,,,
148.75,9.77,,,,,,,
148.7501,9.87,,,,,,,
149,9.82,,,,,,,
149.01,9.67,,,,,,,
149.25,10.12,,,,,,,
149.2501,10.67,,,,,,,
149.5,11.17,,,,,,,
149.501,11.44,,,,,,,
149.75,11.33,,,,,,,
149.7501,11.39,,,,,,,
150,11.44,,,,,,,
150.01,11.48,,,,,,,
150.25,11.46,,,,,,,
150.2501,11.62,,,,,,,
150.5,11.67,,,,,,,
150.501,11.73,,,,,,,
150.75,11.41,,,,,,,
150.7501,9.73,,,,,,,
151,9.08,,,,,,,
151.01,8.37,,,,,,,
151.25,8.11,,,,,,,
151.2501,7.99,,,,,,,
151.5,7.93,,,,,,,
151.501,7.67,,,,,,,
151.75,7.65,,,,,,,
151.7501,7.82,,,,,,,
152,8.29,,,,,,,
152.01,8.69,,,,,,,
152.25,9.39,,,,,,,
152.2501,10,,,,,,,
152.5,10.46,,,,,,,
152.501,10.85,,,,,,,
152.75,11.23,,,,,,,
152.7501,11.64,,,,,,,
153,11.78,,,,,,,
153.01,11.76,,,,,,,
153.25,11.6,,,,,,,
153.2501,12.28,,,,,,,
153.5,12.18,,,,,,,
153.501,12.45,,,,,,,
153.75,12.03,,,,,,,
153.7501,9.95,,,,,,,
154,8.48,,,,,,,
154.01,7.98,,,,,,,
154.25,7.37,,,,,,,
154.2501,6.59,,,,,,,
154.5,6.11,,,,,,,
154.501,5.31,,,,,,,
154.75,4.88,,,,,,,
154.7501,4.72,,,,,,,
155,5,,,,,,,
155.01,6.31,,,,,,,
155.25,7.31,,,,,,,
155.2501,7.02,,,,,,,
155.5,7.07,,,,,,,
155.501,7.52,,,,,,,
155.75,7.91,,,,,,,
155.7501,8.28,,,,,,,
156,8.65,,,,,,,
156.01,8.76,,,,,,,
156.25,8.69,,,,,,,
156.2501,8.59,,,,,,,
156.5,8.59,,,,,,,
156.501,8.3,,,,,,,
156.75,7.91,,,,,,,
156.7501,7.14,,,,,,,
157,5.28,,,,,,,
157.01,4.59,,,,,,,
157.25,3.98,,,,,,,
157.2501,3.07,,,,,,,
157.5,2.64,,,,,,,
157.501,2.91,,,,,,,
157.75,3.41,,,,,,,
157.7501,4.78,,,,,,,
158,6.08,,,,,,,
158.01,6.7,,,,,,,
158.25,7.44,,,,,,,
158.2501,8.33,,,,,,,
158.5,8.58,,,,,,,
158.501,8.91,,,,,,,
158.75,9.69,,,,,,,
158.7501,10.36,,,,,,,
159,11.03,,,,,,,
159.01,11.3,,,,,,,
159.25,11.33,,,,,,,
159.2501,12.31,,,,,,,
159.5,12.4,,,,,,,
159.501,12.74,,,,,,,
159.75,12.91,,,,,,,
159.7501,11.71,,,,,,,
160,10.6,,,,,,,
160.01,11.17,,,,,,,
160.25,10.96,,,,,,,
160.2501,10.64,,,,,,,
160.5,10.14,,,,,,,
160.501,9.57,,,,,,,
160.75,9.31,,,,,,,
160.7501,9.32,,,,,,,
161,9.42,,,,,,,
161.01,10.21,,,,,,,
161.25,11.47,,,,,,,
161.2501,12.98,,,,,,,
161.5,13.39,,,,,,,
161.501,13.29,,,,,,,
161.75,13.05,,,,,,,
161.7501,13.15,,,,,,,
162,13.09,,,,,,,
162.01,13.42,,,,,,,
162.25,13.97,,,,,,,
162.2501,14.16,,,,,,,
162.5,14.09,,,,,,,
162.501,13.86,,,,,,,
162.75,13.37,,,,,,,
162.7501,12.61,,,,,,,
163,11.39,,,,,,,
163.01,10.65,,,,,,,
163.25,10.34,,,,,,,
163.2501,9.92,,,,,,,
163.5,9.58,,,,,,,
163.501,9.49,,,,,,,
163.75,9.15,,,,,,,
163.7501,9.05,,,,,,,
164,8.99,,,,,,,
164.01,9.26,,,,,,,
164.25,10.12,,,,,,,
164.2501,11.81,,,,,,,
164.5,12.97,,,,,,,
164.501,12.65,,,,,,,
164.75,12.18,,,,,,,
164.7501,11.94,,,,,,,
165,12.33,,,,,,,
165.01,12.13,,,,,,,
165.25,12.5,,,,,,,
165.2501,13.11,,,,,,,
165.5,13.02,,,,,,,
165.501,13.11,,,,,,,
165.75,12.9,,,,,,,
165.7501,11.02,,,,,,,
166,8.87,,,,,,,
166.01,8.4,,,,,,,
166.25,8.1,,,,,,,
166.2501,7.39,,,,,,,
166.5,7.04,,,,,,,
166.501,6.55,,,,,,,
166.75,6.32,,,,,,,
166.7501,6.59,,,,,,,
167,7.11,,,,,,,
167.01,7.97,,,,,,,
167.25,9.14,,,,,,,
167.2501,9.73,,,,,,,
167.5,10.77,,,,,,,
167.501,11.15,,,,,,,
167.75,11.36,,,,,,,
167.7501,11.58,,,,,,,
168,11.43,,,,,,,
168.01,11.46,,,,,,,
168.25,11.32,,,,,,,
168.2501,10.95,,,,,,,
168.5,10.75,,,,,,,
168.501,10.82,,,,,,,
168.75,10.57,,,,,,,
168.7501,8.36,,,,,,,
169,7.52,,,,,,,
169.01,6.75,,,,,,,
169.25,6.27,,,,,,,
169.2501,5.59,,,,,,,
169.5,5.06,,,,,,,
169.501,4.96,,,,,,,
169.75,5.49,,,,,,,
169.7501,6.31,,,,,,,
170,7.18,,,,,,,
170.01,7.58,,,,,,,
170.25,8.56,,,,,,,
170.2501,9.71,,,,,,,
170.5,9.91,,,,,,,
170.501,9.82,,,,,,,
170.75,9.73,,,,,,,
170.7501,10.26,,,,,,,
171,10.43,,,,,,,
171.01,10.67,,,,,,,
171.25,11.18,,,,,,,
171.2501,11.69,,,,,,,
171.5,12.2,,,,,,,
171.501,12.63,,,,,,,
171.75,12.67,,,,,,,
171.7501,10.75,,,,,,,
172,8.16,,,,,,,
172.01,7.91,,,,,,,
172.25,7.22,,,,,,,
172.2501,6.42,,,,,,,
172.5,6.21,,,,,,,
172.501,6.75,,,,,,,
172.75,7.46,,,,,,,
172.7501,7.98,,,,,,,
173,8.65,,,,,,,
173.01,9.69,,,,,,,
173.25,10.52,,,,,,,
173.2501,11.11,,,,,,,
173.5,11.49,,,,,,,
173.501,11.73,,,,,,,
173.75,11.81,,,,,,,
173.7501,11.83,,,,,,,
174,11.97,,,,,,,
174.01,11.92,,,,,,,
174.25,12.12,,,,,,,
174.2501,12,,,,,,,
174.5,12.03,,,,,,,
174.501,11.62,,,,,,,
174.75,11.31,,,,,,,
174.7501,9.94,,,,,,,
175,9.34,,,,,,,
175.01,8.86,,,,,,,
175.25,8.46,,,,,,,
175.2501,8.23,,,,,,,
175.5,8.31,,,,,,,
175.501,8.08,,,,,,,
175.75,8.14,,,,,,,
175.7501,8.42,,,,,,,
176,8.69,,,,,,,
176.01,9.12,,,,,,,
176.25,9.85,,,,,,,
176.2501,10.88,,,,,,,
176.5,11.63,,,,,,,
176.501,12.03,,,,,,,
176.75,12.4,,,,,,,
176.7501,12.31,,,,,,,
177,12.29,,,,,,,
177.01,12.09,,,,,,,
177.25,12.05,,,,,,,
177.2501,13.17,,,,,,,
177.5,13.63,,,,,,,
177.501,13.58,,,,,,,
177.75,13.4,,,,,,,
177.7501,11.86,,,,,,,
178,9.84,,,,,,,
178.01,8.86,,,,,,,
178.25,8.57,,,,,,,
178.2501,7.79,,,,,,,
178.5,7.37,,,,,,,
178.501,6.86,,,,,,,
178.75,6.19,,,,,,,
178.7501,5.76,,,,,,,
179,5.57,,,,,,,
179.01,6.57,,,,,,,
179.25,7.11,,,,,,,
179.2501,7.4,,,,,,,
179.5,8.45,,,,,,,
179.501,10.45,,,,,,,
179.75,11.04,,,,,,,
179.7501,11.07,,,,,,,
180,11.12,,,,,,,
180.01,11.17,,,,,,,
180.25,11.58,,,,,,,
180.2501,12.04,,,,,,,
180.5,12.7,,,,,,,
180.501,12.97,,,,,,,
180.75,12.8,,,,,,,
180.7501,10.92,,,,,,,
181,8.87,,,,,,,
181.01,8.86,,,,,,,
181.25,8.9,,,,,,,
181.2501,8.59,,,,,,,
181.5,7.92,,,,,,,
181.501,7.39,,,,,,,
181.75,7.09,,,,,,,
181.7501,6.97,,,,,,,
182,6.92,,,,,,,
182.01,7.66,,,,,,,
182.25,8.16,,,,,,,
182.2501,8.92,,,,,,,
182.5,10.72,,,,,,,
182.501,11.77,,,,,,,
182.75,12.3,,,,,,,
182.7501,12.6,,,,,,,
183,12.58,,,,,,,
183.01,12.53,,,,,,,
183.25,12.5,,,,,,,
183.2501,12.48,,,,,,,
183.5,12.78,,,,,,,
183.501,13,,,,,,,
183.75,13.13,,,,,,,
183.7501,11.99,,,,,,,
184,10.07,,,,,,,
184.01,9.45,,,,,,,
184.25,9.3,,,,,,,
184.2501,9.09,,,,,,,
184.5,9.25,,,,,,,
184.501,9.18,,,,,,,
184.75,8.91,,,,,,,
184.7501,8.71,,,,,,,
185,8.55,,,,,,,
185.01,9.23,,,,,,,
185.25,9.87,,,,,,,
185.2501,10.12,,,,,,,
185.5,10.67,,,,,,,
185.501,11.35,,,,,,,
185.75,11.74,,,,,,,
185.7501,11.94,,,,,,,
186,11.88,,,,,,,
186.01,11.87,,,,,,,
186.25,12.15,,,,,,,
186.2501,12.41,,,,,,,
186.5,12.39,,,,,,,
186.501,12.12,,,,,,,
186.75,11.94,,,,,,,
186.7501,10.38,,,,,,,
187,9.29,,,,,,,
187.01,10.2,,,,,,,
187.25,10.15,,,,,,,
187.2501,9.93,,,,,,,
187.5,9.12,,,,,,,
187.501,8.77,,,,,,,
187.75,8.96,,,,,,,
187.7501,9.35,,,,,,,
188,9.41,,,,,,,
188.01,9.52,,,,,,,
188.25,10.13,,,,,,,
188.2501,10.76,,,,,,,
188.5,11.6,,,,,,,
188.501,12.28,,,,,,,
188.75,11.94,,,,,,,
188.7501,12.04,,,,,,,
189,11.98,,,,,,,
189.01,11.68,,,,,,,
189.25,11.99,,,,,,,
189.2501,12.07,,,,,,,
189.5,11.96,,,,,,,
189.501,11.78,,,,,,,
189.75,13.57,,,,,,,
189.7501,12.06,,,,,,,
190,9.32,,,,,,,
190.01,8.11,,,,,,,
190.25,8.54,,,,,,,
190.2501,8.91,,,,,,,
190.5,10.09,,,,,,,
190.501,10.78,,,,,,,
190.75,10.94,,,,,,,
190.7501,10.46,,,,,,,
191,9.74,,,,,,,
191.01,9.66,,,,,,,
191.25,9.66,,,,,,,
191.2501,9.25,,,,,,,
191.5,9.89,,,,,,,
191.501,10.26,,,,,,,
191.75,10.34,,,,,,,
