time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,143969.8974,-2767232.437,0,,
0.2,401571.2535,-2049179.186,0.25,,
0.3,411506.4981,-1505803.109,0.2501,,
0.4,119108.7605,-1084933.888,,,
0.5,-299222.612,-805574.0802,0.5,,
0.6,-572297.0005,-644166.2448,0.501,,
0.7,-537830.4301,-527799.7746,0.75,,
0.8,-269303.2692,-431219.8277,0.7501,,
0.9,40098.53426,-368224.3101,,,
1,216205.9508,-330941.2653,1,,
1.1,192972.2402,-297517.7576,,,
1.2,60717.24685,-267857.6035,1.25,,
1.3,-46243.39035,-249250.691,1.2501,,
1.4,-50903.12948,-239550.4918,,,
1.5,25594.92095,-235160.7261,1.5,,
1.6,106255.7724,-233818.4377,1.501,,
1.7,167076.9676,-233721.6862,1.75,,
1.8,203794.4894,-233964.1118,1.7501,,
1.9,157430.4568,-229858.2817,,,
2,31480.39098,-222553.0742,2,0,
2.1,-91669.64524,-219051.1019,,,
2.2,-197112.2559,-220108.0898,2.25,0.25,
2.3,-270504.6789,-223966.2705,2.2501,0.2501,
2.4,-270014.0341,-227190.611, , ,
2.5,-214407.1061,-228097.64,2.5,0.5,
2.6,-157751.0665,-227715.6229,2.501,0.501,
2.7,-136250.5672,-226765.7797,2.75,0.75,
2.8,-143890.4837,-225763.3905,2.7501,0.7501,
2.9,-160927.987,-225255.9368, , ,
3,-188444.4863,-225431.867,3,0,3
3.1,-226174.5833,-226484.8505, ,, 
3.2,-255423.3553,-228233.1063,3.25,0.25,3
3.3,-254104.9045,-229588.727,3.2501,0.2501,3
3.4,-205090.2068,-229438.6656, , ,3
3.5,-130566.4185,-228400.8789,3.5,0.5,3
3.6,-75811.56494,-227120.6737,3.501,0.501,3
3.7,-55865.76816,-225530.3856,3.75,0.75,3
3.8,-62747.25083,-223898.2479,3.7501,0.7501,3
3.9,-75485.79659,-222709.486, , , 
4,-73427.71713,-222175.0389,4,0,4
4.1,-54034.88354,-222061.5859, ,,4
4.2,-98315.80824,-221372.3682,4.25,0.25,4
4.3,-219491.0935,-222184.9399,4.2501,0.2501,4
4.4,-282944.4731,-225914.6114, , , 
4.5,-247316.2982,-227962.5844,4.5,0.5,4
4.6,-188456.6237,-228154.8599,4.501,0.501,4
4.7,-135682.3649,-227359.6667,4.75,0.75,4
4.8,-104497.2116,-226270.697,4.7501,0.7501,4
4.9,-129031.2584,-224969.1882, , , 
5,-197051.6212,-224850.5684,5,0,5
5.1,-262331.6614,-226993.2396, ,,5
5.2,-270597.6527,-229204.0496,5.25,0.25,5
5.3,-196841.2579,-229106.1029,5.2501,0.2501,5
5.4,125319.5469,-233508.2362, , ,5
5.5,601021.796,-279442.0668,5.5,0.5,5
5.6,871017.7845,-337811.3303,5.501,0.501,5
5.7,760630.7625,-332992.3814,5.75,0.75,5
5.8,305600.9502,-271032.5065,5.7501,0.7501,5
5.9,-203863.487,-239388.1245, , ,5
6,-486155.1219,-247835.3571,6,0,6
6.1,-450641.258,-251565.9292, ,,6
6.2,-263079.0275,-245162.6683,6.25,0.25,6
6.3,-110990.9331,-239586.407,6.2501,0.2501,6
6.4,-42677.70408,-234928.4655, , ,6
6.5,-40599.56112,-230412.3997,6.5,0.5,6
6.6,-71012.16126,-226696.74,6.501,0.501,6
6.7,273866.2833,-238885.8329,6.75,0.75,6
6.8,889948.0725,-331006.9526,6.7501,0.7501,6
6.9,1013469.522,-386815.5127, , ,6
7,466244.7977,-302536.7146,7,0,7
7.1,-334521.7548,-252779.351, ,, 
7.2,-771842.6613,-288280.5766,7.25,0.25,7
7.3,-640256.1408,-289920.2186,7.2501,0.2501,7
7.4,-28847.25832,-264758.7411, , , 
7.5,674739.9596,-316789.1165,7.5,0.5,7
7.6,991370.7945,-387623.1929,7.501,0.501,7
7.7,783916.8262,-359918.0515,7.75,0.75,7
7.8,303856.8384,-285603.8416,7.7501,0.7501,7
7.9,-166164.5172,-249212.2281, , , 
8,-471186.0848,-252844.7885,8,0,8
8.1,-509542.9063,-259559.9118, ,, 
8.2,-64533.38332,-246968.9403,8.25,0.25,8
8.3,633486.753,-298124.2077,8.2501,0.2501,8
8.4,948267.5634,-367984.6627, , , 
8.5,759041.0987,-345189.6628,8.5,0.5,8
8.6,331513.0996,-281056.456,8.501,0.501,8
8.7,34605.99844,-247417.5461,8.75,0.75,8
8.8,-3295.900662,-236887.4387,8.7501,0.7501,8
8.9,11514.66103,-232181.6279, , , 
9,-44976.0455,-227043.2431,9,0,9
9.1,-110464.2189,-224087.8692, ,, 
9.2,-171683.6798,-223639.9893,9.25,0.25,9
9.3,-229659.4894,-225091.6446,9.2501,0.2501,9
9.4,-259823.7253,-227417.4131, , , 
9.5,-250990.412,-228984.9628,9.5,0.5,9
9.6,-214943.4912,-229231.9868,9.501,0.501,9
9.7,-195827.8516,-228897.3815,9.75,0.75,9
9.8,-213294.9704,-228714.211,9.7501,0.7501,9
9.9,713892.0266,-292040.523, , , 
10,2213833.285,-864606.701,10,0,10
10.1,2716349.07,-1536811.296, ,, 
10.2,2321181.975,-1569866.417,10.25,0.25,10
10.3,1504544.636,-1146173.505,10.2501,0.2501,10
10.4,306604.8935,-709528.938, , , 
10.5,-871204.8297,-591630.108,10.5,0.5,10
10.6,-1280333.77,-621971.4617,10.501,0.501,10
10.7,-811895.2049,-512183.2004,10.75,0.75,10
10.8,122881.9759,-412084.5028,10.7501,0.7501,10
10.9,894231.4602,-459447.7725, , , 
11,1142224.79,-509847.4083,11,0,11
11.1,919469.5551,-454281.5095, ,, 
11.2,605170.7727,-374110.7002,11.25,0.25,11
11.3,463579.9919,-327928.2315,11.2501,0.2501,11
11.4,350550.6589,-295452.9783, , , 
11.5,204199.5969,-266471.92,11.5,0.5,11
11.6,158454.5928,-250855.5112,11.501,0.501,11
11.7,156464.4582,-242780.7895,11.75,0.75,11
11.8,61530.35127,-232816.566,11.7501,0.7501,11
11.9,1743.680357,-226421.9009, , , 
12,91850.92611,-227410.2115,12,0,12
12.1,233698.2135,-234462.6242, ,, 
