time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,194689.452,-2777900.651,0,,
0.2,669224.0678,-2134535.63,0.25,,
0.3,963644.3425,-1702403.421,0.2501,,
0.4,776814.037,-1279411.513,,,
0.5,119675.4283,-892160.6332,0.5,,
0.6,-555376.2311,-689457.1743,0.501,,
0.7,-812498.0567,-595242.5049,0.75,,
0.8,-604821.0022,-493659.1444,0.7501,,
0.9,-160194.1286,-403721.1274,,,
1,213681.9161,-358570.7534,1,,
1.1,313996.5874,-327058.9664,,,
1.2,162496.4498,-288018.9579,1.25,,
1.3,-65357.20874,-258781.2207,1.2501,,
1.4,-192131.4444,-245987.6161,,,
1.5,-167035.9357,-239381.7953,1.5,,
1.6,-63048.91976,-235075.5285,1.501,,
1.7,-712.5872237,-231998.2068,1.75,,
1.8,-28933.70495,-227686.7474,1.7501,,
1.9,-125343.3709,-224243.7792,,,
2,-245051.9187,-225095.4529,2,0,
2.1,-317968.9743,-229415.1212,,,
2.2,-106266.9379,-228275.8475,2.25,0.25,
2.3,363675.3782,-250555.542,2.2501,0.2501,
2.4,639624.8788,-289340.4049, , ,
2.5,540314.2315,-281755.0446,2.5,0.5,
2.6,252167.9524,-249155.8586,2.501,0.501,
2.7,64446.59206,-231619.8842,2.75,0.75,
2.8,121896.3557,-230172.2167,2.7501,0.7501,
2.9,363633.2963,-246337.4117, , ,
3,591040.9404,-277015.2285,3,0,3
3.1,641242.6626,-292080.1544, ,, 
3.2,310432.9523,-256402.234,3.25,0.25,3
3.3,-250899.7236,-230033.219,3.2501,0.2501,3
3.4,-542801.4146,-246588.6381, , ,3
3.5,-419554.0268,-247860.4949,3.5,0.5,3
3.6,-88686.41209,-240732.4967,3.501,0.501,3
3.7,147594.2507,-242913.8998,3.75,0.75,3
3.8,122425.9326,-236751.3622,3.7501,0.7501,3
3.9,-60353.23815,-226132.4522, , , 
4,-193038.8286,-223879.2578,4,0,4
4.1,-180035.3276,-224551.4146, ,,4
4.2,-75838.26152,-225042.0664,4.25,0.25,4
4.3,13139.72952,-225763.7204,4.2501,0.2501,4
4.4,22887.38521,-224574.6188, , , 
4.5,-38326.53278,-221722.2858,4.5,0.5,4
4.6,-113010.0593,-220333.7024,4.501,0.501,4
4.7,-165684.0219,-221037.2257,4.75,0.75,4
4.8,-188823.1646,-222573.0662,4.7501,0.7501,4
4.9,-196288.835,-224055.1377, , , 
5,-207334.6045,-225318.8652,5,0,5
5.1,-224992.5661,-226602.2497, ,,5
5.2,-16085.61185,-227044.1294,5.25,0.25,5
5.3,454426.0403,-258025.3777,5.2501,0.2501,5
5.4,786158.4255,-315307.1872, , ,5
5.5,743456.2157,-321898.032,5.5,0.5,5
5.6,418359.3154,-277520.1769,5.501,0.501,5
5.7,59862.26911,-241508.9666,5.75,0.75,5
5.8,-120584.3676,-230203.6105,5.7501,0.7501,5
5.9,-133270.4474,-227600.268, , ,5
6,-92001.4971,-226354.0127,6,0,6
6.1,-64991.53538,-225219.4733, ,,6
6.2,-104737.2277,-223598.6841,6.25,0.25,6
6.3,-196808.6224,-223469.727,6.2501,0.2501,6
6.4,-229246.3176,-225128.6008, , ,6
