time,p:1,q :1,timeStamp,CorrectP
0,-0.339545129,1.16E-11,0.1,-0.339545129
0.001,-1565916.29,-207280.2335,0.25,1517868.642
0.002,-2895182.75,-796175.472,0.251,1570927.111
0.003,-3818238.417,-1681221.977,0.5,1915431.781
0.004,-4223180.973,-2739594.187,0.501,1914515.767
0.005,-4069122.915,-3828134.233,0.75,1478518.146
0.006,-3389860.887,-4802706.99,0.751,1476655.093
0.007,-2287609.477,-5537272.502,1,739673.6901
0.008,-917866.4294,-5940160.38,1.01,701400.5866
0.009,532380.3423,-5965454.125,1.25,181979.615
0.01,1870069.312,-5618084.41,1.251,181366.0622
0.011,2921666.65,-4952091.983,1.5,-23851.13111
0.012,3555572.421,-4062435.489,1.501,-25021.73475
0.013,3698454.988,-3071565.088,1.75,-176667.1754
0.014,3343507.145,-2112648.855,1.751,-176548.6233
0.015,2549731.246,-1311741.249,2,34170.89515
0.016,1432564.979,-771273.9544,2.01,79359.05523
0.017,147293.6157,-557023.5906,2.25,458240.646
0.018,-1132389.418,-690204.8701,2.251,461357.3172
0.019,-2237729.365,-1145624.747,2.5,1541896.519
0.02,-3027039.97,-1856011.559,2.501,1545442.304
0.021,-3403728.112,-2721814.219,2.75,1788413.054
0.022,-3327936.3,-3625058.345,2.751,1787783.385
0.023,-2820422.719,-4445340.055,3,1539060.955
0.024,-1958355.38,-5075796.686,3.01,1530046.11
0.025,-863770.8376,-5436943.076,3.25,1430150.685
0.026,313603.1443,-5486589.683,3.251,1430157.939
0.027,1416759.671,-5224615.285,3.5,1413097.47
0.028,2302289.95,-4692074.009,3.501,1412950.623
0.029,2858961.813,-3964877.009,3.75,1463919.889
0.03,3021605.705,-3143001.588,3.751,1464296.864
0.031,2778590.965,-2336751.625,4,1155340.583
0.032,2172061.982,-1651950.198,4.01,1132514.33
0.033,1291078.484,-1176045.816,4.25,920819.731
0.034,258736.3622,-966949.8256,4.251,921302.9147
0.035,-784887.0143,-1046021.894,4.5,902144.6685
0.036,-1701613.169,-1396041.126,4.501,901103.4478
0.037,-2373335.009,-1964322.887,4.75,540363.6902
0.038,-2717102.607,-2670457.43,4.751,538858.2795
0.039,-2695208.086,-3417546.635,5,647454.3323
0.04,-2319061.125,-4105376.828,5.01,666521.481
0.041,-1646494.594,-4643743.453,5.25,1044433.528
0.042,-773014.6902,-4964161.856,5.251,1045825.602
0.043,181704.0749,-5028450.218,5.5,1441328.87
0.044,1090183.303,-4833117.301,5.501,1442678.277
0.045,1834137.669,-4409065.953,5.75,1497261.381
0.046,2319848.075,-3816753.809,5.751,1496595.665
0.047,2489923.38,-3137550.687,6,147511.171
0.048,2329987.367,-2462519.275,6.01,1480586.846
0.049,1869532.179,-1880159.759,6.25,1498997.628
0.05,1176967,-1464762.278,6.251,1498277.69
0.051,349655.4516,-1266894.525,6.5,1338600.383
0.052,-499623.3107,-1307235.797,6.501,1338304.183
0.053,-1257918.027,-1574499.532,6.75,1332502.345
0.054,-1827002.145,-2027629.367,6.751,1332622.386
0.055,-2135968.283,-2601884.482,7,767222.1087
0.056,-2149915.583,-3217924.023,7.01,729727.0035
0.057,-1873679.187,-3792623.157,7.25,340664.6212
