time,p:1,q :1,,,
12.9,341127.0795,-243121.788, , , 
13,365251.3019,-246599.2158,13,0,13
13.1,325206.9468,-243480.5016, ,, 
13.2,281000.7626,-239002.7089,13.25,0.25,13
13.3,307535.847,-240391.372,13.2501,0.2501,13
13.4,405057.2533,-250239.5075, , , 
13.5,497649.1475,-263557.827,13.5,0.5,13
13.6,521430.6693,-270277.5077,13.501,0.501,13
13.7,460347.9327,-265076.4896,13.75,0.75,13
13.8,354288.2486,-252911.4557,13.7501,0.7501,13
13.9,116685.6903,-233146.6309, , , 
14,-220431.9144,-223509.8573,14,0,14
14.1,-437381.742,-234054.7083, ,, 
14.2,-438282.3423,-241834.312,14.25,0.25,14
14.3,-293480.5026,-239707.4474,14.2501,0.2501,14
14.4,-156307.5036,-236049.913, , , 
14.5,-120110.7578,-232527.707,14.5,0.5,14
14.6,-173270.8445,-229624.3781,14.501,0.501,14
14.7,-240551.0361,-229368.8073,14.75,0.75,14
14.8,-263544.0802,-230480.6938,14.7501,0.7501,14
14.9,-238530.3003,-230775.4303, , , 
15,-194211.9964,-230045.0779,15,0,15
15.1,-162736.8921,-228863.543, ,, 
15.2,-152106.4131,-227603.6422,15.25,0.25,15
15.3,-153602.8668,-226592.3828,15.2501,0.2501,15
15.4,-175039.4962,-226115.4009, , , 
15.5,-210299.0611,-226482.9157,15.5,0.5,15
15.6,-233783.0607,-227561.8387,15.501,0.501,15
15.7,-245654.8876,-228806.5132,15.75,0.75,15
15.8,-249912.6159,-229834.6237,15.7501,0.7501,15
15.9,-214837.59,-229734.5344, , , 
16,-146421.2296,-228716.4202,16,0,16
16.1,-93658.10756,-227401.1033, ,, 
16.2,-79440.13997,-225774.2881,16.25,0.25,16
16.3,-94546.69682,-224199.794,16.2501,0.2501,16
16.4,-130206.6814,-223288.4154, , , 
16.5,-168228.4897,-223376.4711,16.5,0.5,16
16.6,-183467.146,-224131.6382,16.501,0.501,16
16.7,-156885.3444,-224578.8397,16.75,0.75,16
16.8,-100029.2471,-224619.0386,16.7501,0.7501,16
16.9,-101697.1905,-223990.9104, , , 
17,-187965.0561,-223633.3469,17,0,17
17.1,-280945.7836,-226578.4866, ,, 
17.2,-317239.7376,-230641.842,17.25,0.25,17
17.3,-291266.7281,-232577.6241,17.2501,0.2501,17
17.4,-231955.6028,-232188.6934, , , 
17.5,-174411.3463,-230748.3744,17.5,0.5,17
17.6,-141736.5056,-229016.7097,17.501,0.501,17
17.7,-132728.8131,-227359.4638,17.75,0.75,17
17.8,-136940.4361,-226081.9145,17.7501,0.7501,17
17.9,-142668.6835,-225270.998, , , 
18,-140485.5269,-224797.8784,18,0,18
18.1,-129288.2043,-224441.7514, ,, 
18.2,-112988.753,-224065.4259,18.25,0.25,18
18.3,-97300.58062,-223633.5658,18.2501,0.2501,18
18.4,-84984.33208,-223157.8898, , , 
18.5,-80325.89266,-222664.7503,18.5,0.5,18
18.6,-86337.88159,-222171.6757,18.501,0.501,18
18.7,-99110.67182,-221841.0176,18.75,0.75,18
18.8,-111172.5851,-221778.6804,18.7501,0.7501,18
18.9,-133711.0193,-221970.6717, , , 
19,-170093.9283,-222595.2022,19,0,19
19.1,-202456.4066,-223899.7064, ,, 
19.2,-204037.548,-225148.0646,19.25,0.25,19
19.3,-160104.7351,-225527.9841,19.2501,0.2501,19
19.4,-146479.6539,-225438.0451, , , 
19.5,-200301.0777,-225532.05,19.5,0.5,19
19.6,-262889.8648,-227513.3131,19.501,0.501,19
19.7,-288433.521,-230153.6782,19.75,0.75,19
19.8,-272052.6913,-231569.2333,19.7501,0.7501,19
19.9,-240288.8111,-231644.8052, , , 
20,-218388.3219,-231063.3212,20,0,20
20.1,-208312.3663,-230296.0351, ,, 
20.2,-210107.4138,-229723.0406,20.25,0.25,20
20.3,-222661.9411,-229562.4838,20.2501,0.2501,20
20.4,-226302.5065,-229608.9166, , , 
20.5,-211969.4695,-229415.9099,20.5,0.5,20
20.6,-190689.767,-228855.4841,20.501,0.501,20
20.7,-191831.0193,-228331.6691,20.75,0.75,20
20.8,-223240.8684,-228450.8806,20.7501,0.7501,20
20.9,-252481.854,-229457.3897, , , 
21,-251708.6685,-230337.314,21,0,21
21.1,-218503.5382,-230200.8097, ,, 
21.2,-111741.2935,-228861.087,21.25,0.25,21
21.3,71022.80713,-230743.8521,21.2501,0.2501,21
21.4,290162.9914,-241806.8897, , , 
21.5,467364.6515,-260250.3274,21.5,0.5,21
21.6,530464.4788,-271491.7004,21.501,0.501,21
21.7,487234.4787,-268815.0646,21.75,0.75,21
21.8,403950.0449,-259050.7611,21.7501,0.7501,21
21.9,322422.4251,-249106.1812, , , 
22,272816.3315,-242153.2086,22,0,22
22.1,285212.233,-241055.7852, ,, 
22.2,350508.5894,-245978.2462,22.25,0.25,22
22.3,414156.6949,-253279.1569,22.2501,0.2501,22
22.4,361168.1037,-249450.8716, , , 
22.5,192350.8125,-234444.3729,22.5,0.5,22
22.6,31071.68409,-223791.1642,22.501,0.501,22
22.7,-48571.78061,-220369.269,22.75,0.75,22
22.8,-38829.28151,-220404.1287,22.7501,0.7501,22
22.9,-76049.0341,-220203.5589, , , 
23,-204366.5779,-220691.1448,23,0,23
23.1,-304193.0876,-225509.2803, ,, 
23.2,-309130.3532,-229673.6485,23.25,0.25,23
23.3,-239916.3132,-230421.0598,23.2501,0.2501,23
23.4,-162204.1172,-229512.0466, , , 
23.5,-122478.9944,-228056.4452,23.5,0.5,23
23.6,-125583.0873,-226436.4571,23.501,0.501,23
23.7,-141497.9862,-225315.9482,23.75,0.75,23
23.8,-145455.2039,-224811.5513,23.7501,0.7501,23
23.9,-115975.0623,-224469.8214, , , 
24,-47453.95604,-224480.7382,24,0,24
24.1,36764.54655,-225393.7306, ,, 
24.2,202464.6175,-231960.9986,24.25,0.25,24
24.3,489678.5204,-259222.4065,24.2501,0.2501,24
24.4,921450.538,-338386.9196, , , 
24.5,1338275.445,-477923.796,24.5,0.5,24
24.6,1518851.953,-593650.1144,24.501,0.501,24
24.7,1456362.616,-623723.3267,24.75,0.75,24
24.8,1255238.585,-580779.3762,24.7501,0.7501,24
24.9,1075915.551,-524231.893, , , 
25,1028981.837,-495166.1085,25,0,25
25.1,1115513.95,-505046.8065, ,, 
25.2,1164886.973,-518979.2697,25.25,0.25,25
25.3,1066509.65,-493609.3598,25.2501,0.2501,25
25.4,1017655.457,-471626.8269, , , 
25.5,1122653,-491964.3747,25.5,0.5,25
25.6,1258803.979,-536762.3676,25.501,0.501,25
25.7,1296058.462,-564021.9707,25.75,0.75,25
25.8,1203705.733,-547469.4432,25.7501,0.7501,25
25.9,1030681.501,-497462.0388, , , 
26,904080.9851,-451061.6399,26,0,26
26.1,924641.4002,-437785.5982, ,, 
26.2,988120.8666,-444036.9979,26.25,0.25,26
26.3,958024.1799,-434540.4424,26.2501,0.2501,26
26.4,768747.4981,-389440.3919, , , 
26.5,522882.6008,-333223.4273,26.5,0.5,26
26.6,412442.3679,-300112.7996,26.501,0.501,26
26.7,379797.777,-282493.0223,26.75,0.75,26
26.8,318448.378,-266139.7468,26.7501,0.7501,26
26.9,263266.5343,-253174.0184, , , 
27,254290.3974,-246379.0827,27,0,27
27.1,286681.4497,-245071.8131, ,, 
27.2,354307.3344,-249035.654,27.25,0.25,27
27.3,431374.168,-257040.5516,27.2501,0.2501,27
27.4,513694.7343,-268359.6456, , , 
27.5,594964.0862,-282942.6951,27.5,0.5,27
27.6,644712.2153,-295229.9179,27.501,0.501,27
27.7,669349.5985,-303804.2616,27.75,0.75,27
27.8,666364.7491,-307345.2518,27.7501,0.7501,27
27.9,577232.0359,-296005.9502, , , 
28,416349,-272657.368,28,0,28
28.1,277158.208,-253014.9369, ,, 
28.2,231337.1777,-243481.8229,28.25,0.25,28
28.3,305791.5047,-245492.9762,28.2501,0.2501,28
28.4,530032.0464,-268822.8387, , , 
28.5,782393.4578,-315414.5256,28.5,0.5,28
28.6,872042.6609,-347391.2523,28.501,0.501,28
28.7,746459.6972,-334649.2138,28.75,0.75,28
28.8,523869.4276,-298764.3605,28.7501,0.7501,28
28.9,387365.2698,-274048.1334, , , 
29,390155.0907,-266692.4765,29,0,29
29.1,458197.7595,-270131.2889, ,, 
29.2,484125.3748,-272289.8558,29.25,0.25,29
29.3,421315.2644,-264152.9407,29.2501,0.2501,29
29.4,308760.073,-250259.7554, , , 
29.5,201942.764,-238199.0916,29.5,0.5,29
29.6,129960.2763,-230552.186,29.501,0.501,29
29.7,26974.82984,-224116.1586,29.75,0.75,29
29.8,-130804.1353,-220160.3317,29.7501,0.7501,29
29.9,-275773.5174,-223169.3138, , , 
30,-342426.9337,-229326.3682,30,0,30
30.1,-313189.2703,-232478.8614, ,, 
30.2,-227611.8634,-232053.9596,30.25,0.25,30
30.3,-131366.7469,-230374.6137,30.2501,0.2501,30
30.4,-2052.006269,-229588.9886, , , 
30.5,140100.8984,-232569.6227,30.5,0.5,30
30.6,221107.8373,-235634.9765,30.501,0.501,30
30.7,221601.7633,-234457.542,30.75,0.75,30
30.8,174211.9504,-230079.1824,30.7501,0.7501,30
30.9,181581.4049,-229096.3101, , , 
31,272704.1833,-235242.5019,31,0,31
31.1,372269.1289,-245237.7665, ,, 
31.2,340864.1955,-244532.0987,31.25,0.25,31
31.3,163942.8036,-230445.2771,31.2501,0.2501,31
31.4,206102.6374,-230106.6521, , , 
31.5,552365.3319,-266011.2165,31.5,0.5,31
31.6,876075.7246,-331726.6168,31.501,0.501,31
31.7,949571.6405,-368432.4223,31.75,0.75,31
31.8,772773.0745,-346074.2065,31.7501,0.7501,31
31.9,322801.2246,-281255.0283, , , 
32,-219269.7838,-245286.7545,32,0,32
32.1,-501577.0836,-253215.2864, ,, 
32.2,-449261.214,-254932.5848,32.25,0.25,32
32.3,-224061.3553,-246398.8109,32.2501,0.2501,32
32.4,-53375.97608,-240844.7291, , , 
32.5,-46870.80388,-234815.7363,32.5,0.5,32
32.6,-157779.3824,-229550.2189,32.501,0.501,32
32.7,-275397.837,-229956.8804,32.75,0.75,32
32.8,-319081.0212,-232951.2623,32.7501,0.7501,32
32.9,-279182.829,-233721.6685, , , 
33,-203286.3091,-232391.2998,33,0,33
33.1,-148873.0281,-230497.1347, ,, 
33.2,-105957.3671,-228458.6868,33.25,0.25,33
33.3,-40792.81778,-227128.0559,33.2501,0.2501,33
33.4,67000.33573,-228021.4793, , , 
33.5,183961.2258,-232243.2431,33.5,0.5,33
33.6,249120.8639,-235827.4854,33.501,0.501,33
33.7,334588.4775,-242317.4458,33.75,0.75,33
33.8,474149.414,-258623.3185,33.7501,0.7501,33
33.9,593441.9447,-278831.7008, , , 
34,629825.2925,-290553.4911,34,0,34
34.1,574376.4315,-286749.9178, ,, 
34.2,442182.0959,-270079.1894,34.25,0.25,34
34.3,300840.9596,-251854.8305,34.2501,0.2501,34
34.4,204772.334,-239838.7007, , , 
34.5,161727.9346,-233336.7709,34.5,0.5,34
34.6,168175.3808,-231247.2663,34.501,0.501,34
34.7,206275.0378,-232172.7495,34.75,0.75,34
34.8,250766.1856,-234750.9724,34.7501,0.7501,34
34.9,119541.0067,-226811.4904, , , 
35,-173748.4226,-218779.6867,35,0,35
35.1,-375718.8658,-226715.6192, ,, 
35.2,-381664.5204,-233779.3041,35.25,0.25,35
35.3,-257882.3336,-233522.2665,35.2501,0.2501,35
35.4,-135486.4879,-231643.8311, , , 
35.5,-96927.2603,-229328.4857,35.5,0.5,35
35.6,-138232.9294,-226875.4447,35.501,0.501,35
35.7,-193399.5349,-226160.5766,35.75,0.75,35
35.8,-208675.0322,-226641.0832,35.7501,0.7501,35
35.9,-169544.9637,-226634.7934, , , 
36,-102687.1302,-226175.3622,36,0,36
36.1,-54152.42136,-225442.0377, ,, 
36.2,3357.387254,-225029.849,36.25,0.25,36
36.3,97152.69798,-226946.9469,36.2501,0.2501,36
36.4,236444.884,-233927.213, , , 
36.5,389565.4574,-247849.7616,36.5,0.5,36
36.6,492837.2983,-262272.3109,36.501,0.501,36
36.7,585963.5009,-278406.4656,36.75,0.75,36
36.8,683300.9717,-299309.3095,36.7501,0.7501,36
36.9,713674.6114,-311998.532, , , 
37,637635.3895,-304825.4578,37,0,37
37.1,486701.4653,-282987.237, ,, 
37.2,272327.8045,-255671.3291,37.25,0.25,37
37.3,63005.89303,-235499.3672,37.2501,0.2501,37
37.4,71426.38543,-230201.014, , , 
37.5,299292.7802,-241903.5278,37.5,0.5,37
37.6,521901.6448,-267081.0442,37.501,0.501,37
37.7,588768.4681,-281635.2855,37.75,0.75,37
37.8,502986.2391,-273744.0961,37.7501,0.7501,37
37.9,262530.7132,-248003.9934, , , 
38,-69247.52359,-227100.0511,38,0,38
38.1,-323026.2501,-227940.9795, ,, 
38.2,-387685.1958,-234919.626,38.25,0.25,38
38.3,-289603.0275,-235244.1066,38.2501,0.2501,38
38.4,-143968.1378,-232856.1137, , , 
38.5,-59004.80063,-230695.1517,38.5,0.5,38
38.6,-77953.97897,-227441.657,38.501,0.501,38
38.7,-178469.7294,-225402.4558,38.75,0.75,38
38.8,-287063.9072,-227827.5313,38.7501,0.7501,38
38.9,-330413.8258,-232042.003, , , 
39,-301277.3964,-233882.9805,39,0,39
39.1,-241877.7779,-233341.9226, ,, 
39.2,-163619.5714,-231426.2353,39.25,0.25,39
39.3,-71907.6189,-229604.6493,39.2501,0.2501,39
39.4,65498.74296,-230201.9032, , , 
39.5,258129.0562,-238949.0166,39.5,0.5,39
39.6,450848.4814,-257336.3152,39.501,0.501,39
39.7,649156.3114,-287799.4968,39.75,0.75,39
39.8,781434.7633,-320077.6347,39.7501,0.7501,39
39.9,677262.2965,-312668.2423, , , 
40,406667.3829,-274811.681,40,0,40
40.1,210377.4771,-249094.8097, ,, 
40.2,247731.7598,-244581.6101,40.25,0.25,40
40.3,467167.8355,-263084.5307,40.2501,0.2501,40
40.4,628981.3627,-288771.6013, , , 
40.5,604386.5992,-291026.8459,40.5,0.5,40
40.6,457614.8437,-272577.2834,40.501,0.501,40
40.7,246871.436,-248314.5816,40.75,0.75,40
40.8,46642.44944,-231158.3603,40.7501,0.7501,40
40.9,-135540.265,-224308.6687, , , 
41,-298893.3185,-226750.4447,41,0,41
41.1,-366285.4363,-232975.063, ,, 
41.2,-324689.8197,-235367.9755,41.25,0.25,41
41.3,-236296.8594,-234236.2257,41.2501,0.2501,41
41.4,-176828.7183,-232246.7185, , , 
41.5,-176019.0685,-230309.836,41.5,0.5,41
41.6,-213173.6714,-229409.0466,41.501,0.501,41
41.7,-222496.3209,-229272.7693,41.75,0.75,41
41.8,-165421.1354,-228496.003,41.7501,0.7501,41
41.9,-25143.11592,-228184.1884, , , 
42,134558.2681,-231906.0482,42,0,42
42.1,207288.0774,-234523.0642, ,, 
42.2,247966.2679,-235847.478,42.25,0.25,42
42.3,346444.4664,-243679.1115,42.2501,0.2501,42
42.4,510517.8433,-263455.0696, , , 
42.5,660219.1615,-290731.6866,42.5,0.5,42
42.6,709938.4885,-307435.6574,42.501,0.501,42
42.7,690952.0381,-310663.2281,42.75,0.75,42
42.8,661295.1142,-309057.7179,42.7501,0.7501,42
42.9,641287.4182,-306929.8258, , , 
43,644476.376,-307521.6537,43,0,43
43.1,672293.8568,-312493.9155, ,, 
43.2,701742.9846,-319110.9616,43.25,0.25,43
43.3,718927.7054,-324302.9151,43.2501,0.2501,43
43.4,723320.0126,-327233.7069, , , 
43.5,745204.7932,-332538.2712,43.5,0.5,43
43.6,818128.6206,-348696.3641,43.501,0.501,43
43.7,1020519.77,-398647.7525,43.75,0.75,43
43.8,1236697.836,-476989.8563,43.7501,0.7501,43
43.9,1039824.347,-453381.731, , , 
44,455228.9524,-339431.6733,44,0,44
44.1,-78691.11729,-275602.128, ,, 
44.2,-302912.9268,-259985.0081,44.25,0.25,44
44.3,-242724.9089,-250792.0435,44.2501,0.2501,44
44.4,-92023.47451,-243284.0421, , , 
44.5,-17369.23341,-237717.7098,44.5,0.5,44
44.6,-45902.79915,-231666.1962,44.501,0.501,44
44.7,-127972.6355,-227260.2027,44.75,0.75,44
44.8,-191442.7011,-226180.1775,44.7501,0.7501,44
44.9,-168733.9676,-226037.3116, , , 
45,-65590.35603,-226002.3301,45,0,45
45.1,45290.66694,-227186.0254, ,, 
45.2,149061.8377,-230024.0223,45.25,0.25,45
45.3,233844.5958,-234394.5745,45.2501,0.2501,45
45.4,286609.5819,-238107.4263, , , 
45.5,336638.213,-242669.932,45.5,0.5,45
45.6,408340.7621,-250750.1476,45.501,0.501,45
45.7,498803.2776,-263527.6237,45.75,0.75,45
45.8,544353.6276,-273488.8891,45.7501,0.7501,45
45.9,496505.8097,-270449.4373, , , 
46,400340.5378,-259190.7517,46,0,46
46.1,330097.3337,-249888.9626, ,, 
46.2,319869.1274,-246546.0941,46.25,0.25,46
46.3,365361.1688,-249463.0831,46.2501,0.2501,46
46.4,492711.7993,-263736.9024, , , 
46.5,650698.2639,-290231.9972,46.5,0.5,46
46.6,731772.4636,-311814.0995,46.501,0.501,46
46.7,601458.6689,-298532.9168,46.75,0.75,46
46.8,276730.2322,-258198.8632,46.7501,0.7501,46
46.9,-70769.02836,-233012.4825, , , 
47,-268199.0411,-230061.8631,47,0,47
47.1,-244645.9043,-230480.3895, ,, 
47.2,-121639.4882,-229399.3003,47.25,0.25,47
47.3,-42707.16201,-228253.4283,47.2501,0.2501,47
47.4,-64758.79816,-225624.8125, , , 
47.5,-156317.0143,-223681.0677,47.5,0.5,47
47.6,-239875.8052,-225066.6522,47.501,0.501,47
47.7,-277939.5925,-227999.4578,47.75,0.75,47
47.8,-272893.6983,-230087.7093,47.7501,0.7501,47
47.9,-239768.8083,-230612.5678, , , 
48,-205134.0049,-230126.8375,48,0,48
48.1,-190109.5431,-229299.2534, ,, 
48.2,-126917.5035,-227955.6488,48.25,0.25,48
48.3,37362.00122,-229002.1186,48.2501,0.2501,48
48.4,300975.5309,-242240.0514, , , 
48.5,554511.4757,-271814.6363,48.5,0.5,48
48.6,659622.4886,-294061.0756,48.501,0.501,48
48.7,649391.7346,-298703.4608,48.75,0.75,48
48.8,619220.1061,-297176.704,48.7501,0.7501,48
48.9,612081.6046,-297310.0112, , , 
49,620945.7759,-299518.3671,49,0,49
49.1,626766.7523,-301407.7006, ,, 
49.2,628056.91,-302369.0666,49.25,0.25,49
49.3,636552.246,-304252.0392,49.2501,0.2501,49
49.4,798625.9768,-332675.8831, , , 
49.5,1102205.718,-412135.9928,49.5,0.5,49
49.6,1328077.108,-506934.4311,49.501,0.501,49
49.7,1322937.497,-543979.8983,49.75,0.75,49
49.8,1118316.463,-503914.172,49.7501,0.7501,49
49.9,623595.8349,-392062.2461, , , 
50,-72592.23423,-298698.0672,50,0,50
