time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,141223.3327,-2766708.537,0,,
0.2,386935.2471,-2045576.457,0.25,,
0.3,385437.9965,-1499714.456,0.2501,,
0.4,131501.8689,-1083310.953,,,
0.5,-172738.0978,-800984.6404,0.5,,
0.6,-315683.1634,-620506.391,0.501,,
0.7,-245165.447,-495828.8223,0.75,,
0.8,-86637.1025,-409335.314,0.7501,,
0.9,-12227.56473,-350260.4869,,,
1,-79046.72512,-307175.7217,1,,
1.1,-212541.8428,-279640.8406,,,
1.2,-314584.6215,-265889.1743,1.25,,
1.3,-326115.0735,-257707.0591,1.2501,,
1.4,-207258.1677,-248585.592,,,
1.5,-19703.49795,-242511.8839,1.5,,
1.6,103677.03,-240076.6983,1.501,,
1.7,66692.7296,-233398.1751,1.75,,
1.8,-122026.6723,-225391.9315,1.7501,,
1.9,-268998.0632,-226150.2135,,,
2,-299112.6816,-229621.8902,2,0,
2.1,-269453.4916,-231146.668,,,
2.2,-186989.8205,-230312.9437,2.25,0.25,
2.3,-101659.2313,-228946.962,2.2501,0.2501,
2.4,-107250.6728,-226944.4602, , ,
2.5,-200853.3006,-225875.5219,2.5,0.5,
2.6,-290567.7793,-228553.5567,2.501,0.501,
2.7,-298315.2093,-231278.1132,2.75,0.75,
2.8,-227515.4114,-231198.6318,2.7501,0.7501,
2.9,-170932.9985,-230091.1864, , ,
3,-163227.7204,-228627.5568,3,0,3
3.1,-119235.0743,-227206.2861, ,, 
3.2,-70836.79403,-226273.5612,3.25,0.25,3
3.3,-97204.64902,-224460.6007,3.2501,0.2501,3
3.4,-135860.6888,-223384.0314, , ,3
3.5,-125285.291,-223326.3622,3.5,0.5,3
3.6,-74158.1088,-223491.3867,3.501,0.501,3
3.7,-23588.5743,-223644.7949,3.75,0.75,3
3.8,-19158.26989,-222816.229,3.7501,0.7501,3
3.9,-84178.58863,-221031.5622, , , 
4,-192216.5137,-221250.4864,4,0,4
4.1,-282662.3912,-225060.5298, ,,4
4.2,-312597.8714,-229447.3609,4.25,0.25,4
4.3,-285339.1001,-231568.547,4.2501,0.2501,4
4.4,-220382.9724,-231229.6078, , , 
4.5,-140118.0529,-229762.7516,4.5,0.5,4
4.6,-70349.67319,-228213.3919,4.501,0.501,4
4.7,-31088.41392,-226628.593,4.75,0.75,4
4.8,-20856.57246,-224857.1649,4.7501,0.7501,4
4.9,-96487.2142,-222502.5341, , , 
5,-215498.8036,-222713.8977,5,0,5
5.1,-229516.9637,-224795.4888, ,,5
5.2,-187084.0771,-225894.7143,5.25,0.25,5
5.3,-44786.17069,-226085.9118,5.2501,0.2501,5
5.4,149618.1478,-231876.5882, , ,5
5.5,173065.8113,-232088.0395,5.5,0.5,5
5.6,-2108.066607,-222692.3334,5.501,0.501,5
5.7,-251306.2053,-221227.9386,5.75,0.75,5
5.8,-410719.0725,-231264.3127,5.7501,0.7501,5
5.9,-405677.4397,-238082.167, , ,5
6,-294347.7739,-237479.4909,6,0,6
6.1,-184442.0628,-234775.739, ,,6
6.2,-147186.9996,-231981.9528,6.25,0.25,6
6.3,-183823.7413,-229793.1499,6.2501,0.2501,6
6.4,-202042.6555,-228821.3662, , ,6
6.5,-175792.2387,-228175.6746,6.5,0.5,6
6.6,-167281.5092,-227442.3386,6.501,0.501,6
6.7,-170204.8346,-226765.3744,6.75,0.75,6
6.8,-170633.5768,-226387.5691,6.7501,0.7501,6
6.9,-145831.6791,-225887.486, , ,6
7,-98929.2984,-225386.1256,7,0,7
7.1,-76658.84385,-224544.2265, ,, 
7.2,-129989.6449,-223333.9764,7.25,0.25,7
7.3,-216732.6305,-223964.6767,7.2501,0.2501,7
7.4,-217870.2382,-225453.4349, , , 
7.5,-127363.0974,-225731.9796,7.5,0.5,7
7.6,-30852.39504,-225974.5997,7.501,0.501,7
7.7,10282.11034,-225374.5682,7.75,0.75,7
7.8,-9679.24317,-223300.6204,7.7501,0.7501,7
7.9,-61480.9886,-221264.9365, , , 
8,-103682.4661,-220592.6352,8,0,8
8.1,-109615.2922,-220954.7727, ,, 
8.2,-146213.8735,-221540.9753,8.25,0.25,8
8.3,-228939.2965,-223307.2879,8.2501,0.2501,8
8.4,-243361.923,-225670.2359, , , 
8.5,-171280.1178,-226299.0669,8.5,0.5,8
8.6,-99173.73903,-226072.1545,8.501,0.501,8
8.7,-103975.2223,-224917.1659,8.75,0.75,8
8.8,-151775.8554,-223912.2979,8.7501,0.7501,8
8.9,-125184.2878,-223794.0065, , , 
9,-11881.00836,-224849.7311,9,0,9
9.1,108446.1745,-227926.2217, ,, 
9.2,119418.4805,-227497.8449,9.25,0.25,9
9.3,12051.91289,-221862.2357,9.2501,0.2501,9
9.4,-110881.8085,-219049.3336, , , 
9.5,-159135.7499,-219927.5364,9.5,0.5,9
9.6,-102864.992,-221330.1734,9.501,0.501,9
9.7,-76472.31891,-222102.46,9.75,0.75,9
9.8,-161281.8892,-221694.0513,9.7501,0.7501,9
9.9,-264829.7214,-224415.6468, , , 
10,-305354.4715,-228628.2202,10,0,10
10.1,-276846.9208,-230714.6934, ,, 
10.2,-221500.2622,-230681.2984,10.25,0.25,10
10.3,-175505.0606,-229653.9303,10.2501,0.2501,10
10.4,-127566.9099,-228186.524, , , 
10.5,-80809.24405,-226837.5491,10.5,0.5,10
10.6,-60638.1116,-225367.2785,10.501,0.501,10
10.7,-68878.95276,-223814.3316,10.75,0.75,10
10.8,-91433.34842,-222650.4909,10.7501,0.7501,10
10.9,-124299.2007,-222173.9376, , , 
