time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,186911.4059,-2776140.064,0,,
0.2,629766.1527,-2119380.154,0.25,,
0.3,885708.2079,-1664971.416,0.2501,,
0.4,711909.4976,-1244821.119,,,
0.5,139811.2596,-877635.2497,0.5,,
0.6,-462701.2116,-670683.2479,0.501,,
0.7,-721071.6992,-569288.8409,0.75,,
0.8,-564342.1877,-475029.6039,0.7501,,
0.9,-175092.7589,-392379.2737,,,
1,159582.1536,-347388.7629,1,,
1.1,240698.6359,-315064.1006,,,
1.2,171069.4634,-283484.8979,1.25,,
1.3,148153.5583,-263265.3898,1.2501,,
1.4,299015.7611,-261259.7496,,,
1.5,558543.6893,-284852.2936,1.5,,
1.6,740391.4657,-316849.4695,1.501,,
1.7,768601.5972,-330011.7037,1.75,,
1.8,684132.115,-320046.479,1.7501,,
1.9,560409.8944,-299775.3917,,,
2,480471.6286,-283879.4835,2,0,
2.1,491030.1451,-280044.8898,,,
2.2,584770.9083,-290247.2191,2.25,0.25,
2.3,695756.2636,-309728.8197,2.2501,0.2501,
2.4,717502.6768,-319065.4926, , ,
2.5,611665.9182,-305068.6409,2.5,0.5,
2.6,435939.1222,-278539.2152,2.501,0.501,
2.7,215696.2232,-251237.0823,2.75,0.75,
2.8,15647.63008,-233429.3343,2.7501,0.7501,
2.9,-177407.2648,-227013.608, , ,
3,-346023.3039,-231048.2669,3,0,3
3.1,-387540.3643,-237081.9918, ,, 
3.2,-318274.7323,-237813.976,3.25,0.25,3
3.3,-221569.0591,-235591.7262,3.2501,0.2501,3
3.4,-169692.8211,-232998.3454, , ,3
3.5,-181282.5088,-230776.1066,3.5,0.5,3
3.6,-227031.5582,-230034.0083,3.501,0.501,3
3.7,-266721.2432,-230943.0291,3.75,0.75,3
3.8,-277021.1848,-232148.082,3.7501,0.7501,3
3.9,-248781.9279,-232217.5015, , , 
4,-199347.148,-231160.5398,4,0,4
4.1,-160413.7929,-229652.2458, ,,4
4.2,-79931.68632,-228079.6842,4.25,0.25,4
4.3,69126.45012,-229591.6529,4.2501,0.2501,4
4.4,281661.5047,-240162.2087, , , 
4.5,481107.0234,-261230.0951,4.5,0.5,4
4.6,557799.308,-275370.7038,4.501,0.501,4
4.7,469446.3251,-267690.3302,4.75,0.75,4
4.8,274804.8038,-246534.6225,4.7501,0.7501,4
4.9,111377.565,-231504.5426, , , 
5,75170.97053,-226545.6885,5,0,5
5.1,161099.6795,-229122.4967, ,,5
5.2,311506.615,-239526.8047,5.25,0.25,5
5.3,441883.6815,-254353.8018,5.2501,0.2501,5
5.4,438516.9746,-257344.5873, , ,5
5.5,316298.724,-245511.1618,5.5,0.5,5
5.6,201482.5286,-234393.191,5.501,0.501,5
5.7,139971.078,-228572.9611,5.75,0.75,5
5.8,121096.2665,-226106.7078,5.7501,0.7501,5
5.9,10629.66138,-221272.8725, , ,5
6,-207355.6786,-219154.4372,6,0,6
6.1,-365612.8589,-227020.5024, ,,6
6.2,-387187.2698,-234323.8014,6.25,0.25,6
6.3,-305565.5196,-235454.6901,6.2501,0.2501,6
6.4,-206034.2456,-233708.4866, , ,6
6.5,-159389.176,-231523.6653,6.5,0.5,6
6.6,-180850.0786,-229636.3432,6.501,0.501,6
6.7,-234451.2495,-229401.2221,6.75,0.75,6
6.8,-273442.8887,-230763.0939,6.7501,0.7501,6
6.9,-256149.2554,-231417.6829, , ,6
7,-177390.7766,-230318.8167,7,0,7
7.1,-71511.27187,-229005.338, ,, 
7.2,69498.55845,-230027.7859,7.25,0.25,7
7.3,210969.4629,-235430.708,7.2501,0.2501,7
7.4,354638.5528,-245941.4981, , , 
7.5,500577.253,-263755.7247,7.5,0.5,7
7.6,593187.3558,-280676.053,7.501,0.501,7
7.7,577933.2954,-283822.6361,7.75,0.75,7
7.8,460386.0954,-270072.7128,7.7501,0.7501,7
7.9,273495.066,-248781.932, , , 
8,84126.18345,-231845.9896,8,0,8
8.1,-19595.14898,-224650.3355, ,, 
8.2,-49586.39844,-222491.9519,8.25,0.25,8
8.3,-49469.46323,-221820.1121,8.2501,0.2501,8
8.4,-62543.61602,-221300.716, , , 
8.5,-104224.0435,-220743.3913,8.5,0.5,8
8.6,-147750.1579,-221092.1389,8.501,0.501,8
8.7,-165876.4223,-222119.5972,8.75,0.75,8
8.8,-149900.6628,-222997.217,8.7501,0.7501,8
8.9,-150503.2,-223528.7737, , , 
9,-172777.8949,-223907.7886,9,0,9
9.1,-156571.6221,-224273.5396, ,, 
9.2,45120.90477,-226718.3372,9.25,0.25,9
9.3,400502.6975,-250556.7032,9.2501,0.2501,9
9.4,626011.8864,-284018.5519, , , 
9.5,579446.4793,-284812.1519,9.5,0.5,9
9.6,342308.5594,-257101.554,9.501,0.501,9
9.7,86269.17809,-233823.2388,9.75,0.75,9
9.8,-29338.44149,-225388.1715,9.7501,0.7501,9
9.9,86330.9089,-226873.9099, , , 
10,345953.5492,-243775.9678,10,0,10
10.1,571893.1785,-273162.2408, ,, 
10.2,703709.0178,-300715.7709,10.25,0.25,10
10.3,744153.5368,-316928.62,10.2501,0.2501,10
10.4,692442.3192,-314891.9847, , , 
10.5,568765.6199,-297191.6157,10.5,0.5,10
10.6,419241.9267,-274289.0556,10.501,0.501,10
10.7,263415.5063,-253100.8293,10.75,0.75,10
10.8,150365.3147,-238741.7885,10.7501,0.7501,10
10.9,138329.7124,-233294.2634, , , 
11,201600.3352,-234304.1858,11,0,11
11.1,272213.7565,-238224.8581, ,, 
11.2,287449.3312,-239258.6672,11.25,0.25,11
11.3,243621.1922,-235326.546,11.2501,0.2501,11
11.4,311654.4403,-239415.2305, , , 
11.5,520835.692,-263785.231,11.5,0.5,11
11.6,694140.4216,-296327.5697,11.501,0.501,11
11.7,693154.5364,-306278.4779,11.75,0.75,11
11.8,506530.5883,-282780.1352,11.7501,0.7501,11
11.9,165029.8883,-246120.166, , , 
12,-161214.6583,-229326.7157,12,0,12
12.1,-258597.7461,-229084.2299, ,, 
12.2,-161362.3533,-228508.6835,12.25,0.25,12
12.3,-26815.36701,-228399.6509,12.2501,0.2501,12
12.4,18556.58765,-227345.9381, , , 
12.5,-41480.86419,-223735.7554,12.5,0.5,12
12.6,-131506.287,-221724.6729,12.501,0.501,12
12.7,-174437.6419,-222280.7041,12.75,0.75,12
12.8,-145648.2219,-223140.3626,12.7501,0.7501,12
12.9,-51457.68017,-223906.5536, , , 
13,54834.6866,-225847.1443,13,0,13
13.1,104815.0573,-226741.6758, ,, 
13.2,106830.6787,-225640.0496,13.25,0.25,13
13.3,102044.1246,-224483.7797,13.2501,0.2501,13
13.4,140825.744,-225702.9204, , , 
13.5,228936.946,-231127.3949,13.5,0.5,13
13.6,317604.479,-238945.4729,13.501,0.501,13
13.7,373224.8573,-245699.1525,13.75,0.75,13
13.8,378516.4524,-247922.3097,13.7501,0.7501,13
13.9,334355.2823,-244455.0457, , , 
14,284650.2129,-239559.9299,14,0,14
14.1,277134.5929,-238044.8057, ,, 
14.2,314258.7526,-240832.714,14.25,0.25,14
14.3,364978.3301,-246098.2993,14.2501,0.2501,14
14.4,370589.5017,-247915.4102, , , 
14.5,311239.1954,-242700.3894,14.5,0.5,14
14.6,228479.8666,-235054.7871,14.501,0.501,14
14.7,91321.7465,-225739.474,14.75,0.75,14
14.8,-85605.8398,-219326.5108,14.7501,0.7501,14
14.9,-252341.2855,-221139.3881, , , 
15,-354118.3659,-228306.2248,15,0,15
15.1,-339196.2852,-232846.1129, ,, 
15.2,-248613.2765,-232791.545,15.25,0.25,15
15.3,-162041.9953,-231197.1484,15.2501,0.2501,15
15.4,-131200.1153,-229215.6742, , , 
15.5,-159620.9482,-227465.7991,15.5,0.5,15
15.6,-215986.3104,-227284.5146,15.501,0.501,15
15.7,-264658.3145,-228921.0698,15.75,0.75,15
15.8,-281094.3896,-230887.8326,15.7501,0.7501,15
15.9,-231123.3838,-230913.7621, , , 
16,-132250.5502,-229592.2291,16,0,16
16.1,-47967.79467,-228349.7897, ,, 
16.2,63968.78406,-228797.439,16.25,0.25,16
16.3,243633.2616,-236817.4002,16.2501,0.2501,16
16.4,536695.572,-266743.8917, , , 
16.5,851015.0915,-327564.2712,16.5,0.5,16
16.6,996773.2044,-378609.3003,16.501,0.501,16
16.7,941992.0905,-385111.0502,16.75,0.75,16
16.8,783007.3032,-358967.579,16.7501,0.7501,16
16.9,641069.2122,-329911.4948, , , 
17,574504.684,-311541.6548,17,0,17
17.1,577325.1766,-304871.384, ,, 
17.2,515403.6097,-292408.4466,17.25,0.25,17
17.3,363875.5918,-268757.1298,17.2501,0.2501,17
17.4,545764.9381,-281376.1989, , , 
17.5,1060483.051,-384961.1924,17.5,0.5,17
17.6,1409548.055,-522591.2781,17.501,0.501,17
17.7,1397251.756,-570491.9242,17.75,0.75,17
