time,p:1,q :1,timeStamp
0,-0.339545129,1.21E-11,0.1
0.001,-1565916.291,-207280.2229,0.25
0.002,-2895182.786,-796175.3122,0.251
0.003,-3818238.68,-1681221.241,0.5
0.004,-4223182.03,-2739592.142,0.501
0.005,-4069125.958,-3828130.015,0.75
0.006,-3389867.957,-4802699.912,0.751
0.007,-2287623.59,-5537262.396,1
0.008,-917891.5686,-5940147.826,1.01
0.009,532339.3815,-5965440.437,1.25
0.01,1870007.217,-5618071.309,1.251
0.011,2921577.971,-4952080.954,1.5
0.012,3555451.971,-4062426.948,1.501
0.013,3698298.177,-3071557.556,1.75
0.014,3343310.178,-2112638.371,1.751
0.015,2549491.127,-1311721.28,2
0.016,1432279.295,-771235.957,2.01
0.017,146960.1256,-556958.2529,2.25
0.018,-1132773.346,-690103.9241,2.251
0.019,-2238167.37,-1145483.052,2.5
0.02,-3027537.264,-1855829.043,2.501
0.021,-3404291.893,-2721597.219,2.75
0.022,-3328575.917,-3624819.893,2.751
0.023,-2821149.535,-4445098.844,3
0.024,-1959182.338,-5075574.618,3.01
0.025,-864711.7613,-5436761.621,3.25
0.026,312534.4071,-5486465.513,3.251
0.027,1415550.141,-5224555.909,3.5
0.028,2300928.294,-4692074.234,3.501
0.029,2857438.869,-3964917.033,3.75
0.03,3019914.648,-3143047.368,3.751
0.031,2776727.063,-2336757.819,4
0.032,2170021.943,-1651865.578,4.01
0.033,1288859.474,-1175820.574,4.25
0.034,256334.8304,-966543.7868,4.251
0.035,-787476.5304,-1045412.348,4.5
0.036,-1704399.069,-1395228.897,4.501
0.037,-2376329.305,-1963335.355,4.75
0.038,-2720321.124,-2669347.607,4.751
0.039,-2698670.109,-3416387.919,5
0.04,-2322788.527,-4104253.762,5.01
0.041,-1650510.529,-4642739.5,5.25
0.042,-777342.0419,-4963345.834,5.251
0.043,177044.2759,-5027863.422,5.5
0.044,1085173.242,-4832763.455,5.501
0.045,1828763.672,-4408905.903,5.75
0.046,2314100.924,-3816706.296,5.751
0.047,2483797.937,-3137499.703,6
0.048,2323481.522,-2462327.505,6.01
0.049,1862645.251,-1879686.608,6.25
0.05,1169697.796,-1463884.131,6.251
0.051,342000.2557,-1265524.328,6.5
0.052,-507672.5059,-1305338.9,6.501
0.053,-1266374.781,-1572103.047,6.75
0.054,-1835886.095,-2024823.062,6.751
0.055,-2145304.827,-2598812.349,7
0.056,-2159734.708,-3214767.034,7.01
0.057,-1884013.59,-3789575.079,7.25
0.058,-1361112.965,-4247391.269,7.251
0.059,-665548.3643,-4529507.333,7.5
0.06,107209.6967,-4601738.028,7.501
0.061,853831.2116,-4458400.732,7.75
0.062,1476941.263,-4122437.11,7.751
0.063,1897814.814,-3641745.94,8
0.064,2066304.973,-3082296.058,8.01
0.065,1966762.664,-2519001.874,8.25
0.066,1619264.236,-2025618.118,8.251
0.067,1076098.819,-1665012.249,8.5
0.068,414093.3981,-1481092.698,8.501
0.069,-276111.5526,-1493423.652,8.75
0.07,-902347.9556,-1695178.855,8.751
0.071,-1383109.765,-2054630.894,9
0.072,-1658041.464,-2519900.599,9.01
0.073,-1695383.73,-3026266.207,9.25
0.074,-1495468.282,-3505008.859,9.251
0.075,-1089896.824,-3892590.37,9.5
0.076,-536616.8742,-4138941.792,9.501
0.077,88356.89206,-4213785.882,9.75
