time,p:1,q :1,timeStamp
0.15,1062154.655,-2316847.471,18.751
0.151,989668.5374,-2111425.775,19
0.152,837247.3453,-1945421.586,19.01
0.153,627448.2023,-1839032.898,19.25
0.154,389847.2198,-1804116.23,19.251
0.155,156969.4252,-1842811.58,19.5
0.156,-40071.53728,-1947483.202,19.501
0.157,-175641.9438,-2101953.771,19.75
0.158,-232835.3579,-2283839.092,19.751
0.159,-205490.528,-2467649.539,20
0.16,-98743.52548,-2628230.646,20.01
0.161,71923.17074,-2744080.26,20.25
0.162,282972.8449,-2800106.524,20.251
0.163,506113.2348,-2789474.905,20.5
0.164,712142.3917,-2714321.036,20.501
0.165,874821.3317,-2585261.31,20.75
0.166,974262.1655,-2419793.723,20.751
0.167,999396.6689,-2239826.11,21
0.168,949222.0485,-2068678.742,21.01
0.169,832689.2544,-1927969.68,21.25
0.17,667281.4559,-1834797.221,21.251
0.171,476501.8695,-1799584.89,21.5
0.172,286628.6355,-1824858.371,21.501
0.173,123182.4206,-1905094.396,21.75
0.174,7579.499246,-2027636.784,21.751
0.175,-45592.84682,-2174533.916,22
0.176,-30334.42325,-2325033.579,22.01
0.177,50184.69545,-2458390.27,22.25
0.178,184264.3297,-2556606.722,22.251
0.179,353423.654,-2606748.76,22.5
0.18,535002.3915,-2602537.367,22.501
0.181,705250.1107,-2545024.215,22.75
0.182,842484.4323,-2442282.624,22.751
0.183,929900.0207,-2308177.678,23
0.184,957666.4077,-2160399.484,23.01
0.185,924055.2453,-2018036.7,23.25
0.186,835471.8549,-1899021.681,23.251
0.187,705413.4617,-1817787.869,23.5
0.188,552517.4978,-1783443.968,23.501
0.189,397979.3877,-1798694.123,23.75
0.19,262695.6013,-1859629.382,23.751
0.191,164515.3615,-1956397.776,24
0.192,115960.775,-2074644.078,24.01
0.193,122704.6627,-2197511.168,24.25
0.194,182988.4497,-2307925.527,24.251
0.195,288034.0935,-2390858.263,24.5
0.196,423371.6484,-2435263.403,24.501
0.197,570885.2265,-2435444.792,24.75
0.198,711290.16,-2391684.213,24.751
0.199,826704.2683,-2310064.921,25
0.2,902971.8846,-2201532.683,25.01
0.201,931441.6632,-2080336.481,25.25
0.202,909972.6996,-1962068.624,25.251
0.203,843057.7105,-1861573.288,25.5
0.204,741071.2608,-1791003.153,25.501
0.205,618759.1394,-1758276.68,25.75
0.206,493187.9299,-1766130.748,25.751
0.207,381438.2395,-1811879.88,26
0.208,298351.9846,-1887897.401,26.01
0.209,254629.4762,-1982738.141,26.25
0.21,255518.7544,-2082739.428,26.251
0.211,300255.6497,-2173877.749,26.5
0.212,382310.2146,-2243629.795,26.501
0.213,490387.4901,-2282591.921,26.75
0.214,610032.3651,-2285649.626,26.751
0.215,725612.265,-2252553.049,27
0.216,822407.0665,-2187836.293,27.01
0.217,888528.0474,-2100106.612,27.25
0.218,916416.9688,-2000812.125,27.251
0.219,903737.7798,-1902663.097,27.5
0.22,853558.0759,-1817923.477,27.501
0.221,773813.5954,-1756801.402,27.75
0.222,676143.7455,-1726148.936,27.751
0.223,574266.9597,-1728635.523,28
0.224,482121.2776,-1762493.221,28.01
0.225,412021.0331,-1821853.985,28.25
0.226,373072.3317,-1897620.602,28.251
0.227,370049.9881,-1978743.785,28.5
0.228,402872.834,-2053727.249,28.501
0.229,466732.0815,-2112156.639,28.75
0.23,552839.9919,-2146049.762,28.751
0.231,649685.092,-2150853.95,29
0.232,744616.143,-2125967.037,29.01
0.233,825538.0217,-2074724.302,29.25
0.234,882493.17,-2003865.624,29.251
0.235,908922.8416,-1922565.463,29.5
0.236,902449.5868,-1841164.063,29.501
0.237,865089.3922,-1769774.493,29.75
0.238,802879.3242,-1716952.399,29.751
0.239,724983.9462,-1688602.675,30
0.24,642410.9786,-1687261.846,30.01
0.241,566515.038,-1711842.097,30.25
0.242,507491.9013,-1757859.914,30.251
0.243,473062.081,-1818107.784,30.5
0.244,467512.716,-1883669.851,30.501
0.245,491215.4347,-1945139.375,30.75
0.246,540672.233,-1993872.449,30.751
0.247,609070.5177,-2023111.568,31
0.248,687261.7853,-2028833.699,31.01
0.249,765024.6121,-2010217.309,31.25
0.25,832438.5177,-1969675.62,31.251
0.251,881184.8448,-1912461.91,31.5
0.252,905604.8784,-1845909.06,31.501
0.253,903381.5547,-1778412.391,31.75
0.254,875763.9856,-1718296.153,31.751
0.255,827316.2736,-1672716.091,32
0.256,765235.2722,-1646742.114,32.01
0.257,698337.7076,-1642737.95,32.25
0.258,635858.2451,-1660112.673,32.251
0.259,586221.58,-1695468.17,32.5
0.26,555951.1056,-1743113.761,32.501
0.261,548854.7578,-1795871.405,32.75
0.262,565588.6784,-1846058.349,32.751
0.263,603647.0768,-1886513.315,33
0.264,657769.2957,-1911529.708,33.01
0.265,720700.2892,-1917574.795,33.25
0.266,784195.6647,-1903704.944,33.251
0.267,840132.8256,-1871629.236,33.5
0.268,881579.1197,-1825421.35,33.501
0.269,903677.1764,-1770926.062,33.75
0.27,904235.1165,-1714945.911,33.751
0.271,883950.9583,-1664320.62,34
0.272,846250.4924,-1625023.312,34.01
0.273,796769.3801,-1601392.441,34.25
0.274,742556.3928,-1595597.604,34.251
0.275,691109.6243,-1607404.237,34.5
0.276,649376.8183,-1634261.191,34.501
0.277,622852.5082,-1671692.032,34.75
0.278,614888.6785,-1713931.253,34.751
0.279,626304.6749,-1754715.663,35
0.28,655340.5479,-1788122.821,35.01
0.281,697951.6556,-1809344.739,35.25
0.282,748397.4049,-1815296.241,35.251
0.283,800039.3627,-1804981.559,35.5
0.284,846238.4165,-1779576.484,35.501
0.285,881230.2737,-1742221.941,35.75
0.286,900864.3727,-1697563.051,35.751
0.287,903112.0779,-1651100.543,36
0.288,888282.7345,-1608444.564,36.01
0.289,858926.1769,-1574571.667,36.25
0.29,819442.1475,-1553182.976,36.251
0.291,775455.2403,-1546245.819,36.5
0.292,733043.4803,-1553774.999,36.501
0.293,697925.8148,-1573876.893,36.75
