time,p:1,timeStamp
0.226,268736.8271,28.251
0.227,264506.4469,28.5
0.228,296101.2106,28.501
0.229,358714.957,28.75
0.23,443563.8532,28.751
0.231,539141.0918,29
0.232,632800.2386,29.01
0.233,712450.4769,29.25
0.234,768137.4876,29.251
0.235,793304.2724,29.5
0.236,785573.4161,29.501
0.237,746959.2344,29.75
0.238,683495.6546,29.751
0.239,604343.0649,30
0.24,520504.5445,30.01
0.241,443330.2336,30.25
0.242,383012.2028,30.251
0.243,347268.5296,30.5
0.244,340385.5184,30.501
0.245,362735.677,30.75
0.246,410823.4774,30.751
0.247,477840.0702,31
0.248,554641.4643,31.01
0.249,631010.9177,31.25
0.25,697032.1816,31.251
0.251,744389.8244,31.5
0.252,767426.932,31.501
0.253,763826.5911,31.75
0.254,734836.4104,31.751
0.255,685017.5529,32
0.256,621562.9054,32.01
0.257,553284.7435,32.25
0.258,489413.4037,32.251
0.259,438369.9606,32.5
0.26,406675.3829,32.501
0.261,398136.7037,32.75
0.262,413410.8049,32.751
0.263,449994.1787,33
0.264,502629.6883,33.01
0.265,564066.577,33.25
0.266,626064.941,33.251
0.267,680506.2806,33.5
0.268,720461.1121,33.501
0.269,741073.8973,33.75
0.27,740153.0275,33.751
0.271,718395.2115,34
0.272,679223.547,34.01
0.273,628269.9954,34.25
0.274,572579.132,34.251
0.275,519644.9301,34.5
0.276,476411.6467,34.501
0.277,448371.4319,34.75
0.278,438875.3092,34.751
0.279,448743.2134,35
0.28,476217.2523,35.01
0.281,517256.0346,35.25
0.282,566122.9776,35.251
0.283,616183.8873,35.5
0.284,660803.5622,35.501
0.285,694220.7827,35.75
0.286,712286.8306,35.751
0.287,712973.4574,36
0.288,696588.9106,36.01
0.289,665680.6102,36.25
0.29,624644.9106,36.251
0.291,579102.514,36.5
0.292,535127.5817,36.501
0.293,498435.7497,36.75
0.294,473639.1198,36.751
0.295,463664.8431,37
0.296,469409.9979,37.01
0.297,489672.5413,37.25
0.298,521360.7407,37.251
0.299,559946.7159,37.5
0.3,600098.3602,37.501
0.301,636400.1219,37.75
0.302,664070.7804,37.751
0.303,679580.2093,38
0.304,681082.7216,38.01
0.305,668619.5988,38.25
0.306,644067.8744,38.251
0.307,610848.2827,38.5
0.308,573436.7272,38.501
0.309,536748.4584,38.75
0.31,505479.257,38.751
0.311,483491.5417,39
0.312,473325.2655,39.01
0.313,475895.0694,39.25
0.314,490409.1112,39.251
0.315,514514.8931,39.5
0.316,544647.3543,39.501
0.317,576528.416,39.75
0.318,605748.4325,39.751
0.319,628350.8854,40
0.32,641343.1394,40.01
0.321,643067.7001,40.25
0.322,633388.4011,40.251
0.323,613671.4587,40.5
0.324,586568.8683,40.501
0.325,555637.5038,40.75
0.326,524848.1334,40.751
0.327,498051.7706,41
0.328,478474.7664,41.01
0.329,468308.5262,41.25
0.33,468445.6595,41.251
0.331,478393.8024,41.5
0.332,496374.1657,41.501
0.333,519587.3305,41.75
0.334,544607.1843,41.751
0.335,567847.9395,42
0.336,586040.8762,42.01
0.337,596657.7057,42.25
0.338,598226.0214,42.251
0.339,590497.857,42.5
0.34,574452.6888,42.501
0.341,552138.504,42.75
0.342,526375.8224,42.751
0.343,500367.0287,43
0.344,477264.8295,43.01
0.345,459757.7346,43.25
0.346,449726.8115,43.251
0.347,448017.2464,43.5
0.348,454352.0503,43.501
0.349,467395.8388,43.75
0.35,484956.6336,43.751
0.351,504295.7256,44
0.352,522502.1145,44.01
0.353,536880.5818,44.25
0.354,545301.8914,44.251
0.355,546469.8551,44.5
0.356,540072.064,44.501
0.357,526797.2316,44.75
0.358,508220.0991,44.751
0.359,486572.294,45
0.36,464432.1287,45.01
0.361,444376.2104,45.25
0.362,428639.7324,45.251
0.363,418830.0336,45.5
0.364,415729.9044,45.501
0.365,419214.3999,45.75
0.366,428289.3749,45.751
0.367,441243.7035,46
0.368,455892.3531,46.01
0.369,469876.0518,46.25
0.37,480976.6598,46.251
0.371,487406.2752,46.5
0.372,488032.5876,46.501
0.373,482512.3097,46.75
0.374,471317.3218,46.751
0.375,455652.6872,47
0.376,437279.9724,47.01
0.377,418271.4712,47.25
0.378,400729.4195,47.251
0.379,386508.0782,47.5
0.38,376975.2627,47.501
0.381,372843.8089,47.75
0.382,374093.5024,47.751
0.383,379991.5699,48
0.384,389206.6378,48.01
0.385,399998.8625,48.25
0.386,410459.31,48.251
0.387,418765.8222,48.5
0.388,423421.2302,48.501
0.389,423442.9282,48.75
0.39,418479.9907,48.751
0.391,408844.147,49
0.392,395452.6199,49.01
0.393,379692.5066,49.25
0.394,363226.4891,49.251
0.395,347766.9207,49.5
0.396,334848.848,49.501
0.397,325631.9233,49.75
0.398,320756.631,49.751
0.399,320272.4662,50
0.4,323645.7915,
0.401,329844.4852,
0.402,337486.111,
0.403,345028.6846,
0.404,350978.0089,
0.405,354083.5893,
0.406,353497.6571,
0.407,348877.2237,
0.408,340417.0925,
0.409,328811.1504,
0.41,315148.7856,
0.411,300761.6655,
0.412,287042.2852,
0.413,275258.9006,
0.414,266391.3391,
0.415,261008.8309,
0.416,259204.9529,
0.417,260596.877,
0.418,264387.4594,
0.419,269480.4595,
0.42,274632.403,
0.421,278620.1734,
0.422,280401.8507,
0.423,279249.7501,
0.424,274838.7925,
0.425,267279.6376,
0.426,257093.552,
0.427,245133.74,
0.428,232464.8124,
0.429,220217.3037,
0.43,209437.0285,
0.431,200949.2681,
0.432,195255.3365,
0.433,192474.3798,
0.434,192336.9861,
0.435,194230.1896,
0.436,197286.6863,
0.437,200505.4243,
0.438,202886.9025,
0.439,203564.9801,
0.44,201917.8997,
0.441,197644.3866,
0.442,190795.6391,
0.443,181760.0602,
0.444,171203.8935,
0.445,159976.6607,
0.446,148994.7273,
0.447,139118.8799,
0.448,131042.2063,
0.449,125202.8126,
0.45,121732.2848,
0.451,120445.8221,
0.452,120874.3333,
0.453,122333.2429,
0.454,124018.0422,
0.455,125113.337,
0.456,124900.6816,
0.457,122851.0104,
0.458,118689.8512,
0.459,112427.3807,
0.46,104350.214,
0.461,94976.93813,
0.462,84984.13624,
0.463,75113.37165,
0.464,66071.86247,
0.465,58440.09704,
0.466,52598.40488,
0.467,48681.70591,
0.468,46567.72112,
0.469,45899.38658,
0.47,46137.68467,
0.471,46637.18679,
0.472,46733.79417,
0.473,45832.81013,
0.474,43485.72125,
0.475,39445.83668,
0.476,33695.96142,
0.477,26445.13353,
0.478,18095.6067,
0.479,9185.154836,
0.48,312.9062961,
0.481,-7941.111852,
0.482,-15091.95693,
0.483,-20811.36974,
0.484,-24967.21567,
0.485,-27636.10485,
0.486,-29088.17834,
0.487,-29746.74252,
0.488,-30128.68565,
0.489,-30774.00061,
0.49,-32173.97237,
0.491,-34707.53261,
0.492,-38593.97645,
0.493,-43867.87907,
0.494,-50378.98105,
0.495,-57816.45134,
0.496,-65753.73602,
0.497,-73707.57883,
0.498,-81203.08611,
0.499,-87836.10904,
0.5,-93324.78187,
0.501,-97543.5881,
0.502,-100536.1601,
0.503,-102505.4617,
0.504,-103783.0204,
0.505,-104782.0475,
0.506,-105940.9241,
0.507,-107664.7411,
0.508,-110272.6484,
0.509,-113957.8168,
0.51,-118764.9855,
0.511,-124588.1282,
0.512,-131188.0595,
0.513,-138227.173,
0.514,-145316.3152,
0.515,-152067.3195,
0.516,-158144.1344,
0.517,-163305.8375,
0.518,-167436.0604,
0.519,-170555.2744,
0.52,-172814.7322,
0.521,-174473.3103,
0.522,-175860.7217,
0.523,-177332.2805,
0.524,-179221.3891,
0.525,-181796.0688,
0.526,-185225.1688,
0.527,-189558.4735,
0.528,-194722.995,
0.529,-200535.5458,
0.53,-206729.54,
0.531,-212992.1405,
0.532,-219006.6049,
0.533,-224494.1181,
0.534,-229249.6075,
0.535,-233166.9646,
0.536,-236250.6033,
0.537,-238612.1631,
0.538,-240453.1521,
0.539,-242036.1611,
0.54,-243648.721,
0.541,-245564.7494,
0.542,-248008.7293,
0.543,-251127.2765,
0.544,-254971.6666,
0.545,-259493.3592,
0.546,-264552.7946,
0.547,-269939.9802,
0.548,-275403.8654,
0.549,-280686.418,
0.55,-285556.7947,
0.551,-289841.0961,
0.552,-293443.8908,
0.553,-296358.8685,
0.554,-298667.4827,
0.555,-300526.0523,
0.556,-302143.3046,
0.557,-303751.5519,
0.558,-305575.4584,
0.559,-307802.5742,
0.56,-310559.4794,
0.561,-313896.5484,
0.562,-317783.1339,
0.563,-322113.5525,
0.564,-326722.8216,
0.565,-331409.8332,
0.566,-335964.731,
0.567,-340196.7754,
0.568,-343959.0124,
0.569,-347166.569,
0.57,-349806.3181,
0.571,-351936.8475,
0.572,-353678.9729,
0.573,-355198.2751,
0.574,-356682.158,
0.575,-358314.5861,
0.576,-360251.8897,
0.577,-362602.8011,
0.578,-365415.2538,
0.579,-368671.52,
0.58,-372292.1255,
0.581,-376147.8126,
0.582,-380077.7784,
0.583,-383911.6307,
0.584,-387492.0758,
0.585,-390695.3278,
0.586,-393446.6052,
0.587,-395728.7883,
0.588,-397583.2625,
0.589,-399103.0269,
0.59,-400419.1633,
0.591,-401682.6119,
0.592,-403043.7715,
0.593,-404632.666,
0.594,-406542.2801,
0.595,-408817.1842,
0.596,-411448.8206,
0.597,-414377.9108,
0.598,-417503.4934,
0.599,-420697.2398,
0.6,-423821.0323,
0.601,-426743.6004,
0.602,-429359.2645,
0.603,-431602.8174,
0.604,-433455.3472,
0.605,-434945.6003,
0.606,-436145.0276,
0.607,-437157.319,
0.608,-438103.9408,
0.609,-439107.6807,
0.61,-440276.4181,
0.611,-441689.2544,
0.612,-443386.7761,
0.613,-445366.6331,
0.614,-447584.8879,
0.615,-449962.8157,
0.616,-452398.1283,
0.617,-454779.0327,
0.618,-456999.203,
0.619,-458971.6677,
0.62,-460639.8081,
0.621,-461984.0872,
0.622,-463023.7258,
0.623,-463813.2265,
0.624,-464434.3302,
0.625,-464984.5755,
0.626,-465564.0534,
0.627,-466262.1466,
0.628,-467146.0035,
0.629,-468252.2246,
0.63,-469582.7794,
0.631,-471105.5894,
0.632,-472759.5882,
0.633,-474463.4809,
0.634,-476126.9602,
0.635,-477662.8381,
0.636,-478998.4723,
0.637,-480084.9979,
0.638,-480903.1995,
0.639,-481465.3306,
0.64,-481812.7396,
0.641,-482009.7171,
0.642,-482134.4665,
0.643,-482268.4599,
0.644,-482485.6213,
0.645,-482842.7682,
0.646,-483372.5415,
0.647,-484079.695,
0.648,-484941.1538,
0.649,-485909.7411,
0.65,-486920.9931,
0.651,-487902.0892,
0.652,-488781.6673,
0.653,-489499.2093,
0.654,-490012.7689,
0.655,-490304.0628,
0.656,-490380.3184,
0.657,-490272.7127,
0.658,-490031.6903,
0.659,-489719.8557,
0.66,-489403.4329,
0.661,-489143.4572,
0.662,-488987.8636,
0.663,-488965.4962,
0.664,-489082.7804,
0.665,-489323.4327,
0.666,-489651.1725,
0.667,-490015.0061,
0.668,-490356.3224,
0.669,-490616.8213,
0.67,-490746.2099,
0.671,-490708.655,
0.672,-490487.1731,
0.673,-490085.4286,
0.674,-489526.7648,
0.675,-488850.664,
0.676,-488107.1656,
0.677,-487350.027,
0.678,-486629.5609,
0.679,-485986.1008,
0.68,-485444.9409,
0.681,-485013.3833,
0.682,-484680.2287,
0.683,-484417.7207,
0.684,-484185.6257,
0.685,-483936.8603,
0.686,-483623.8853,
0.687,-483205.0051,
0.688,-482649.7439,
0.689,-481942.6119,
0.69,-481084.804,
0.691,-480093.6577,
0.692,-478999.9947,
0.693,-477843.7496,
0.694,-476668.5029,
0.695,-475515.6659,
0.696,-474419.0931,
0.697,-473400.822,
0.698,-472468.4751,
0.699,-471614.6257,
0.7,-470818.1645,
0.701,-470046.6788,
0.702,-469261.6994,
0.703,-468424.6038,
0.704,-467500.9864,
0.705,-466465.1169,
0.706,-465303.1466,
0.707,-464014.6705,
0.708,-462612.4788,
0.709,-461120.5741,
0.71,-459570.7586,
0.711,-457998.2756,
0.712,-456437.103,
0.713,-454915.528,
0.714,-453452.58,
0.715,-452055.7712,
0.716,-450720.4104,
0.717,-449430.5439,
0.718,-448161.3585,
0.719,-446882.6948,
0.72,-445563.1805,
0.721,-444174.4239,
0.722,-442694.712,
0.723,-441111.7393,
0.724,-439424.0294,
0.725,-437640.8938,
0.726,-435780.9696,
0.727,-433869.5633,
0.728,-431935.1788,
0.729,-430005.7089,
0.73,-428104.7993,
0.731,-426248.8611,
0.732,-424445.111,
0.733,-422690.8697,
0.734,-420974.1849,
0.735,-419275.6603,
0.736,-417571.223,
0.737,-415835.4407,
0.738,-414044.9376,
0.739,-412181.4561,
0.74,-410234.1702,
0.741,-408200.9618,
0.742,-406088.5187,
0.743,-403911.2684,
0.744,-401689.3177,
0.745,-399445.7232,
0.746,-397203.3408,
0.747,-394981.8684,
0.748,-392795.394,
0.749,-390650.6807,
0.75,-388546.483,
0.751,-386473.9356,
0.752,-384417.9375,
0.753,-382359.3259,
0.754,-380277.5322,
0.755,-378153.3596,
0.756,-375971.5123,
0.757,-373722.5487,
0.758,-371404.0163,
0.759,-369020.6359,
0.76,-366583.5368,
0.761,-364108.6645,
0.762,-361614.5926,
0.763,-359120.0405,
0.764,-356641.433,
0.765,-354190.8211,
0.766,-351774.4303,
0.767,-349392.0124,
0.768,-347037.067,
0.769,-344697.8819,
0.77,-342359.2358,
0.771,-340004.5226,
0.772,-337618.0067,
0.773,-335186.9093,
0.774,-332703.0529,
0.775,-330163.8612,
0.776,-327572.5941,
0.777,-324937.8084,
0.778,-322272.1332,
0.779,-319590.537,
0.78,-316908.3296,
0.781,-314239.1661,
0.782,-311593.3189,
0.783,-308976.4363,
0.784,-306388.9427,
0.785,-303826.1404,
0.786,-301278.9861,
0.787,-298735.4209,
0.788,-296182.0652,
0.789,-293606.0481,
0.79,-290996.724,
0.791,-288347.0547,
0.792,-285654.4822,
0.793,-282921.1895,
0.794,-280153.7294,
0.795,-277362.0865,
0.796,-274558.3094,
0.797,-271754.9031,
0.798,-268963.2008,
0.799,-266191.9298,
0.8,-263446.1552,
0.801,-260724.5441,
0.802,-258021.6696,
0.803,-255330.7713,
0.804,-252642.5498,
0.805,-249946.4878,
0.806,-247232.3003,
0.807,-244491.3189,
0.808,-241717.6291,
0.809,-238908.8169,
0.81,-236066.2355,
0.811,-233194.7693,
0.812,-230302.1369,
0.813,-227397.838,
0.814,-224491.8905,
0.815,-221593.5301,
0.816,-218710.0442,
0.817,-215845.8915,
0.818,-213002.2153,
0.819,-210176.8064,
0.82,-207364.5085,
0.821,-204558.0026,
0.822,-201748.8578,
0.823,-198929.5672,
0.824,-196092.5376,
0.825,-193231.9647,
0.826,-190345.4833,
0.827,-187433.8402,
0.828,-184500.7521,
0.829,-181552.3762,
0.83,-178596.4711,
0.831,-175641.3673,
0.832,-172694.8863,
0.833,-169763.3537,
0.834,-166850.8335,
0.835,-163958.6782,
0.836,-161085.4486,
0.837,-158227.2023,
0.838,-155378.1066,
0.839,-152531.2843,
0.84,-149679.7779,
0.841,-146817.5001,
0.842,-143940.0467,
0.843,-141045.2677,
0.844,-138133.5268,
0.845,-135207.6237,
0.846,-132272.3964,
0.847,-129334.064,
0.848,-126399.4036,
0.849,-123474.8736,
0.85,-120565.7995,
0.851,-117675.7292,
0.852,-114806.0382,
0.853,-111955.8305,
0.854,-109122.1418,
0.855,-106300.4096,
0.856,-103485.1436,
0.857,-100670.7012,
0.858,-97852.06426,
0.859,-95025.51503,
0.86,-92189.12352,
0.861,-89342.98732,
0.862,-86489.19807,
0.863,-83631.5456,
0.864,-80775.00504,
0.865,-77925.08003,
0.866,-75087.09186,
0.867,-72265.50984,
0.868,-69463.41003,
0.869,-66682.13069,
0.87,-63921.16512,
0.871,-61178.3002,
0.872,-58449.97653,
0.873,-55731.81708,
0.874,-53019.25078,
0.875,-50308.14639,
0.876,-47595.37273,
0.877,-44879.21337,
0.878,-42159.58441,
0.879,-39438.03156,
0.88,-36717.51209,
0.881,-34001.99587,
0.882,-31295.9422,
0.883,-28603.72467,
0.884,-25929.08109,
0.885,-23274.66033,
0.886,-20641.72364,
0.887,-18030.03602,
0.888,-15437.95725,
0.889,-12862.71598,
0.89,-10300.82604,
0.891,-7748.586743,
0.892,-5202.599189,
0.893,-2660.229969,
0.894,-119.9625208,
0.895,2418.407538,
0.896,4953.755165,
0.897,7483.784454,
0.898,10005.33811,
0.899,12514.81319,
0.9,15008.62572,
0.901,17484.39983,
0.902,19940.57924,
0.903,22375.94471,
0.904,24790.47319,
0.905,27185.29095,
0.906,29562.47652,
0.907,31924.74297,
0.908,34275.04448,
0.909,36616.16083,
0.91,38950.31523,
0.911,41278.87494,
0.912,43602.17238,
0.913,45919.46715,
0.914,48229.05076,
0.915,50528.47667,
0.916,52814.88234,
0.917,55085.3585,
0.918,57337.3159,
0.919,59568.80117,
0.92,61778.72139,
0.921,63966.94992,
0.922,66134.3025,
0.923,68282.38985,
0.924,70413.36924,
0.925,72529.63023,
0.926,74633.45759,
0.927,76726.71652,
0.928,78810.60095,
0.929,80885.47685,
0.93,82950.83863,
0.931,85005.38184,
0.932,87047.17966,
0.933,89073.93751,
0.934,91083.29005,
0.935,93073.10069,
0.936,95041.72383,
0.937,96988.19628,
0.938,98912.33417,
0.939,100814.7251,
0.94,102696.6188,
0.941,104559.7335,
0.942,106406.0054,
0.943,108237.3159,
0.944,110055.2322,
