time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,145471.3235,-2767520.392,0,,
0.2,407917.2941,-2050830.205,0.25,,
0.3,418754.1952,-1507852.515,0.2501,,
0.4,122816.0608,-1086032.994,,,
0.5,-293940.4331,-805931.5502,0.5,,
0.6,-558257.3671,-642933.2025,0.501,,
0.7,-546035.5632,-527948.1041,0.75,,
0.8,-337755.6058,-434079.4782,0.7501,,
0.9,-109785.7055,-367466.614,,,
1,-1500.074356,-322580.9828,1,,
1.1,-34894.43559,-288901.3283,,,
1.2,-86798.80791,-265696.8316,1.25,,
1.3,-42363.2369,-251698.745,1.2501,,
1.4,156607.3735,-248717.9935,,,
1.5,431522.1019,-265781.121,1.5,,
1.6,619884.122,-291038.8817,1.501,,
1.7,661249.3928,-302416.3547,1.75,,
1.8,580325.3844,-293420.4497,1.7501,,
1.9,437885.9,-273281.7319,,,
2,336146.5286,-257502.1296,2,0,
2.1,338063.0332,-252931.7779,,,
2.2,386487.4176,-255385.5758,2.25,0.25,
2.3,407968.0735,-256943.6352,2.2501,0.2501,
2.4,402073.9545,-255925.0445, , ,
2.5,410483.6585,-256265.8857,2.5,0.5,
2.6,464235.0606,-262435.2377,2.501,0.501,
2.7,428125.8259,-260296.2006,2.75,0.75,
2.8,239767.967,-241535.0252,2.7501,0.7501,
2.9,-75125.93652,-224270.5658, , ,
3,-385668.4016,-228952.4717,3,0,3
3.1,-496801.4343,-242801.3449, ,, 
3.2,-403509.4577,-244952.4945,3.25,0.25,3
3.3,-234279.7441,-240373.7277,3.2501,0.2501,3
3.4,-120636.8913,-236201.6316, , ,3
3.5,-114340.0832,-232089.7481,3.5,0.5,3
3.6,-181847.7657,-229258.3882,3.501,0.501,3
3.7,-258617.7875,-229690.1761,3.75,0.75,3
3.8,-296823.1536,-231876.9381,3.7501,0.7501,3
3.9,-283678.3374,-233114.5842, , , 
4,-238297.12,-232669.3819,4,0,4
4.1,-187431.4916,-231244.781, ,,4
4.2,-111013.3642,-229368.7521,4.25,0.25,4
4.3,8596.168039,-228957.9494,4.2501,0.2501,4
4.4,195469.9155,-234836.6394, , , 
4.5,393417.9748,-250755.6699,4.5,0.5,4
4.6,495322.8932,-264671.6601,4.501,0.501,4
4.7,518387.2292,-270499.6472,4.75,0.75,4
4.8,514810.5514,-272268.4338,4.7501,0.7501,4
4.9,472192.4395,-268251.973, , , 
5,395587.4753,-258808.9147,5,0,5
5.1,328233.8763,-249866.9082, ,,5
5.2,340537.8926,-248367.3918,5.25,0.25,5
5.3,420707.0197,-255891.1006,5.2501,0.2501,5
5.4,435966.3371,-259089.7325, , ,5
5.5,347184.6664,-250025.3497,5.5,0.5,5
5.6,231726.0795,-238238.1021,5.501,0.501,5
5.7,128225.3934,-229259.6513,5.75,0.75,5
5.8,55694.50861,-223921.6465,5.7501,0.7501,5
5.9,-1125.077292,-221100.5343, , ,5
6,-80882.65566,-219322.2584,6,0,6
6.1,-176707.4999,-219850.2365, ,,6
6.2,-262089.9192,-223347.4347,6.25,0.25,6
6.3,-294163.6216,-227494.4879,6.2501,0.2501,6
6.4,-223225.1723,-228457.3969, , ,6
6.5,-94863.70133,-227991.1679,6.5,0.5,6
6.6,-10902.17892,-227517.8255,6.501,0.501,6
6.7,-29799.6892,-225013.6602,6.75,0.75,6
6.8,-124755.5525,-222419.2909,6.7501,0.7501,6
6.9,-210095.6998,-223110.8511, , ,6
7,-224299.3617,-224993.7986,7,0,7
7.1,-166727.1339,-225642.0831, ,, 
7.2,-10860.00334,-226511.1359,7.25,0.25,7
7.3,202070.0612,-234451.2447,7.2501,0.2501,7
7.4,347635.846,-245672.365, , , 
7.5,388558.0897,-250600.1039,7.5,0.5,7
7.6,377835.1215,-250072.9985,7.501,0.501,7
7.7,483311.646,-261601.4184,7.75,0.75,7
7.8,710325.6662,-299239.2006,7.7501,0.7501,7
7.9,877953.7562,-343082.1236, , , 
8,877490.17,-358210.2784,8,0,8
8.1,748034.1491,-340824.1664, ,, 
8.2,540859.7195,-305774.7587,8.25,0.25,8
8.3,360348.048,-274846.2865,8.2501,0.2501,8
8.4,336289.3568,-262752.6133, , , 
8.5,462500.4056,-270468.0755,8.5,0.5,8
8.6,628889.3698,-293059.1685,8.501,0.501,8
8.7,665681.7027,-304388.8537,8.75,0.75,8
8.8,523214.6029,-286115.6425,8.7501,0.7501,8
8.9,191271.1536,-249381.2831, , , 
9,-211914.8511,-230953.1685,9,0,9
9.1,-448509.4962,-239674.423, ,, 
9.2,-394733.4695,-242860.527,9.25,0.25,9
9.3,-137267.0542,-237544.9355,9.2501,0.2501,9
9.4,92358.52515,-238361.3976, , , 
9.5,141711.0287,-236478.4998,9.5,0.5,9
9.6,22112.48163,-227591.9973,9.501,0.501,9
9.7,-127898.6005,-222485.1682,9.75,0.75,9
9.8,-184831.8452,-222746.8124,9.7501,0.7501,9
9.9,-135149.5974,-223519.3615, , , 
10,-44449.14506,-224263.3,10,0,10
10.1,14244.98494,-224616.5967, ,, 
10.2,33638.62113,-223914.8988,10.25,0.25,10
10.3,45163.83951,-223230.251,10.2501,0.2501,10
10.4,117407.5199,-225303.3801, , , 
10.5,265501.9652,-234492.9834,10.5,0.5,10
10.6,421778.1613,-250529.121,10.501,0.501,10
10.7,557424.4624,-270919.4439,10.75,0.75,10
10.8,645009.0835,-290039.4322,10.7501,0.7501,10
10.9,592877.7179,-288873.5744, , , 
11,412879.4881,-266490.6117,11,0,11
11.1,234470.5159,-245465.0651, ,, 
11.2,197127.8455,-237571.6322,11.25,0.25,11
11.3,314810.4265,-243847.0887,11.2501,0.2501,11
11.4,482961.958,-261880.3512, , , 
11.5,621475.1829,-284924.6012,11.5,0.5,11
11.6,705484.2711,-305227.6783,11.501,0.501,11
11.7,791181.5192,-327931.5268,11.75,0.75,11
11.8,863072.992,-351941.4754,11.7501,0.7501,11
11.9,586364.2926,-313288.2887, , , 
12,9631.033992,-251729.6875,12,0,12
12.1,-382615.5994,-244566.068, ,, 
12.2,-428742.0752,-248601.5507,12.25,0.25,12
12.3,-258362.0258,-243185.8032,12.2501,0.2501,12
12.4,-84890.35986,-238400.7383, , , 
12.5,-54928.43016,-233677.4176,12.5,0.5,12
12.6,-155040.1093,-229011.8188,12.501,0.501,12
12.7,-258552.8689,-229049.2848,12.75,0.75,12
12.8,-271844.8703,-230585.7053,12.7501,0.7501,12
12.9,-211679.104,-230331.7867, , , 
13,-146862.635,-229157.2372,13,0,13
13.1,-130597.043,-227617.3243, ,, 
13.2,-179061.2762,-226543.7773,13.25,0.25,13
13.3,-253854.5604,-227710.8022,13.2501,0.2501,13
13.4,-293403.9196,-230383.8019, , , 
13.5,-279001.9519,-231941.3208,13.5,0.5,13
13.6,-235244.5718,-231796.7636,13.501,0.501,13
13.7,-101699.4845,-230027.2728,13.75,0.75,13
13.8,156803.8471,-235435.1634,13.7501,0.7501,13
13.9,507954.2996,-265713.0825, , , 
14,773758.825,-314007.1147,14,0,14
14.1,773808.0767,-327240.6684, ,, 
14.2,520754.8835,-292337.1144,14.25,0.25,14
14.3,199508.5961,-252834.7147,14.2501,0.2501,14
14.4,31112.44728,-235344.1197, , , 
14.5,79436.33771,-231809.6437,14.5,0.5,14
14.6,253590.0092,-239151.521,14.501,0.501,14
14.7,342950.9196,-246580.2018,14.75,0.75,14
14.8,238550.916,-237594.1303,14.7501,0.7501,14
14.9,-55385.18981,-222191.2013, , , 
15,-374048.6187,-226480.9153,15,0,15
15.1,-498259.0095,-241250.0256, ,, 
15.2,-407258.3283,-244108.9057,15.25,0.25,15
15.3,-228770.0771,-239640.692,15.2501,0.2501,15
15.4,-109767.0867,-235718.1987, , , 
15.5,-103331.5014,-231628.3024,15.5,0.5,15
15.6,-162300.192,-228562.2576,15.501,0.501,15
15.7,-190475.7637,-227547.2197,15.75,0.75,15
15.8,-147349.364,-226904.926,15.7501,0.7501,15
15.9,-72442.18209,-226311.3143, , , 
16,-22471.72045,-225602.8238,16,0,16
16.1,-25802.81561,-223931.8839, ,, 
16.2,-98637.65437,-221835.5194,16.25,0.25,16
16.3,-204953.0534,-222210.8429,16.2501,0.2501,16
16.4,-268053.2759,-225398.7081, , , 
16.5,-256197.313,-227763.429,16.5,0.5,16
16.6,-193222.3193,-228073.4633,16.501,0.501,16
16.7,-135185.2489,-227423.3386,16.75,0.75,16
16.8,-126839.4002,-226270.4339,16.7501,0.7501,16
16.9,-172522.4727,-225477.3846, , , 
17,-232775.447,-226412.8783,17,0,17
17.1,-263306.5593,-228425.325, ,, 
17.2,-256702.6629,-229847.1279,17.25,0.25,17
17.3,-234237.4115,-230255.0668,17.2501,0.2501,17
17.4,-219433.3897,-230096.0496, , , 
17.5,-220570.3936,-229879.6293,17.5,0.5,17
17.6,-230984.7457,-229935.0791,17.501,0.501,17
17.7,-242539.5776,-230314.8219,17.75,0.75,17
17.8,-249583.0419,-230828.0404,17.7501,0.7501,17
17.9,-246540.2237,-231144.7145, , , 
18,-222896.8294,-230796.5661,18,0,18
18.1,-169624.3211,-229613.2526, ,, 
18.2,-92427.74715,-228222.7888,18.25,0.25,18
18.3,-31000.10507,-227081.5966,18.2501,0.2501,18
18.4,-22213.36369,-225232.2416, , , 
18.5,-58376.22715,-222987.2332,18.5,0.5,18
18.6,-105528.4473,-221725.0554,18.501,0.501,18
18.7,-144017.2511,-221774.5529,18.75,0.75,18
18.8,-166832.0754,-222558.6194,18.7501,0.7501,18
18.9,-196969.2231,-223825.6094, , , 
19,-242615.4846,-225844.6546,19,0,19
19.1,-271698.7406,-228377.7849, ,, 
19.2,-152264.9435,-227850.4208,19.25,0.25,19
19.3,162210.0297,-234816.9622,19.2501,0.2501,19
19.4,547523.2169,-270655.9743, , , 
19.5,806603.6338,-321414.3475,19.5,0.5,19
19.6,815619.5647,-337464.575,19.501,0.501,19
19.7,528199.2042,-297185.7467,19.75,0.75,19
19.8,80616.94064,-248473.8912,19.7501,0.7501,19
19.9,-289512.73,-236508.6702, , , 
20,-440173.5852,-243673.6147,20,0,20
20.1,-366153.0794,-244095.4173, ,, 
20.2,-216731.9611,-239642.2566,20.25,0.25,20
20.3,-130989.9334,-235579.8577,20.2501,0.2501,20
20.4,-146215.6155,-231791.8657, , , 
20.5,-220085.8024,-230102.1486,20.5,0.5,20
20.6,-284596.2681,-231435.9082,20.501,0.501,20
20.7,-299705.8511,-233305.8701,20.75,0.75,20
20.8,-271140.4929,-233712.5978,20.7501,0.7501,20
20.9,-222719.4617,-232694.8506, , , 
21,-172553.4089,-230977.0922,21,0,21
21.1,-128905.5004,-229092.788, ,, 
21.2,-105797.5229,-227303.1152,21.25,0.25,21
21.3,-116861.0213,-225655.1979,21.2501,0.2501,21
21.4,-146001.0464,-224664.2055, , , 
21.5,-167868.5586,-224558.3052,21.5,0.5,21
21.6,-173198.5655,-224845.1396,21.501,0.501,21
21.7,-194159.072,-225439.7563,21.75,0.75,21
21.8,-238930.9858,-226825.9135,21.7501,0.7501,21
21.9,-253316.8815,-228468.3122, , , 
22,-218600.3361,-228937.2681,22,0,22
22.1,-167745.501,-228357.1835, ,, 
22.2,-82392.7558,-227336.6598,22.25,0.25,22
22.3,50310.57379,-228442.9466,22.2501,0.2501,22
22.4,251431.3809,-237395.489, , , 
22.5,475064.6824,-259702.2647,22.5,0.5,22
22.6,617805.286,-283693.5168,22.501,0.501,22
22.7,636493.4347,-293304.4469,22.75,0.75,22
22.8,553536.9132,-284924.8463,22.7501,0.7501,22
22.9,440451.2619,-269672.9641, , , 
23,378239.7031,-259347.725,23,0,23
23.1,403610.3363,-258948.5209, ,, 
23.2,404784.0292,-258407.5544,23.25,0.25,23
23.3,313505.3215,-248089.2518,23.2501,0.2501,23
23.4,103665.0844,-231131.6871, , , 
23.5,-139582.6564,-221978.7836,23.5,0.5,23
23.6,-243119.3274,-223492.3263,23.501,0.501,23
23.7,-198122.6221,-225064.0028,23.75,0.75,23
23.8,-100683.5147,-225446.07,23.7501,0.7501,23
23.9,-57618.36271,-225013.0663, , , 
24,-98610.7,-223291.9706,24,0,24
24.1,-170106.0839,-222834.9184, ,, 
24.2,-200767.7833,-223937.1056,24.25,0.25,24
24.3,-166026.7409,-224698.617,24.2501,0.2501,24
24.4,-83998.99848,-224885.1824, , , 
24.5,-18072.6422,-225000.6971,24.5,0.5,24
24.6,-33336.32653,-223356.9142,24.501,0.501,24
24.7,-145130.6998,-221508.6161,24.75,0.75,24
24.8,-269922.3209,-224138.9897,24.7501,0.7501,24
24.9,-254139.703,-226723.4181, , , 
25,-95703.71035,-226864.3319,25,0,25
25.1,71516.1847,-229414.1117, ,, 
25.2,187604.8277,-233335.6028,25.25,0.25,25
25.3,254709.1857,-236796.1151,25.2501,0.2501,25
25.4,328825.6727,-242336.7532, , , 
25.5,426057.9553,-253166.2197,25.5,0.5,25
25.6,496171.0825,-264069.0269,25.501,0.501,25
25.7,475159.6222,-264758.5838,25.75,0.75,25
25.8,360598.9482,-252663.0137,25.7501,0.7501,25
25.9,208313.298,-237622.4486, , , 
26,87746.70884,-227566.6244,26,0,26
26.1,49075.77697,-223867.3365, ,, 
26.2,62720.14891,-223371.274,26.25,0.25,26
26.3,78229.97415,-223384.0341,26.2501,0.2501,26
26.4,87193.71711,-223247.3712, , , 
26.5,88435.4586,-222967.2397,26.5,0.5,26
26.6,74230.88111,-222096.6397,26.501,0.501,26
26.7,90317.20211,-222431.1229,26.75,0.75,26
26.8,152213.7502,-225548.1581,26.7501,0.7501,26
26.9,86344.12728,-222908.7155, , , 
27,-150974.4502,-217522.6075,27,0,27
27.1,-367158.535,-225133.7331, ,, 
27.2,-427739.0963,-235407.8523,27.25,0.25,27
27.3,-343245.0986,-237501.2501,27.2501,0.2501,27
27.4,-211815.7095,-235156.644, , , 
27.5,-122570.716,-232450.0738,27.5,0.5,27
27.6,-97666.52481,-229569.5891,27.501,0.501,27
27.7,-125658.0621,-227035.6762,27.75,0.75,27
27.8,-171035.2915,-225859.0825,27.7501,0.7501,27
27.9,-197823.2773,-226029.3376, , , 
28,-198925.4002,-226493.3425,28,0,28
28.1,-184001.6356,-226654.9433, ,, 
28.2,-122925.4473,-226158.3618,28.25,0.25,28
28.3,483.3973305,-226730.1564,28.2501,0.2501,28
28.4,137242.8149,-230349.5092, , , 
28.5,221651.4853,-234283.513,28.5,0.5,28
28.6,228268.3382,-233998.2764,28.501,0.501,28
28.7,236063.5574,-233542.4461,28.75,0.75,28
28.8,301101.0305,-238422.9895,28.7501,0.7501,28
28.9,346223.7138,-243562.2846, , , 
29,314712.6977,-241547.8097,29,0,29
29.1,238810.8989,-234994.9889, ,, 
29.2,127182.11,-226905.4796,29.25,0.25,29
29.3,-4919.757728,-220431.6113,29.2501,0.2501,29
29.4,-168611.8707,-218781.5559, , , 
