time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,281653.3416,-2800779.59,0,,
0.2,1104694.758,-2373863.492,0.25,,
0.3,1759648.596,-2419594.512,0.2501,,
0.4,1949948.995,-2485265.704,,,
0.5,1902448.751,-2366447.091,0.5,,
0.6,1820897.064,-2152406.385,0.501,,
0.7,1764687.392,-1929137.533,0.75,,
0.8,1718793.699,-1718972.883,0.7501,,
0.9,1599711.768,-1486015.879,,,
1,1373231.525,-1216932.855,1,,
1.1,1105310.62,-960338.4965,,,
1.2,796401.2061,-736657.379,1.25,,
1.3,489482.758,-561259.8796,1.2501,,
1.4,252936.1011,-441143.3267,,,
1.5,123834.8452,-364705.0269,1.5,,
1.6,94864.4689,-317348.0558,1.501,,
1.7,121762.2266,-287804.5242,1.75,,
1.8,161773.3771,-269368.8305,1.7501,,
1.9,204893.9156,-258142.1859,,,
2,253275.4673,-252572.9952,2,0,
2.1,283841.3907,-249304.8396,,,
2.2,329877.134,-249548.5209,2.25,0.25,
2.3,402945.9482,-255279.4514,2.2501,0.2501,
2.4,517655.8113,-269122.111, , ,
2.5,664823.628,-294411.8787,2.5,0.5,
2.6,784605.4482,-323265.9302,2.501,0.501,
2.7,781524.6493,-333268.0801,2.75,0.75,
2.8,628384.3456,-311744.8078,2.7501,0.7501,
2.9,382186.4183,-275586.8623, , ,
3,159729.8156,-247894.7685,3,0,3
3.1,71231.38414,-235554.2891, ,, 
3.2,145395.9571,-234166.7935,3.25,0.25,3
3.3,310519.2512,-243501.7983,3.2501,0.2501,3
3.4,441073.8253,-257076.6766, , ,3
3.5,473619.2803,-263211.0735,3.5,0.5,3
3.6,428132.6953,-259319.8278,3.501,0.501,3
3.7,378614.3924,-253422.1351,3.75,0.75,3
3.8,362778.0167,-250723.1646,3.7501,0.7501,3
3.9,292959.0799,-243703.6314, , , 
4,186235.8295,-233428.8156,4,0,4
4.1,169035.388,-230012.7318, ,,4
4.2,199151.5283,-231006.2195,4.25,0.25,4
4.3,195544.2883,-230246.1858,4.2501,0.2501,4
4.4,126046.0662,-225723.752, , , 
4.5,13276.55416,-220258.0799,4.5,0.5,4
4.6,-71931.84376,-218245.7751,4.501,0.501,4
4.7,-97042.83778,-218758.348,4.75,0.75,4
4.8,-90720.75561,-219796.7032,4.7501,0.7501,4
4.9,-114373.5651,-220357.0029, , , 
5,-164372.2313,-221114.7306,5,0,5
5.1,-191094.5618,-222618.2032, ,,5
