time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,199261.8963,-2778956.988,0,,
0.2,717365.6624,-2152890.263,0.25,,
0.3,1132591.112,-1785215.101,0.2501,,
0.4,1260820.942,-1490655.176,,,
0.5,1111035.812,-1182574.886,0.5,,
0.6,796800.2381,-889554.3543,0.501,,
0.7,403019.2612,-654031.2576,0.75,,
0.8,5135.408245,-494565.15,0.7501,,
0.9,-293169.6436,-406086.9729,,,
1,-433071.8426,-358484.412,1,,
1.1,-401572.6544,-323987.5862,,,
1.2,-210880.9496,-293210.0274,1.25,,
1.3,24070.76449,-273969.9658,1.2501,,
1.4,128663.598,-261787.0943,,,
1.5,56332.67964,-246596.4696,1.5,,
1.6,-112087.2576,-234511.8943,1.501,,
1.7,-278240.3101,-232588.3405,1.75,,
1.8,-361985.5559,-236611.8448,1.7501,,
1.9,-335315.3091,-238291.3541,,,
2,-252938.3755,-236612.8251,2,0,
2.1,-189250.0479,-234090.111,,,
2.2,-168887.8839,-231606.7713,2.25,0.25,
2.3,-157728.605,-229510.579,2.2501,0.2501,
2.4,-26107.71169,-228519.7728, , ,
2.5,216012.0593,-237014.2392,2.5,0.5,
2.6,404402.7326,-252876.4945,2.501,0.501,
2.7,418373.1837,-256369.7282,2.75,0.75,
2.8,267215.1585,-241879.0437,2.7501,0.7501,
2.9,58428.00423,-226588.7979, , ,
3,-97677.90452,-220690.3914,3,0,3
3.1,-145014.4862,-220727.0024, ,, 
3.2,-151683.0232,-221860.4812,3.25,0.25,3
3.3,-173380.183,-222838.4396,3.2501,0.2501,3
3.4,169732.247,-230726.8723, , ,3
3.5,861148.6833,-322194.5233,3.5,0.5,3
3.6,1353741.67,-479429.4752,3.501,0.501,3
3.7,1399738.459,-550502.5176,3.75,0.75,3
3.8,1017470.203,-471476.9116,3.7501,0.7501,3
3.9,434696.395,-350149.4256, , , 
4,-6728.2822,-285953.7773,4,0,4
4.1,-146010.1694,-262188.4436, ,,4
4.2,-84139.0745,-249821.2783,4.25,0.25,4
4.3,13973.74589,-242595.7215,4.2501,0.2501,4
4.4,-10619.16667,-235251.4133, , , 
4.5,-173457.0521,-228993.0611,4.5,0.5,4
4.6,-327730.3269,-231588.422,4.501,0.501,4
4.7,-364504.309,-236232.976,4.75,0.75,4
4.8,-283818.458,-236038.7487,4.7501,0.7501,4
4.9,-134574.5821,-233262.7986, , , 
5,-24954.33349,-231480.6648,5,0,5
5.1,-51398.09377,-227694.5313, ,,5
5.2,-183493.8305,-225010.893,5.25,0.25,5
5.3,-311716.274,-228447.3525,5.2501,0.2501,5
5.4,-346879.7402,-233252.3139, , ,5
5.5,-293562.1244,-234415.3462,5.5,0.5,5
5.6,-218943.6627,-233206.3487,5.501,0.501,5
5.7,-180962.4224,-231451.9199,5.75,0.75,5
5.8,-190848.3369,-229954.4628,5.7501,0.7501,5
5.9,-227791.0402,-229616.6672, , ,5
6,-251628.1185,-230245.6639,6,0,6
6.1,-220220.8217,-230116.1503, ,,6
6.2,-73995.24853,-228985.2274,6.25,0.25,6
6.3,150519.1157,-234140.9965,6.2501,0.2501,6
6.4,519984.536,-265852.5711, , ,6
6.5,966430.2906,-353784.8104,6.5,0.5,6
6.6,1247130.693,-455320.7142,6.501,0.501,6
6.7,1325132.946,-518286.7308,6.75,0.75,6
6.8,1227485.426,-519424.6925,6.7501,0.7501,6
6.9,1174769.325,-513105.7055, , ,6
7,1230788.107,-535356.7009,7,0,7
7.1,1231421.908,-545395.4038, ,, 
7.2,945046.3464,-474074.0883,7.25,0.25,7
7.3,399986.1221,-356545.3521,7.2501,0.2501,7
7.4,-107011.2599,-290892.762, , , 
7.5,-348721.9578,-272823.7188,7.5,0.5,7
7.6,-296459.1799,-261172.3643,7.501,0.501,7
7.7,-159377.8266,-250549.1265,7.75,0.75,7
7.8,-112430.1984,-242393.1537,7.7501,0.7501,7
7.9,-158527.4201,-236065.6128, , , 
8,-228247.4751,-233269.4173,8,0,8
8.1,-255923.7684,-232795.9311, ,, 
8.2,-209834.8677,-231662.7243,8.25,0.25,8
8.3,-121061.7296,-229934.8533,8.2501,0.2501,8
8.4,-54283.31942,-228321.1239, , , 
8.5,-53769.67426,-226033.1129,8.5,0.5,8
8.6,-117613.5616,-223741.4427,8.501,0.501,8
8.7,-200119.5091,-223801.6238,8.75,0.75,8
8.8,-236366.2957,-225613.4526,8.7501,0.7501,8
8.9,-174225.3663,-226140.3231, , , 
9,-54154.734,-226375.4327,9,0,9
9.1,31955.17329,-226850.9875, ,, 
9.2,14786.93949,-224617.6162,9.25,0.25,9
9.3,-91997.4296,-221179.3403,9.2501,0.2501,9
9.4,-217458.7487,-221819.5224, , , 
9.5,-302205.6974,-226366.6776,9.5,0.5,9
9.6,-316503.6754,-230560.4474,9.501,0.501,9
9.7,-201483.7772,-230103.359,9.75,0.75,9
9.8,8068.901407,-230591.8522,9.7501,0.7501,9
9.9,239513.6922,-239338.4007, , , 
10,396261.222,-252737.2354,10,0,10
10.1,387201.7596,-252915.4148, ,, 
10.2,197064.2863,-236190.8856,10.25,0.25,10
10.3,-89662.04695,-222066.573,10.2501,0.2501,10
10.4,-327894.6911,-225281.0028, , , 
10.5,-393670.6933,-233453.0774,10.5,0.5,10
10.6,-260627.3545,-233245.4243,10.501,0.501,10
10.7,-52915.69865,-231870.8583,10.75,0.75,10
10.8,41825.19148,-231249.4207,10.7501,0.7501,10
10.9,-31794.39602,-226046.7627, , , 
11,-149762.6503,-222998.5779,11,0,11
11.1,-176350.0013,-223351.8896, ,, 
11.2,-7784.106943,-224921.687,11.25,0.25,11
11.3,305143.6186,-241135.1594,11.2501,0.2501,11
11.4,555140.8908,-271259.1868, , , 
11.5,610000.1866,-285662.0699,11.5,0.5,11
11.6,512464.2017,-276060.156,11.501,0.501,11
11.7,394202.7576,-260882.9207,11.75,0.75,11
11.8,348172.5868,-253030.0922,11.7501,0.7501,11
11.9,365059.0446,-252377.6433, , , 
12,372950.9044,-252257.7387,12,0,12
12.1,321363.3395,-246560.4994, ,, 
12.2,223824.2101,-236883.406,12.25,0.25,12
12.3,149673.4868,-229739.5699,12.2501,0.2501,12
12.4,54120.21524,-223843.7608, , , 
12.5,-126875.3338,-219256.9798,12.5,0.5,12
12.6,-310269.5001,-223568.4387,12.501,0.501,12
12.7,-329050.6483,-229068.6398,12.75,0.75,12
12.8,-180351.3795,-228884.3118,12.7501,0.7501,12
12.9,19762.5601,-229914.1676, , , 
13,216313.5243,-237029.7564,13,0,13
13.1,396157.5522,-251463.0636, ,, 
13.2,406173.2431,-254920.527,13.25,0.25,13
13.3,190483.9874,-235766.6451,13.2501,0.2501,13
13.4,-145325.9905,-221906.7799, , , 
13.5,-427304.1842,-231167.3044,13.5,0.5,13
13.6,-492017.1354,-243782.4852,13.501,0.501,13
13.7,-345683.0357,-242569.4299,13.75,0.75,13
13.8,-133772.6799,-237756.8841,13.7501,0.7501,13
13.9,-41943.58967,-234346.3623, , , 
14,-113221.6304,-229285.8829,14,0,14
14.1,-245441.9785,-228286.2823, ,, 
14.2,-276812.1118,-230033.9942,14.25,0.25,14
14.3,-126951.2301,-228991.0889,14.2501,0.2501,14
14.4,152639.135,-234885.3854, , , 
14.5,369888.0932,-250480.2594,14.5,0.5,14
14.6,364062.0258,-250770.3532,14.501,0.501,14
14.7,117764.9625,-231176.9656,14.75,0.75,14
14.8,-217780.5843,-222064.0263,14.7501,0.7501,14
14.9,-426873.4858,-232392.8568, , , 
15,-431034.9835,-240308.3136,15,0,15
15.1,-299613.8565,-238971.0814, ,, 
15.2,-135812.8826,-235351.6838,15.25,0.25,15
15.3,147352.6291,-238638.2552,15.2501,0.2501,15
15.4,732686.9534,-301772.2013, , , 
15.5,1348015.782,-472593.6478,15.5,0.5,15
15.6,1619317.503,-631473.9171,15.501,0.501,15
15.7,1478339.962,-644855.6242,15.75,0.75,15
15.8,1023824.596,-523566.5527,15.7501,0.7501,15
15.9,612288.0989,-408801.3263, , , 
16,493774.1384,-354478.5522,16,0,16
16.1,554191.1368,-336112.8836, ,, 
16.2,465623.7849,-309752.4937,16.25,0.25,16
16.3,139151.141,-265297.6218,16.2501,0.2501,16
16.4,-244660.3937,-244710.7616, , , 
16.5,-493667.249,-252588.1917,16.5,0.5,16
16.6,-493574.647,-257863.3703,16.501,0.501,16
16.7,-281138.9229,-249388.4632,16.75,0.75,16
16.8,-8430.615039,-243706.3059,16.7501,0.7501,16
16.9,97777.60288,-240820.9331, , , 
17,-33341.15238,-230816.4177,17,0,17
17.1,-256581.9539,-227713.1084, ,, 
17.2,-346247.1213,-232327.9891,17.25,0.25,17
17.3,-257413.1215,-232599.6809,17.2501,0.2501,17
17.4,-150242.8966,-231086.4689, , , 
17.5,-128566.7472,-229036.0808,17.5,0.5,17
17.6,-178858.5565,-227435.3152,17.501,0.501,17
17.7,-241697.2738,-228005.3683,17.75,0.75,17
17.8,-260086.9734,-229463.0254,17.7501,0.7501,17
17.9,-141978.772,-228542.9347, , , 
18,256280.6638,-240900.1963,18,0,18
18.1,975408.1409,-349601.3567, ,, 
18.2,1472654.433,-532617.8366,18.25,0.25,18
18.3,1369436.259,-560597.665,18.2501,0.2501,18
18.4,1057604.608,-488294.4154, , , 
18.5,977970.7809,-457475.2802,18.5,0.5,18
18.6,1214674.823,-511880.9217,18.501,0.501,18
18.7,1751021.344,-727238.0499,18.75,0.75,18
18.8,2232736.334,-1089604.146,18.7501,0.7501,18
18.9,2283831.514,-1315635.894, , , 
19,1934684.152,-1226005.704,19,0,19
19.1,1326275.658,-933629.7469, ,, 
19.2,414257.7141,-615496.5447,19.25,0.25,19
19.3,-536370.1028,-478728.2917,19.2501,0.2501,19
19.4,-949393.7592,-472855.1863, , , 
19.5,-749844.1022,-422318.3457,19.5,0.5,19
19.6,-243572.9639,-352223.8126,19.501,0.501,19
19.7,153030.8897,-320227.4052,19.75,0.75,19
19.8,199922.7033,-294222.8426,19.7501,0.7501,19
19.9,-41441.21621,-262471.4066, , , 
20,-316997.7585,-250979.8464,20,0,20
20.1,-418165.6445,-252259.1509, ,, 
20.2,-316960.2502,-247800.9315,20.25,0.25,20
20.3,-140960.3524,-241349.9382,20.2501,0.2501,20
20.4,-26989.49717,-236962.7049, , , 
20.5,-19799.95634,-231989.1937,20.5,0.5,20
20.6,-82044.40722,-227171.7898,20.501,0.501,20
20.7,-159505.54,-225047.7812,20.75,0.75,20
20.8,-224385.6825,-225757.7991,20.7501,0.7501,20
20.9,-259272.3389,-227803.6383, , , 
21,-246726.0124,-229117.3617,21,0,21
21.1,-187911.9302,-228846.0359, ,, 
21.2,-28144.42726,-228499.8405,21.25,0.25,21
21.3,232396.8076,-238123.5118,21.2501,0.2501,21
21.4,623945.824,-280927.3739, , , 
21.5,1018647.063,-370070.7769,21.5,0.5,21
21.6,1201879.502,-447716.9869,21.501,0.501,21
21.7,1044563.513,-436491.0083,21.75,0.75,21
21.8,549780.9299,-342499.5394,21.7501,0.7501,21
21.9,111571.2531,-277056.6796, , , 
22,76101.59244,-256582.5072,22,0,22
22.1,295960.5967,-259317.832, ,, 
22.2,379302.2992,-262852.4563,22.25,0.25,22
22.3,150078.0174,-240513.7296,22.2501,0.2501,22
22.4,-221833.0753,-227238.3673, , , 
22.5,-479945.8737,-239443.7575,22.5,0.5,22
22.6,-485669.3827,-248487.9362,22.501,0.501,22
22.7,-322465.9488,-244799.38,22.75,0.75,22
22.8,-158084.2523,-239500.086,22.7501,0.7501,22
22.9,-78399.38325,-235099.9559, , , 
23,-76503.79131,-230757.7384,23,0,23
23.1,-103169.9484,-227393.8255, ,, 
23.2,-23303.63629,-226322.2982,23.25,0.25,23
23.3,226004.1133,-235773.6682,23.2501,0.2501,23
23.4,575233.2837,-272816.384, , , 
23.5,800706.6512,-319989.3719,23.5,0.5,23
23.6,734054.021,-321287.1838,23.501,0.501,23
23.7,504144.4708,-288272.9373,23.75,0.75,23
23.8,326389.5589,-262033.4163,23.7501,0.7501,23
23.9,319965.6013,-254324.6539, , , 
24,443176.7237,-263446.7204,24,0,24
24.1,557791.5652,-278808.6513, ,, 
24.2,476032.9857,-271639.7695,24.25,0.25,24
24.3,190917.9481,-242343.0655,24.2501,0.2501,24
24.4,-35125.4033,-226758.9319, , , 
24.5,-13084.13867,-224484.5205,24.5,0.5,24
24.6,213985.6293,-233459.8509,24.501,0.501,24
24.7,329635.2517,-243699.1377,24.75,0.75,24
24.8,130764.2748,-229396.2137,24.7501,0.7501,24
24.9,-203065.5524,-220210.6352, , , 
25,-411717.1963,-230029.6608,25,0,25
25.1,-401943.5039,-237013.7637, ,, 
25.2,-268950.5221,-235938.2636,25.25,0.25,25
25.3,-153484.0565,-233407.3044,25.2501,0.2501,25
25.4,-119969.5322,-230650.0161, , , 
25.5,-158820.7432,-228245.2382,25.5,0.5,25
25.6,-221196.7569,-227872.9404,25.501,0.501,25
25.7,-239409.5702,-228658.9869,25.75,0.75,25
25.8,-174440.9626,-228262.3423,25.7501,0.7501,25
25.9,-37943.45926,-227975.1484, , , 
26,47092.15545,-228327.6045,26,0,26
26.1,-23693.14523,-224178.8846, ,, 
26.2,-197523.1479,-222042.5705,26.25,0.25,26
26.3,-329004.4176,-227231.6872,26.2501,0.2501,26
26.4,-329339.9676,-231678.4001, , , 
26.5,-226730.8217,-231457.1663,26.5,0.5,26
26.6,-100386.9648,-230043.8293,26.501,0.501,26
26.7,-70834.41617,-228068.1274,26.75,0.75,26
26.8,-162775.3602,-225600.7475,26.7501,0.7501,26
26.9,-244924.9914,-226505.7349, , , 
27,-225289.2626,-227592.1104,27,0,27
27.1,-124580.7485,-227235.462, ,, 
27.2,54334.06981,-229057.2106,27.25,0.25,27
27.3,263391.4831,-239130.6178,27.2501,0.2501,27
27.4,250578.3731,-238521.2801, , , 
27.5,-12493.1095,-223052.48,27.5,0.5,27
27.6,-264523.1581,-221845.0635,27.501,0.501,27
27.7,-374622.0987,-229851.4702,27.75,0.75,27
27.8,-354875.2036,-234577.8497,27.7501,0.7501,27
27.9,-232519.5176,-233485.5352, , , 
28,-107103.0936,-231524.7468,28,0,28
28.1,-88793.59286,-228916.9568, ,, 
28.2,-170871.6931,-226581.4933,28.25,0.25,28
28.3,-271594.7403,-228069.1314,28.2501,0.2501,28
28.4,-309192.8539,-231272.5094, , , 
28.5,-262587.82,-232066.1425,28.5,0.5,28
28.6,-171800.3657,-230777.6853,28.501,0.501,28
28.7,-70597.12364,-229267.4257,28.75,0.75,28
28.8,4678.330826,-228253.337,28.7501,0.7501,28
28.9,29848.21147,-226576.1129, , , 
29,16642.06197,-224255.7863,29,0,29
29.1,-9398.63865,-222227.6565, ,, 
29.2,22743.32811,-222213.0614,29.25,0.25,29
29.3,153458.5896,-227294.1576,29.2501,0.2501,29
29.4,384283.8454,-245495.6033, , , 
29.5,630409.8469,-281072.663,29.5,0.5,29
29.6,777983.4924,-316112.9817,29.501,0.501,29
29.7,811559.2348,-334267.1171,29.75,0.75,29
29.8,752753.8047,-331922.2132,29.7501,0.7501,29
29.9,612767.6208,-310501.8972, , , 
30,494404.6514,-288964.2445,30,0,30
30.1,500289.4548,-283506.8458, ,, 
30.2,620078.7338,-297455.4132,30.25,0.25,30
30.3,775787.7426,-326799.5475,30.2501,0.2501,30
30.4,958063.9877,-373181.3824, , , 
30.5,1099479.418,-425562.0288,30.5,0.5,30
30.6,1100396.406,-446532.9006,30.501,0.501,30
30.7,859731.5065,-401845.8301,30.75,0.75,30
30.8,373926.7372,-314664.9337,30.7501,0.7501,30
30.9,-183070.8949,-264631.0628, , , 
31,-525129.9611,-267637.7215,31,0,31
31.1,-494953.6401,-267832.5445, ,, 
31.2,-250729.0958,-255169.573,31.25,0.25,31
31.3,-48557.64772,-246977.567,31.2501,0.2501,31
31.4,-30132.85046,-239289.3798, , , 
31.5,-157899.3586,-232195.839,31.5,0.5,31
31.6,-299161.7538,-232490.1888,31.501,0.501,31
31.7,-352328.5413,-236196.1615,31.75,0.75,31
31.8,-307371.3057,-236892.882,31.7501,0.7501,31
31.9,-216629.4374,-234826.1682, , , 
32,-139360.9763,-232224.4656,32,0,32
32.1,-105060.1956,-229614.6756, ,, 
32.2,-71965.364,-227392.3418,32.25,0.25,32
32.3,-1170.417324,-226629.085,32.2501,0.2501,32
32.4,134529.4134,-229846.2637, , , 
32.5,316971.4754,-241617.5827,32.5,0.5,32
32.6,480113.4576,-260122.5915,32.501,0.501,32
32.7,619008.2351,-283207.669,32.75,0.75,32
32.8,711665.5452,-305548.0522,32.7501,0.7501,32
32.9,708317.3493,-312972.1827, , , 
33,636655.0926,-305228.281,33,0,33
33.1,571037.688,-294914.2223, ,, 
33.2,609100.9405,-298071.6665,33.25,0.25,33
33.3,790379.6818,-329946.9357,33.2501,0.2501,33
33.4,1114121.776,-413011.7223, , , 
33.5,1397191.932,-530436.8839,33.5,0.5,33
33.6,1433997.662,-590146.4956,33.501,0.501,33
33.7,1020856.853,-497593.3883,33.75,0.75,33
33.8,154972.3263,-340078.1273,33.7501,0.7501,33
33.9,-653977.899,-319215.5484, , , 
34,-928119.9953,-356357.0731,34,0,34
34.1,-672990.2174,-333170.1215, ,, 
34.2,-223001.2238,-294224.4523,34.25,0.25,34
34.3,68806.11945,-276846.617,34.2501,0.2501,34
34.4,60463.40514,-259483.1093, , , 
34.5,-145476.3952,-243136.5395,34.5,0.5,34
34.6,-346882.4598,-241467.8397,34.501,0.501,34
34.7,-403700.1493,-245033.7001,34.75,0.75,34
34.8,-316241.0802,-243006.8001,34.7501,0.7501,34
34.9,-171118.9069,-238298.0179, , , 
35,-66954.6527,-234568.7882,35,0,35
35.1,-54090.02942,-230553.8855, ,, 
35.2,-98589.82371,-226853.9819,35.25,0.25,35
35.3,-142704.2957,-225077.4307,35.2501,0.2501,35
35.4,-145284.6557,-224590.7046, , , 
35.5,-98343.39056,-224412.9946,35.5,0.5,35
35.6,-33100.68912,-224473.421,35.501,0.501,35
35.7,-44020.42218,-223272.4329,35.75,0.75,35
35.8,-158978.3854,-221696.7895,35.7501,0.7501,35
35.9,-274976.9801,-224637.2791, , , 
36,-294011.6836,-228392.5972,36,0,36
36.1,-198577.9546,-228641.2445, ,, 
36.2,16359.07937,-229566.9912,36.25,0.25,36
36.3,296148.728,-243118.8408,36.2501,0.2501,36
36.4,508184.5944,-266297.3042, , , 
36.5,542224.0353,-275138.7217,36.5,0.5,36
36.6,407727.9058,-260771.5021,36.501,0.501,36
36.7,144893.4062,-236392.1619,36.75,0.75,36
36.8,-122721.8496,-223885.9832,36.7501,0.7501,36
36.9,-311047.491,-226641.7142, , , 
37,-383108.4877,-233787.8427,37,0,37
37.1,-312997.9261,-235366.0233, ,, 
37.2,-167352.8921,-233072.5954,37.25,0.25,37
37.3,-45988.26428,-231275.4991,37.2501,0.2501,37
37.4,4054.102343,-229114.6525, , , 
37.5,-2404.213685,-226173.4362,37.5,0.5,37
37.6,-30653.58461,-223549.99,37.501,0.501,37
37.7,-46461.84804,-222124.9906,37.75,0.75,37
37.8,-44071.2197,-221613.8076,37.7501,0.7501,37
37.9,-73963.10421,-220950.2611, , , 
38,-160713.5624,-220773.8051,38,0,38
38.1,-258500.7197,-223651.0794, ,, 
38.2,-311298.7147,-228302.152,38.25,0.25,38
38.3,-299432.6385,-231262.5502,38.2501,0.2501,38
38.4,-242148.7706,-231542.8645, , , 
38.5,-181498.8456,-230462.586,38.5,0.5,38
38.6,-153656.7418,-228976.6919,38.501,0.501,38
38.7,-154703.1539,-227563.2929,38.75,0.75,38
38.8,-161517.5559,-226624.9197,38.7501,0.7501,38
38.9,-128780.8593,-225865.4887, , , 
39,-54497.0873,-225551.0376,39,0,39
39.1,8561.753884,-225473.5269, ,, 
39.2,21724.01864,-224367.925,39.25,0.25,39
39.3,-16761.40859,-222090.3744,39.2501,0.2501,39
39.4,-132000.162,-220253.6479, , , 
39.5,-280307.6534,-223399.3762,39.5,0.5,39
39.6,-353218.9255,-229995.676,39.501,0.501,39
39.7,-291574.1769,-232066.9168,39.75,0.75,39
39.8,-164381.0429,-230850.1276,39.7501,0.7501,39
39.9,-66074.89452,-229380.1953, , , 
40,-40429.54607,-227281.4428,40,0,40
40.1,-95744.69142,-224444.7417, ,, 
40.2,-204271.3511,-223997.6267,40.25,0.25,40
40.3,-296388.4066,-227487.1466,40.2501,0.2501,40
40.4,-298851.3544,-230606.0113, , , 
40.5,-234443.4611,-230919.8443,40.5,0.5,40
40.6,-178466.3291,-229984.7549,40.501,0.501,40
40.7,-148642.8133,-228541.9519,40.75,0.75,40
40.8,-139318.0584,-227166.824,40.7501,0.7501,40
40.9,-149741.5377,-226095.3024, , , 
41,-167624.8544,-225612.836,41,0,41
41.1,-183468.4264,-225672.98, ,, 
41.2,-188094.311,-225956.8483,41.25,0.25,41
41.3,-179042.3411,-226110.3426,41.2501,0.2501,41
41.4,-159142.7454,-225946.6356, , , 
41.5,-130812.2241,-225491.6609,41.5,0.5,41
41.6,-97707.01068,-224879.9554,41.501,0.501,41
41.7,-38913.4145,-224553.7992,41.75,0.75,41
41.8,18992.88276,-224786.4211,41.7501,0.7501,41
41.9,-38243.88426,-222339.2809, , , 
42,-203165.1698,-221241.4017,42,0,42
42.1,-337904.8537,-227160.1389, ,, 
42.2,-345349.6385,-232331.3127,42.25,0.25,42
42.3,-244807.7453,-232311.9869,42.2501,0.2501,42
42.4,-109554.259,-230657.2632, , , 
42.5,-5696.837265,-229658.3857,42.5,0.5,42
42.6,28648.66024,-227829.6005,42.501,0.501,42
42.7,-52826.42518,-223753.3258,42.75,0.75,42
42.8,-216586.9086,-222707.4321,42.7501,0.7501,42
42.9,-271367.4356,-225781.3813, , , 
43,-153759.8461,-226270.4904,43,0,43
43.1,14366.81557,-227773.0244, ,, 
43.2,28720.37861,-226612.2656,43.25,0.25,43
43.3,-138651.5875,-221977.0117,43.2501,0.2501,43
43.4,-276356.7691,-224405.2573, , , 
43.5,-265065.2241,-227303.4255,43.5,0.5,43
43.6,-153013.7742,-227369.1731,43.501,0.501,43
43.7,-69433.3241,-226963.0335,43.75,0.75,43
43.8,-86682.93961,-225046.4378,43.7501,0.7501,43
43.9,-157240.7764,-223730.7097, , , 
44,-219086.038,-224725.5047,44,0,44
44.1,-247703.5968,-226759.369, ,, 
44.2,-252150.5738,-228522.4995,44.25,0.25,44
44.3,-241248.3815,-229470.1543,44.2501,0.2501,44
44.4,-185690.029,-228977.055, , , 
44.5,-101763.3958,-227966.9367,44.5,0.5,44
44.6,-48028.96665,-226771.5089,44.501,0.501,44
44.7,-84736.93556,-224524.0997,44.75,0.75,44
44.8,-194514.6026,-223669.6631,44.7501,0.7501,44
44.9,-283536.9813,-226731.5663, , , 
45,-296797.278,-229989.6149,45,0,45
45.1,-245376.8015,-230740.5606, ,, 
45.2,-175143.1986,-229849.2091,45.25,0.25,45
45.3,-130263.2309,-228428.9173,45.2501,0.2501,45
45.4,153841.5039,-233568.1091, , , 
45.5,622157.9631,-281941.4838,45.5,0.5,45
45.6,835812.5061,-330997.2902,45.501,0.501,45
45.7,569227.2746,-298825.1084,45.75,0.75,45
45.8,-42157.81558,-242215.2666,45.7501,0.7501,45
45.9,-542694.3919,-250427.0489, , , 
46,-651455.4493,-270929.9936,46,0,46
46.1,-438434.5925,-263111.0195, ,, 
46.2,-159313.7679,-251121.6585,46.25,0.25,46
46.3,-26026.57676,-244062.0004,46.2501,0.2501,46
46.4,-71213.02422,-235896.7394, , , 
46.5,-193534.581,-231014.6017,46.5,0.5,46
46.6,-274579.5185,-231380.1031,46.501,0.501,46
46.7,-255348.52,-231783.2057,46.75,0.75,46
46.8,-168568.5458,-230500.2004,46.7501,0.7501,46
46.9,-73389.00064,-229040.5541, , , 
47,-15437.65719,-227651.135,47,0,47
47.1,-13685.14427,-225420.5703, ,, 
47.2,-25234.56023,-223399.9799,47.25,0.25,47
