time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,212343.4376,-2782067.052,0,,
0.2,772029.8661,-2177661.341,0.25,,
0.3,1204127.84,-1836084.677,0.2501,,
0.4,1250698.698,-1514869.727,,,
0.5,919591.6191,-1136887.555,0.5,,
0.6,412676.3044,-808450.3598,0.501,,
0.7,-10656.56279,-597585.4033,0.75,,
0.8,-189708.8434,-474063.0938,0.7501,,
0.9,-202704.3295,-394471.7715,,,
1,-160582.589,-340104.5214,1,,
1.1,-83376.1299,-302906.1988,,,
1.2,-45016.68777,-277223.4433,1.25,,
1.3,-89504.56719,-258371.2253,1.2501,,
1.4,-181631.266,-246489.5553,,,
1.5,-253548.6697,-241154.974,1.5,,
1.6,-260141.6757,-238437.1914,1.501,,
1.7,-207243.5886,-235499.1393,1.75,,
1.8,-136927.0875,-232540.0851,1.7501,,
1.9,-86642.05222,-229888.4506,,,
2,-62236.54391,-227496.1628,2,0,
2.1,-49018.50809,-225536.7242,,,
2.2,10827.32146,-225091.1011,2.25,0.25,
2.3,135022.9811,-228666.9428,2.2501,0.2501,
2.4,318333.3813,-240670.2394, , ,
2.5,491394.9275,-261071.338,2.5,0.5,
2.6,557496.9571,-274440.8614,2.501,0.501,
2.7,522322.0174,-273616.3197,2.75,0.75,
2.8,452361.9696,-265751.1851,2.7501,0.7501,
2.9,458209.6029,-265054.847, , ,
3,567107.8752,-279505.0287,3,0,3
3.1,697626.0472,-303912.1211, ,, 
3.2,742809.698,-319685.4006,3.25,0.25,3
3.3,672936.915,-313459.4219,3.2501,0.2501,3
3.4,714331.6365,-319852.472, , ,3
3.5,945767.4096,-370395.1064,3.5,0.5,3
3.6,1173136.651,-445719.6088,3.501,0.501,3
3.7,1229847.383,-490630.7135,3.75,0.75,3
3.8,1093276.617,-473206.8519,3.7501,0.7501,3
3.9,672837.0504,-382985.82, , , 
4,114895.5943,-295602.2355,4,0,4
4.1,-207297.8383,-264762.4741, ,,4
4.2,-181126.1885,-252115.5651,4.25,0.25,4
4.3,50041.76788,-246434.9466,4.2501,0.2501,4
4.4,224655.3475,-248604.5459, , , 
4.5,204184.9327,-242287.5682,4.5,0.5,4
4.6,50148.54125,-229768.2054,4.501,0.501,4
4.7,-84458.29773,-223249.7206,4.75,0.75,4
4.8,-89388.66002,-222270.3338,4.7501,0.7501,4
4.9,43652.58606,-224670.0818, , , 
5,217500.417,-232960.382,5,0,5
5.1,315174.5242,-240858.3985, ,,5
5.2,326759.1594,-242471.207,5.25,0.25,5
5.3,309531.7334,-241024.2134,5.2501,0.2501,5
5.4,355066.4359,-244859.2327, , ,5
5.5,484052.3253,-260341.663,5.5,0.5,5
5.6,625024.835,-284176.4151,5.501,0.501,5
5.7,742468.6813,-311038.8729,5.75,0.75,5
5.8,805891.949,-332721.9402,5.7501,0.7501,5
5.9,787990.8002,-338244.0562, , ,5
6,727802.4978,-331371.7762,6,0,6
6.1,688721.1602,-324526.6194, ,,6
6.2,707169.7211,-326376.5927,6.25,0.25,6
6.3,774074.5082,-339032.008,6.2501,0.2501,6
6.4,792085.235,-346617.6552, , ,6
6.5,714990.5225,-334823.5105,6.5,0.5,6
6.6,604286.6565,-313956.9609,6.501,0.501,6
6.7,518742.5067,-295677.8064,6.75,0.75,6
6.8,461259.3151,-282026.4749,6.7501,0.7501,6
6.9,339060.4374,-263386.815, , ,6
7,190359.038,-244415.4206,7,0,7
7.1,157407.4933,-236431.1429, ,, 
7.2,240892.0171,-238471.6846,7.25,0.25,7
7.3,333847.9765,-245081.3614,7.2501,0.2501,7
7.4,329828.6336,-245013.1589, , , 
7.5,238168.1956,-236590.486,7.5,0.5,7
7.6,150215.8102,-228985.7513,7.501,0.501,7
7.7,132059.3001,-226421.5106,7.75,0.75,7
7.8,177434.4897,-228289.0419,7.7501,0.7501,7
7.9,220188.1361,-231071.5392, , , 
8,225476.2585,-231526.6527,8,0,8
8.1,209688.7935,-230321.8166, ,, 
8.2,231276.6646,-231462.5674,8.25,0.25,8
8.3,312878.6176,-238333.6783,8.2501,0.2501,8
8.4,429261.0915,-251476.0115, , , 
8.5,537348.3478,-268353.9261,8.5,0.5,8
8.6,598781.0829,-282108.5777,8.501,0.501,8
8.7,691326.2009,-301407.5673,8.75,0.75,8
8.8,816509.7727,-332213.4574,8.7501,0.7501,8
8.9,815706.2059,-343609.2316, , , 
9,657928.6173,-320550.6363,9,0,9
9.1,460412.7758,-288063.8008, ,, 
9.2,320630.1698,-264531.5645,9.25,0.25,9
9.3,302841.4476,-254951.2057,9.2501,0.2501,9
9.4,564881.5468,-279229.5674, , , 
9.5,994793.8397,-366394.1725,9.5,0.5,9
9.6,1264648.624,-467144.6225,9.501,0.501,9
9.7,1323874.331,-523605.2276,9.75,0.75,9
9.8,1253112.543,-530767.0167,9.7501,0.7501,9
9.9,878454.8054,-445381.7358, , , 
10,261026.6031,-328942.547,10,0,10
10.1,-182006.1767,-280010.3412, ,, 
10.2,-243820.7251,-263152.0134,10.25,0.25,10
10.3,-15680.8303,-252320.8914,10.2501,0.2501,10
10.4,204990.7947,-252794.7774, , , 
10.5,216776.2938,-247051.2659,10.5,0.5,10
10.6,54161.40987,-232735.1109,10.501,0.501,10
10.7,-115911.0889,-224886.1382,10.75,0.75,10
10.8,-150814.7997,-223814.3765,10.7501,0.7501,10
10.9,-77175.51191,-224127.6654, , , 
11,-6238.246765,-224612.6933,11,0,11
11.1,-3071.675364,-223494.0498, ,, 
11.2,-11809.35291,-222064.0682,11.25,0.25,11
11.3,37637.59439,-222778.1264,11.2501,0.2501,11
11.4,179333.3828,-228758.3587, , , 
