time,p:1,q :1,timeStamp
0.15,1009799.663,-2305913.496,18.751
0.151,936474.827,-2099732.77,19
0.152,783223.3701,-1932714.807,19.01
0.153,572597.4058,-1825155.472,19.25
0.154,334166.6361,-1789030.773,19.251
0.155,100449.1462,-1826605.79,19.5
0.156,-97447.95177,-1930358.552,19.501
0.157,-233896.1644,-2084198.695,19.75
0.158,-291992.2651,-2265790.185,19.751
0.159,-265575.7426,-2449645.938,20
0.16,-159780.8239,-2610567.742,20.01
0.161,9914.20665,-2726969.013,20.25
0.162,219978.6229,-2783643.962,20.251
0.163,442127.1468,-2773629.872,20.5
0.164,647164.8711,-2698937.233,20.501
0.165,808858.962,-2570077.304,20.75
0.166,907325.9604,-2404477.298,20.751
0.167,931499.7555,-2224018.361,21
0.168,880377.0667,-2052041.989,21.01
0.169,762905.8234,-1910232.71,21.25
0.17,596564.0515,-1815791.747,21.251
0.171,404848.3988,-1779268.256,21.5
0.172,214029.9028,-1803319.382,21.501
0.173,49622.55569,-1882541.429,21.75
0.174,-66962.70559,-2004369.718,21.751
0.175,-121141.8735,-2150903.618,22
0.176,-106915.5141,-2301394.363,22.01
0.177,-27451.83817,-2435051.75,22.25
0.178,105553.2186,-2533791.549,22.251
0.179,273624.8891,-2584562,22.5
0.18,454109.9575,-2580951.675,22.501
0.181,623265.1097,-2523882.859,22.75
0.182,759414.186,-2421319.979,22.751
0.183,845756.341,-2287054.443,23
0.184,872463.2709,-2138747.883,23.01
0.185,837806.1841,-1995509.561,23.25
0.186,748187.4202,-1875338.789,23.251
0.187,617099.0972,-1792773.328,23.5
0.188,463172.1115,-1757049.543,23.501
0.189,307594.8124,-1771005.416,23.75
0.19,171257.0135,-1830854.009,23.751
0.191,72002.60276,-1926837.127,24
0.192,22350.39386,-2044652.462,24.01
0.193,27972.40349,-2167447.838,24.25
0.194,87111.85041,-2278106.057,24.251
0.195,190994.8434,-2361511.818,24.5
0.196,325157.3885,-2406501.669,24.501
0.197,471490.5513,-2407246.74,24.75
0.198,610716.6878,-2363898.747,24.751
0.199,724959.7737,-2282431.023,25
0.2,800068.6136,-2173714.311,25.01
0.201,827394.4473,-2051967.49,25.25
0.202,804796.3935,-1932801.628,25.251
0.203,736764.3032,-1831125.927,25.5
0.204,633667.7777,-1759195.525,25.501
0.205,510246.2276,-1725054.94,25.75
0.206,383559.3122,-1731573.716,25.751
0.207,270681.1083,-1776187.846,26
0.208,186448.2772,-1851364.656,26.01
0.209,141557.8573,-1945712.975,26.25
0.21,141257.036,-2045577.013,26.251
0.211,184783.3219,-2136892.233,26.5
0.212,265610.7462,-2207052.077,26.501
0.213,372450.0922,-2246538.737,26.75
0.214,490852.9821,-2250108.087,26.751
0.215,605193.6654,-2217382.635,27
0.216,700758.0247,-2152787.973,27.01
0.217,765661.7337,-2064856.442,27.25
0.218,792348.7673,-1965004.741,27.251
0.219,778482.8311,-1865959.225,27.5
0.22,727128.8764,-1780045.053,27.501
0.221,646217.9741,-1717568.273,27.75
0.222,547383.4866,-1685502.263,27.751
0.223,444337.2514,-1686644.828,28
0.224,351011.0552,-1719346.219,28.01
0.225,279714.1646,-1777830.652,28.25
0.226,239549.4811,-1853055.047,28.251
0.227,235290.9029,-1933979.088,28.5
0.228,266858.7466,-2009069.364,28.501
0.229,329447.9042,-2067833.532,28.75
0.23,414276.0101,-2102181.251,28.751
0.231,509837.9346,-2107436.206,29
0.232,603488.9041,-2082873.744,29.01
0.233,683139.5244,-2031724.208,29.25
0.234,738836.4775,-1960654.025,29.251
0.235,764023.2215,-1878805.295,29.5
0.236,756322.2051,-1796531.045,29.501
0.237,717747.0485,-1724000.228,29.75
0.238,654330.5304,-1669859.71,29.751
0.239,575231.6019,-1640128.484,30
0.24,491451.8156,-1637464.654,30.01
0.241,414339.9018,-1660893.17,30.25
0.242,354086.823,-1706019.49,30.251
0.243,318409.9915,-1765689.581,30.5
0.244,311595.5666,-1830998.724,30.501
0.245,334016.4384,-1892507.818,30.75
0.246,382177.9239,-1941501.781,30.751
0.247,449272.3574,-1971122.947,31
0.248,526157.1039,-1977232.759,31.01
0.249,602616.7646,-1958894.363,31.25
0.25,668736.2425,-1918421.269,31.251
0.251,716200.9184,-1860995.831,31.5
0.252,739354.2516,-1793918.01,31.501
0.253,735879.2262,-1725592.261,31.75
0.254,707022.898,-1664392.424,31.751
0.255,657345.5139,-1617557.302,32
0.256,594038.812,-1590261.947,32.01
0.257,525913.8466,-1584983.095,32.25
0.258,462199.8244,-1601235.565,32.251
0.259,411316.9282,-1635705.708,32.5
0.26,379785.5849,-1682754.985,32.501
0.261,371412.6965,-1735218.549,32.75
0.262,386855.4294,-1785386.523,32.751
0.263,423610.9253,-1826034.216,33
0.264,476422.9633,-1851364.149,33.01
0.265,538041.8391,-1857737.642,33.25
0.266,600228.6922,-1844104.325,33.251
0.267,654865.9181,-1812079.997,33.5
0.268,695024.6651,-1765670.801,33.501
0.269,715849.6873,-1710688.44,33.75
0.27,715149.2993,-1653940.887,33.751
0.271,693619.7856,-1602310.655,34
0.272,654683.5388,-1561844.914,34.01
0.273,603971.6362,-1536977.222,34.25
0.274,548527.7121,-1529980.455,34.251
0.275,495844.8679,-1540717.673,34.5
0.276,452866.6701,-1566716.789,34.501
0.277,425084.844,-1603551.568,34.75
0.278,415850.2998,-1645471.508,34.751
0.279,425983.1735,-1686191.642,35
0.28,453726.05,-1719734.312,35.01
0.281,495038.2155,-1741210.614,35.25
0.282,544183.867,-1747439.836,35.251
0.283,594529.5839,-1737328.941,35.5
0.284,639440.8267,-1711967.685,35.501
0.285,673156.8417,-1674433.495,35.75
0.286,691529.1237,-1629338.704,35.751
0.287,692529.3637,-1582185.94,36
0.288,676465.4922,-1538621.251,36.01
0.289,645884.4054,-1503685.896,36.25
0.29,605181.8032,-1481165.552,36.251
0.291,559977.6922,-1473120.47,36.5
0.292,516345.5898,-1479654.307,36.501
0.293,480000.6212,-1498946.482,36.75
0.294,455554.5706,-1527537.61,36.751
0.295,445934.4975,-1560824.381,37
0.296,452037.6155,-1593693.695,37.01
0.297,472662.2138,-1621209.118,37.25
0.298,504717.0345,-1639257.879,37.251
0.299,543674.743,-1645073.989,37.5
0.3,584203.7715,-1637571.374,37.501
0.301,620906.4194,-1617449.723,37.75
0.302,649018.8138,-1587057.248,37.751
0.303,665009.9519,-1550040.917,38
0.304,667032.5793,-1510837.513,38.01
0.305,655125.9408,-1474069.821,38.25
0.306,631164.8454,-1443932.488,38.251
0.307,598567.9133,-1423648.825,38.5
