time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,164028.5672,-2771223.203,0,,
0.2,540511.0422,-2087299.731,0.25,,
0.3,804423.5262,-1619676.312,0.2501,,
0.4,858044.2798,-1260807.953,,,
0.5,708737.0158,-958696.6882,0.5,,
0.6,464398.528,-718772.5726,0.501,,
0.7,338144.4599,-557774.7435,0.75,,
0.8,415965.458,-465404.0793,0.7501,,
0.9,617898.3521,-427051.6529,,,
1,832589.744,-428228.5321,1,,
1.1,967429.8769,-441903.6143,,,
1.2,1003555.785,-446480.4302,1.25,,
1.3,953471.0558,-433119.1761,1.2501,,
1.4,841628.399,-402961.235,,,
1.5,720078.8407,-368792.8736,1.5,,
1.6,623464.5663,-339519.9074,1.501,,
1.7,293035.2158,-287706.0779,1.75,,
1.8,-263065.1369,-252494.3501,1.7501,,
1.9,-622887.4096,-269541.7788,,,
2,-613295.842,-278274.7213,2,0,
2.1,-358473.4093,-264184.1821,,,
2.2,-104105.3998,-252426.8506,2.25,0.25,
2.3,-21812.3342,-244250.1349,2.2501,0.2501,
2.4,-72601.69048,-235680.1952, , ,
2.5,-135460.7026,-230471.6809,2.5,0.5,
2.6,-145076.8989,-228093.309,2.501,0.501,
2.7,-85137.62924,-226825.1172,2.75,0.75,
2.8,-544.4243925,-226644.7281,2.7501,0.7501,
2.9,43022.40422,-226143.9315, , ,
3,25945.04893,-223952.4495,3,0,3
3.1,-24093.01339,-221430.4501, ,, 
3.2,-128409.4252,-219968.7035,3.25,0.25,3
3.3,-157680.3937,-220668.3859,3.2501,0.2501,3
3.4,54367.41974,-224693.2675, , ,3
3.5,371692.2879,-246140.6711,3.5,0.5,3
3.6,566716.7736,-273181.4167,3.501,0.501,3
3.7,598270.4218,-283714.0142,3.75,0.75,3
3.8,537541.5852,-278977.3863,3.7501,0.7501,3
3.9,412278.7715,-263813.8481, , , 
4,293347.4736,-248717.0409,4,0,4
4.1,267801.4902,-242742.4801, ,,4
4.2,136959.0817,-232300.7575,4.25,0.25,4
4.3,-148801.8625,-221727.3451,4.2501,0.2501,4
4.4,-315548.7298,-225596.7163, , , 
4.5,-264250.7167,-228182.7345,4.5,0.5,4
4.6,-109332.7107,-227930.0743,4.501,0.501,4
4.7,-4.508430461,-228070.0293,4.75,0.75,4
4.8,-13254.41375,-225534.8232,4.7501,0.7501,4
4.9,-76256.74383,-222563.6147, , , 
5,-107621.8602,-221754.1672,5,0,5
5.1,-109258.0933,-221852.0439, ,,5
5.2,-145474.6161,-222120.3479,5.25,0.25,5
5.3,-229650.5472,-223719.0009,5.2501,0.2501,5
5.4,-265677.1896,-226569.6748, , ,5
5.5,-205954.7846,-227435.9118,5.5,0.5,5
5.6,-95341.48256,-227122.2006,5.501,0.501,5
5.7,-10508.26099,-226903.3618,5.75,0.75,5
5.8,-6520.941144,-225090.588,5.7501,0.7501,5
5.9,-101436.9465,-222136.5202, , ,5
6,-207813.2373,-222407.8597,6,0,6
6.1,-200520.1302,-223990.6689, ,,6
6.2,51724.33917,-227154.6625,6.25,0.25,6
6.3,439095.68,-255287.3652,6.2501,0.2501,6
6.4,622780.1124,-285201.8748, , ,6
6.5,509815.1224,-275376.6094,6.5,0.5,6
6.6,262938.5054,-247818.3657,6.501,0.501,6
6.7,139419.1523,-233931.6844,6.75,0.75,6
6.8,230908.8908,-236308.9881,6.7501,0.7501,6
6.9,398493.7139,-250631.6541, , ,6
7,466397.901,-260794.6602,7,0,7
7.1,370258.2533,-252116.4843, ,, 
7.2,82479.17291,-229793.6441,7.25,0.25,7
7.3,-272959.4618,-223542.7142,7.2501,0.2501,7
7.4,-474304.3569,-237090.7564, , , 
7.5,-430288.5127,-243036.7294,7.5,0.5,7
7.6,-170123.5538,-237544.5861,7.501,0.501,7
7.7,237457.512,-246544.941,7.75,0.75,7
7.8,587588.4923,-283103.091,7.7501,0.7501,7
7.9,655243.6204,-299623.3552, , , 
8,435594.9609,-272714.0262,8,0,8
8.1,85686.78942,-238890.1308, ,, 
8.2,-224394.7956,-228485.0844,8.25,0.25,8
8.3,-383148.1157,-234362.9011,8.2501,0.2501,8
8.4,-371657.0544,-238427.8022, , , 
8.5,-262405.8095,-236850.3438,8.5,0.5,8
8.6,-149406.01,-233929.0525,8.501,0.501,8
8.7,-96213.00856,-231027.8449,8.75,0.75,8
8.8,-112057.0123,-228065.2911,8.7501,0.7501,8
8.9,-187238.8021,-226580.3527, , , 
9,-227942.6559,-227108.4625,9,0,9
9.1,-67031.13528,-226870.937, ,, 
9.2,253640.5645,-239376.0336,9.25,0.25,9
9.3,530147.3595,-268705.9504,9.2501,0.2501,9
9.4,702894.4255,-300372.0323, , , 
9.5,774267.3765,-322777.8735,9.5,0.5,9
9.6,751092.6923,-326972.2859,9.501,0.501,9
9.7,625636.2441,-309882.2535,9.75,0.75,9
9.8,452312.9852,-282423.2913,9.7501,0.7501,9
9.9,218985.6422,-253412.8925, , , 
10,-76550.26115,-232770.6665,10,0,10
10.1,-303459.9709,-231287.7056, ,, 
10.2,-392475.1673,-237418.4166,10.25,0.25,10
10.3,-351303.3169,-239460.6199,10.2501,0.2501,10
10.4,148442.4142,-241189.277, , , 
10.5,942789.1783,-348457.7498,10.5,0.5,10
10.6,1354425.026,-492798.0579,10.501,0.501,10
10.7,1094537.855,-464254.1425,10.75,0.75,10
10.8,343832.4172,-326666.1365,10.7501,0.7501,10
10.9,-168380.4808,-272452.4648, , , 
11,64557.35435,-259149.8398,11,0,11
11.1,812719.2836,-333242.6018, ,, 
