time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,223607.5349,-2784850.34,0,,
0.2,841560.5458,-2210189.721,0.25,,
0.3,1364709.037,-1948488.536,0.2501,,
0.4,1565864,-1749161.253,,,
0.5,1476522.081,-1480475.647,0.5,,
0.6,1212282.923,-1170121.728,0.501,,
0.7,956698.7731,-906282.8889,0.75,,
0.8,869684.1746,-733695.9054,0.7501,,
0.9,689934.0904,-589797.8854,,,
1,290303.6643,-448301.1384,1,,
1.1,-58353.36709,-360300.134,,,
1.2,-236713.8152,-315251.1765,1.25,,
1.3,-259482.3892,-288354.9376,1.2501,,
1.4,-212626.7679,-269410.8524,,,
1.5,-185985.0241,-255897.0897,1.5,,
1.6,-196895.3339,-246609.6847,1.501,,
1.7,-230250.1969,-240988.3924,1.75,,
1.8,-257536.3728,-238131.2804,1.7501,,
1.9,-244070.3889,-236018.9158,,,
2,-183279.3196,-233436.626,2,0,
2.1,-103168.4336,-230926.7139,,,
2.2,108038.6523,-233109.5211,2.25,0.25,
2.3,459596.1626,-259810.8164,2.2501,0.2501,
2.4,818201.3763,-320230.0185, , ,
2.5,1037680.599,-387015.3595,2.5,0.5,
2.6,1038641.589,-410801.8142,2.501,0.501,
2.7,1004387.863,-415206.4077,2.75,0.75,
2.8,1079010.165,-441892.4392,2.7501,0.7501,
2.9,1202428.302,-488665.5642, , ,
3,1270827.1,-528689.5737,3,0,3
3.1,1250768.016,-540919.3618, ,, 
3.2,1200965.683,-535315.5657,3.25,0.25,3
3.3,1182480.07,-532104.9603,3.2501,0.2501,3
3.4,1134702.051,-519533.3613, , ,3
3.5,1043160.112,-490060.774,3.5,0.5,3
3.6,983480.8807,-464617.8515,3.501,0.501,3
3.7,938568.5351,-443591.2197,3.75,0.75,3
3.8,868808.9119,-417725.6122,3.7501,0.7501,3
3.9,624606.2437,-361428.284, , , 
4,251531.8734,-295682.1229,4,0,4
4.1,21875.86817,-261338.7727, ,,4
4.2,5787.897515,-247043.5359,4.25,0.25,4
4.3,111373.3244,-242335.5426,4.2501,0.2501,4
4.4,230323.625,-243760.1139, , , 
4.5,283804.0198,-244676.5696,4.5,0.5,4
4.6,254620.0978,-240206.556,4.501,0.501,4
4.7,197216.8077,-233866.5109,4.75,0.75,4
4.8,181579.0227,-230887.6554,4.7501,0.7501,4
4.9,282005.6531,-236818.1736, , , 
5,480301.9656,-258117.2217,5,0,5
5.1,669942.8553,-290533.332, ,,5
5.2,766158.8648,-317157.9416,5.25,0.25,5
5.3,740900.6397,-322278.2627,5.2501,0.2501,5
5.4,662770.5162,-312919.5534, , ,5
5.5,638931.774,-308471.6582,5.5,0.5,5
5.6,714014.3565,-320466.7206,5.501,0.501,5
5.7,835310.9974,-347102.1921,5.75,0.75,5
5.8,908960.8276,-371461.3196,5.7501,0.7501,5
5.9,847848.6446,-367980.9778, , ,5
6,676391.9134,-336813.932,6,0,6
6.1,511269.7519,-304183.5561, ,,6
6.2,400745.1596,-280736.3671,6.25,0.25,6
6.3,351189.8683,-266502.9533,6.2501,0.2501,6
6.4,312246.141,-256413.4809, , ,6
6.5,248656.6041,-245918.7719,6.5,0.5,6
6.6,190936.6029,-237536.4842,6.501,0.501,6
6.7,181204.617,-233594.5164,6.75,0.75,6
6.8,213040.1754,-233770.5081,6.7501,0.7501,6
6.9,138983.7764,-228554.5912, , ,6
7,-49036.2406,-220118.1482,7,0,7
7.1,-190686.6409,-219555.608, ,, 
7.2,-211269.9319,-222076.5511,7.25,0.25,7
7.3,-141224.394,-223410.4197,7.2501,0.2501,7
7.4,-51092.20704,-224194.7277, , , 
7.5,-4691.16435,-224209.1755,7.5,0.5,7
7.6,-24620.60742,-222580.7665,7.501,0.501,7
7.7,-73720.50872,-220957.4365,7.75,0.75,7
7.8,-103976.4319,-220642.0194,7.7501,0.7501,7
7.9,-72513.9763,-221207.4658, , , 
8,23124.10019,-223144.2116,8,0,8
8.1,136460.1598,-227262.0325, ,, 
8.2,301427.9105,-238004.043,8.25,0.25,8
8.3,498552.1621,-260752.7451,8.2501,0.2501,8
8.4,664493.8975,-290090.0101, , , 
8.5,751272.1618,-314368.4618,8.5,0.5,8
8.6,731223.1723,-319711.1448,8.501,0.501,8
8.7,693867.8147,-317156.3378,8.75,0.75,8
8.8,700883.3927,-319977.1661,8.7501,0.7501,8
8.9,693640.269,-320717.7759, , , 
9,646510.9815,-313340.5976,9,0,9
9.1,597764.418,-303942.833, ,, 
9.2,563087.4377,-296049.5145,9.25,0.25,9
9.3,530498.8339,-288607.9866,9.2501,0.2501,9
9.4,635105.4458,-300213.4677, , , 
9.5,847923.9206,-342366.5221,9.5,0.5,9
9.6,946644.7644,-376667.1776,9.501,0.501,9
9.7,821103.4007,-362520.5037,9.75,0.75,9
9.8,561552.5968,-316453.3836,9.7501,0.7501,9
9.9,210949.0557,-267981.5835, , , 
10,-114616.3159,-242030.2052,10,0,10
10.1,-215102.1233,-235896.7572, ,, 
10.2,-132293.3,-232683.5056,10.25,0.25,10
10.3,-14245.94261,-231087.7455,10.2501,0.2501,10
10.4,37291.86082,-229385.612, , , 
10.5,12871.31387,-225884.4997,10.5,0.5,10
10.6,-29434.19726,-222918.3012,10.501,0.501,10
10.7,525.4557274,-222485.3711,10.75,0.75,10
10.8,117365.934,-226203.2388,10.7501,0.7501,10
10.9,274322.0958,-235908.4663, , , 
11,390815.3962,-247946.5838,11,0,11
11.1,399198.0687,-251037.0046, ,, 
11.2,367120.6888,-248390.5394,11.25,0.25,11
11.3,380927.4457,-249743.395,11.2501,0.2501,11
11.4,479741.8805,-261411.6359, , , 
11.5,619331.1614,-284206.5277,11.5,0.5,11
11.6,709388.886,-305796.3014,11.501,0.501,11
11.7,799357.1772,-329481.3913,11.75,0.75,11
11.8,910921.1128,-362497.89,11.7501,0.7501,11
11.9,945498.1836,-383504.7927, , , 
12,858510.8366,-374222.0249,12,0,12
12.1,699979.1878,-344115.0056, ,, 
12.2,510223.4487,-307549.5036,12.25,0.25,12
12.3,347632.4994,-277090.4662,12.2501,0.2501,12
12.4,249610.5627,-257762.5295, , , 
12.5,214047.097,-246938.3007,12.5,0.5,12
12.6,229329.1601,-242535.3045,12.501,0.501,12
12.7,199610.6501,-237295.4287,12.75,0.75,12
12.8,90256.55663,-228300.4389,12.7501,0.7501,12
12.9,-114551.4728,-221238.3522, , , 
13,-332702.5442,-225466.8491,13,0,13
13.1,-406525.5353,-234337.4405, ,, 
13.2,-335565.8041,-236578.8241,13.25,0.25,13
13.3,-220138.9942,-234710.6848,13.2501,0.2501,13
13.4,-155077.6512,-232315.5644, , , 
13.5,-169471.77,-230033.9064,13.5,0.5,13
13.6,-227391.4853,-229386.233,13.501,0.501,13
13.7,-275755.7825,-230759.3022,13.75,0.75,13
13.8,-285677.7084,-232339.9053,13.7501,0.7501,13
13.9,-261298.2786,-232733.3069, , , 
14,-227833.6184,-232106.2442,14,0,14
14.1,-209558.9305,-231129.1075, ,, 
14.2,-145973.7265,-229447.2913,14.25,0.25,14
14.3,18693.0858,-229678.9164,14.2501,0.2501,14
14.4,283952.5635,-241727.6541, , , 
14.5,536941.125,-269776.9598,14.5,0.5,14
14.6,643862.933,-291138.4125,14.501,0.501,14
14.7,667304.1002,-300696.6901,14.75,0.75,14
14.8,690721.9936,-309324.2949,14.7501,0.7501,14
14.9,699813.2463,-315214.8534, , , 
15,682413.9476,-315269.7766,15,0,15
15.1,656351.205,-312073.6516, ,, 
15.2,615204.6092,-305393.1846,15.25,0.25,15
15.3,562937.5065,-295715.546,15.2501,0.2501,15
15.4,550296.4987,-290787.2335, , , 
15.5,581902.076,-293387.8499,15.5,0.5,15
15.6,610737.9552,-297675.2239,15.501,0.501,15
15.7,622327.5792,-300211.8312,15.75,0.75,15
15.8,615128.8718,-299974.4336,15.7501,0.7501,15
15.9,367490.8962,-269196.9026, , , 
16,-83448.71475,-235150.5594,16,0,16
16.1,-379794.2068,-236044.8381, ,, 
16.2,-418543.2918,-242204.2788,16.25,0.25,16
16.3,-299408.4902,-240338.1495,16.2501,0.2501,16
16.4,-165234.7159,-236520.9352, , , 
16.5,-116261.0735,-232955.1139,16.5,0.5,16
16.6,-156172.0455,-229752.8846,16.501,0.501,16
16.7,-220570.8423,-228821.9909,16.75,0.75,16
16.8,-244527.8433,-229435.9318,16.7501,0.7501,16
16.9,-173119.3575,-228756.2933, , , 
17,-23167.01375,-228623.0181,17,0,17
17.1,122645.6293,-231490.7703, ,, 
17.2,262800.056,-238358.5559,17.25,0.25,17
17.3,399976.6395,-250814.7554,17.2501,0.2501,17
17.4,527737.5521,-268020.1494, , , 
17.5,618067.8257,-285728.3178,17.5,0.5,17
17.6,631657.1629,-293483.3939,17.501,0.501,17
17.7,562271.3255,-286833.9286,17.75,0.75,17
17.8,446397.5152,-271168.498,17.7501,0.7501,17
17.9,319230.7542,-254393.4167, , , 
