time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,143406.6483,-2767124.583,0,,
0.2,398992.8315,-2048516.71,0.25,,
0.3,467624.139,-1515302.868,0.2501,,
0.4,381074.4868,-1115111.01,,,
0.5,214464.7779,-824531.6433,0.5,,
0.6,32938.44547,-623337.7063,0.501,,
0.7,-171030.5203,-490721.8115,0.75,,
0.8,-355261.423,-410375.3801,0.7501,,
0.9,-300055.0153,-354526.2895,,,
1,89700.16992,-317381.9117,1,,
1.1,678451.9586,-349364.8032,,,
1.2,942787.7882,-399703.786,1.25,,
1.3,608526.7047,-340592.3539,1.2501,,
1.4,-74096.09122,-266312.0111,,,
1.5,-634014.4526,-276204.4752,1.5,,
1.6,-748709.9894,-299010.3227,1.501,,
1.7,-495390.5268,-283411.1261,1.75,,
1.8,-146195.1488,-263869.9193,1.7501,,
1.9,36475.48283,-254405.1002,,,
2,268299.6218,-255921.8313,2,0,
2.1,1229077.212,-420589.1425,,,
2.2,2020648.054,-814394.4965,2.25,0.25,
2.3,1876102.258,-890643.0692,2.2501,0.2501,
2.4,973225.6942,-606096.5038, , ,
2.5,-306088.4342,-403225.7242,2.5,0.5,
2.6,-1068190.026,-443020.9909,2.501,0.501,
2.7,-1036162.24,-446527.1822,2.75,0.75,
2.8,-509120.1097,-370071.7595,2.7501,0.7501,
2.9,74833.89774,-325606.6833, , ,
3,352870.7999,-313928.9065,3,0,3
3.1,247760.4049,-284067.2563, ,, 
3.2,-76268.9516,-252373.8243,3.25,0.25,3
3.3,-368029.9519,-247118.085,3.2501,0.2501,3
3.4,-434148.5026,-250701.2672, , ,3
3.5,-276876.9434,-245117.5984,3.5,0.5,3
3.6,-51313.01385,-239978.8718,3.501,0.501,3
3.7,86707.12812,-238350.4315,3.75,0.75,3
3.8,77899.89006,-233134.5371,3.7501,0.7501,3
3.9,-53302.21594,-225603.7844, , , 
4,-213742.71,-223822.1552,4,0,4
4.1,-303874.2187,-227698.8229, ,,4
