Time,value
20130114:1107,278463.5
20130114:1207,246858.5
20130114:1307,195716.5
20130114:1407,121793
20130114:1507,40544
20130114:1607,0
20130114:1707,0
20130114:1807,0
20130114:1907,0
20130114:2007,0
20130114:2107,0
20130114:2207,0
20130114:2307,0
20130115:0007,0
20130115:0107,0
20130115:0207,0
20130115:0307,0
20130115:0407,0
20130115:0507,10738
20130115:0607,124568.5
20130115:0707,186767
20130115:0807,242263
20130115:0907,273476
20130115:1007,283003
20130115:1107,271848.5
20130115:1207,240779
20130115:1307,191331
20130115:1407,117127.5
20130115:1507,38339
20130115:1607,0
20130115:1707,0
20130115:1807,0
20130115:1907,0
20130115:2007,0
20130115:2107,0
20130115:2207,0
20130115:2307,0
20130116:0007,0
20130116:0107,0
20130116:0207,0
20130116:0307,0
20130116:0407,0
20130116:0507,9009
20130116:0607,110537
20130116:0707,180446
20130116:0807,237219.5
20130116:0907,270672.5
20130116:1007,281512
20130116:1107,268782.5
20130116:1207,236705
20130116:1307,189969.5
20130116:1407,117012
20130116:1507,39098.5
20130116:1607,0
20130116:1707,0
20130116:1807,0
20130116:1907,0
20130116:2007,0
20130116:2107,0
20130116:2207,0
20130116:2307,0
20130117:0007,0
20130117:0107,0
20130117:0207,0
20130117:0307,0
20130117:0407,0
20130117:0507,8911
20130117:0607,108178
20130117:0707,177495.5
20130117:0807,238546
20130117:0907,270287.5
20130117:1007,281949.5
20130117:1107,271460
20130117:1207,239813
20130117:1307,193105.5
20130117:1407,121723
20130117:1507,43039.5
20130117:1607,0
20130117:1707,0
20130117:1807,0
20130117:1907,0
20130117:2007,0
20130117:2107,0
20130117:2207,0
20130117:2307,0
20130118:0007,0
20130118:0107,0
20130118:0207,0
20130118:0307,0
20130118:0407,0
20130118:0507,8606.5
20130118:0607,107775.5
20130118:0707,174912.5
20130118:0807,234619
20130118:0907,265426
20130118:1007,275723
20130118:1107,266024.5
20130118:1207,234143
20130118:1307,189917
20130118:1407,118653.5
20130118:1507,53693.5
20130118:1607,0
20130118:1707,0
20130118:1807,0
20130118:1907,0
20130118:2007,0
20130118:2107,0
20130118:2207,0
20130118:2307,0
20130119:0007,0
20130119:0107,0
20130119:0207,0
20130119:0307,0
20130119:0407,0
20130119:0507,8841
20130119:0607,105287
20130119:0707,179606
20130119:0807,237363
20130119:0907,268999.5
20130119:1007,282096.5
20130119:1107,272111
20130119:1207,244104
20130119:1307,197491
20130119:1407,126661.5
20130119:1507,47481
20130119:1607,0
20130119:1707,0
20130119:1807,0
20130119:1907,0
20130119:2007,0
20130119:2107,0
20130119:2207,0
20130119:2307,0
20130120:0007,0
20130120:0107,0
20130120:0207,0
20130120:0307,0
20130120:0407,0
20130120:0507,8697.5
20130120:0607,111244
20130120:0707,180068
20130120:0807,229950
20130120:0907,262454.5
20130120:1007,279639.5
20130120:1107,271918.5
20130120:1207,239624
20130120:1307,179539.5
20130120:1407,142198
20130120:1507,43393
20130120:1607,0
20130120:1707,0
20130120:1807,0
20130120:1907,0
20130120:2007,0
20130120:2107,0
20130120:2207,0
20130120:2307,0
20130121:0007,0
20130121:0107,0
20130121:0207,0
20130121:0307,0
20130121:0407,0
20130121:0507,7878.5
20130121:0607,106890
20130121:0707,194544
20130121:0807,13198.5
20130121:0907,263011
20130121:1007,286541.5
20130121:1107,270882.5
20130121:1207,245325.5
20130121:1307,201582.5
20130121:1407,140805
20130121:1507,37761.5
20130121:1607,0
20130121:1707,0
20130121:1807,0
20130121:1907,0
20130121:2007,0
20130121:2107,0
20130121:2207,0
20130121:2307,0
20130122:0007,0
20130122:0107,0
20130122:0207,0
20130122:0307,0
20130122:0407,0
20130122:0507,8603
20130122:0607,107429
20130122:0707,176305.5
20130122:0807,232106
20130122:0907,264897.5
20130122:1007,279128.5
20130122:1107,269948
20130122:1207,241479
20130122:1307,211869
20130122:1407,139317.5
20130122:1507,49063
20130122:1607,0
20130122:1707,0
20130122:1807,0
20130122:1907,0
20130122:2007,0
20130122:2107,0
20130122:2207,0
20130122:2307,0
20130123:0007,0
20130123:0107,0
20130123:0207,0
20130123:0307,0
20130123:0407,0
20130123:0507,8799
20130123:0607,112017.5
20130123:0707,180852
20130123:0807,237657
20130123:0907,271677
20130123:1007,283878
20130123:1107,289383.5
20130123:1207,261684.5
20130123:1307,212247
20130123:1407,138638.5
20130123:1507,55524
20130123:1607,0
20130123:1707,0
20130123:1807,0
20130123:1907,0
20130123:2007,0
20130123:2107,0
20130123:2207,0
20130123:2307,0
20130124:0007,0
20130124:0107,0
20130124:0207,0
20130124:0307,0
20130124:0407,0
20130124:0507,9768.5
20130124:0607,115507
20130124:0707,184926
20130124:0807,246193.5
20130124:0907,276990
20130124:1007,290293.5
20130124:1107,281340.5
20130124:1207,256620
20130124:1307,208092.5
20130124:1407,135310
20130124:1507,53725
20130124:1607,0
20130124:1707,0
20130124:1807,0
20130124:1907,0
20130124:2007,0
20130124:2107,0
20130124:2207,0
20130124:2307,0
20130125:0007,0
20130125:0107,0
20130125:0207,0
20130125:0307,0
20130125:0407,0
20130125:0507,9072
20130125:0607,108895.5
20130125:0707,173929
20130125:0807,232960
20130125:0907,260361.5
20130125:1007,269920
20130125:1107,263641
20130125:1207,236873
20130125:1307,188156.5
20130125:1407,143717
20130125:1507,32354
20130125:1607,0
20130125:1707,0
20130125:1807,0
20130125:1907,0
20130125:2007,0
20130125:2107,0
20130125:2207,0
20130125:2307,0
20130126:0007,0
20130126:0107,0
20130126:0207,0
20130126:0307,0
20130126:0407,0
20130126:0507,9030
20130126:0607,110474
20130126:0707,178181.5
20130126:0807,234640
20130126:0907,267179.5
20130126:1007,278722.5
20130126:1107,270952.5
20130126:1207,246001
20130126:1307,203987
20130126:1407,134662.5
20130126:1507,55520.5
20130126:1607,0
20130126:1707,0
20130126:1807,0
20130126:1907,0
20130126:2007,0
20130126:2107,0
20130126:2207,0
20130126:2307,0
20130127:0007,0
20130127:0107,0
20130127:0207,0
20130127:0307,0
20130127:0407,0
20130127:0507,9205
20130127:0607,109637.5
20130127:0707,177831.5
20130127:0807,234234
20130127:0907,264617.5
20130127:1007,276605
20130127:1107,270438
20130127:1207,243715.5
20130127:1307,203745.5
20130127:1407,134841
20130127:1507,54733
20130127:1607,0
20130127:1707,0
20130127:1807,0
20130127:1907,0
20130127:2007,0
20130127:2107,0
20130127:2207,0
20130127:2307,0
20130128:0007,0
20130128:0107,0
20130128:0207,0
20130128:0307,0
20130128:0407,0
20130128:0507,8708
20130128:0607,109207
20130128:0707,158739
20130128:0807,186655
20130128:0907,211074.5
20130128:1007,141624
20130128:1107,255864
20130128:1207,247681
20130128:1307,122097.5
20130128:1407,102627
20130128:1507,33141.5
20130128:1607,0
20130128:1707,0
20130128:1807,0
20130128:1907,0
20130128:2007,0
20130128:2107,0
20130128:2207,0
20130128:2307,0
20130129:0007,0
20130129:0107,0
20130129:0207,0
20130129:0307,0
20130129:0407,0
20130129:0507,6653.5
20130129:0607,78732.5
20130129:0707,144819.5
20130129:0807,213647
20130129:0907,260872.5
20130129:1007,275275
20130129:1107,278463.5
20130129:1207,258314
20130129:1307,216790
20130129:1407,140913.5
20130129:1507,53070.5
20130129:1607,0
20130129:1707,0
20130129:1807,0
20130129:1907,0
20130129:2007,0
20130129:2107,0
20130129:2207,0
20130129:2307,0
20130130:0007,0
20130130:0107,0
20130130:0207,0
20130130:0307,0
20130130:0407,0
20130130:0507,4641
20130130:0607,103337.5
20130130:0707,180355
20130130:0807,243701.5
20130130:0907,280602
20130130:1007,295221.5
20130130:1107,290769.5
20130130:1207,265251
20130130:1307,220993.5
20130130:1407,147504
20130130:1507,61400.5
20130130:1607,0
20130130:1707,0
20130130:1807,0
20130130:1907,0
20130130:2007,0
20130130:2107,0
20130130:2207,0
20130130:2307,0
20130131:0007,0
20130131:0107,0
20130131:0207,0
20130131:0307,0
20130131:0407,0
20130131:0507,4182.5
20130131:0607,103754
20130131:0707,182780.5
20130131:0807,249466
20130131:0907,288067.5
20130131:1007,304374
20130131:1107,298448.5
20130131:1207,270672.5
20130131:1307,221931.5
20130131:1407,148876
20130131:1507,60868.5
20130131:1607,0
20130131:1707,0
20130131:1807,0
20130131:1907,0
20130131:2007,0
20130131:2107,0
20130131:2207,0
20130131:2307,0
20130201:0007,0
20130201:0107,0
20130201:0207,0
20130201:0307,0
20130201:0407,0
20130201:0507,26859
20130201:0607,116494
20130201:0707,191187.5
20130201:0807,255052
20130201:0907,294693
20130201:1007,300167
20130201:1107,298063.5
20130201:1207,266766.5
20130201:1307,226649.5
20130201:1407,145323.5
20130201:1507,64018.5
20130201:1607,0
20130201:1707,0
20130201:1807,0
20130201:1907,0
20130201:2007,0
20130201:2107,0
20130201:2207,0
20130201:2307,0
20130202:0007,0
20130202:0107,0
20130202:0207,0
20130202:0307,0
20130202:0407,0
20130202:0507,25952.5
20130202:0607,119115.5
20130202:0707,197526
20130202:0807,254702
20130202:0907,292792.5
20130202:1007,303320.5
20130202:1107,296754.5
20130202:1207,268800
20130202:1307,222540.5
20130202:1407,150311
20130202:1507,64449
20130202:1607,0
20130202:1707,0
20130202:1807,0
20130202:1907,0
20130202:2007,0
20130202:2107,0
20130202:2207,0
20130202:2307,0
20130203:0007,0
20130203:0107,0
20130203:0207,0
20130203:0307,0
20130203:0407,0
20130203:0507,25914
20130203:0607,116872
20130203:0707,197151.5
20130203:0807,252861
20130203:0907,285645.5
20130203:1007,301126
20130203:1107,294749
20130203:1207,267036
20130203:1307,220055.5
20130203:1407,152141.5
20130203:1507,65492
20130203:1607,0
20130203:1707,0
20130203:1807,0
20130203:1907,0
20130203:2007,0
20130203:2107,0
20130203:2207,0
20130203:2307,0
20130204:0007,0
20130204:0107,0
20130204:0207,0
20130204:0307,0
20130204:0407,0
20130204:0507,2985.5
20130204:0607,114079
20130204:0707,190032.5
20130204:0807,243582.5
20130204:0907,276927
20130204:1007,291172
20130204:1107,281848
20130204:1207,257236
20130204:1307,212205
20130204:1407,149845.5
20130204:1507,67326
20130204:1607,0
20130204:1707,0
20130204:1807,0
20130204:1907,0
20130204:2007,0
20130204:2107,0
20130204:2207,0
20130204:2307,0
20130205:0007,0
20130205:0107,0
20130205:0207,0
20130205:0307,0
20130205:0407,0
20130205:0507,24314.5
20130205:0607,111979
20130205:0707,189161
20130205:0807,240205
20130205:0907,273633.5
20130205:1007,286517
20130205:1107,282579.5
20130205:1207,259087.5
20130205:1307,216279
20130205:1407,150647
20130205:1507,66787
20130205:1607,0
20130205:1707,0
20130205:1807,0
20130205:1907,0
20130205:2007,0
20130205:2107,0
20130205:2207,0
20130205:2307,0
20130206:0007,0
20130206:0107,0
20130206:0207,0
20130206:0307,0
20130206:0407,0
20130206:0507,24332
20130206:0607,101843
20130206:0707,174832
20130206:0807,224990.5
20130206:0907,263375
20130206:1007,285365.5
20130206:1107,284749.5
20130206:1207,270256
20130206:1307,222211.5
20130206:1407,149506
20130206:1507,65012.5
20130206:1607,0
20130206:1707,0
20130206:1807,0
20130206:1907,0
20130206:2007,0
20130206:2107,0
20130206:2207,0
20130206:2307,0
20130207:0007,0
20130207:0107,0
20130207:0207,0
20130207:0307,0
20130207:0407,0
20130207:0507,22225
20130207:0607,111009.5
20130207:0707,190589
20130207:0807,250953.5
20130207:0907,286846
20130207:1007,302928.5
20130207:1107,297006.5
20130207:1207,272685
20130207:1307,222834.5
20130207:1407,154997.5
20130207:1507,68512.5
20130207:1607,0
20130207:1707,0
20130207:1807,0
20130207:1907,0
20130207:2007,0
20130207:2107,0
20130207:2207,0
20130207:2307,0
20130208:0007,0
20130208:0107,0
20130208:0207,0
20130208:0307,0
20130208:0407,0
20130208:0507,23765
20130208:0607,114044
20130208:0707,191145.5
20130208:0807,246848
20130208:0907,282502.5
20130208:1007,293510
20130208:1107,285183.5
20130208:1207,260144.5
20130208:1307,213598
20130208:1407,148183
20130208:1507,63920.5
20130208:1607,0
20130208:1707,0
20130208:1807,0
20130208:1907,0
20130208:2007,0
20130208:2107,0
20130208:2207,0
20130208:2307,0
20130209:0007,0
20130209:0107,0
20130209:0207,0
20130209:0307,0
20130209:0407,0
20130209:0507,25273.5
20130209:0607,113550.5
20130209:0707,192668
20130209:0807,251394.5
20130209:0907,285047
20130209:1007,300706
20130209:1107,291508
20130209:1207,267697.5
20130209:1307,217822.5
20130209:1407,149467.5
20130209:1507,64246
20130209:1607,0
20130209:1707,0
20130209:1807,0
20130209:1907,0
20130209:2007,0
20130209:2107,0
20130209:2207,0
20130209:2307,0
20130210:0007,0
20130210:0107,0
20130210:0207,0
20130210:0307,0
20130210:0407,0
20130210:0507,23824.5
20130210:0607,111408.5
20130210:0707,187537
20130210:0807,243201
20130210:0907,273668.5
20130210:1007,288767.5
20130210:1107,277819.5
20130210:1207,250519.5
20130210:1307,204585.5
20130210:1407,138243
20130210:1507,57589
20130210:1607,0
20130210:1707,0
20130210:1807,0
20130210:1907,0
20130210:2007,0
20130210:2107,0
20130210:2207,0
20130210:2307,0
20130211:0007,0
20130211:0107,0
20130211:0207,0
20130211:0307,0
20130211:0407,0
20130211:0507,23845.5
20130211:0607,108363.5
20130211:0707,185839.5
20130211:0807,240079
20130211:0907,273203
20130211:1007,285288.5
20130211:1107,280105
20130211:1207,244758.5
20130211:1307,205016
20130211:1407,132496
20130211:1507,56192.5
20130211:1607,0
20130211:1707,0
20130211:1807,0
20130211:1907,0
20130211:2007,0
20130211:2107,0
20130211:2207,0
20130211:2307,0
20130212:0007,0
20130212:0107,0
20130212:0207,0
20130212:0307,0
20130212:0407,0
20130212:0507,24738
20130212:0607,114128
20130212:0707,190452.5
20130212:0807,246207.5
20130212:0907,277980.5
20130212:1007,293398
20130212:1107,282331
20130212:1207,252703.5
20130212:1307,202965
20130212:1407,141393
20130212:1507,59801
20130212:1607,0
20130212:1707,0
20130212:1807,0
20130212:1907,0
20130212:2007,0
20130212:2107,0
20130212:2207,0
20130212:2307,0
20130213:0007,0
20130213:0107,0
20130213:0207,0
20130213:0307,0
20130213:0407,0
20130213:0507,25613
20130213:0607,113624
20130213:0707,187344.5
20130213:0807,244510
20130213:0907,278964
20130213:1007,292701.5
20130213:1107,281652
20130213:1207,255636.5
20130213:1307,210080.5
20130213:1407,144942
20130213:1507,63497
20130213:1607,0
20130213:1707,0
20130213:1807,0
20130213:1907,0
20130213:2007,0
20130213:2107,0
20130213:2207,0
20130213:2307,0
20130214:0007,0
20130214:0107,0
20130214:0207,0
20130214:0307,0
20130214:0407,0
20130214:0507,25473
20130214:0607,116357.5
20130214:0707,192727.5
20130214:0807,246557.5
20130214:0907,279783
20130214:1007,293482
20130214:1107,285061
20130214:1207,259864.5
20130214:1307,213279.5
20130214:1407,147381.5
20130214:1507,70577.5
20130214:1607,0
20130214:1707,0
20130214:1807,0
20130214:1907,0
20130214:2007,0
20130214:2107,0
20130214:2207,0
20130214:2307,0
20130215:0007,0
20130215:0107,0
20130215:0207,0
20130215:0307,0
20130215:0407,0
20130215:0507,24871
20130215:0607,116949
20130215:0707,196045.5
20130215:0807,250869.5
20130215:0907,284742.5
20130215:1007,297636.5
20130215:1107,290573.5
20130215:1207,261257.5
20130215:1307,213626
20130215:1407,148578.5
20130215:1507,65688
20130215:1607,0
20130215:1707,0
20130215:1807,0
20130215:1907,0
20130215:2007,0
20130215:2107,0
20130215:2207,0
20130215:2307,0
20130216:0007,0
20130216:0107,0
20130216:0207,0
20130216:0307,0
20130216:0407,0
20130216:0507,25872
20130216:0607,113683.5
20130216:0707,191954
20130216:0807,251538
20130216:0907,286331.5
20130216:1007,300310.5
20130216:1107,292537
20130216:1207,263805.5
20130216:1307,215166
20130216:1407,148655.5
20130216:1507,65485
20130216:1607,0
20130216:1707,0
20130216:1807,0
20130216:1907,0
20130216:2007,0
20130216:2107,0
20130216:2207,0
20130216:2307,0
20130217:0007,0
20130217:0107,0
20130217:0207,0
20130217:0307,0
20130217:0407,0
20130217:0507,25175.5
20130217:0607,112770
20130217:0707,192332
20130217:0807,248244.5
20130217:0907,284007.5
20130217:1007,297461.5
20130217:1107,291004
20130217:1207,263669
20130217:1307,214560.5
20130217:1407,150692.5
20130217:1507,65243.5
20130217:1607,0
20130217:1707,0
20130217:1807,0
20130217:1907,0
20130217:2007,0
20130217:2107,0
20130217:2207,0
20130217:2307,0
20130218:0007,0
20130218:0107,0
20130218:0207,0
20130218:0307,0
20130218:0407,0
20130218:0507,27674.5
20130218:0607,117488
20130218:0707,194796
20130218:0807,247877
20130218:0907,282681
20130218:1007,297990
20130218:1107,288645
20130218:1207,260477
20130218:1307,223930
20130218:1407,145946.5
20130218:1507,61355
20130218:1607,0
20130218:1707,0
20130218:1807,0
20130218:1907,0
20130218:2007,0
20130218:2107,0
20130218:2207,0
20130218:2307,0
20130219:0007,0
20130219:0107,0
20130219:0207,0
20130219:0307,0
20130219:0407,0
20130219:0507,24094
20130219:0607,111842.5
20130219:0707,120463
20130219:0807,251562.5
20130219:0907,289460.5
20130219:1007,307527.5
20130219:1107,294819
20130219:1207,269290
20130219:1307,195667.5
20130219:1407,142544.5
20130219:1507,34923
20130219:1607,0
20130219:1707,0
20130219:1807,0
20130219:1907,0
20130219:2007,0
20130219:2107,0
20130219:2207,0
20130219:2307,0
20130220:0007,0
20130220:0107,0
20130220:0207,0
20130220:0307,0
20130220:0407,0
20130220:0507,29981
20130220:0607,117610.5
20130220:0707,195496
20130220:0807,253302
20130220:0907,287787.5
20130220:1007,301791
20130220:1107,292355
20130220:1207,258930
20130220:1307,212635.5
20130220:1407,153030.5
20130220:1507,64774.5
20130220:1607,0
20130220:1707,0
20130220:1807,0
20130220:1907,0
20130220:2007,0
20130220:2107,0
20130220:2207,0
20130220:2307,0
20130221:0007,0
20130221:0107,0
20130221:0207,0
20130221:0307,0
20130221:0407,0
20130221:0507,29452.5
20130221:0607,114387
20130221:0707,193046
20130221:0807,247485
20130221:0907,278176.5
20130221:1007,291753
20130221:1107,278050.5
20130221:1207,246928.5
20130221:1307,199577
20130221:1407,138463.5
20130221:1507,61890.5
20130221:1607,0
20130221:1707,0
20130221:1807,0
20130221:1907,0
20130221:2007,0
20130221:2107,0
20130221:2207,0
20130221:2307,0
20130222:0007,0
20130222:0107,0
20130222:0207,0
20130222:0307,0
20130222:0407,0
20130222:0507,29323
20130222:0607,114667
20130222:0707,188370
20130222:0807,237688.5
20130222:0907,268026.5
20130222:1007,280476
20130222:1107,270585
20130222:1207,242508
20130222:1307,198089.5
20130222:1407,139989.5
20130222:1507,59881.5
20130222:1607,0
20130222:1707,0
20130222:1807,0
20130222:1907,0
20130222:2007,0
20130222:2107,0
20130222:2207,0
20130222:2307,0
20130223:0007,0
20130223:0107,0
20130223:0207,0
20130223:0307,0
20130223:0407,0
20130223:0507,29253
20130223:0607,117341
20130223:0707,193179
20130223:0807,248846.5
20130223:0907,286307
20130223:1007,299477.5
20130223:1107,294227.5
20130223:1207,269157
20130223:1307,221399.5
20130223:1407,152404
20130223:1507,66734.5
20130223:1607,0
20130223:1707,0
20130223:1807,0
20130223:1907,0
20130223:2007,0
20130223:2107,0
20130223:2207,0
20130223:2307,0
20130224:0007,0
20130224:0107,0
20130224:0207,0
20130224:0307,0
20130224:0407,0
20130224:0507,25865
20130224:0607,110145
20130224:0707,191005.5
20130224:0807,249511.5
20130224:0907,286979
20130224:1007,302984.5
20130224:1107,296929.5
20130224:1207,269461.5
20130224:1307,219947
20130224:1407,151172
20130224:1507,67669
20130224:1607,0
20130224:1707,0
20130224:1807,0
20130224:1907,0
20130224:2007,0
20130224:2107,0
20130224:2207,0
20130224:2307,0
20130225:0007,0
20130225:0107,0
20130225:0207,0
20130225:0307,0
20130225:0407,0
20130225:0507,25130
20130225:0607,108349.5
20130225:0707,189133
20130225:0807,245864.5
20130225:0907,285096
