Time,value
20130115:0107,0
20130115:0207,0
20130115:0307,0
20130115:0407,0
20130115:0507,19425
20130115:0607,175685
20130115:0707,264530
20130115:0807,350000
20130115:0907,389875
20130115:1007,403385
20130115:1107,387665
20130115:1207,346190
20130115:1307,273925
20130115:1407,177885
20130115:1507,57490
20130115:1607,0
20130115:1707,0
20130115:1807,0
20130115:1907,0
20130115:2007,0
20130115:2107,0
20130115:2207,0
20130115:2307,0
20130116:0007,0
20130116:0107,0
20130116:0207,0
20130116:0307,0
20130116:0407,0
20130116:0507,14965
20130116:0607,159285
20130116:0707,258265
20130116:0807,338745
20130116:0907,386025
20130116:1007,396850
20130116:1107,383855
20130116:1207,340820
20130116:1307,272225
20130116:1407,177370
20130116:1507,60255
20130116:1607,0
20130116:1707,0
20130116:1807,0
20130116:1907,0
20130116:2007,0
20130116:2107,0
20130116:2207,0
20130116:2307,0
20130117:0007,0
20130117:0107,0
20130117:0207,0
20130117:0307,0
20130117:0407,0
20130117:0507,14065
20130117:0607,152190
20130117:0707,253335
20130117:0807,335285
20130117:0907,380165
20130117:1007,394265
20130117:1107,384455
20130117:1207,344490
20130117:1307,276335
20130117:1407,182820
20130117:1507,63600
20130117:1607,0
20130117:1707,0
20130117:1807,0
20130117:1907,0
20130117:2007,0
20130117:2107,0
20130117:2207,0
20130117:2307,0
20130118:0007,0
20130118:0107,0
20130118:0207,0
20130118:0307,0
20130118:0407,0
20130118:0507,13615
20130118:0607,154095
20130118:0707,253945
20130118:0807,332975
20130118:0907,376350
20130118:1007,390465
20130118:1107,378695
20130118:1207,337800
20130118:1307,273375
20130118:1407,179760
20130118:1507,68085
20130118:1607,0
20130118:1707,0
20130118:1807,0
20130118:1907,0
20130118:2007,0
20130118:2107,0
20130118:2207,0
20130118:2307,0
20130119:0007,0
20130119:0107,0
20130119:0207,0
20130119:0307,0
20130119:0407,0
20130119:0507,11395
20130119:0607,142400
20130119:0707,254985
20130119:0807,334500
20130119:0907,380520
20130119:1007,394425
20130119:1107,384870
20130119:1207,345235
20130119:1307,281835
20130119:1407,189505
20130119:1507,71630
20130119:1607,0
20130119:1707,0
20130119:1807,0
20130119:1907,0
20130119:2007,0
20130119:2107,0
20130119:2207,0
20130119:2307,0
20130120:0007,0
20130120:0107,0
20130120:0207,0
20130120:0307,0
20130120:0407,0
20130120:0507,14475
20130120:0607,157870
20130120:0707,255860
20130120:0807,326530
20130120:0907,371970
20130120:1007,393390
20130120:1107,379780
20130120:1207,355930
20130120:1307,274270
20130120:1407,185715
20130120:1507,65690
20130120:1607,0
20130120:1707,0
20130120:1807,0
20130120:1907,0
20130120:2007,0
20130120:2107,0
20130120:2207,0
20130120:2307,0
20130121:0007,0
20130121:0107,0
20130121:0207,0
20130121:0307,0
20130121:0407,0
20130121:0507,9765
20130121:0607,148915
20130121:0707,274105
20130121:0807,18820
20130121:0907,374705
20130121:1007,378845
20130121:1107,379685
20130121:1207,346195
20130121:1307,282870
20130121:1407,189765
20130121:1507,76690
20130121:1607,0
20130121:1707,0
20130121:1807,0
20130121:1907,0
20130121:2007,0
20130121:2107,0
20130121:2207,0
20130121:2307,0
20130122:0007,0
20130122:0107,0
20130122:0207,0
20130122:0307,0
20130122:0407,0
20130122:0507,13920
20130122:0607,152680
20130122:0707,248180
20130122:0807,325985
20130122:0907,369405
20130122:1007,384905
20130122:1107,384625
20130122:1207,340635
20130122:1307,277860
20130122:1407,153225
20130122:1507,58220
20130122:1607,0
20130122:1707,0
20130122:1807,0
20130122:1907,0
20130122:2007,0
20130122:2107,0
20130122:2207,0
20130122:2307,0
20130123:0007,0
20130123:0107,0
20130123:0207,0
20130123:0307,0
20130123:0407,0
20130123:0507,14900
20130123:0607,150435
20130123:0707,251580
20130123:0807,333080
20130123:0907,377785
20130123:1007,397435
20130123:1107,406450
20130123:1207,368250
20130123:1307,296385
20130123:1407,200915
20130123:1507,80095
20130123:1607,0
20130123:1707,0
20130123:1807,0
20130123:1907,0
20130123:2007,0
20130123:2107,0
20130123:2207,0
20130123:2307,0
20130124:0007,0
20130124:0107,0
20130124:0207,0
20130124:0307,0
20130124:0407,0
20130124:0507,15945
20130124:0607,160770
20130124:0707,258820
20130124:0807,343460
20130124:0907,390305
20130124:1007,404440
20130124:1107,396075
20130124:1207,358875
20130124:1307,296970
20130124:1407,201675
20130124:1507,79800
20130124:1607,0
20130124:1707,0
20130124:1807,0
20130124:1907,0
20130124:2007,0
20130124:2107,0
20130124:2207,0
20130124:2307,0
20130125:0007,0
20130125:0107,0
20130125:0207,0
20130125:0307,0
20130125:0407,0
20130125:0507,14260
20130125:0607,152065
20130125:0707,249780
20130125:0807,329905
20130125:0907,371495
20130125:1007,384185
20130125:1107,371875
20130125:1207,337475
20130125:1307,272720
20130125:1407,203150
20130125:1507,67665
20130125:1607,0
20130125:1707,0
20130125:1807,0
20130125:1907,0
20130125:2007,0
20130125:2107,0
20130125:2207,0
20130125:2307,0
20130126:0007,0
20130126:0107,0
20130126:0207,0
20130126:0307,0
20130126:0407,0
20130126:0507,8090
20130126:0607,164770
20130126:0707,250360
20130126:0807,328680
20130126:0907,373155
20130126:1007,387245
20130126:1107,376915
20130126:1207,342590
20130126:1307,282810
20130126:1407,198120
20130126:1507,81720
20130126:1607,0
20130126:1707,0
20130126:1807,0
20130126:1907,0
20130126:2007,0
20130126:2107,0
20130126:2207,0
20130126:2307,0
20130127:0007,0
20130127:0107,0
20130127:0207,0
20130127:0307,0
20130127:0407,0
20130127:0507,13420
20130127:0607,155855
20130127:0707,251125
20130127:0807,327970
20130127:0907,374225
20130127:1007,387905
20130127:1107,378855
20130127:1207,342940
20130127:1307,288285
20130127:1407,199230
20130127:1507,82635
20130127:1607,0
20130127:1707,0
20130127:1807,0
20130127:1907,0
20130127:2007,0
20130127:2107,0
20130127:2207,0
20130127:2307,0
20130128:0007,0
20130128:0107,0
20130128:0207,0
20130128:0307,0
20130128:0407,0
20130128:0507,15075
20130128:0607,153700
20130128:0707,252245
20130128:0807,323785
20130128:0907,360375
20130128:1007,406540
20130128:1107,246160
20130128:1207,314105
20130128:1307,261485
20130128:1407,195230
20130128:1507,42835
20130128:1607,0
20130128:1707,0
20130128:1807,0
20130128:1907,0
20130128:2007,0
20130128:2107,0
20130128:2207,0
20130128:2307,0
20130129:0007,0
20130129:0107,0
20130129:0207,0
20130129:0307,0
20130129:0407,0
20130129:0507,12865
20130129:0607,112700
20130129:0707,199330
20130129:0807,290115
20130129:0907,353045
20130129:1007,378350
20130129:1107,380040
20130129:1207,350380
20130129:1307,286490
20130129:1407,198630
20130129:1507,91480
20130129:1607,0
20130129:1707,0
20130129:1807,0
20130129:1907,0
20130129:2007,0
20130129:2107,0
20130129:2207,0
20130129:2307,0
20130130:0007,0
20130130:0107,0
20130130:0207,0
20130130:0307,0
20130130:0407,0
20130130:0507,13280
20130130:0607,143795
20130130:0707,247690
20130130:0807,339280
20130130:0907,390290
20130130:1007,410950
20130130:1107,404465
20130130:1207,367200
20130130:1307,306145
20130130:1407,214500
20130130:1507,95035
20130130:1607,0
20130130:1707,0
20130130:1807,0
20130130:1907,0
20130130:2007,0
20130130:2107,0
20130130:2207,0
20130130:2307,0
20130131:0007,0
20130131:0107,0
20130131:0207,0
20130131:0307,0
20130131:0407,0
20130131:0507,13050
20130131:0607,145350
20130131:0707,256680
20130131:0807,349740
20130131:0907,403885
