Time,value
20130115:0107,0
20130115:0207,0
20130115:0307,0
20130115:0407,0
20130115:0507,11595
20130115:0607,104760
20130115:0707,173298
20130115:0807,205362
20130115:0907,226740
20130115:1007,237936
20130115:1107,227850
20130115:1207,199932
20130115:1307,154392
20130115:1407,95208
20130130:0607,80697
20130130:0707,142353
20130130:0807,197334
20130130:0907,226989
20130130:1007,240684
20130130:1107,234720
20130130:1207,214512
20130130:1307,177789
20130130:1407,115803
20130130:1507,45684
20130130:1607,0
20130130:1707,0
20130130:1807,0
20130130:1907,0
20130130:2007,0
20130130:2107,0
20130130:2207,0
20130130:2307,0
20130131:0007,0
20130131:0107,0
20130131:0207,0
20130131:0307,0
20130131:0407,0
20130131:0507,11433
20130131:0607,91371
20130131:0707,153609
20130131:0807,209544
20130131:0907,242448
20130131:1007,256119
20130131:1107,250023
20130131:1207,226932
20130131:1307,185388
20130131:1407,119541
20130131:1507,47277
20130131:1607,0
20130131:1707,0
20130131:1807,0
20130131:1907,0
20130131:2007,0
20130131:2107,0
20130131:2207,0
20130131:2307,0
20130201:0007,0
20130201:0107,0
20130201:0207,0
20130201:0307,0
20130201:0407,0
20130201:0507,14067
20130201:0607,91539
20130201:0707,165771
20130201:0807,214035
20130201:0907,252144
20130201:1007,253044
20130201:1107,246879
20130201:1207,224169
20130201:1307,183303
20130201:1407,124341
20130201:1507,46944
20130201:1607,0
20130201:1707,0
20130201:1807,0
20130201:1907,0
20130201:2007,0
20130201:2107,0
20130201:2207,0
20130201:2307,0
20130202:0007,0
20130202:0107,0
20130202:0207,0
20130202:0307,0
20130202:0407,0
20130202:0507,26133
20130202:0607,103584
20130202:0707,168954
20130202:0807,215160
20130202:0907,245025
20130202:1007,255192
20130202:1107,247179
20130202:1207,223728
20130202:1307,183153
20130202:1407,121947
20130202:1507,44364
20130202:1607,0
20130202:1707,0
20130202:1807,0
20130202:1907,0
20130202:2007,0
20130202:2107,0
20130202:2207,0
20130202:2307,0
20130203:0007,0
20130203:0107,0
20130203:0207,0
20130203:0307,0
20130203:0407,0
20130203:0507,24666
20130203:0607,100734
20130203:0707,164142
20130203:0807,209229
20130203:0907,238407
20130203:1007,248187
20130203:1107,240297
20130203:1207,219015
20130203:1307,177192
20130203:1407,119250
20130203:1507,47262
20130203:1607,0
20130203:1707,0
20130203:1807,0
20130203:1907,0
20130203:2007,0
20130203:2107,0
20130203:2207,0
20130203:2307,0
20130204:0007,0
20130204:0107,0
20130204:0207,0
20130204:0307,0
20130204:0407,0
20130204:0507,27360
20130204:0607,95289
20130204:0707,159819
20130204:0807,203880
20130204:0907,229557
20130204:1007,238875
20130204:1107,231456
20130204:1207,210216
20130204:1307,173127
20130204:1407,116415
20130204:1507,46977
20130204:1607,0
20130204:1707,0
20130204:1807,0
20130204:1907,0
20130204:2007,0
20130204:2107,0
20130204:2207,0
20130204:2307,0
20130205:0007,0
20130205:0107,0
20130205:0207,0
20130205:0307,0
20130205:0407,0
20130205:0507,24021
20130205:0607,95625
20130205:0707,158622
20130205:0807,200757
20130205:0907,226176
20130205:1007,235722
20130205:1107,230232
20130205:1207,210870
20130205:1307,172863
20130205:1407,115620
20130205:1507,47232
20130205:1607,0
20130205:1707,0
20130205:1807,0
20130205:1907,0
20130205:2007,0
20130205:2107,0
20130205:2207,0
20130205:2307,0
20130206:0007,0
20130206:0107,0
20130206:0207,0
20130206:0307,0
20130206:0407,0
20130206:0507,23529
20130206:0607,98571
20130206:0707,162000
20130206:0807,203670
20130206:0907,226605
20130206:1007,240648
20130206:1107,233394
20130206:1207,210297
20130206:1307,168138
20130206:1407,114384
20130206:1507,49308
20130206:1607,0
20130206:1707,0
20130206:1807,0
20130206:1907,0
20130206:2007,0
20130206:2107,0
20130206:2207,0
20130206:2307,0
20130207:0007,0
20130207:0107,0
20130207:0207,0
20130207:0307,0
20130207:0407,0
20130207:0507,22041
20130207:0607,95676
20130207:0707,161721
20130207:0807,208740
20130207:0907,236544
20130207:1007,248400
20130207:1107,243816
20130207:1207,221733
20130207:1307,184008
20130207:1407,123198
20130207:1507,50925
20130207:1607,0
20130207:1707,0
20130207:1807,0
20130207:1907,0
20130207:2007,0
20130207:2107,0
20130207:2207,0
20130207:2307,0
20130208:0007,0
20130208:0107,0
20130208:0207,0
20130208:0307,0
20130208:0407,0
20130208:0507,24309
20130208:0607,97950
20130208:0707,161568
20130208:0807,204360
20130208:0907,229851
20130208:1007,240654
20130208:1107,234801
20130208:1207,214806
20130208:1307,176409
20130208:1407,119064
20130208:1507,49863
20130208:1607,0
20130208:1707,0
20130208:1807,0
20130208:1907,0
20130208:2007,0
20130208:2107,0
20130208:2207,0
20130208:2307,0
20130209:0007,0
20130209:0107,0
20130209:0207,0
20130209:0307,0
20130209:0407,0
20130209:0507,24561
20130209:0607,99657
20130209:0707,162066
20130209:0807,207507
20130209:0907,233313
20130209:1007,243447
20130209:1107,237624
20130209:1207,216018
20130209:1307,177861
20130209:1407,120609
20130209:1507,49977
20130209:1607,0
20130209:1707,0
20130209:1807,0
20130209:1907,0
20130209:2007,0
20130209:2107,0
20130209:2207,0
20130209:2307,0
20130210:0007,0
20130210:0107,0
20130210:0207,0
20130210:0307,0
20130210:0407,0
20130210:0507,23517
20130210:0607,97245
20130210:0707,159096
20130210:0807,203643
20130210:0907,228813
20130210:1007,238593
20130210:1107,231378
20130210:1207,207957
20130210:1307,169059
20130210:1407,112422
20130210:1507,45309
20130210:1607,0
20130210:1707,0
20130210:1807,0
20130210:1907,0
20130210:2007,0
20130210:2107,0
20130210:2207,0
20130210:2307,0
20130211:0007,0
20130211:0107,0
20130211:0207,0
20130211:0307,0
20130211:0407,0
20130211:0507,25725
20130211:0607,98178
20130211:0707,160431
20130211:0807,202683
20130211:0907,227868
20130211:1007,238443
20130211:1107,230457
20130211:1207,207510
20130211:1307,170682
20130211:1407,110751
20130211:1507,44637
20130211:1607,0
20130211:1707,0
20130211:1807,0
20130211:1907,0
20130211:2007,0
20130211:2107,0
20130211:2207,0
20130211:2307,0
20130212:0007,0
20130212:0107,0
20130212:0207,0
20130212:0307,0
20130212:0407,0
20130212:0507,25665
20130212:0607,98907
20130212:0707,162159
20130212:0807,206715
20130212:0907,232662
20130212:1007,242673
20130212:1107,232296
20130212:1207,210798
20130212:1307,171384
20130212:1407,119055
20130212:1507,50385
20130212:1607,0
20130212:1707,0
20130212:1807,0
20130212:1907,0
20130212:2007,0
20130212:2107,0
20130212:2207,0
20130212:2307,0
20130213:0007,0
20130213:0107,0
20130213:0207,0
20130213:0307,0
20130213:0407,0
20130213:0507,28077
20130213:0607,97560
20130213:0707,160734
20130213:0807,204630
20130213:0907,231672
20130213:1007,245976
20130213:1107,235989
20130213:1207,211983
20130213:1307,171915
20130213:1407,117900
20130213:1507,47124
20130213:1607,0
20130213:1707,0
20130213:1807,0
20130213:1907,0
20130213:2007,0
20130213:2107,0
20130213:2207,0
20130213:2307,0
20130214:0007,0
20130214:0107,0
20130214:0207,0
20130214:0307,0
20130214:0407,0
20130214:0507,28584
20130214:0607,100323
20130214:0707,158637
20130214:0807,197478
20130214:0907,241455
20130214:1007,236853
20130214:1107,230253
20130214:1207,208866
20130214:1307,170700
20130214:1407,117486
20130214:1507,49335
20130214:1607,0
20130214:1707,0
20130214:1807,0
20130214:1907,0
20130214:2007,0
20130214:2107,0
20130214:2207,0
20130214:2307,0
