TimeStamp,wSpeed.100
68.2501,9.62
68.5,10.15
68.501,10.39
68.75,10.21
68.7501,10.04
69,10.22
69.01,10.19
69.25,10.03
69.2501,10.52
69.5,10.48
69.501,10.79
69.75,11.39
69.7501,9.49
70,8.4
70.01,8.33
70.25,8.49
70.2501,8.24
70.5,7.99
70.501,7.8
70.75,7.81
70.7501,7.91
71,7.99
71.01,8.07
71.25,9.06
71.2501,8.7
71.5,8.99
71.501,9.26
71.75,8.73
71.7501,8.12
72,7.8
72.01,8.21
72.25,8.46
72.2501,8.37
72.5,8.05
72.501,7.8
72.75,7.59
72.7501,6.67
73,5.55
73.01,5.95
73.25,5.98
73.2501,6.04
73.5,5.99
73.501,5.57
73.75,5.58
73.7501,6.01
74,6.13
74.01,6.42
74.25,6.3
74.2501,5.84
74.5,7.46
74.501,7.89
74.75,7.75
74.7501,7.4
75,6.76
75.01,6.18
75.25,5.57
75.2501,5.52
75.5,5.7
75.501,5.83
75.75,5.77
75.7501,5
76,4.15
76.01,5.14
76.25,4.95
76.2501,4.43
76.5,4.2
76.501,4.12
76.75,4.34
76.7501,4.43
77,4.43
77.01,4.82
77.25,5.78
77.2501,7.18
77.5,7.28
77.501,6.57
77.75,6.3
77.7501,6.19
78,5.67
78.01,5.09
78.25,4.46
78.2501,4.13
78.5,4.03
78.501,4.05
78.75,4.01
78.7501,3.65
79,2.96
79.01,3.57
79.25,4.11
79.2501,5.49
79.5,6.17
79.501,6.53
79.75,6.63
79.7501,6.51
80,6.58
80.01,6.71
80.25,7.95
80.2501,8.26
80.5,8.04
80.501,8.06
80.75,7.96
80.7501,7.54
81,7.09
81.01,6.83
81.25,6.44
81.2501,6.99
81.5,7.27
81.501,7.92
81.75,8.84
81.7501,6.95
82,6.17
82.01,5.38
82.25,5.31
82.2501,5.08
82.5,4.96
82.501,5.06
82.75,5.58
82.7501,6.75
83,12.49
83.01,11.95
83.25,11.19
83.2501,10.76
83.5,10.92
83.501,10.91
83.75,10.31
83.7501,10.4
84,10.42
84.01,10.48
84.25,10.45
