Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AvgEnergyBought	AvgEnergySold	AvgPriceBought	AverageQVals	StdQVals	LossPi	LossQ	Time
33	48690.516	6218.697	54603.805	11646.433	1000.0	1000.0	131999	[22.50177827]	0.0	19.0	5539.4062	145.87984	-5548.979	5166.977	11758.1067943573
34	49207.48	8369.905	55428.695	8641.187	1000.0	1000.0	135999	[22.50937939]	0.0	19.0	5508.4673	162.53528	-5518.4526	6569.851	12116.66945052147
35	52346.6	7245.5693	46931.926	9546.078	1000.0	1000.0	139999	[22.50937939]	0.0	19.0	5585.044	153.56735	-5600.765	5764.0874	12476.035222053528
36	43598.863	3854.8289	53611.05	8951.846	1000.0	1000.0	143999	[17.78940133]	0.0	19.0	5622.4414	163.62018	-5636.196	6465.265	12829.810992479324
37	53015.45	6326.2256	49023.57	8594.94	1000.0	1000.0	147999	[19.83777319]	0.0	19.0	5728.7393	149.48296	-5746.2534	5878.751	13188.341001033783
38	51834.766	12087.319	47206.312	10371.6	1000.0	1000.0	151999	[26.69661346]	0.0	19.0	5810.1255	146.25423	-5829.4805	5475.192	13549.809705734253
39	39239.594	4670.2075	54016.72	8975.169	1000.0	1000.0	155999	[22.50937939]	0.0	19.0	5908.845	146.63377	-5925.4243	5837.8267	13913.194906711578
40	54700.242	9148.311	54341.77	9948.564	1000.0	1000.0	159999	[22.50937939]	0.0	19.0	5977.6333	144.97287	-5995.786	5570.931	14280.867235183716
41	49234.492	4465.9688	42924.234	4457.3403	1000.0	1000.0	163999	[10.70858607]	0.0	19.0	6056.597	139.44247	-6073.886	5037.7095	14640.088841199875
42	44298.08	3135.4524	41758.55	4783.801	1000.0	1000.0	167999	[10.69934]	0.0	19.0	6001.4067	146.90158	-6008.538	4305.926	15004.509708404541
43	44110.97	3403.8303	41675.75	5568.8984	1000.0	1000.0	171999	[10.95283337]	0.0	19.0	5956.3394	161.56169	-5978.7515	6140.732	15367.31177520752
44	43770.586	5761.4556	39088.97	4708.214	1000.0	1000.0	175999	[10.90994645]	0.0	19.0	6164.1685	162.61887	-6185.715	6872.111	15725.030084133148
45	43867.836	3797.0955	42349.406	5585.6416	1000.0	1000.0	179999	[21.33423138]	0.0	19.0	6121.2734	138.30658	-6132.8687	4115.314	16079.476570606232
46	39773.438	5330.776	39625.555	6347.089	1000.0	1000.0	183999	[16.23280303]	0.0	19.0	6092.018	132.00877	-6109.759	4036.922	16428.346516370773
47	38618.066	6986.158	42392.438	5246.577	1000.0	1000.0	187999	[13.30402756]	0.0	19.0	6099.3574	139.30026	-6111.754	4111.412	16788.592477083206
48	41422.49	5153.49	39400.01	6870.733	1000.0	1000.0	191999	[19.68882615]	0.0	19.0	6036.824	125.66733	-6049.684	3545.914	17148.41353750229
49	38795.613	5776.0376	38577.32	5858.02	1000.0	1000.0	195999	[12.05811058]	0.0	19.0	5992.7456	120.588585	-6007.502	3475.3286	17668.63739514351
50	47588.2	785.2001	40524.95	6884.5376	1000.0	1000.0	199999	[10.46196112]	0.0	19.0	6015.877	123.15883	-6031.1895	3763.3457	18034.243009328842
