time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,152411.4379,-2768875.553,0,,
0.2,447753.8846,-2061192.08,0.25,,
0.3,509076.5753,-1530034.362,0.2501,,
0.4,272101.2425,-1108125.745,,,
0.5,-99939.51971,-810487.2472,0.5,,
0.6,-355923.6895,-627391.1051,0.501,,
0.7,-361201.2064,-505281.6807,0.75,,
0.8,-177442.0459,-415915.5938,0.7501,,
0.9,66342.75214,-358195.9314,,,
1,245404.2339,-325306.0836,1,,
1.1,292328.3834,-300200.6333,,,
1.2,275181.1735,-278776.1343,1.25,,
1.3,278636.1653,-265247.1716,1.2501,,
1.4,353000.8562,-262702.1212,,,
1.5,480297.5006,-272310.1616,1.5,,
1.6,586892.8435,-286758.6892,1.501,,
1.7,660897.3077,-301015.8377,1.75,,
1.8,707535.3889,-313393.9413,1.7501,,
1.9,733737.283,-322635.387,,,
2,752071.2032,-330210.065,2,0,
2.1,763974.6754,-336056.7073,,,
2.2,769186.392,-340051.418,2.25,0.25,
2.3,777881.4835,-343861.7723,2.2501,0.2501,
2.4,1067732.717,-408435.0491, , ,
2.5,1578863.978,-598994.0629,2.5,0.5,
2.6,1900225.508,-820325.4341,2.501,0.501,
2.7,1853281.857,-901656.2976,2.75,0.75,
2.8,1508391.892,-800790.0006,2.7501,0.7501,
2.9,792813.8987,-568981.6015, , ,
3,-83865.82185,-399466.3126,3,0,3
3.1,-527399.8961,-357237.8461, ,, 
3.2,-429689.7634,-323909.5787,3.25,0.25,3
3.3,-73312.08197,-292091.4625,3.2501,0.2501,3
3.4,162128.0594,-278511.1426, , ,3
3.5,101664.469,-259144.3048,3.5,0.5,3
3.6,-138618.2345,-241205.9502,3.501,0.501,3
3.7,-354880.3402,-240476.6918,3.75,0.75,3
3.8,-419748.1073,-245318.0571,3.7501,0.7501,3
3.9,-332219.0422,-243763.8441, , , 
4,-190784.8343,-239061.3478,4,0,4
4.1,-101457.8878,-234994.1676, ,,4
4.2,-78453.9959,-231065.5238,4.25,0.25,4
4.3,-96005.89816,-227781.0441,4.2501,0.2501,4
4.4,-138454.0277,-225719.3905, , , 
4.5,-164879.7664,-225081.8801,4.5,0.5,4
4.6,-142130.7095,-224916.0435,4.501,0.501,4
