time,p:1,q :1,,,
12.9,38123.68042,-225425.9785, , , 
13,28947.35357,-223805.4548,13,0,13
13.1,-44244.41897,-220896.5522, ,, 
13.2,-93701.11896,-219897.8786,13.25,0.25,13
13.3,-30000.95299,-221076.873,13.2501,0.2501,13
13.4,264609.0302,-234748.5686, , , 
13.5,691327.9491,-289555.8438,13.5,0.5,13
13.6,983238.6812,-362765.9079,13.501,0.501,13
13.7,1009846.46,-393600.915,13.75,0.75,13
13.8,826929.3955,-367380.1939,13.7501,0.7501,13
13.9,592483.6928,-323592.5047, , , 
14,458250.3207,-294230.2599,14,0,14
14.1,483228.3043,-287167.3068, ,, 
14.2,600322.2659,-298220.9936,14.25,0.25,14
14.3,723728.5271,-319044.7574,14.2501,0.2501,14
14.4,889476.6412,-356229.3681, , , 
14.5,1075095.333,-413395.9886,14.5,0.5,14
14.6,1171233.157,-461030.8073,14.501,0.501,14
14.7,1025604.502,-443856.4986,14.75,0.75,14
14.8,605262.2331,-357843.4846,14.7501,0.7501,14
14.9,50573.44024,-281898.1974, , , 
15,-328544.0565,-261128.3859,15,0,15
15.1,-294356.6839,-253057.56, ,, 
15.2,-1010.75591,-246097.9841,15.25,0.25,15
15.3,229650.3411,-250132.5931,15.2501,0.2501,15
15.4,172340.2414,-241542.0434, , , 
15.5,-110146.5139,-226848.4468,15.5,0.5,15
15.6,-370992.0765,-230800.1697,15.501,0.501,15
15.7,-444060.6951,-240289.6158,15.75,0.75,15
15.8,-333360.5044,-240200.7061,15.7501,0.7501,15
15.9,-144451.3232,-236163.784, , , 
16,264.2074397,-234144.0228,16,0,16
16.1,34777.69195,-231039.2444, ,, 
16.2,-27874.98991,-226048.1016,16.25,0.25,16
16.3,-96891.49497,-223000.7839,16.2501,0.2501,16
16.4,531.3098756,-223658.9629, , , 
16.5,240029.5935,-234813.3524,16.5,0.5,16
16.6,424001.4977,-252685.1748,16.501,0.501,16
16.7,418697.9528,-255185.2921,16.75,0.75,16
16.8,240310.6786,-238811.7188,16.7501,0.7501,16
16.9,21308.15312,-224284.1795, , , 
17,-110401.7513,-220150.299,17,0,17
17.1,-113228.2925,-220607.1331, ,, 
17.2,40638.40592,-223698.8779,17.25,0.25,17
17.3,303324.4441,-239014.6621,17.2501,0.2501,17
17.4,724934.1096,-294809.5279, , , 
17.5,1134800.113,-403579.4439,17.5,0.5,17
17.6,1234234.325,-468736.9348,17.501,0.501,17
17.7,1038947.562,-443498.789,17.75,0.75,17
17.8,755396.546,-381783.4687,17.7501,0.7501,17
17.9,239562.288,-299530.6192, , , 
18,-399902.0406,-267892.8644,18,0,18
18.1,-700631.0252,-289618.3052, ,, 
18.2,-526589.5514,-281587.4467,18.25,0.25,18
18.3,-77828.54056,-261850.9876,18.2501,0.2501,18
18.4,299324.5656,-267860.2293, , , 
18.5,397333.5859,-270348.9218,18.5,0.5,18
18.6,242119.9067,-250793.4234,18.501,0.501,18
18.7,21639.87701,-232253.9709,18.75,0.75,18
18.8,-95954.0839,-225568.7314,18.7501,0.7501,18
18.9,-15094.12219,-225064.1287, , , 
19,211492.1228,-233949.5038,19,0,19
19.1,427278.8504,-253418.2361, ,, 
19.2,536817.1504,-270232.7412,19.25,0.25,19
19.3,556144.8627,-276976.8166,19.2501,0.2501,19
19.4,518868.7895,-274812.1775, , , 
19.5,464669.3391,-268285.9422,19.5,0.5,19
19.6,446627.2553,-265015.2018,19.501,0.501,19
19.7,408851.3598,-260172.3731,19.75,0.75,19
19.8,305068.2778,-248145.4366,19.7501,0.7501,19
19.9,150616.1551,-233855.4951, , , 
20,28316.83378,-224936.6895,20,0,20
20.1,29197.00676,-223122.5519, ,, 
20.2,187464.7703,-229564.0262,20.25,0.25,20
20.3,456591.7009,-254229.1335,20.2501,0.2501,20
20.4,769148.8076,-306610.1402, , , 
20.5,968792.2329,-364924.2544,20.5,0.5,20
20.6,930945.173,-376466.3975,20.501,0.501,20
20.7,549739.5758,-316161.2335,20.75,0.75,20
20.8,-83902.36216,-254023.4855,20.7501,0.7501,20
20.9,-573493.0932,-262338.6397, , , 
21,-681101.6913,-282012.9096,21,0,21
21.1,-452486.4428,-270784.5546, ,, 
21.2,-148891.7756,-256049.1738,21.25,0.25,21
21.3,-5542.45587,-247794.0782,21.2501,0.2501,21
21.4,-65952.63789,-238042.8257, , , 
21.5,-222782.5579,-232782.4047,21.5,0.5,21
21.6,-338013.5799,-235201.7252,21.501,0.501,21
21.7,-344491.6654,-237757.2305,21.75,0.75,21
21.8,-268676.4163,-236659.5422,21.7501,0.7501,21
21.9,-181275.968,-234066.2122, , , 
22,-138248.1486,-231392.9954,22,0,22
22.1,-149848.9137,-228997.6598, ,, 
22.2,-156651.9478,-227410.3,22.25,0.25,22
22.3,-95522.71756,-226416.9079,22.2501,0.2501,22
22.4,74529.65708,-228737.2767, , , 
22.5,280027.4884,-239774.7213,22.5,0.5,22
22.6,390786.4516,-250471.0553,22.501,0.501,22
22.7,381009.3515,-250681.515,22.75,0.75,22
22.8,265663.76,-240091.4029,22.7501,0.7501,22
22.9,74320.32185,-226338.0494, , , 
23,-68326.86992,-220240.0235,23,0,23
23.1,-54544.23999,-220275.2261, ,, 
23.2,259746.358,-234014.0381,23.25,0.25,23
23.3,785187.6326,-305650.8264,23.2501,0.2501,23
23.4,1238163.385,-435338.1539, , , 
23.5,1432441.512,-544894.5106,23.5,0.5,23
23.6,1362567.596,-568076.1056,23.501,0.501,23
23.7,1041939.681,-494785.3803,23.75,0.75,23
23.8,514927.6997,-375110.5764,23.7501,0.7501,23
23.9,-38960.86435,-296794.037, , , 
24,-331641.4667,-274234.5063,24,0,24
24.1,-215122.1146,-259701.6066, ,, 
24.2,80481.83813,-253234.1172,24.25,0.25,24
24.3,246252.2505,-254155.797,24.2501,0.2501,24
24.4,121248.5966,-240284.7802, , , 
24.5,-190341.3115,-227984.5002,24.5,0.5,24
24.6,-430079.9924,-236229.6784,24.501,0.501,24
24.7,-464462.3434,-245156.3149,24.75,0.75,24
24.8,-336886.9284,-243447.739,24.7501,0.7501,24
24.9,-181388.3088,-238752.7679, , , 
25,-108245.3652,-234703.5936,25,0,25
25.1,-139644.2922,-230785.3031, ,, 
25.2,-202187.1976,-228949.8265,25.25,0.25,25
25.3,-204924.6074,-228505.335,25.2501,0.2501,25
25.4,-37414.42897,-228108.1166, , , 
25.5,255113.4405,-239866.4185,25.5,0.5,25
25.6,489604.2257,-263512.2299,25.501,0.501,25
25.7,592440.2413,-281515.3086,25.75,0.75,25
25.8,574834.9321,-283761.2856,25.7501,0.7501,25
25.9,462070.4964,-270571.3587, , , 
26,332413.2582,-254011.815,26,0,26
26.1,272757.3433,-244768.9199, ,, 
26.2,351345.0574,-248585.7254,26.25,0.25,26
26.3,549802.7414,-271938.6544,26.2501,0.2501,26
26.4,817328.9759,-322108.6124, , , 
26.5,1026905.542,-385057.4069,26.5,0.5,26
