time,p:1,q :1, ,,
0,-0.339545129,1.21E-11,,,
0.1,174924.4043,-2781014.433,0,,
0.2,573144.7737,-2171696.212,0.25,,
0.3,787853.5095,-1835434.644,0.2501,,
0.4,633476.2729,-1571004.012,,,
0.5,158275.4473,-1280945.634,0.5,,
0.6,-334723.1617,-989265.7092,0.501,,
0.7,-570489.379,-757922.9975,0.75,,
0.8,-495967.3004,-612371.5064,0.7501,,
0.9,-237953.7338,-500249.1029,,,
1,1159.036526,-394478.1779,1,,
1.1,83643.4646,-327729.8411,,,
1.2,55395.36706,-291231.4401,1.25,,
1.3,45778.22499,-269152.5431,1.2501,,
1.4,179361.9615,-254589.7391,,,
1.5,415281.4374,-244238.3057,1.5,,
1.6,589615.1921,-236784.9797,1.501,,
1.7,631322.117,-232078.0165,1.75,,
1.8,556660.2356,-229714.3723,1.7501,,
1.9,419573.485,-228402.949,,,
2,308120.27,-227291.255,2,0,
2.1,285493.9337,-226153.7953,,,
2.2,334767.7724,-225697.742,2.25,0.25,
2.3,400884.406,-230142.0149,2.2501,0.2501,
2.4,453062.0561,-249387.7755, , ,
2.5,460140.8268,-292350.9649,2.5,0.5,
2.6,404328.6457,-337501.146,2.501,0.501,
2.7,286949.1433,-388907.8594,2.75,0.75,
2.8,175440.4161,-461872.2395,2.7501,0.7501,
2.9,13135.82916,-522643.2843, , ,
3,-197817.4352,-545239.5633,3,0,3
3.1,-308458.8661,-536105.0839, ,, 
3.2,-301521.502,-517030.7398,3.25,0.25,3
3.3,-240761.4878,-507933.0511,3.2501,0.2501,3
3.4,-189711.3541,-497306.2694, , ,3
3.5,-180590.9185,-471637.3896,3.5,0.5,3
3.6,-203883.6285,-445567.3792,3.501,0.501,3
3.7,-234181,-423438.4392,3.75,0.75,3
3.8,-251099.8315,-403594.1678,3.7501,0.7501,3
3.9,-246818.3899,-365694.5893, , , 
4,-228966.2841,-315898.44,4,0,4
4.1,-212254.2947,-286000.9271, ,,4
4.2,-175843.7025,-280793.5923,4.25,0.25,4
4.3,-101981.9609,-297841.8526,4.2501,0.2501,4
4.4,12379.97242,-315329.7747, , , 
4.5,121005.8551,-307131.8574,4.5,0.5,4
4.6,159774.1451,-281145.3583,4.501,0.501,4
4.7,162460.71,-258041.8998,4.75,0.75,4
4.8,177457.8249,-247545.1961,4.7501,0.7501,4
4.9,190301.4877,-253060.9334, , , 
5,171683.1953,-274242.8464,5,0,5
5.1,118373.376,-295070.7618, ,,5
5.2,27432.07688,-304998.6081,5.25,0.25,5
5.3,-68737.84258,-310337.9671,5.2501,0.2501,5
5.4,-123665.2816,-320396.3892, , ,5
5.5,-132946.7995,-337785.3987,5.5,0.5,5
5.6,-118678.7182,-355919.6725,5.501,0.501,5
5.7,-109902.2479,-363392.7474,5.75,0.75,5
5.8,-115531.166,-354808.0416,5.7501,0.7501,5
5.9,-162645.3506,-340982.6404, , ,5
6,-242902.5244,-334112.3107,6,0,6
6.1,-293228.5527,-338160.979, ,,6
6.2,-290431.2228,-345285.0157,6.25,0.25,6
6.3,-256867.7497,-344830.0779,6.2501,0.2501,6
6.4,-224930.7561,-333299.3828, , ,6
6.5,-215246.7314,-315720.349,6.5,0.5,6
6.6,-226744.3618,-301879.8961,6.501,0.501,6
6.7,-237418.106,-293916.4826,6.75,0.75,6
6.8,-230577.2608,-288910.3274,6.7501,0.7501,6
6.9,-211014.6829,-268361.6466, , ,6
7,-196041.2466,-240009.3021,7,0,7
7.1,-198158.1596,-228218.691, ,, 
7.2,-204867.3536,-225706.9092,7.25,0.25,7
7.3,-192677.7824,-225456.7729,7.2501,0.2501,7
7.4,-143937.5569,-226480.0274, , , 
7.5,-74776.89789,-225817.5254,7.5,0.5,7
7.6,-20603.44222,-222655.4313,7.501,0.501,7
7.7,41722.93996,-220403.378,7.75,0.75,7
7.8,113502.6846,-220511.4837,7.7501,0.7501,7
7.9,100674.0112,-223515.103, , , 
8,-15962.53443,-230107.8953,8,0,8
8.1,-148889.6718,-234700.2739, ,, 
8.2,-236934.1176,-237768.8412,8.25,0.25,8
8.3,-261122.7632,-245423.3232,8.2501,0.2501,8
8.4,-241534.9803,-262282.0657, , , 
8.5,-212011.956,-286632.6058,8.5,0.5,8
8.6,-190262.562,-302750.2744,8.501,0.501,8
8.7,-62061.53756,-307983.7192,8.75,0.75,8
8.8,247519.9219,-310009.1919,8.7501,0.7501,8
8.9,532695.5673,-315953.2766, , , 
9,602411.3086,-329084.6195,9,0,9
9.1,509835.9677,-343410.3053, ,, 
