time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,167260.9027,-2771894.118,0,,
0.2,523371.139,-2083344.805,0.25,,
0.3,656774.8305,-1575666.719,0.2501,,
0.4,428973.0882,-1148312.197,,,
0.5,-35864.97261,-828355.8288,0.5,,
0.6,-419370.6232,-641451.0688,0.501,,
0.7,-478287.8885,-522688.3773,0.75,,
0.8,-230360.041,-427600.4162,0.7501,,
0.9,123376.7239,-369119.2765,,,
1,361528.6443,-341979.1077,1,,
1.1,385626.3292,-315495.1428,,,
1.2,347102.3083,-290533.2247,1.25,,
1.3,409807.9069,-282334.0652,1.2501,,
1.4,656480.9376,-307347.8538,,,
1.5,986211.4206,-377134.4293,1.5,,
1.6,1183864.556,-450326.7163,1.501,,
1.7,1197164.067,-481700.3961,1.75,,
1.8,1099956.805,-472138.861,1.7501,,
1.9,955142.4864,-439150.1438,,,
2,819139.1738,-401385.6838,2,0,
2.1,733476.3004,-372108.1078,,,
2.2,695059.0193,-353050.9212,2.25,0.25,
2.3,682490.0346,-341254.8275,2.2501,0.2501,
2.4,810758.2541,-357058.5302, , ,
2.5,1066454.545,-418763.5073,2.5,0.5,
2.6,1252148.247,-490744.4154,2.501,0.501,
2.7,1182781.669,-498844.5619,2.75,0.75,
2.8,830468.7673,-419386.2519,2.7501,0.7501,
2.9,381588.1902,-329126.001, , ,
3,200084.2696,-285134.8415,3,0,3
3.1,527681.9369,-298606.3975, ,, 
3.2,872602.4739,-357233.9301,3.25,0.25,3
3.3,794623.7427,-352754.5201,3.2501,0.2501,3
3.4,466000.9179,-299190.0468, , ,3
3.5,198024.7438,-260563.1355,3.5,0.5,3
3.6,182489.8482,-248125.1762,3.501,0.501,3
3.7,415426.0836,-261507.7864,3.75,0.75,3
3.8,699138.1374,-302087.4553,3.7501,0.7501,3
3.9,819727.9927,-334102.1042, , , 
4,780235.1184,-336610.1816,4,0,4
4.1,701183.848,-325742.6513, ,,4
4.2,731669.594,-329900.8324,4.25,0.25,4
4.3,878766.5139,-361084.0143,4.2501,0.2501,4
4.4,1074843.571,-416880.6751, , , 
4.5,1261323.923,-490554.7635,4.5,0.5,4
4.6,1378012.875,-558362.252,4.501,0.501,4
4.7,1370455.572,-588162.7278,4.75,0.75,4
4.8,1238690.959,-564266.8573,4.7501,0.7501,4
4.9,1008146.131,-498810.7605, , , 
5,759116.6274,-423456.9467,5,0,5
5.1,605078.0612,-369485.2992, ,,5
5.2,620529.6762,-347897.7728,5.25,0.25,5
5.3,769531.3424,-359635.2351,5.2501,0.2501,5
5.4,878910.5051,-379793.9985, , ,5
5.5,846396.207,-376225.34,5.5,0.5,5
5.6,707256.8025,-348305.3843,5.501,0.501,5
5.7,436921.5899,-300957.2521,5.75,0.75,5
5.8,92120.10187,-257905.3524,5.7501,0.7501,5
5.9,-148621.1074,-240258.2822, , ,5
6,-95904.21931,-234396.2552,6,0,6
6.1,321766.24,-249757.1557, ,,6
6.2,829025.7008,-323763.4308,6.25,0.25,6
6.3,1059825.845,-395735.1251,6.2501,0.2501,6
6.4,937656.4297,-390010.7259, , ,6
6.5,641552.3402,-336172.0789,6.5,0.5,6
6.6,424130.4431,-294453.976,6.501,0.501,6
6.7,374944.4458,-276446.1782,6.75,0.75,6
6.8,447140.5226,-275861.9379,6.7501,0.7501,6
6.9,595639.1353,-291920.4734, , ,6
7,734075.5471,-317344.0696,7,0,7
7.1,776580.3422,-332148.1527, ,, 
7.2,697565.5942,-323580.8416,7.25,0.25,7
7.3,574688.6838,-302972.3852,7.2501,0.2501,7
7.4,516790.0243,-289882.4115, , , 
7.5,557982.5801,-291029.3429,7.5,0.5,7
7.6,666380.4833,-306604.6579,7.501,0.501,7
7.7,904525.3217,-354866.1662,7.75,0.75,7
7.8,1223397.248,-453300.1,7.7501,0.7501,7
7.9,1401899,-547362.6243, , , 
8,1364668.93,-575181.3348,8,0,8
8.1,1199500.867,-543192.9789, ,, 
8.2,928816.084,-469725.6953,8.25,0.25,8
8.3,640346.2114,-389927.1425,8.2501,0.2501,8
8.4,740246.2619,-377096.1367, , , 
8.5,1225372.588,-483314.7488,8.5,0.5,8
8.6,1617873.27,-653697.5498,8.501,0.501,8
8.7,1594901.196,-711499.4262,8.75,0.75,8
8.8,1137225.655,-584304.2712,8.7501,0.7501,8
8.9,444390.8479,-412524.3162, , , 
9,-78937.58551,-324937.51,9,0,9
9.1,-116657.2299,-290022.5313, ,, 
