time,p:1,timeStamp
0.228,990980.848,28.501
0.229,1059515.399,28.75
0.23,1150316.236,28.751
0.231,1251840.688,29
0.232,1351407.447,29.01
0.233,1436896.446,29.25
0.234,1498333.589,29.251
0.235,1529154.11,29.5
0.236,1526985.743,29.501
0.237,1493860.033,29.75
0.238,1435837.76,29.751
0.239,1362112.068,30
0.24,1283720.211,30.01
0.241,1212043.291,30.25
0.242,1157296.959,30.251
0.243,1127212.362,30.5
0.244,1126076.658,30.501
0.245,1154250.954,30.75
0.246,1208217.671,30.751
0.247,1281138.276,31
0.248,1363835.484,31.01
0.249,1446060.112,31.25
0.25,1517868.642,31.251
0.251,1570927.111,31.5
0.252,1599571.188,31.501
0.253,1601488.508,31.75
0.254,1577942.435,31.751
0.255,1533518.845,32
0.256,1475440.862,32.01
0.257,1412552.4,32.25
0.258,1354112.548,32.251
0.259,1308564.408,32.5
0.26,1282441.345,32.501
0.261,1279551.57,32.75
0.262,1300541.862,32.751
0.263,1342888.775,33
0.264,1401308.154,33.01
0.265,1468518.81,33.25
0.266,1536251.083,33.251
0.267,1596361.352,33.5
0.268,1641902.928,33.501
0.269,1668013.184,33.75
0.27,1672504.347,33.751
0.271,1656087.23,34
0.272,1622207.283,34.01
0.273,1576523.965,34.25
0.274,1526110.743,34.251
0.275,1478487.985,34.5
0.276,1440620.329,34.501
0.277,1418011.63,34.75
0.278,1414014.46,34.751
0.279,1429440.049,35
0.28,1462512.819,35.01
0.281,1509167.169,35.25
0.282,1563639.076,35.251
0.283,1619267.377,35.5
0.284,1669393.955,35.501
0.285,1708241.727,35.75
0.286,1731655.181,35.751
0.287,1737609.122,36
0.288,1726424.158,36.01
0.289,1700667.592,36.25
0.29,1664760.432,36.251
0.291,1624349.436,36.5
0.292,1585532.73,36.501
0.293,1554044.643,36.75
0.294,1534508.27,36.751
0.295,1529852.679,37
0.296,1540967.655,37.01
0.297,1566635.731,37.25
0.298,1603743.789,37.251
0.299,1647739.523,37.5
0.3,1693266.652,37.501
0.301,1734893.739,37.75
0.302,1767829.843,37.751
0.303,1788538.154,38
