time,p:1,q :1,timeStamp
0.15,1310656.242,-2392402.937,18.751
0.151,1241914.671,-2191764.544,19
0.152,1093189.96,-2031688.237,19.01
0.153,887065.2761,-1931841.261,19.25
0.154,653148.9178,-1903465.089,19.251
0.155,423999.841,-1948083.701,19.5
0.156,230762.7001,-2057528.476,19.501
0.157,99095.02806,-2215245.766,19.75
0.158,45916.55046,-2398684.19,19.751
0.159,77389.38844,-2582420.451,20
0.16,188365.7071,-2741592.548,20.01
0.161,363340.1397,-2855178.525,20.25
0.162,578744.9912,-2908690.085,20.251
0.163,806253.073,-2895937.942,20.5
0.164,1016628.258,-2819656.791,20.501
0.165,1183602.732,-2690933.879,20.75
0.166,1287269.002,-2527544.967,20.751
0.167,1316551.094,-2351443.771,21
0.168,1270451.332,-2185757.295,21.01
0.169,1157937.917,-2051696.505,21.25
0.17,996521.019,-1965793.366,21.251
0.171,809736.8976,-1937822.308,21.5
0.172,623898.247,-1969665.183,21.501
0.173,464557.0602,-2055247.789,21.75
0.174,353153.4075,-2181531.201,21.751
0.175,304287.551,-2330401.914,22
0.176,323960.0318,-2481189.426,22.01
0.177,408988.3867,-2613463.169,22.25
0.178,547648.9393,-2709731.805,22.251
0.179,721429.3984,-2757689.685,22.5
0.18,907634.2725,-2751723.625,22.501
0.181,1082478.894,-2693497.87,22.75
0.182,1224252.214,-2591561.62,22.751
0.183,1316129.618,-2460054.227,23
0.184,1348273.294,-2316700.965,23.01
0.185,1318960.405,-2180381.573,23.25
0.186,1234613.809,-2068603.637,23.251
0.187,1108757.844,-1995217.547,23.5
0.188,960062.8901,-1968669.753,23.501
0.189,809758.6311,-1991012.788,23.75
0.19,678772.4209,-2057785.138,23.751
0.191,584976.7705,-2158756.295,24
0.192,540906.2955,-2279417.854,24.01
0.193,552233.832,-2403005.613,24.25
0.194,617188.3068,-2512772.356,24.251
0.195,726968.3413,-2594204.437,24.5
0.196,867072.9561,-2636889.966,24.501
0.197,1019351.705,-2635799.501,24.75
0.198,1164486.474,-2591823.624,24.751
0.199,1284567.213,-2511513.946,25
0.2,1365419.661,-2406080.868,25.01
0.201,1398384.846,-2289798.832,25.25
0.202,1381326.778,-2178043.528,25.251
0.203,1318755.501,-2085230.28,25.5
0.204,1221072.142,-2022929.298,25.501
0.205,1103054.614,-1998402.216,25.75
0.206,981802.7716,-2013743.834,25.751
0.207,874427.1006,-2065728.204,26
0.208,795791.9421,-2146362.62,26.01
0.209,756609.5421,-2244059.332,26.25
0.21,762127.7837,-2345255.117,26.251
0.211,811570.2857,-2436253.66,26.5
0.212,898384.5019,-2505041.492,26.501
0.213,1011245.549,-2542837.715,26.75
0.214,1135665.098,-2545178.714,26.751
0.215,1255978.524,-2512405.38,27
0.216,1357439.083,-2449502.719,27.01
0.217,1428140.377,-2365328.629,27.25
0.218,1460517.711,-2271348.63,27.251
0.219,1452240.551,-2180055.925,27.5
0.22,1406393.106,-2103293.432,27.501
0.221,1330936.474,-2050702.216,27.75
0.222,1237540.646,-2028498.582,27.751
0.223,1139955.67,-2038733.744,28
0.224,1052147.93,-2079122.427,28.01
0.225,986453.0014,-2143449.432,28.25
0.226,951988.2844,-2222486.48,28.251
0.227,953528.4569,-2305285.745,28.5
0.228,990980.848,-2380669.85,28.501
0.229,1059515.399,-2438716.379,28.75
0.23,1150316.236,-2472040.573,28.751
0.231,1251840.688,-2476711.29,29
0.232,1351407.447,-2452687.845,29.01
0.233,1436896.446,-2403731.504,29.25
0.234,1498333.589,-2336816.027,29.251
0.235,1529154.11,-2261127.41,29.5
0.236,1526985.743,-2186795.1,29.501
0.237,1493860.033,-2123529.067,29.75
0.238,1435837.76,-2079345.309,29.751
0.239,1362112.068,-2059546.271,30
0.24,1283720.211,-2066084.862,30.01
0.241,1212043.291,-2097386.965,30.25
0.242,1157296.959,-2148644.825,30.251
0.243,1127212.362,-2212531.134,30.5
0.244,1126076.658,-2280229.19,30.501
