time,p:1,q :1,,,
12.7,55535.79074,-238682.8826,12.75,0.75,12
12.8,10278.54049,-231603.0624,12.7501,0.7501,12
12.9,112894.4711,-231006.8793, , , 
13,431667.2194,-254707.4745,13,0,13
13.1,722244.5344,-300984.6485, ,, 
13.2,611773.6354,-295952.5838,13.25,0.25,13
13.3,101765.7027,-243240.7121,13.2501,0.2501,13
13.4,-424397.2675,-237866.3097, , , 
13.5,-653450.2014,-263550.7806,13.5,0.5,13
13.6,-523127.403,-264740.0084,13.501,0.501,13
13.7,-241140.134,-252360.2187,13.75,0.75,13
13.8,-49235.24906,-245074.991,13.7501,0.7501,13
13.9,-45705.36683,-237667.3588, , , 
14,-173752.9417,-231544.0337,14,0,14
14.1,-303728.8855,-232442.9811, ,, 
14.2,-292169.1472,-233659.828,14.25,0.25,14
14.3,-88748.80339,-231569.8262,14.2501,0.2501,14
14.4,304233.2424,-246600.4122, , , 
14.5,666534.3084,-292701.7321,14.5,0.5,14
14.6,725300.644,-312925.0896,14.501,0.501,14
14.7,386574.0178,-270936.8104,14.75,0.75,14
14.8,-147177.3707,-234413.1746,14.7501,0.7501,14
14.9,-508651.3701,-245149.5504, , , 
15,-528027.4848,-255521.0693,15,0,15
15.1,-64570.23435,-243957.1751, ,, 
15.2,660708.8721,-299939.2322,15.25,0.25,15
15.3,1083079.669,-400577.2556,15.2501,0.2501,15
15.4,1185051.096,-455456.8052, , , 
15.5,1116596.333,-461676.1346,15.5,0.5,15
15.6,893362.3367,-415849.3376,15.501,0.501,15
15.7,642401.3166,-357874.6534,15.75,0.75,15
15.8,405682.2676,-308031.8106,15.7501,0.7501,15
15.9,334223.9796,-281688.8573, , , 
16,446890.3708,-281783.4271,16,0,16
16.1,505336.416,-284108.8906, ,, 
16.2,284135.1844,-257858.2395,16.25,0.25,16
16.3,-148946.6524,-231959.1915,16.2501,0.2501,16
16.4,-474587.2148,-241058.5341, , , 
16.5,-512559.5473,-251791.1525,16.5,0.5,16
16.6,-312308.4634,-246187.7421,16.501,0.501,16
16.7,-92284.68851,-240447.4252,16.75,0.75,16
16.8,-27723.76909,-235773.0973,16.7501,0.7501,16
16.9,-82500.61175,-229956.8476, , , 
17,-140255.3091,-226807.828,17,0,17
17.1,-140596.3798,-225683.2548, ,, 
17.2,-136546.1384,-225165.8367,17.25,0.25,17
17.3,-188570.6763,-225066.3551,17.2501,0.2501,17
17.4,-221973.0938,-226027.6202, , , 
17.5,-201308.5047,-226767.6653,17.5,0.5,17
17.6,-179998.4986,-226871.305,17.501,0.501,17
17.7,-190910.4855,-226847.5296,17.75,0.75,17
17.8,-225702.2794,-227469.0439,17.7501,0.7501,17
17.9,-104785.9314,-226793.8946, , , 
18,308304.314,-243688.5297,18,0,18
18.1,910432.6656,-335935.2993, ,, 
18.2,1181107.56,-433192.9668,18.25,0.25,18
18.3,875997.8434,-387752.9989,18.2501,0.2501,18
18.4,499623.9161,-316244.5595, , , 
18.5,565780.3323,-308699.8313,18.5,0.5,18
18.6,1049241.69,-397913.0428,18.501,0.501,18
18.7,1577799.494,-594628.8846,18.75,0.75,18
18.8,1846613.092,-789749.6681,18.7501,0.7501,18
18.9,1806003.212,-862953.9301, , , 
19,1497537.813,-779310.9283,19,0,19
19.1,1017850.923,-608781.9843, ,, 
19.2,384964.141,-437189.453,19.25,0.25,19
19.3,-206509.3122,-345781.8129,19.2501,0.2501,19
19.4,-497891.2712,-321093.4168, , , 
19.5,-480243.7919,-303333.7202,19.5,0.5,19
19.6,-274923.5696,-280154.6332,19.501,0.501,19
19.7,-98820.04527,-263391.6297,19.75,0.75,19
19.8,-74633.71766,-250521.574,19.7501,0.7501,19
19.9,-148277.0843,-240700.4182, , , 
20,-213014.2337,-235912.8318,20,0,20
20.1,-213482.8187,-233491.0271, ,, 
20.2,-155554.6967,-231230.4977,20.25,0.25,20
20.3,-93338.53929,-229216.9819,20.2501,0.2501,20
20.4,-52219.69487,-227305.2809, , , 
20.5,-45291.27459,-225377.0343,20.5,0.5,20
20.6,-86324.73212,-223312.1034,20.501,0.501,20
20.7,-177055.8943,-222760.6249,20.75,0.75,20
20.8,-250899.171,-224954.3142,20.7501,0.7501,20
20.9,-210582.0938,-226263.6708, , , 
21,-83757.25444,-226425.59,21,0,21
21.1,26857.2762,-227280.2419, ,, 
21.2,152772.769,-230593.8525,21.25,0.25,21
21.3,338836.8154,-243417.1763,21.2501,0.2501,21
21.4,543106.0987,-268515.1402, , , 
21.5,682099.8767,-296009.5158,21.5,0.5,21
21.6,702671.4505,-307950.2486,21.501,0.501,21
21.7,564146.6886,-291849.6294,21.75,0.75,21
21.8,253922.7329,-254812.0851,21.7501,0.7501,21
21.9,-19694.89265,-232533.3289, , , 
22,-85858.90319,-226913.9146,22,0,22
22.1,-10287.36401,-226245.5835, ,, 
22.2,-8950.504082,-224891.8751,22.25,0.25,22
22.3,-154271.5241,-221905.4609,22.2501,0.2501,22
22.4,-303907.7429,-225609.6774, , , 
22.5,-353544.8479,-231610.5947,22.5,0.5,22
22.6,-304522.0479,-233683.9064,22.501,0.501,22
22.7,-225948.4443,-232871.7,22.75,0.75,22
22.8,-181614.6031,-231289.804,22.7501,0.7501,22
22.9,-175211.5651,-229656.0381, , , 
23,-156151.2359,-228216.8231,23,0,23
23.1,-67555.66971,-227201.5955, ,, 
23.2,139383.4878,-231819.0235,23.25,0.25,23
23.3,411604.2501,-252529.6709,23.2501,0.2501,23
23.4,740142.5409,-301972.3795, , , 
23.5,1008873.958,-373929.569,23.5,0.5,23
23.6,1036896.925,-404935.1717,23.501,0.501,23
23.7,660537.4837,-342844.6971,23.75,0.75,23
23.8,9879.130184,-265108.2918,23.7501,0.7501,23
23.9,-320958.8756,-250574.9595, , , 
24,-95878.756,-242560.3383,24,0,24
24.1,409748.4911,-265020.9954, ,, 
24.2,747420.8521,-315399.3766,24.25,0.25,24
24.3,760278.1672,-327786.669,24.2501,0.2501,24
24.4,700827.2933,-320854.8183, , , 
24.5,732388.6708,-327489.2186,24.5,0.5,24
24.6,790243.8443,-341196.8612,24.501,0.501,24
24.7,648800.4744,-321617.0056,24.75,0.75,24
24.8,222096.9549,-265768.1499,24.7501,0.7501,24
24.9,-265590.0391,-241387.8104, , , 
25,-538164.5152,-254088.8542,25,0,25
25.1,-506656.8388,-259328.8521, ,, 
25.2,-305144.4036,-251105.244,25.25,0.25,25
25.3,-125163.4116,-243680.7086,25.2501,0.2501,25
25.4,-78225.27551,-237589.6755, , , 
25.5,-148049.0164,-232131.2874,25.5,0.5,25
