time,p:1,q :1, ,,
12.9,50767.96097,-223562.5368, , , 
13,-79706.30921,-219604.8911,13,0,13
13.1,-224653.1169,-220538.8626, ,, 
13.2,-295884.1786,-225328.2425,13.25,0.25,13
13.3,-284898.1683,-228698.9413,13.2501,0.2501,13
13.4,-236603.4861,-229665.7361, , , 
13.5,-202517.0552,-229448.7165,13.5,0.5,13
13.6,-202126.7039,-228993.4168,13.501,0.501,13
13.7,-227034.5315,-229084.6551,13.75,0.75,13
13.8,-253780.3665,-229967.6379,13.7501,0.7501,13
13.9,-264199.466,-231045.2252, , , 
14,-257012.9606,-231650.242,14,0,14
14.1,-242718.5173,-231672.2044, ,, 
14.2,-189536.464,-230517.6301,14.25,0.25,14
14.3,-76104.83341,-229142.7706,14.2501,0.2501,14
14.4,108172.2096,-231841.9212, , , 
14.5,302249.2822,-242805.0406,14.5,0.5,14
14.6,405831.4193,-253046.3405,14.501,0.501,14
14.7,408043.6359,-254477.2916,14.75,0.75,14
14.8,341185.9053,-247891.3585,14.7501,0.7501,14
14.9,229388.2356,-237189.7006, , , 
15,132018.6195,-228678.5188,15,0,15
15.1,108626.3024,-225681.5055, ,, 
15.2,191368.7064,-229242.9951,15.25,0.25,15
15.3,340301.4726,-241263.9155,15.2501,0.2501,15
15.4,576924.5239,-271043.5085, , , 
15.5,829024.1723,-323189.7664,15.5,0.5,15
15.6,927507.853,-360729.3478,15.501,0.501,15
15.7,833078.2844,-355683.937,15.75,0.75,15
15.8,618915.9269,-319970.8671,15.7501,0.7501,15
15.9,236209.1309,-268603.9243, , , 
16,-190105.682,-241228.776,16,0,16
16.1,-354843.6762,-241019.3257, ,, 
16.2,-249841.9014,-238188.0038,16.25,0.25,16
16.3,-52662.54291,-235160.2136,16.2501,0.2501,16
16.4,57450.17777,-233932.8267, , , 
16.5,24221.12516,-228923.7738,16.5,0.5,16
16.6,-79962.38816,-223859.8057,16.501,0.501,16
16.7,-128786.6157,-222466.3122,16.75,0.75,16
16.8,-65627.78613,-222913.6133,16.7501,0.7501,16
16.9,70620.46051,-225874.135, , , 
17,199406.8202,-231794.857,17,0,17
17.1,257206.2374,-235610.9786, ,, 
17.2,306849.9249,-239338.1021,17.25,0.25,17
17.3,413761.0723,-250514.6197,17.2501,0.2501,17
17.4,588642.8125,-275472.2969, , , 
17.5,756939.4727,-310921.9576,17.5,0.5,17
17.6,819525.9392,-334552.605,17.501,0.501,17
17.7,790731.3862,-338588.4784,17.75,0.75,17
17.8,729882.0123,-331744.9854,17.7501,0.7501,17
17.9,692971.671,-325322.6796, , , 
18,699976.3427,-325475.1492,18,0,18
18.1,726013.483,-330019.7538, ,, 
18.2,705872.8509,-327859.1561,18.25,0.25,18
18.3,627150.6109,-313986.0765,18.2501,0.2501,18
18.4,523048.6653,-294924.7675, , , 
18.5,433908.6912,-277607.4144,18.5,0.5,18
18.6,397158.8789,-267399.6834,18.501,0.501,18
18.7,390304.2408,-262226.5772,18.75,0.75,18
18.8,386388.8154,-258703.8296,18.7501,0.7501,18
18.9,300470.236,-248572.5078, , , 
