time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,155420.8972,-2769474.187,,,
0.2,478198.2364,-2069155.785,0,,
0.3,620446.6028,-1558978.527,0.25,,
0.4,541773.644,-1159443.047,0.2501,,
0.5,343415.3871,-856166.8533,,,
0.6,161744.0843,-644518.6128,0.5,,
0.7,130987.0324,-507365.5114,0.501,,
0.8,270212.4526,-425677.2684,0.75,,
0.9,498150.0082,-389870.7256,0.7501,,
1,692836.7434,-384051.1587,,,
1.1,767378.6284,-379778.8605,1,,
1.2,787578.0093,-373205.4761,,,
1.3,819132.0225,-373399.8291,1.25,,
1.4,854024.8349,-378096.3202,1.2501,,
1.5,888403.9772,-385572.5716,,,
1.6,922811.1533,-395202.1889,1.5,,
1.7,911492.7206,-396414.9917,1.501,,
1.8,828493.0254,-379664.9791,1.75,,
1.9,434070.661,-312826.9105,1.7501,,
2,-194560.6927,-259361.3575,,,
2.1,-583634.9839,-269369.9981,2,0,
2.2,-577268.7474,-275326.3039,,,
2.3,-327701.6183,-261535.4324,2.25,0.25,
2.4,-80315.04782,-250883.2264,2.2501,0.2501,
2.5,6764.574817,-243483.2825, , ,
2.6,-63507.07493,-234682.0914,2.5,0.5,
2.7,-163196.8106,-229631.037,2.501,0.501,
2.8,-188101.1191,-228231.9375,2.75,0.75,
2.9,-136886.7057,-227315.1782,2.7501,0.7501,
3,-69183.04433,-226528.766, , ,
3.1,-43309.00691,-225275.8699,3,0,3
3.2,-15648.73082,-224162.662, ,, 
3.3,70217.95096,-225548.8603,3.25,0.25,3
3.4,230823.9051,-233324.8442,3.2501,0.2501,3
3.5,404497.0042,-249440.3594, , ,3
3.6,496232.8951,-263171.077,3.5,0.5,3
3.7,478359.5901,-264442.5317,3.501,0.501,3
3.8,392712.2432,-255596.6116,3.75,0.75,3
3.9,327380.7079,-247600.9305,3.7501,0.7501,3
4,321347.9,-245327.6754, , , 
4.1,347165.5069,-246858.758,4,0,4
4.2,308725.1379,-243435.2056, ,,4
4.3,185170.9091,-232720.8179,4.25,0.25,4
4.4,78493.63985,-224859.5539,4.2501,0.2501,4
4.5,74094.10836,-223246.0169, , , 
4.6,174099.6951,-227763.0351,4.5,0.5,4
4.7,318059.7161,-238837.9737,4.501,0.501,4
4.8,431547.5061,-252287.7251,4.75,0.75,4
4.9,326003.3615,-245001.5992,4.7501,0.7501,4
5,2131.846572,-223768.3091, , , 
5.1,-291248.1942,-222612.4229,5,0,5
5.2,-393266.7483,-231480.2054, ,,5
5.3,-308244.1649,-233558.8872,5.25,0.25,5
5.4,-160890.036,-231852.2925,5.2501,0.2501,5
5.5,-77034.44821,-230013.8641, , ,5
